DIRECTORATE,PAYMENT DATE,PAYMENT AMOUNT,PAYEE,SUPPLIER NO,ACTIVITY
Adult Social Services Directorate,01-Feb-24,"9,140.00",Mia Care Services,INVOICE,Travel Buddy Scheme
Housing & Regeneration Directorate,01-Feb-24,"2,800.00",MJV&Co.SolicitorsLTD,INVOICE,Legal & Court Fees 
Housing & Regeneration Directorate,01-Feb-24,"20,400.00",Montagu Evans LLP,INVOICE,Consultants Fees
Adult Social Services Directorate,01-Feb-24,"2,000.00",MS J DAVIES-BENNETTS T/A HANDS,INVOICE,Aps Shared Lives Scheme
Children's Services Directorate,01-Feb-24,"4,319.09",NC Healthcare Ltd,INVOICE,APC - Other Cla Services
Capital Expenditure,01-Feb-24,780.30,Newsteer Limited,INVOICE,CAPEXP Professional Fees
Chief Executives Directorate,01-Feb-24,555.74,NOVAL CATERING LTD,INVOICE,Food & Consumables
Environment & Community Services Directorate,01-Feb-24,"35,029.39",NSL LIMITED,INVOICE,Ncp Removals
Adult Social Services Directorate,01-Feb-24,"3,950.77",Nursing Direct Healthcare Limi,INVOICE,External Homecare
Adult Social Services Directorate,01-Feb-24,608.10,PHILLIPS BROWN SOCIAL CARE LTD,INVOICE,Consultants Fees
Housing & Regeneration Directorate,01-Feb-24,"292,685.81",PINNACLE FM LTD,INVOICE,Cleaning Contracts 
Children's Services Directorate,01-Feb-24,"3,624.88",PORTMASTER LTD T/A CAPITAL CAR,INVOICE,Transport
Adult Social Services Directorate,01-Feb-24,"13,650.57",RAINBOW MEDICAL SERVICES,INVOICE,External Homecare
Resources Directorate,01-Feb-24,702.22,Redacted Personal Data,INVOICE,Personal Account
Children's Services Directorate,01-Feb-24,"3,396.22",Redacted Personal Data,INVOICE,Direct Payments to  Clients
Chief Executives Directorate,01-Feb-24,900.00,Redacted Personal Data,INVOICE,General Contract Work
Chief Executives Directorate,01-Feb-24,500.00,Redacted Personal Data,INVOICE,Project Work
Capital Expenditure,01-Feb-24,"2,400.00",RIDGE AND PARTNERS LLP,INVOICE,CAPEXP Professional Fees
Chief Executives Directorate,01-Feb-24,"1,920.00",Roehampton Club Ltd,INVOICE,Other minor services
Adult Social Services Directorate,01-Feb-24,"1,890.00",RQL Consulting Limited,INVOICE,Consultants Fees
Housing & Regeneration Directorate,01-Feb-24,"8,809.57",SADLER SERVICES LTD,INVOICE,General Repairs Non S/C
Children's Services Directorate,01-Feb-24,611.52,Serious Sport Group Limited,INVOICE,Materials
Children's Services Directorate,01-Feb-24,"3,985.67",Shining  Stars Fostering Agenc,INVOICE,External Fostering
Capital Expenditure,01-Feb-24,"6,900.00",Stantec UK Limited,INVOICE,CAPEXP Professional Fees
Housing & Regeneration Directorate,01-Feb-24,"98,204.40",STREETSPACELIMITED,INVOICE,Improvements
Capital Expenditure,01-Feb-24,"18,253.00",T BROWN GROUP LTD,INVOICE,CAPEXP Housing Grants Analysis
Children's Services Directorate,01-Feb-24,"6,006.60",The Appropriate Adult Service ,INVOICE,Materials
Adult Social Services Directorate,01-Feb-24,"6,234.20",THE CHESTNUTS,INVOICE,External Residential Care
Children's Services Directorate,01-Feb-24,965.00,The New Level of Life,INVOICE,APC - Other Cla Services
Chief Executives Directorate,01-Feb-24,900.00,TIME & LEISURE,INVOICE,Miscellaneous Expenses
Capital Expenditure,01-Feb-24,"15,355.44",TOTTERIDGE HOUSE CO-OPERATIVE ,INVOICE,CAPEXP Construction Work
Housing & Regeneration Directorate,01-Feb-24,771.26,Underley Furnishing Limited,INVOICE,Furniture
Resources Directorate,01-Feb-24,569.66,Valtech Limited,INVOICE,Disabled Persons Car Badge
Adult Social Services Directorate,01-Feb-24,"30,801.91",WESTMINSTER HOMECARE LTD,INVOICE,External Homecare
Housing & Regeneration Directorate,02-Feb-24,996.00,A.D.M.I Doors Ltd,INVOICE,Reactive maintenance - bldgs
Resources Directorate,02-Feb-24,981.88,ADARE SEC LIMITED,INVOICE,Printing 
Adult Social Services Directorate,02-Feb-24,"50,587.31",AGE UK WANDSWORTH,INVOICE,External Daycare
Adult Social Services Directorate,02-Feb-24,"1,000.00",Ahmed Arch Limited,INVOICE,Consultants Fees
Children's Services Directorate,02-Feb-24,"2,880.00",ALASDAIR CANT & ASSOCIATES LTD,INVOICE,Training
Adult Social Services Directorate,02-Feb-24,"4,457.14",Aspyre Health Care Ltd,INVOICE,Supported Living
Housing & Regeneration Directorate,02-Feb-24,"8,809.20",Baltimore Consulting Ltd,INVOICE,Agency Staff
Children's Services Directorate,02-Feb-24,"8,060.00",BARNARDO'S,INVOICE,Independent Fees
Housing & Regeneration Directorate,02-Feb-24,754.92,BIFFA WASTE SERVICES LTD,INVOICE,Cleaning Contracts 
Children's Services Directorate,02-Feb-24,"4,372.18",Blue Arrow Ltd t/a RSS Global ,INVOICE,Recruitment Costs
Adult Social Services Directorate,02-Feb-24,"1,537.71",BLUEBIRD CARE (WANDSWORTH),INVOICE,External Homecare
Capital Expenditure,02-Feb-24,"1,488.00",BML Group LTD,INVOICE,CAPEXP Other Building Reltd Wk
Resources Directorate,02-Feb-24,"9,215.40",BT Global Services,INVOICE,Hardware purchases
Adult Social Services Directorate,02-Feb-24,"4,432.40",CARE OUTLOOK LTD,INVOICE,External Homecare
Children's Services Directorate,02-Feb-24,"5,942.40",Castlebridge Finance SPV Ltd,INVOICE,Client Travel Expenses
Housing & Regeneration Directorate,02-Feb-24,769.20,CHUBB FIRE & SECURITY LTD,INVOICE,Equipment
Resources Directorate,02-Feb-24,"7,033.94",CIVICA UK LTD,INVOICE,Training
Housing & Regeneration Directorate,02-Feb-24,"2,316.00",COMMERCIAL KITCHEN SERVICES(LO,INVOICE,Planned Maintenance - Bldgs
Environment & Community Services Directorate,02-Feb-24,"1,157,542.73",Continental Landscapes Ltd,INVOICE,Street Cleansing Contract
Children's Services Directorate,02-Feb-24,"1,074.60",Coppin's Tooting Ltd,INVOICE,Food & Consumables
Housing & Regeneration Directorate,02-Feb-24,"8,402.88",DEBA UK LTD,INVOICE,Planned Maintenance - Bldgs
Children's Services Directorate,02-Feb-24,"3,352.46",DH CROFTS LTD,INVOICE,Reactive maintenance - bldgs
Children's Services Directorate,02-Feb-24,"1,056.00",Emerald Promotions Ltd,INVOICE,Food & Consumables
Housing & Regeneration Directorate,02-Feb-24,"4,898.12",ENVIRONTEC Ltd,INVOICE,General Repairs Non S/C
Capital Expenditure,02-Feb-24,"11,091.86",F M Conway Limited,INVOICE,CAPEXP Construction Work
Adult Social Services Directorate,02-Feb-24,"17,240.28",Flex360 Limited,INVOICE,Agency Staff
Capital Expenditure,02-Feb-24,"14,499.47",Gjini Building Services Ltd,INVOICE,CAPEXP Construction Work
Children's Services Directorate,02-Feb-24,"12,656.67",Great Oaks College,INVOICE,Post 16 fees
Housing & Regeneration Directorate,02-Feb-24,"195,337.88",GROUND CONTROL LTD,INVOICE,Garden Maintenance Non S/C
Capital Expenditure,02-Feb-24,"42,992.48",Hartley Services Group LTD,INVOICE,CAPEXP Construction Work
Adult Social Services Directorate,02-Feb-24,"57,345.79",Haven Care Ltd,INVOICE,External Homecare
Housing & Regeneration Directorate,02-Feb-24,"3,144.00",Hays Specialist Recruitment Gr,INVOICE,Agency Staff
Children's Services Directorate,02-Feb-24,990.00,JDS Recruitment Ltd,INVOICE,Consultants Specific Project
Children's Services Directorate,02-Feb-24,"1,500.00",Let Us Group,INVOICE,Third Party Pymt - Ind Units
Capital Expenditure,02-Feb-24,"29,516.88",LIFTWORKS LIMITED,INVOICE,CAPEXP Construction Work
Children's Services Directorate,02-Feb-24,810.00,Little Heroes Therapies Ltd,INVOICE,Other Therapies
Children's Services Directorate,02-Feb-24,"1,800.00",London Grid For Learning Trust,INVOICE,Equipment
Adult Social Services Directorate,02-Feb-24,"40,644.72",LONDON HOMECARE LTD,INVOICE,Extra Care Homecare
Housing & Regeneration Directorate,02-Feb-24,540.00,Michael Barclay Projects Ltd,INVOICE,Consultants Fees
Housing & Regeneration Directorate,02-Feb-24,"2,316.32",Mount Pleasant Solutions Ltd,INVOICE,Legal & Court Fees 
Chief Executives Directorate,02-Feb-24,"4,095.00",Nine Elms Arts Ministry,INVOICE,General Contract Work
Adult Social Services Directorate,02-Feb-24,"1,791.94",NonStop Consulting Ltd,INVOICE,Agency Staff
Housing & Regeneration Directorate,02-Feb-24,"3,180.00",PANORAMIC ASSOCIATES LTD,INVOICE,Agency Staff
Children's Services Directorate,02-Feb-24,"2,151.36",Parker Smith Inclusion Ltd,INVOICE,Independent Fees
Housing & Regeneration Directorate,02-Feb-24,912.00,PH Water Technologies LTD,INVOICE,Planned Maintenance - Bldgs
Adult Social Services Directorate,02-Feb-24,868.36,PHILLIPS BROWN SOCIAL CARE LTD,INVOICE,Consultants Fees
Capital Expenditure,02-Feb-24,"1,932.00",Playle & Partners LLP,INVOICE,CAPEXP Professional Fees
Resources Directorate,02-Feb-24,"3,727.33",Pluxee UK Ltd,INVOICE,Personal Account
Resources Directorate,02-Feb-24,"1,924.00",Redacted Personal Data,INVOICE,HB Overpayments
Housing & Regeneration Directorate,02-Feb-24,"6,800.00",Redacted Personal Data,INVOICE,Legal & Court Fees 
Capital Expenditure,02-Feb-24,"3,958.20",Redacted Personal Data,INVOICE,CAPEXP Professional Fees
Children's Services Directorate,02-Feb-24,"2,833.00",Redacted Personal Data,INVOICE,Other Therapies
Children's Services Directorate,02-Feb-24,"16,236.91",ROOTS AND SHOOTS,INVOICE,Post 16 fees
Housing & Regeneration Directorate,02-Feb-24,"41,306.61",SADLER SERVICES LTD,INVOICE,Vacants
Housing & Regeneration Directorate,02-Feb-24,"8,067.41",SUEZ Recycling and Recovery UK,INVOICE,Refuse Collection
Housing & Regeneration Directorate,02-Feb-24,"2,910.48",T BROWN GROUP LTD,INVOICE,Planned Maintenance - Bldgs
Children's Services Directorate,02-Feb-24,"3,894.48",T Mohan & Co Ltd,INVOICE,Major Repairs & Alterations
Chief Executives Directorate,02-Feb-24,"10,608.00",Technical Converters Ltd T/A R,INVOICE,Other minor services
Capital Expenditure,02-Feb-24,"40,723.86",THE ALTON (ACADEMY) SCHOOL,INVOICE,CAPEXP Construction Work
Adult Social Services Directorate,02-Feb-24,960.00,Tile Hill Interim & Executive Ltd,INVOICE,Recruitment Costs
Housing & Regeneration Directorate,02-Feb-24,"1,044.00",TOP REMOVALS,INVOICE,Removals And Reorganisations
Capital Expenditure,02-Feb-24,"79,800.00",Vickery Electrical Ltd,INVOICE,CAPEXP Construction Work
Chief Executives Directorate,02-Feb-24,"15,622.20",Wandsworth BID,INVOICE,Wandsworth BID
Children's Services Directorate,05-Feb-24,"2,140.00", Lived in Experience,INVOICE,Grants to Voluntary Orgs
Adult Social Services Directorate,05-Feb-24,"1,350.00",3 Spirit Enterprise UK Ltd,INVOICE,Other Minor Contract Payments
Adult Social Services Directorate,05-Feb-24,"4,952.77",Accomplish Group Contract Mana,INVOICE,External Residential Care
Adult Social Services Directorate,05-Feb-24,"1,241.45",Achieve Together Limited,INVOICE,External Homecare
Children's Services Directorate,05-Feb-24,"1,302.77",Active Recruitment SEN,INVOICE,Preventing Accom
Housing & Regeneration Directorate,05-Feb-24,"1,392.84",ALLEN CONCRETE,INVOICE,General Repairs Non S/C
Environment & Community Services Directorate,05-Feb-24,"2,402.85",ALLSTAR BUSINESS SOLUTIONS LTD,INVOICE,Payments To Sub-Contractors
Children's Services Directorate,05-Feb-24,529.00,ANK Solutions,INVOICE,Preventing Accom
Children's Services Directorate,05-Feb-24,"26,482.68",Ascent Fostering Agency T/As A,INVOICE,External Residential Care
Adult Social Services Directorate,05-Feb-24,"5,975.97",Aspire Care Services Ltd,INVOICE,External Homecare
Adult Social Services Directorate,05-Feb-24,"4,567.46",Baltimore Consulting Ltd,INVOICE,Recruitment Costs
Housing & Regeneration Directorate,05-Feb-24,"15,600.00",BMG Research Ltd,INVOICE,Housing Link Surveys
Capital Expenditure,05-Feb-24,"28,569.60",BML Group LTD,INVOICE,CAPEXP Other Building Reltd Wk
Adult Social Services Directorate,05-Feb-24,"2,820.99","Brent,WandsandWestminster Mind",INVOICE,External Daycare
Environment & Community Services Directorate,05-Feb-24,"2,098.80",BT PAYMENT SERVICES LTD,INVOICE,Telephone Charges
Adult Social Services Directorate,05-Feb-24,"91,221.61",C M CARE LTD,INVOICE,External Homecare
Adult Social Services Directorate,05-Feb-24,"30,699.31",Callisto Healthcare Limited,INVOICE,External Nursing Care
Environment & Community Services Directorate,05-Feb-24,"10,183.93",Cappagh Public Works Ltd,INVOICE,Materials
Children's Services Directorate,05-Feb-24,"1,139.00",Careoline Carers Services Ltd,INVOICE,Essentials
Children's Services Directorate,05-Feb-24,"4,436.40",Castlebridge Finance SPV Ltd,INVOICE,Transport
Environment & Community Services Directorate,05-Feb-24,"13,452.00",Certas Energy UK Ltd,INVOICE,Frogmore Fuel Stores
Children's Services Directorate,05-Feb-24,608.00,Chesterton (Academy) Primary S,INVOICE,Essentials
Environment & Community Services Directorate,05-Feb-24,"6,804.00",Cleghorn Lighting Ltd,INVOICE,Building Works Stores
Capital Expenditure,05-Feb-24,"6,367.20",Corby Canvas Products Ltd,INVOICE,CAPEXP Construction Work
Environment & Community Services Directorate,05-Feb-24,"61,886.36",COSTA CIVIL ENGINEERING,INVOICE,Payments To Sub-Contractors
Environment & Community Services Directorate,05-Feb-24,"2,900.30",CROWN PAINTS LIMITED,INVOICE,Building Works Stores
Housing & Regeneration Directorate,05-Feb-24,"1,722.72",DELTA FACILITIES LTD,INVOICE,Electrical Smaller Contracts
Children's Services Directorate,05-Feb-24,"3,764.28",Diversity Foster Care LTD,INVOICE,External Fostering
Resources Directorate,05-Feb-24,"2,778.00",DOTS DISABILITY COUMMUNITY INTEREST COMP,INVOICE,Consultants Fees
Environment & Community Services Directorate,05-Feb-24,"5,089.20",EDMUNDSON ELECTRICAL LTD,INVOICE,Building Works Stores
Environment & Community Services Directorate,05-Feb-24,"4,675.63",ELECTRIC CENTRE,INVOICE,Materials
Children's Services Directorate,05-Feb-24,"4,571.43",ELITE SUPPORT PROVIDER'S LTD,INVOICE,External Lodgings
Adult Social Services Directorate,05-Feb-24,"1,245.00",EVERSHED BROS LTD,INVOICE,APC - Funerals
Environment & Community Services Directorate,05-Feb-24,993.60,EVOLVE CORPORATE LTD T/A PK SA,INVOICE,Building Works Stores
Environment & Community Services Directorate,05-Feb-24,"1,384.01",F.W. HIPKIN LIMITED,INVOICE,Building Works Stores
Children's Services Directorate,05-Feb-24,"20,995.20",FACTOR 21 PLC,INVOICE,Preventing Accom
Housing & Regeneration Directorate,05-Feb-24,"34,026.08",FELSHAM ROAD COOPERATIVE LIMIT,INVOICE,Co-Op Management Allowance
Adult Social Services Directorate,05-Feb-24,"5,670.00",Flex360 Limited,INVOICE,Consultants Fees
Environment & Community Services Directorate,05-Feb-24,929.38,FOD Mobility UK Ltd,INVOICE,Payments To Sub-Contractors
Children's Services Directorate,05-Feb-24,"7,429.94",Fostering Support Group,INVOICE,External Fostering
Environment & Community Services Directorate,05-Feb-24,"11,489.74",FRASER'S TIMBER MERCHANTS LTD,INVOICE,Materials
Children's Services Directorate,05-Feb-24,"11,514.29",FRESHSTART SOLUTIONS LTD,INVOICE,External Lodgings
Children's Services Directorate,05-Feb-24,"2,513.70",GENERATE,INVOICE,Preventing Accom
Housing & Regeneration Directorate,05-Feb-24,"38,866.76",Gjini Building Services Ltd,INVOICE,Vacants
Environment & Community Services Directorate,05-Feb-24,840.00,GOLDIELOCKS LOCKSMITHS,INVOICE,Payments To Sub-Contractors
Resources Directorate,05-Feb-24,"7,122.00",Greys Specialist Recruitment LTD,INVOICE,Recruitment Costs
Environment & Community Services Directorate,05-Feb-24,"2,030.40",Hays Specialist Recruitment Gr,INVOICE,Materials
Children's Services Directorate,05-Feb-24,"1,995.60",HIGHFIELD INTERNATIONAL,INVOICE,Project Work
Children's Services Directorate,05-Feb-24,"102,168.00",HM Prison & Probation Service,INVOICE,Secure Accommodation Welfare
Children's Services Directorate,05-Feb-24,"4,982.14",Independence Way,INVOICE,External Lodgings
Chief Executives Directorate,05-Feb-24,"5,000.00",JCT,INVOICE,Project Work
Children's Services Directorate,05-Feb-24,"24,401.42",Jenkin Support Services,INVOICE,External Lodgings
Children's Services Directorate,05-Feb-24,"1,248.00",JT ENTERPRISES,INVOICE,Materials
Environment & Community Services Directorate,05-Feb-24,"6,336.00",KC SERVICES GROUP LTD,INVOICE,Payments To Sub-Contractors
Children's Services Directorate,05-Feb-24,"1,125.00",KIDS,INVOICE,Preventing Accom
Children's Services Directorate,05-Feb-24,700.00,KIKIS CHILDRENS CLINIC,INVOICE,Other Therapies
Children's Services Directorate,05-Feb-24,"1,342.25",Kope-Medics Ltd,INVOICE,Preventing Accom
Environment & Community Services Directorate,05-Feb-24,"2,388.94",LANTERN RECOVERY SPECIALISTS P,INVOICE,Payments To Sub-Contractors
Housing & Regeneration Directorate,05-Feb-24,690.34,LEWIS & GRAVES PARTNERSHIP LTD,INVOICE,Materials
Environment & Community Services Directorate,05-Feb-24,"1,440,571.76",London Borough Of Merton,INVOICE,Joint Regulatory Service SLA
Adult Social Services Directorate,05-Feb-24,"19,416.41",LONDON HOMECARE LTD,INVOICE,Extra Care Homecare
Environment & Community Services Directorate,05-Feb-24,"2,305.46",LORDS - GEORGE LINES,INVOICE,Building Works Stores
Environment & Community Services Directorate,05-Feb-24,"1,313.98",MAGNET LTD,INVOICE,Building Works Stores
Environment & Community Services Directorate,05-Feb-24,"24,931.20",MARSHALLS MONO LTD,INVOICE,Building Works Stores
Capital Expenditure,05-Feb-24,"2,520.00",Martin Arnold Ltd,INVOICE,CAPEXP Other Building Reltd Wk
Environment & Community Services Directorate,05-Feb-24,"28,235.86",MARWOOD ELECTRICAL COMPANY LTD,INVOICE,Building Works Stores
Housing & Regeneration Directorate,05-Feb-24,899.92,MC PROJECTS LTD,INVOICE,Vacants
Capital Expenditure,05-Feb-24,"1,116.00",MGAC LLP t/a RLF,INVOICE,CAPEXP Professional Fees
Children's Services Directorate,05-Feb-24,"5,128.00",Mia Care Services,INVOICE,Preventing Accom
Adult Social Services Directorate,05-Feb-24,"3,510.00",Mount Lodge Farm,INVOICE,External Residential Care
Children's Services Directorate,05-Feb-24,"1,884.35",Nacro,INVOICE,External Lodgings
Chief Executives Directorate,05-Feb-24,"1,672.70",Newsquest Media Group Ltd,INVOICE,Advertising / Publicity
Adult Social Services Directorate,05-Feb-24,790.56,NonStop Consulting Ltd,INVOICE,Agency Staff
Chief Executives Directorate,05-Feb-24,600.45,NOVAL CATERING LTD,INVOICE,Food & Consumables
Housing & Regeneration Directorate,05-Feb-24,"8,650.00",Osbournes Solicitors LLP,INVOICE,Legal & Court Fees 
Children's Services Directorate,05-Feb-24,"11,496.97",Outset Fostering Agency,INVOICE,External Fostering
Children's Services Directorate,05-Feb-24,"6,377.15",OWNLIFE LIMITED,INVOICE,External Lodgings
Adult Social Services Directorate,05-Feb-24,"6,186.40",Parkhill Support Services LTD,INVOICE,Supported Living
Resources Directorate,05-Feb-24,"2,090.00",PAYPOINT COLLECTIONS LTD (VOUC,INVOICE,Social Fund Payments
Capital Expenditure,05-Feb-24,"5,133.00",PINSENT MASONS,INVOICE,CAPEXP Professional Fees
Capital Expenditure,05-Feb-24,"18,970.80",Pollard Thomas Edwards,INVOICE,CAPEXP Architects
Children's Services Directorate,05-Feb-24,"1,458.00",PORTMASTER LTD T/A CAPITAL CAR,INVOICE,Transport
Children's Services Directorate,05-Feb-24,"3,463.37",Prepaid Financial Services (E-,INVOICE,Subsistance
Adult Social Services Directorate,05-Feb-24,"18,345.17",Primeway Care Limited,INVOICE,External Homecare
Environment & Community Services Directorate,05-Feb-24,833.04,PS TRUCK & CAR PARTS LTD,INVOICE,Materials
Environment & Community Services Directorate,05-Feb-24,"2,215.56",PUDSEY DIAMOND ENGINEERING LTD,INVOICE,Building Works Stores
Resources Directorate,05-Feb-24,"1,141.21",Redacted Personal Data,INVOICE,Personal Account
Resources Directorate,05-Feb-24,"2,220.49",Redacted Personal Data,INVOICE,Personal Account
Housing & Regeneration Directorate,05-Feb-24,"1,655.60",Redacted Personal Data,INVOICE,PSL Payments To Landlords
Chief Executives Directorate,05-Feb-24,900.00,Redacted Personal Data,INVOICE,General Contract Work
Children's Services Directorate,05-Feb-24,"1,273.89",Redacted Personal Data,INVOICE,Special Guardianship
Housing & Regeneration Directorate,05-Feb-24,973.72,Redacted Personal Data,INVOICE,General Repairs Non S/C
Housing & Regeneration Directorate,05-Feb-24,"11,500.00",Redacted Personal Data,INVOICE,Legal & Court Fees 
Adult Social Services Directorate,05-Feb-24,"2,236.40",Redacted Personal Data,INVOICE,Training
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,587.10,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
Resources Directorate,05-Feb-24,500.00,Redacted Personal Data,INVOICE,Miscellaneous Expenses
