company,codedsupplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,DP4490211,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305625,DIRECT PAYMENT INCOME,Revenue,2,-519.8
CU,DP12762579,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305889,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,-501.68
CU,DP6739419,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305681,DIRECT PAYMENT INCOME,Revenue,2,-487.4
CU,DP4442475,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305622,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,-456
CU,DP4716255,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305629,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-448.75
CU,DP5429487,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305654,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-374
CU,DP12817335,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305902,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-370.5
CU,DP12394731,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305858,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-348
CU,DP12886131,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305917,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-348
CU,DP12931059,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305929,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-348
CU,DP6964059,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305687,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,-344.3
CU,DP5126223,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305642,DIRECT PAYMENT INCOME,Revenue,2,-337.4
CU,DP11879463,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305828,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-313.56
CU,DP2479683,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305588,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-288
CU,DP13022319,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305952,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-266
CU,DP4442475,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305622,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-228
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,1,-188.28
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,3,-188.28
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,8,-188.28
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,13,-188.28
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,17,-188.28
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,19,-188.28
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,6,-100.86
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,11,-94.14
CU,DP12762579,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305889,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-53.75
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,2,-51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,4,-51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,5,-51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,7,-51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,9,-51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,12,-51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,14,-51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,15,-51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,16,-51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,18,-51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,20,-51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,21,-51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,306014,DIRECT PAYMENT INCOME,Revenue,10,-25.7
CU,DP6735207,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305679,DIRECT PAYMENT INCOME,Revenue,2,-21.6
CU,DP4490211,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305625,DIRECT PAYMENT INCOME,Revenue,1,-16.3
CU,DP5126223,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305642,DIRECT PAYMENT INCOME,Revenue,1,-11.4
CU,DP6739419,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305681,DIRECT PAYMENT INCOME,Revenue,1,-0.1
CU,DP11337519,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305806,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,25
CU,DP11879463,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305827,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,25
CU,DP12307683,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305849,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,25
CU,DP12629199,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305875,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,25
CU,DP12705015,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305880,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,25
CU,DP12811719,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305898,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,25
CU,DP12817335,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305901,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,25
CU,DP12824355,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305903,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,25
CU,DP12890343,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305918,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,25
CU,DP13070055,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305961,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,25
CU,DP1468803,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305571,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,25
CU,DP2009343,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305579,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,25
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,15,25.7
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,2,51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,4,51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,5,51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,7,51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,9,51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,10,51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,12,51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,14,51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,17,51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,19,51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,20,51.4
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,21,51.4
CU,DP13082691,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305967,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,54
CU,DP13088307,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305972,DIRECT PAYMENTS TO SERVICE USE,Revenue,6,75
CU,DP13088307,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305972,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,77.5
CU,DP13096731,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305974,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,79.2
CU,DP13088307,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305972,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,80
CU,DP12629199,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305875,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,86.02
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,16,94.14
CU,DP11879463,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305827,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,96.01
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,11,100.86
CU,DP12307683,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305849,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,147.06
CU,DP13088307,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305972,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,155
CU,DP13096731,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305974,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,158.4
CU,DP13082691,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305967,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,162
CU,FP6009339,16/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,305506,RELATIVES AS APPROVED CARERS,Revenue,2,175.38
CU,DP13103751,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305975,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,180
CU,DP4442475,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305621,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,186
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,1,188.28
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,3,188.28
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,6,188.28
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,8,188.28
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,13,188.28
CU,DP8904387,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305741,DIRECT PAYMENT INCOME,Revenue,18,188.28
CU,DP12307683,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305849,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,196.08
CU,DP12855243,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305911,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,199.36
CU,DP12811719,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305898,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,211.26
CU,DP13082691,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305967,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,216
CU,DP13088307,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305972,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,232.5
CU,DP13096731,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305974,DIRECT PAYMENTS TO SERVICE USE,Revenue,5,237.6
CU,DP12629199,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305875,DIRECT PAYMENTS TO SERVICE USE,Revenue,5,258.06
CU,DP9958791,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305766,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,259.52
CU,DP12087255,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305837,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,263.36
CU,DP12981603,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305942,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,264
CU,DP13075671,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305964,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,264
CU,DP669927,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305549,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,264.56
CU,FP5703267,16/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,305352,RELATIVES AS APPROVED CARERS,Revenue,1,265.44
CU,DP10364547,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305774,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,269
CU,DP10657983,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305783,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,269.56
CU,DP12773811,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305891,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,270.48
CU,DP8866479,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305740,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,271.04
CU,DP13070055,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305961,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,271.84
CU,DP12502839,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305867,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,272.92
CU,DP12900171,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305922,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,280
CU,DP12811719,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305898,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,281.68
CU,DP6964059,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305686,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,287.5
CU,DP8474763,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305729,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,287.68
CU,DP12490203,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305865,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,294.8
CU,DP12731691,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305885,INDIVIDUAL SERVICE FUNDS,Revenue,1,304
CU,DP13103751,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305975,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,308.57
CU,DP13067247,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305960,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,309.68
CU,DP13088307,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305972,DIRECT PAYMENTS TO SERVICE USE,Revenue,5,310
CU,FP4512675,16/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,305239,PWAY SERV OTHR NEEDS,Revenue,1,310
CU,DP8705019,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305735,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,316.2
CU,DP13096731,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305974,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,316.8
CU,DP13096731,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305974,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,316.8
CU,DP12999855,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305946,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,318
CU,DP13032147,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305954,INDIVIDUAL SERVICE FUNDS,Revenue,1,320
CU,FP5458971,16/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,305299,PWAY SERV OTHR NEEDS,Revenue,1,320
CU,DP497235,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305542,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,325.68
CU,FP5704671,16/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,305353,FOST PROFESSIONAL FEES ADD,Revenue,1,329.14
CU,DP9460371,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305753,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,333.44
CU,DP11826111,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305826,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,340
CU,DP366663,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305533,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,340
CU,DP7732047,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305708,INDIVIDUAL SERVICE FUNDS,Revenue,1,341.84
CU,DP12629199,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305875,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,344.08
CU,DP12629199,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305875,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,344.08
CU,DP1986879,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305577,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,347.48
CU,FP3786807,16/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,305195,PWAY SERV OTHR NEEDS,Revenue,1,350
