Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Transaction Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,41,320.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,42,32.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,43,202.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,44,104.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,45,48.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,46,112.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,47,448.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,48,126.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,49,118.30
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,50,48.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,51,40.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,52,15.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,53,80.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,54,26.60
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,55,10.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,56,48.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,57,10.00
CU,SU71823,BELL DECORATING GROUP LIMITED,08/05/2024,324898,RESOURCES  ,ASSETS & FLEET                ,CSI70778,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,40.00
CU,SU71823,BELL DECORATING GROUP LIMITED,08/05/2024,324898,RESOURCES  ,ASSETS & FLEET                ,CSI70778,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,15.00
CU,SU71823,BELL DECORATING GROUP LIMITED,08/05/2024,324898,RESOURCES  ,ASSETS & FLEET                ,CSI70778,CONTRACTUAL PAYMENTS (MAIN),Revenue,3,10.00
CU,SU71823,BELL DECORATING GROUP LIMITED,08/05/2024,324898,RESOURCES  ,ASSETS & FLEET                ,CSI70778,CONTRACTUAL PAYMENTS (MAIN),Revenue,4,45.00
CU,SU71823,BELL DECORATING GROUP LIMITED,08/05/2024,324898,RESOURCES  ,ASSETS & FLEET                ,CSI70778,CONTRACTUAL PAYMENTS (MAIN),Revenue,5,30.20
CU,SU71823,BELL DECORATING GROUP LIMITED,08/05/2024,324898,RESOURCES  ,ASSETS & FLEET                ,CSI70778,CONTRACTUAL PAYMENTS (MAIN),Revenue,6,56.00
CU,SU71823,BELL DECORATING GROUP LIMITED,08/05/2024,324898,RESOURCES  ,ASSETS & FLEET                ,CSI70778,CONTRACTUAL PAYMENTS (MAIN),Revenue,7,32.00
CU,SU71823,BELL DECORATING GROUP LIMITED,08/05/2024,324898,RESOURCES  ,ASSETS & FLEET                ,CSI70778,CONTRACTUAL PAYMENTS (MAIN),Revenue,8,184.00
CU,SU71823,BELL DECORATING GROUP LIMITED,08/05/2024,324898,RESOURCES  ,ASSETS & FLEET                ,CSI70778,CONTRACTUAL PAYMENTS (MAIN),Revenue,9,112.00
CU,SU71823,BELL DECORATING GROUP LIMITED,08/05/2024,324898,RESOURCES  ,ASSETS & FLEET                ,CSI70778,CONTRACTUAL PAYMENTS (MAIN),Revenue,10,48.00
CU,SU71823,BELL DECORATING GROUP LIMITED,08/05/2024,324898,RESOURCES  ,ASSETS & FLEET                ,CSI70778,CONTRACTUAL PAYMENTS (MAIN),Revenue,11,123.00
