company,coded supplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,DP5840859,09/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,376452,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,791.16
CU,DP10038819,09/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,376506,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,795.52
CU,DP4014255,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375794,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,796.92
CU,DP5793123,09/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,376451,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,804.32
CU,DP915627,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375738,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,811.2
CU,DP12942291,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376088,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,816
CU,DP7757319,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375886,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,816.56
CU,DP11365599,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375975,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,824.96
CU,DP6594807,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375851,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,825
CU,DP6912111,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375863,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,828.08
CU,DP12024075,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376003,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,828.64
CU,DP11121303,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375968,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,830.76
CU,DP7150791,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375868,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,837.28
CU,DP10458615,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375945,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,837.68
CU,DP12975987,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376096,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,837.68
CU,DP6401055,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375849,INDIVIDUAL SERVICE FUNDS,Revenue,3,837.73
CU,DP11918775,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375999,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,840
CU,DP12581463,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376039,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,840
CU,DP469155,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375720,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,843.2
CU,DP8957739,09/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,376490,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,847.6
CU,DP9529167,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375924,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,850.84
