Service (T),Directorate (T),Expenditure Code/Type,Expenditure Code Type (T),Date,Amount,Revenue or Capital,Supplier Name (Redacted)
Integrated Transport Unit,Education & Partnerships,7131500,Call Off Hire of Transport (External),11/11/2024,"5,006.50 ",Revenue,24x7 Ltd
Integrated Transport Unit,Education & Partnerships,7131090,Call Off Home to School/College - Taxis,11/11/2024,"3,544.45 ",Revenue,24x7 Ltd
Integrated Transport Unit,Education & Partnerships,7131090,Call Off Home to School/College - Taxis,11/11/2024,"3,263.22 ",Revenue,24x7 Ltd
Integrated Transport Unit,Education & Partnerships,7131090,Call Off Home to School/College - Taxis,05/12/2024,"3,731.00 ",Revenue,24x7 Ltd
Integrated Transport Unit,Education & Partnerships,7131090,Call Off Home to School/College - Taxis,05/12/2024,"3,444.51 ",Revenue,24x7 Ltd
Highways Infrastructure & Fleet,Environment & Community Services,7205044,Call Off Capital Other Costs,05/11/2024,"2,640.00 ",Capital,A BUCKLER (HAULAGE) LTD
Planning Services,Regeneration,6145000,Hired & Contracted Services,20/11/2024,"3,680.00 ",Revenue,A BUCKLER (HAULAGE) LTD
Highways Infrastructure & Fleet,Environment & Community Services,6205044,Capital Other Costs,19/12/2024,"1,800.00 ",Capital,A BUCKLER (HAULAGE) LTD
Substance Misuse,Public Health,6157000,Partnership Payments,21/10/2024,748.00 ,Revenue,A C MOULE LTD (FK058)
Substance Misuse,Public Health,6157000,Partnership Payments,25/10/2024,748.00 ,Revenue,A C MOULE LTD (FK058)
Substance Misuse,Public Health,6157000,Partnership Payments,12/11/2024,704.00 ,Revenue,A C MOULE LTD (FK058)
Substance Misuse,Public Health,6157000,Partnership Payments,11/12/2024,792.00 ,Revenue,A C MOULE LTD (FK058)
Access to Education,Education & Partnerships,6145144,Therapeutic Intervention,19/11/2024,"30,142.50 ",Revenue,A Time 4 You Psychological Services CIC
Substance Misuse,Public Health,7157000,Call Off Partnership Payments,24/12/2024,"20,468.82 ",Revenue,A Way Out
Substance Misuse,Public Health,7157000,Call Off Partnership Payments,24/12/2024,"20,468.82 ",Revenue,A Way Out
Substance Misuse,Public Health,7157000,Call Off Partnership Payments,24/12/2024,"6,822.94 ",Revenue,A Way Out
Cultural Services,Regeneration,6145000,Hired & Contracted Services,11/11/2024,"5,091.23 ",Revenue,A Way With Media Productions Limited
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,02/10/2024,606.68 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,02/10/2024,"1,277.42 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,02/10/2024,567.92 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,02/10/2024,734.40 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,02/10/2024,"1,476.32 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,02/10/2024,"1,224.00 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,02/10/2024,795.20 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,02/10/2024,"1,337.76 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,02/10/2024,"1,787.74 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,02/10/2024,765.00 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,02/10/2024,850.36 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,02/10/2024,"1,336.64 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,02/10/2024,831.84 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,02/10/2024,533.40 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,02/10/2024,"1,305.60 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,739.50 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,"1,310.70 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,827.52 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,515.62 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,823.08 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,"1,264.80 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,597.22 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,"1,183.20 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,540.12 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,"1,298.04 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,714.00 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,"1,468.80 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,"1,747.22 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,"1,309.02 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,791.16 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,28/10/2024,"-19,221.76 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,29/10/2024,540.81 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,29/10/2024,"1,285.20 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,29/10/2024,714.00 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,29/10/2024,719.76 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,29/10/2024,802.68 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,29/10/2024,"1,213.80 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,29/10/2024,579.44 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,29/10/2024,612.00 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,29/10/2024,"1,267.44 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,29/10/2024,540.12 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,29/10/2024,"1,213.80 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,29/10/2024,"1,142.40 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,29/10/2024,828.63 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,29/10/2024,"1,270.84 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/12/2024,714.00 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/12/2024,"1,285.20 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/12/2024,639.48 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/12/2024,729.96 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/12/2024,812.88 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/12/2024,"1,224.00 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/12/2024,576.11 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/12/2024,"1,267.44 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/12/2024,612.00 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/12/2024,801.36 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/12/2024,"1,142.40 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,04/12/2024,"1,270.84 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,24/12/2024,540.12 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,24/12/2024,"1,132.20 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,24/12/2024,"1,257.24 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,24/12/2024,811.56 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,24/12/2024,"1,292.34 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,24/12/2024,639.48 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,24/12/2024,"1,256.94 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,24/12/2024,714.00 ,Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,24/12/2024,"1,234.20 ",Revenue,A&B Home Care Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,24/12/2024,575.00 ,Revenue,A&B Home Care Ltd
Resources Residential & Fostering,Children's Care,7145130,Call Off Placement Fees,23/10/2024,"3,584.66 ",Revenue,A1 FOSTER CARE
Resources Residential & Fostering,Children's Care,7145130,Call Off Placement Fees,06/11/2024,"3,704.15 ",Revenue,A1 FOSTER CARE
Resources Residential & Fostering,Children's Care,7145130,Call Off Placement Fees,05/12/2024,"3,584.66 ",Revenue,A1 FOSTER CARE
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,22/10/2024,918.84 ,Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,22/10/2024,918.84 ,Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,22/10/2024,642.24 ,Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,22/10/2024,"1,537.64 ",Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,19/11/2024,918.84 ,Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,19/11/2024,642.24 ,Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,19/11/2024,"1,537.64 ",Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,19/11/2024,918.84 ,Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,19/11/2024,882.48 ,Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,26/11/2024,"1,106.28 ",Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,17/12/2024,918.84 ,Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,17/12/2024,642.24 ,Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,17/12/2024,"1,537.64 ",Revenue,AAPNA SERVICES LTD
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,17/12/2024,918.84 ,Revenue,AAPNA SERVICES LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,09/12/2024,"8,097.00 ",Revenue,AAT (GB) LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,06/12/2024,"2,049.00 ",Revenue,AAT (GB) LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,16/12/2024,895.00 ,Revenue,AAT (GB) LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,16/12/2024,"2,086.00 ",Revenue,AAT (GB) LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,23/12/2024,"7,895.00 ",Revenue,AAT (GB) LTD
Economic Development Capital,Regeneration,7205044,Call Off Capital Other Costs,31/12/2024,"1,095.00 ",Capital,Abacus Lighting Limited
Public Protection,Environment & Community Services,6116690,Exam & Course fees,07/10/2024,"1,155.00 ",Revenue,Abacus Management and Training Consultancy Ltd
Purchasing,Adult Social Care,6157000,Partnership Payments,01/10/2024,"10,220.24 ",Revenue,Abbey House -  Priory Group
Purchasing,Adult Social Care,6157000,Partnership Payments,29/10/2024,"10,220.24 ",Revenue,Abbey House -  Priory Group
Purchasing,Adult Social Care,6157000,Partnership Payments,26/11/2024,"10,220.24 ",Revenue,Abbey House -  Priory Group
Purchasing,Adult Social Care,6157000,Partnership Payments,17/12/2024,"10,220.24 ",Revenue,Abbey House -  Priory Group
Access to Education,Education & Partnerships,6149000,Other supplies & services,19/11/2024,"30,142.50 ",Revenue,ABC Counselling Play Therapy & Family Solutions
Highways Infrastructure & Fleet,Environment & Community Services,6205050,Capital Other Fees,21/11/2024,"2,790.60 ",Capital,ABF Site Services UK Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,"1,952.16 ",Revenue,Abicare Health Solutions Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,"1,294.28 ",Revenue,Abicare Health Solutions Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,"4,227.87 ",Revenue,Abicare Health Solutions Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,"1,553.64 ",Revenue,Abicare Health Solutions Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,"4,115.13 ",Revenue,Abicare Health Solutions Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,"1,116.20 ",Revenue,Abicare Health Solutions Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/10/2024,"1,542.78 ",Revenue,Abicare Health Solutions Ltd
"Prevention, Provider & Support Services",Adult Social Care,6157000,Partnership Payments,03/10/2024,"23,184.00 ",Revenue,Abicare Health Solutions Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/11/2024,"5,414.07 ",Revenue,Abicare Health Solutions Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/11/2024,"1,173.61 ",Revenue,Abicare Health Solutions Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/11/2024,"4,173.95 ",Revenue,Abicare Health Solutions Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/11/2024,"1,612.90 ",Revenue,Abicare Health Solutions Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/11/2024,"1,661.51 ",Revenue,Abicare Health Solutions Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/11/2024,"2,459.13 ",Revenue,Abicare Health Solutions Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/11/2024,"2,054.62 ",Revenue,Abicare Health Solutions Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/11/2024,"4,912.90 ",Revenue,Abicare Health Solutions Ltd
"Prevention, Provider & Support Services",Adult Social Care,6157000,Partnership Payments,25/11/2024,"23,931.50 ",Revenue,Abicare Health Solutions Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/12/2024,"1,952.16 ",Revenue,Abicare Health Solutions Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/12/2024,"7,118.10 ",Revenue,Abicare Health Solutions Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/12/2024,"2,502.28 ",Revenue,Abicare Health Solutions Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/12/2024,"4,076.88 ",Revenue,Abicare Health Solutions Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/12/2024,"1,553.64 ",Revenue,Abicare Health Solutions Ltd
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/12/2024,"4,767.29 ",Revenue,Abicare Health Solutions Ltd
"Prevention, Provider & Support Services",Adult Social Care,6157000,Partnership Payments,04/12/2024,"21,286.50 ",Revenue,Abicare Health Solutions Ltd
"Prevention, Provider & Support Services",Adult Social Care,6157000,Partnership Payments,05/12/2024,587.94 ,Revenue,Abicare Health Solutions Ltd
"Prevention, Provider & Support Services",Adult Social Care,6157000,Partnership Payments,05/12/2024,"1,133.66 ",Revenue,Abicare Health Solutions Ltd
"Prevention, Provider & Support Services",Adult Social Care,6157000,Partnership Payments,05/12/2024,"1,542.78 ",Revenue,Abicare Health Solutions Ltd
Capital - Social Services,Adult Social Care,6206202,Capital Infrastructure Works - Other Costs,20/11/2024,"7,545.00 ",Capital,Abridge Construction Ltd
Capital - Social Services,Adult Social Care,6206202,Capital Infrastructure Works - Other Costs,20/11/2024,"7,455.00 ",Capital,Abridge Construction Ltd
Property Services,Regeneration,7140060,Call Off Equipment Maintenance Agreements,28/11/2024,"1,181.25 ",Revenue,Absolute Plumbing & Maintenance Limited
Access & Safeguarding,Adult Social Care,6124000,Rents,29/10/2024,-529.54 ,Revenue,ACCENT HOUSING LTD
"Prevention, Provider & Support Services",Adult Social Care,6140020,Equipment Purchase,07/10/2024,"3,366.34 ",Revenue,Access Uk Ltd
"Prevention, Provider & Support Services",Adult Social Care,6140020,Equipment Purchase,05/11/2024,"3,366.34 ",Revenue,Access Uk Ltd
Commissioning,Finance,6157000,Partnership Payments,24/12/2024,"20,000.00 ",Revenue,Access Uk Ltd
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,07/10/2024,"1,203.00 ",Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,02/10/2024,"1,950.00 ",Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,02/10/2024,"1,258.00 ",Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,02/10/2024,555.00 ,Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,03/10/2024,"2,298.00 ",Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,04/10/2024,"2,147.00 ",Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,03/10/2024,"2,034.00 ",Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,04/10/2024,638.00 ,Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,09/10/2024,"1,145.00 ",Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,08/10/2024,"2,266.00 ",Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,08/10/2024,"2,433.00 ",Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,10/10/2024,"6,708.00 ",Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,10/10/2024,"2,258.00 ",Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,11/10/2024,"1,950.00 ",Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,11/10/2024,"2,008.00 ",Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,14/10/2024,"4,204.00 ",Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,15/10/2024,"2,008.00 ",Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,15/10/2024,"1,744.00 ",Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,16/10/2024,"1,828.00 ",Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,16/10/2024,"5,970.00 ",Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,15/10/2024,"5,350.00 ",Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,16/10/2024,883.00 ,Revenue,ACCORA LTD
"Prevention, Provider & Support Services",Adult Social Care,7140020,Call Off Equipment Purchase,17/10/2024,"1,071.00 ",Revenue,ACCORA LTD
