FIN.TRANSACTION DATE,ACC.DEFAULT ACCOUNTING CODE 01 DESCRIPTION,MCH.MERCHANT NAME - ORIGINAL,FIN.NET TRANSACTION AMOUNT,FIN.TAX.TAX AMOUNT,MCH.MERCHANT CATEGORY CODE (MCC),MCH.MCC DESCRIPTION,MCH.MERCHANT NAME,FIN.ACCOUNTING CODE 02 VALUE,FIN.ACCOUNTING CODE 02 DESCRIPTION
03/07/2023,ELM GROVE,HOME BARGAINS,19.31,1.34,5251,HARDWARE STORES,HOME BARGAINS,100094,ELM GROVE
03/07/2023,INCOME MANAGEMENT,POSSESSIONCLAIM.GO,355,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,POSSESSIONCLAIM.GO,107007,INCOME MANAGEMENT
03/07/2023,CATERING MANAGEMENT,TRAINLINE,11.3,0,4112,PASSENGER RAILWAYS,TRAINLINE,103164,CATERING MANAGEMENT
03/07/2023,WOODLANDS,WWW.LOVETOVISIT.COM,58.5,0,7991,TOURIST ATTRACTIONS AND EXHIBITS,WWW.LOVETOVISIT.COM,100077,HEALDS ROAD
03/07/2023,COPTHORNE (PROPOSED 4 BED UNIT),WWW.ARGOS.CO.UK,19.99,0,5311,DEPARTMENT STORES,WWW.ARGOS.CO.UK,100079,COPTHORNE (PROPOSED
03/07/2023,OAKWELL HALL MUSEUM,CANVA I03835-23065287,10.82,0,7221,PHOTOGRAPHIC STUDIOS,CANVA I03835-23065287,101142,OAKWELL HALL MUSEUM
03/07/2023,TEMPORARY ACCOMMODATION TEAM,PREMIER INN,315.98,0,3811,PREMIER INN,PREMIER INN,103490,TEMP ACCOMMODAT TEAM
03/07/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),MANCHESTER.GOV.UK,11,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,MANCHESTER.GOV.UK,100037,ASSESSMENT & INT STH
03/07/2023,ELM GROVE,TESCO STORES 2187,73.08,0.7,5411,"GROCERY STORES, SUPERMARKETS",TESCO STORES 2187,100094,ELM GROVE
03/07/2023,INTELLIGENCE,AMAZON.CO.UK 1Y22C9CX5,67.22,0,5969,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,AMAZON.CO.UK 1Y22C9CX5,106369,INTELLIGENCE
03/07/2023,LEAVING CARE 18-21 (25) TEAM,CEX,140,0,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,CEX,100069,LEAVING CARE 18-21 (
03/07/2023,LAC 0-18 TEAM,CINEWORLD,32.82,0,7832,MOTION PICTURE THEATERS,CINEWORLD,100068,LAC 0-18 TEAM
03/07/2023,MARKETS MANAGEMENT & SUPPORT,KIRKLEES COUNCIL,21,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,KIRKLEES COUNCIL,102139,MARKETS MNGMNT &SUPP
03/07/2023,CHILDRENS RIGHTS,SAINSBURYS S/MKTS,40.3,0,5411,"GROCERY STORES, SUPERMARKETS",SAINSBURYS S/MKTS,100024,CHILDRENS RIGHTS
03/07/2023,OAKWELL HALL,AMZNMKTPLACE,24.95,4.99,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,107176,OAKWELL HALL
03/07/2023,THE GLASS BOX (FRIENDLY STREET),WWW.SCREWFIX.COM,13.74,2.75,5211,"BUILDING MATERIALS, LUMBER STORES",WWW.SCREWFIX.COM,102104,"HEALEY LN, BUS CTR"
03/07/2023,LEGAL,BRADFORD MET COUNCIL,11,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,BRADFORD MET COUNCIL,103939,LEGAL
03/07/2023,PLACE B WKG TEAM,HOTEL COLLINGWOOD,212.5,42.5,7011,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",HOTEL COLLINGWOOD,103930,COUNCILLOR'S ALLOWAN
03/07/2023,MOORLANDS GRANGE,ASDA GROCERIES ONLINE,28.9,0,5411,"GROCERY STORES, SUPERMARKETS",ASDA GROCERIES ONLINE,104080,MOORLANDS GRANGE
03/07/2023,EMPLOYEE HEALTHCARE,SP MEDISAVE.CO.UK,12.63,2.52,5399,MISCELLANEOUS GENERAL MERCHANDISE,SP MEDISAVE.CO.UK,101237,EMPLOYEE HEALTHCARE
03/07/2023,EMPLOYEE HEALTHCARE,SP MEDISAVE.CO.UK,46.4,9.28,5399,MISCELLANEOUS GENERAL MERCHANDISE,SP MEDISAVE.CO.UK,101237,EMPLOYEE HEALTHCARE
03/07/2023,LAC 0-18 TEAM,TRAINLINE.COM,22.61,0,4112,PASSENGER RAILWAYS,TRAINLINE.COM,100068,LAC 0-18 TEAM
03/07/2023,GROWTH & REGEN BUSINESS SUPPORT,REACH PUBLISHING SERVI,7.99,0,5192,"BOOKS,PERIODICALS AND NEWSPAPERS",REACH PUBLISHING SERVI,107271,GROWTH & REGEN BSO
03/07/2023,LOCAL ELECTIONS,TRAINLINE,22.61,0,4112,PASSENGER RAILWAYS,TRAINLINE,103922,REGISTER OF ELECTORS
03/07/2023,ELM GROVE,AMZNMKTPLACE,33.32,6.66,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,100094,ELM GROVE
03/07/2023,EMERGENCY DUTY SERVICE,TRAVELODG TRAVELODGE G,92.8,0,3615,TRAVELODGE,TRAVELODGE,105520,EDS
03/07/2023,ELM GROVE,AMZNMKTPLACE,14.99,3,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,100094,ELM GROVE
03/07/2023,ELM GROVE,PAYPAL RICHDOMARLT RI,11.18,2.24,5977,COSMETIC STORES,PAYPAL RICHDOMARLT RI,100094,ELM GROVE
04/07/2023,IT PEOPLE,AMZNMKTPLACE AMAZON.CO,6.66,1.33,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,103856,IT PEOPLE
04/07/2023,OAKWELL HALL MUSEUM,AMZNBUSINESS 005225SC5,4,0,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS 005225SC5,104842,OAKWELL EVT & REF
04/07/2023,,YORKSHIRE PURCHASING O,225.89,45.18,5111,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.,YORKSHIRE PURCHASING O,,
04/07/2023,INGS GROVE HOUSE,LIGHTBULBS-DIRECT.COM,49.44,0,5732,ELECTRONIC SALES,LIGHTBULBS-DIRECT.COM,104076,INGS GROVE HOUSE
04/07/2023,ASSESSMENT & INTERVENTION TEAM (NORTH),CROSS COUNTRY RAIL,16,3.2,4112,PASSENGER RAILWAYS,CROSS COUNTRY RAIL,100040,ASSESSMENT & INT NTH
04/07/2023,LAC 0-18 TEAM,PREMIER INN,235.81,47.16,3811,PREMIER INN,PREMIER INN,100057,FOSTERING TEAM
04/07/2023,TEMPORARY ACCOMMODATION TEAM,JERATH OFF LICENCE,25,0,5411,"GROCERY STORES, SUPERMARKETS",JERATH OFF LICENCE,103490,TEMP ACCOMMODAT TEAM
04/07/2023,IYCE,MAILCHIMP,31.37,3.08,5818,DIGITAL GOODS MULTI CATEGORY,MAILCHIMP,103936,PLACE B WKG TEAM
04/07/2023,LEGAL,TRAINLINE.COM,11.61,0,4112,PASSENGER RAILWAYS,TRAINLINE.COM,103939,LEGAL
04/07/2023,YPAT,WWW.ADRENALINE-INTERNA,9.17,1.83,7999,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED),WWW.ADRENALINE-INTERNA,100096,YPAT
04/07/2023,ELM GROVE,AMZNBUSINESS 0V6VJ5335,8.16,1.62,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS 0V6VJ5335,100094,ELM GROVE
04/07/2023,LAC 0-18 TEAM,INFLATA NATION HUDDERS,21.98,0,7999,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED),INFLATA NATION HUDDERS,100068,LAC 0-18 TEAM
04/07/2023,DISABLED CHILDREN SERVICE TEAM,WWW.ARGOS.CO.UK,-20.84,-4.17,5311,DEPARTMENT STORES,WWW.ARGOS.CO.UK,100089,DISABLED CHILDREN SE
04/07/2023,IT PEOPLE,AMZNBUSINESS 1Y83G13U4,48.33,9.67,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS 1Y83G13U4,103858,IT SERVICES
04/07/2023,TEMPORARY ACCOMMODATION TEAM,EMPEROR INNS LIMITED,464.33,92.87,7011,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",EMPEROR INNS LIMITED,103490,TEMP ACCOMMODAT TEAM
04/07/2023,IT PEOPLE,AMZNBUSINESS RS3OZ09G5,45.83,9.17,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS RS3OZ09G5,103858,IT SERVICES
04/07/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),WWW.TPEXPRESS.CO.UK,2.75,0.55,4112,PASSENGER RAILWAYS,WWW.TPEXPRESS.CO.UK,100037,ASSESSMENT & INT STH
04/07/2023,YPAT,BOOTS 6429,15,0,5912,"DRUG STORES, PHARMACIES",BOOTS 6429,100096,YPAT
04/07/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),WWW.ARGOS.CO.UK,23.29,4.66,5311,DEPARTMENT STORES,WWW.ARGOS.CO.UK,100040,ASSESSMENT & INT NTH
04/07/2023,IT PEOPLE,AMZNBUSINESS HY8OE1QA5,45.83,9.17,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS HY8OE1QA5,107044,SUPPORT OPTIONS
04/07/2023,IT PEOPLE,AMZNMKTPLACE,16.66,3.33,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,107009,OPSS
04/07/2023,IT PEOPLE,AMZNBUSINESS 1Y86G13O4,16.66,3.33,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS 1Y86G13O4,103858,IT SERVICES
04/07/2023,CORPORATE FM HQ,AMZNMKTPLACE,56.66,11.33,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,102818,CORPORATE FM HQ
04/07/2023,IT PEOPLE,AMZNBUSINESS RJ94H5U25,36.67,7.33,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS RJ94H5U25,107014,EMPLOYMENT SUPPORT
04/07/2023,IT PEOPLE,AMZNMKTPLACE,7.49,1.5,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,103858,IT SERVICES
04/07/2023,IT PEOPLE,AMZNBUSINESS 9H15I5OV5,16.66,3.33,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS 9H15I5OV5,103858,IT SERVICES
04/07/2023,CORPORATE FM HQ,AMZNBUSINESS QQ9QJ46N5,28.05,5.61,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS QQ9QJ46N5,C.65842,CIVIC 1 PROJECT CODE
04/07/2023,EMPLOYMENT & SKILLS,TESCO ONLINE,44.16,8.83,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,TESCO ONLINE,107254,E&S BARRIER BREAKER
04/07/2023,ELM GROVE,THE MAKATON CHARIT,100,0,8299,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,THE MAKATON CHARIT,100094,ELM GROVE
04/07/2023,ASSESSMENT & INTERVENTION TEAM (NORTH),NORTHERN.COM,103.83,20.77,4112,PASSENGER RAILWAYS,NORTHERN.COM,100040,ASSESSMENT & INT NTH
04/07/2023,CHILDREN & ADULTS LEARNING TEAM,AMZNMKTPLACE AMAZON.CO,12.63,2.52,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,105559,C&A LEARNING TEAM
04/07/2023,COPTHORNE (PROPOSED 4 BED UNIT),EBAY O 24-10259-11378,19.95,0,5311,DEPARTMENT STORES,EBAY O 24-10259-11378,100079,COPTHORNE (PROPOSED
04/07/2023,IT PEOPLE,AMZNBUSINESS UN05E7ZZ5,20.82,4.17,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS UN05E7ZZ5,106363,ORG DEVT & WORK PLAN
04/07/2023,WORKSHOPS,NL COMMERCIALS (WAKEFI,1530,306,7519,MOTOR HOME AND RECREATIONAL VEHICLE RENTAL,NL COMMERCIALS (WAKEFI,103370,SHORT TERM HIRES
04/07/2023,GOVERNANCE TEAM,AMZNBUSINESS QX98U56D5,20.99,4.2,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS QX98U56D5,106739,GOVERNANCE TEAM
04/07/2023,TEMPORARY ACCOMMODATION TEAM,JERATH OFF LICENCE,15,0,5411,"GROCERY STORES, SUPERMARKETS",JERATH OFF LICENCE,103490,TEMP ACCOMMODAT TEAM
04/07/2023,EMPLOYEE HEALTHCARE,AMZNBUSINESS SI8B336K5,38.02,7.6,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS SI8B336K5,101237,EMPLOYEE HEALTHCARE
04/07/2023,EMPLOYEE HEALTHCARE,AMZNBUSINESS E51JB35Q5,143.58,28.72,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS E51JB35Q5,101237,EMPLOYEE HEALTHCARE
04/07/2023,EMPLOYEE HEALTHCARE,AMZNBUSINESS 9333R77A5,129.58,25.92,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS 9333R77A5,101237,EMPLOYEE HEALTHCARE
04/07/2023,CHILDREN & ADULTS LEARNING TEAM,AMZNBUSINESS S30VN08E5,2.06,0.41,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS S30VN08E5,105559,C&A LEARNING TEAM
04/07/2023,ELM GROVE,AMZNMKTPLACE,9.54,1.91,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,100094,ELM GROVE
05/07/2023,LAC 0-18 TEAM,EDREAMS,-16.12,-3.23,4722,TRAVEL AGENCIES AND TOUR OPERATORS,EDREAMS,100068,LAC 0-18 TEAM
05/07/2023,LAC 0-18 TEAM,HM PASSPORT OFFICE,-101,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,HM PASSPORT OFFICE,100068,LAC 0-18 TEAM
05/07/2023,EMERGENCY DUTY SERVICE,CEDAR COURT HUDDERSFIE,118,0,7011,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",CEDAR COURT HUDDERSFIE,105520,EDS
05/07/2023,LAC 0-18 TEAM,AMZNMKTPLACE AMAZON.CO,54.92,10.98,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,100068,LAC 0-18 TEAM
05/07/2023,EMPLOYEE HEALTHCARE,AMZNBUSINESS RQ8KS7G65,21.42,4.27,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS RQ8KS7G65,101237,EMPLOYEE HEALTHCARE
05/07/2023,ORCHARD VIEW,ASDA GROCERIES ONLINE,192.13,0,5411,"GROCERY STORES, SUPERMARKETS",ASDA GROCERIES ONLINE,100095,ORCHARD VIEW
05/07/2023,COMMUNITIES PLUS-CENTRAL,HORIZON WILKINSONS HUD,2.5,0.5,7523,AUTOMOBILE PARKING LOTS AND GARAGES,HORIZON WILKINSONS HUD,105388,COMMUNITIES PLUS-CEN
05/07/2023,LAC 0-18 TEAM,SP COMFYBEDSS,408.32,81.67,5712,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",SP COMFYBEDSS,100069,LEAVING CARE 18-21 (
05/07/2023,LAC 0-18 TEAM,LAPTOPS DIRECT,221.63,44.33,5732,ELECTRONIC SALES,LAPTOPS DIRECT,100069,LEAVING CARE 18-21 (
05/07/2023,CLIFFE HOUSE - OPERATIONAL,MYERS BUILDING SUPPLIE,17.04,0,5211,"BUILDING MATERIALS, LUMBER STORES",MYERS BUILDING SUPPLIE,100318,CLIFFE HOUSE - OPERA
05/07/2023,ORCHARD VIEW,WIBSEY DIY CENTRE,4.99,0,5251,HARDWARE STORES,WIBSEY DIY CENTRE,100095,ORCHARD VIEW
05/07/2023,INGS GROVE HOUSE,HOME AND BODY,6.1,0,5411,"GROCERY STORES, SUPERMARKETS",HOME AND BODY,104076,INGS GROVE HOUSE
05/07/2023,CREATIVE ECONOMY,SPOTIFY UK,8.32,1.67,5815,DIGITAL GOODS AUDIOVISUAL MEDIA,SPOTIFY UK,107111,YEAR OF MUSIC
05/07/2023,LAC 0-18 TEAM,EDREAMS,82.78,16.55,4722,TRAVEL AGENCIES AND TOUR OPERATORS,EDREAMS,100068,LAC 0-18 TEAM
05/07/2023,CASTLE GRANGE,AMZNMKTPLACE,23.32,4.66,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,104079,CASTLE GRANGE
05/07/2023,LAC 0-18 TEAM,HM PASSPORT OFFICE,131,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,HM PASSPORT OFFICE,100068,LAC 0-18 TEAM
05/07/2023,IT PEOPLE,AMZNBUSINESS W57LU5CJ5,48.33,9.67,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS W57LU5CJ5,107009,OPSS
05/07/2023,HEALTH PROTECTION,CONFERENCE PARTNERS LT,536,0,7399,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,CONFERENCE PARTNERS LT,103581,HEALTH PROTECTION
05/07/2023,GROWTH & REGEN BUSINESS SUPPORT,NATIONAL WORLD,3.99,0,8699,"ORGANIZATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED",NATIONAL WORLD,107271,GROWTH & REGEN BSO
05/07/2023,TENANT INVOLVEMENT,BAKER ROSS,40.49,8.1,5970,"ARTIST SUPPLY STORES, CRAFT SHOPS",BAKER ROSS,107013,TENANT INVOLVEMENT
05/07/2023,HEALTH PROTECTION,CONFERENCE PARTNERS LT,536,0,7399,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,CONFERENCE PARTNERS LT,103581,HEALTH PROTECTION
05/07/2023,EMERGENCY DUTY SERVICE,CITY TAXIS,33,0,4121,LIMOUSINES AND TAXICABS,CITY TAXIS,105520,EDS
05/07/2023,YOUTH JUSTICE SERVICE,B&M 713 NEW STREET,4.16,0.83,5399,MISCELLANEOUS GENERAL MERCHANDISE,B&M 713 NEW STREET,107167,YOUTH JUSTICE SERVICE
05/07/2023,YOUNG PEOPLES ENGAGEMENT TEAM,LIDL GB MIRFIELD,4.52,0.47,5411,"GROCERY STORES, SUPERMARKETS",LIDL GB MIRFIELD,100133,DUKE OF EDIN AWARDS
05/07/2023,YOUNG PEOPLES ENGAGEMENT TEAM,LIDL GB MIRFIELD,2.36,0,5411,"GROCERY STORES, SUPERMARKETS",LIDL GB MIRFIELD,100133,DUKE OF EDIN AWARDS
05/07/2023,LAC 0-18 TEAM,STORAGE KING WAKEFIELD,107.35,21.47,4214,"FREIGHT CARRIER,TRUCKING-LCL/LNG DIST, MVG/STORAGE",STORAGE KING WAKEFIELD,100069,LEAVING CARE 18-21 (
05/07/2023,CASTLE GRANGE,WM MORRISONS STORE,10,2,5411,"GROCERY STORES, SUPERMARKETS",WM MORRISONS STORE,104079,CASTLE GRANGE
05/07/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),SURYA HOTELS LTD,201.6,25.2,7011,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",SURYA HOTELS LTD,100037,ASSESSMENT & INT STH
05/07/2023,LAC 0-18 TEAM,WWW.ARGOS.CO.UK,497.28,0,5311,DEPARTMENT STORES,WWW.ARGOS.CO.UK,100069,LEAVING CARE 18-21 (
05/07/2023,LEGAL,TRAINLINE,51.56,0,4112,PASSENGER RAILWAYS,TRAINLINE,103939,LEGAL
05/07/2023,THE GLASS BOX (FRIENDLY STREET),E.ON NEXT ENERGY LTD,66.3,3.32,4900,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",E.ON NEXT ENERGY LTD,102105,BATLEY ENTERP CTR
05/07/2023,LEAVING CARE 18-21 (25) TEAM,HOME BARGAINS HUDDERSF,4.89,0.98,5251,HARDWARE STORES,HOME BARGAINS HUDDERSF,100069,LEAVING CARE 18-21 (
05/07/2023,CHILDREN & ADULTS LEARNING TEAM,C BOOTH & SON,8.32,1.67,5251,HARDWARE STORES,C BOOTH & SON,105559,C&A LEARNING TEAM
05/07/2023,BED AND BREAKFAST,TRAVELODG TRAVELODGE G,195.81,0,3615,TRAVELODGE,TRAVELODGE,103491,BED AND BREAKFAST
05/07/2023,MUSEUMS & GALLERIES HQ,RAINSTICK TRADING LTD,166.53,33.31,5733,"MUSIC STORES-INSTRUMENTS, PIANOS, SHEET MUSIC",RAINSTICK TRADING LTD,101136,MUSEUMS & GALLERS HQ
05/07/2023,TOWN HALL BARS HQ,SAINSBURYS S/MKTS,3.96,0.79,5411,"GROCERY STORES, SUPERMARKETS",SAINSBURYS S/MKTS,103351,TOWN HALL BARS HQ
05/07/2023,ORCHARD VIEW,POUNDSTRETCHER 157,8.54,1.71,5331,VARIETY STORES,POUNDSTRETCHER 157,100095,ORCHARD VIEW
05/07/2023,LAC 0-18 TEAM,WWW.ARGOS.CO.UK,299.12,59.83,5311,DEPARTMENT STORES,WWW.ARGOS.CO.UK,100069,LEAVING CARE 18-21 (
05/07/2023,IT PEOPLE,AMZNMKTPLACE,63.27,12.64,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,103856,IT PEOPLE
06/07/2023,CORPORATE FM HQ,AMZNBUSINESS FA9KA3KH5,49.23,9.85,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS FA9KA3KH5,C.65842,CIVIC 1 PROJECT CODE
06/07/2023,CORPORATE FM HQ,AMZNBUSINESS CY6GQ5BL5,49.23,9.85,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS CY6GQ5BL5,C.65842,CIVIC 1 PROJECT CODE
06/07/2023,CORPORATE FM HQ,AMZNBUSINESS DH1563545,49.23,9.85,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS DH1563545,C.65842,CIVIC 1 PROJECT CODE
06/07/2023,CORPORATE FM HQ,AMZNBUSINESS IB4YN5M05,49.23,9.85,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS IB4YN5M05,C.65842,CIVIC 1 PROJECT CODE
