Service Area Categorisation,PUBLISHED VENDOR NAME,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Children & Education Services,PROSPERO TEACHING,26-07-2024,,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,15-07-2024,,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,15-07-2024,,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,15-07-2024,,400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,15-07-2024,,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,15-07-2024,,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,15-07-2024,,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,15-07-2024,,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26-07-2024,,400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26-07-2024,,499.5,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26-07-2024,,300,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26-07-2024,,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26-07-2024,,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26-07-2024,,400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,22-07-2024,,308,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,22-07-2024,,308,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,22-07-2024,,318.69,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,22-07-2024,,318.69,PROFESSIONAL FEES,CSC - Specialist Needs - Other
