SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
24x7 Ltd,"4,574.25",31/01/2024,YL36,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs
24x7 Ltd,"5,523.54",31/01/2024,YL12,R3305,Education Excellence,SEN Transport to Primary Schools - Specialist Transport Fixed Route
24x7 Ltd,"6,519.79",31/01/2024,YL60,R3305,Education Excellence,Post 16 Transport - Specialist Transport Fixed Route
24x7 Ltd,"6,780.37",31/01/2024,YL22,R3305,Education Excellence,SEN Transport to Secondary Schools - Specialist Transport Fixed Route
24x7 Ltd,"12,384.17",31/01/2024,YL36,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs
24x7 Ltd,"13,205.63",31/01/2024,YL60,R3310,Education Excellence,Post 16 Transport - Out of Borough Transport costs
24x7 Ltd,"29,979.64",31/01/2024,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
365 Support Limited,517.44,28/02/2024,AN05,R4054,Adult Social Care,Mental Health Support - Adults 18-64 - Community Support
365 Support Limited,517.44,01/02/2024,AN05,R4054,Adult Social Care,Mental Health Support - Adults 18-64 - Community Support
3C Payment UK Ltd,567.11,31/01/2024,BC16,R2941,Highways and Public Protection,Car Parks-Other - Bank Charges
3C Payment UK Ltd,823.46,31/01/2024,BC05,R2941,Highways and Public Protection,Highway Safety - Parking - Bank Charges
8x8 UK Limited,"245,445.72",16/02/2024,GF63,R2655,Corporate Resources,ICT Contracts - Computer Costs
A & D Door Systems Ltd,"4,900.00",30/01/2024,HS06,R2021,Communities,DSW (Dunes Splashworld) - Equipment - Purchase
A E Yates Ltd,"105,756.88",30/01/2024,CAP1,C1000,Capital,Capital - Capital Expenditure
A Star Support Services Ltd.,910.00,28/02/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
A Star Support Services Ltd.,910.00,01/02/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
A Star Support Services Ltd.,"4,727.50",28/02/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
A Star Support Services Ltd.,"4,727.50",01/02/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
A1 All Clear,"1,095.00",22/02/2024,CAP1,C1000,Capital,Capital - Capital Expenditure
Abbegale Lodge (2006) Li,"-34,024.17",28/02/2024,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"-6,238.39",28/02/2024,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,-814.41,28/02/2024,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,539.12,01/02/2024,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,596.20,01/02/2024,AN05,R5070,Adult Social Care,Mental Health Support - Adults 18-64 - Clients Personal Allowances
Abbegale Lodge (2006) Li,596.20,28/02/2024,AN05,R5070,Adult Social Care,Mental Health Support - Adults 18-64 - Clients Personal Allowances
Abbegale Lodge (2006) Li,749.12,01/02/2024,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,763.00,28/02/2024,AM10,R5070,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Clients Personal Allowances
Abbegale Lodge (2006) Li,826.60,01/02/2024,AN10,R5070,Adult Social Care,Mental Health Support - Older People 65+ - Clients Personal Allowances
Abbegale Lodge (2006) Li,"1,577.84",01/02/2024,AP05,R4045,Adult Social Care,Physical Support - Adults 18-64 - Residential - Short Term
Abbegale Lodge (2006) Li,"2,598.80",01/02/2024,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,598.80",01/02/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,598.80",01/02/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
