Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
North Northamptonshire Council,21-Jul-23,51200498014,"£3,800.00",HALLATON MANOR LTD,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Residential Care
North Northamptonshire Council,21-Jul-23,51200498080,"£3,800.00",REDCLYFFE,TRADE SUPPLIER,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498907,"£3,800.00",AGE NURSING HOMES LIMITED,CARE ESTABLISHMENT,OP North Older People RES ST,Support with Memory & Cognition Res Reablement OP North,Rehabilitation And Respite Care
North Northamptonshire Council,21-Jul-23,51200499014,"£3,805.96",Elysium Healthcare Ltd,CARE ESTABLISHMENT,PD Physical Disability RES LT,Physical Support Res Long Term PD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498182,"£3,811.64",Minster Care Services Ltd,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200499013,"£3,816.32",Elysium Healthcare Ltd,CARE ESTABLISHMENT,PD Physical Disability RES LT,Physical Support Res Long Term PD,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498644,"£3,817.40",ST MATTHEWS LIMITED,CARE ESTABLISHMENT,PD Physical Disability RES LT,Physical Support Res Long Term PD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498570,"£3,819.24",St Matthews North Ltd,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498578,"£3,819.48",St Matthews North Ltd,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498891,"£3,824.56",AGE NURSING HOMES LIMITED,CARE ESTABLISHMENT,OP North Older People RES LT,Physical Support Res Long Term OP North,Residential Care
North Northamptonshire Council,21-Jul-23,51200498185,"£3,840.00",Minster Care Services Ltd,CARE ESTABLISHMENT,OP North Older People RES LT,Physical Support Res Long Term OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498931,"£3,840.00",Birchester Medicare Services Limited T/A Polebrook Nursing Home,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498927,"£3,840.00",Birchester Medicare Services Limited T/A Polebrook Nursing Home,CARE ESTABLISHMENT,OP North Older People RES LT,Physical Support Res Long Term OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498952,"£3,840.00",Birchester Medicare Services Limited T/A Shire Lodge Nursing Home,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498169,"£3,859.64",Minster Care Services Ltd,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498727,"£3,864.56",TASKER HOUSE,CARE ESTABLISHMENT,OP North Older People RES LT,Physical Support Res Long Term OP North,Residential Care
North Northamptonshire Council,21-Jul-23,51200498726,"£3,868.00",TASKER HOUSE,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Residential Care
North Northamptonshire Council,21-Jul-23,51200498493,"£3,872.00",COUNTRY VIEW NURSING HOME,CARE ESTABLISHMENT,OP North Older People RES LT,Physical Support Res Long Term OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200497999,"£3,874.64",PRIME LIFE LIMITED,CARE ESTABLISHMENT,OP North Older People RES ST,Support with Memory & Cognition Res Reablement OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498209,"£3,875.96",CONSENSUS SUPPORT SERVICES LTD,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498029,"£3,885.71",MANOR HOUSE RESIDENTIAL AND NURSING,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Residential Care
North Northamptonshire Council,21-Jul-23,51200498118,"£3,900.00",SHRUBBERY RESIDENTIAL HOME,CARE ESTABLISHMENT,PD Physical Disability RES LT,Physical Support Res Long Term PD,Residential Care
North Northamptonshire Council,21-Jul-23,51200499008,"£3,916.44",Elysium Healthcare Ltd,CARE ESTABLISHMENT,PD Physical Disability RES LT,Physical Support Res Long Term PD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498490,"£3,919.52",COUNTRY VIEW NURSING HOME,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498207,"£3,935.44",Minster Care Services Ltd,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498612,"£3,943.80",Wellbeing Care Ltd T/A Meadow View Care Home,CARE ESTABLISHMENT,PD Physical Disability RES LT,Physical Support Res Long Term PD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498193,"£3,989.48",Minster Care Services Ltd,CARE ESTABLISHMENT,OP North Older People RES LT,Physical Support Res Long Term OP North,Residential Care
North Northamptonshire Council,21-Jul-23,51200498404,"£3,989.84",Salutem Shared Services Limited,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498804,"£3,996.56",CREATIVE SUPPORT,CARE ESTABLISHMENT,MH Mental Health RES LT,Mental Health Support Res Long Term MH,Residential Care
North Northamptonshire Council,21-Jul-23,51200498353,"£4,000.00",FOUR SEASONS (BAMFORD) LIMITED,CARE ESTABLISHMENT,OP North Older People RES LT,Physical Support Res Long Term OP North,Residential Care
North Northamptonshire Council,21-Jul-23,51200497997,"£4,000.00",PRIME LIFE LIMITED,CARE ESTABLISHMENT,OP North Older People RES LT,Physical Support Res Long Term OP North,Residential Care
North Northamptonshire Council,21-Jul-23,51200498003,"£4,000.00",PRIME LIFE LIMITED,CARE ESTABLISHMENT,OP North Older People RES ST,Support with Memory & Cognition Res Reablement OP North,Rehabilitation And Respite Care
North Northamptonshire Council,21-Jul-23,51200498306,"£4,000.00",FOUR SEASONS (BAMFORD) LIMITED,CARE ESTABLISHMENT,OP North Older People RES ST,Support with Memory & Cognition Res Reablement OP North,Rehabilitation And Respite Care
North Northamptonshire Council,21-Jul-23,51200498001,"£4,000.00",PRIME LIFE LIMITED,CARE ESTABLISHMENT,OP North Older People RES ST,Support with Memory & Cognition Res Reablement OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498069,"£4,000.00",Hampton Burlington Court Care Ltd t/a Burlington Court Care Home,CARE ESTABLISHMENT,PD Physical Disability RES LT,Support with Memory & Cognition Res Long Term PD,Residential Care
North Northamptonshire Council,21-Jul-23,51200497996,"£4,000.00",PRIME LIFE LIMITED,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498613,"£4,000.00",Wellbeing Care Ltd T/A Meadow View Care Home,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200497963,"£4,000.00",Polish Citizens Committee Housing Association Limited,CARE ESTABLISHMENT,PD Physical Disability RES LT,Support with Memory & Cognition Res Long Term PD,Residential Care
North Northamptonshire Council,21-Jul-23,51200499002,"£4,007.14",ABRAHAM HEALTH CARE LTD,CARE ESTABLISHMENT,OP North Older People RES LT,Physical Support Res Long Term OP North,Residential Care
North Northamptonshire Council,21-Jul-23,51200498728,"£4,008.00",TASKER HOUSE,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Residential Care
