company,coded supplier,Date,Directorate Description,Directorate Area,Expenditure Description,Type of Expenditure,Line Number,Line Amount
WF,FP3930015,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST PROF RETAINER FEES,Revenue,3,88.62
WF,FP1172559,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SINGLE ADD OTHER,Revenue,4,90
WF,FP1706079,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SINGLE ADD OTHER,Revenue,3,90
WF,FP2002323,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SINGLE ADD OTHER,Revenue,3,90
WF,FP3330507,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SINGLE ADD OTHER,Revenue,2,90
WF,FP585687,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,PWAY SERV RENTS,Revenue,1,94.01
WF,FP5685015,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,PWAY SERV OTHR NEEDS,Revenue,1,94.01
WF,FP1706079,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SINGLE ADD OTHER,Revenue,2,96
WF,FP3807867,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST RESPITE PROF FEE,Revenue,3,97.15
WF,DP10460019,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,7,100
WF,FP1172559,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW RESPITE CARE,Revenue,1,109
WF,FP761187,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST RESPITE PROF FEE,Revenue,2,122.15
WF,FP2636931,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,128.4
WF,FP2636931,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,2,128.4
WF,FP2636931,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,3,128.4
WF,FP2636931,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,4,128.4
WF,DP13357875,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,132
WF,DP13331199,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,5,133.44
WF,DP10460019,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,5,134.82
WF,FP761187,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW RESPITE CARE,Revenue,1,136.25
WF,FP1172559,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,2,136.25
WF,FP3966519,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,2,144
WF,FP2002323,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST PROFESSIONAL FEES ADD,Revenue,2,146.58
WF,FP3250479,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW RESPITE CARE,Revenue,1,151.68
WF,FP1706079,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,2,163.5
WF,FP2002323,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SUMM/XMAS/BDAY,Revenue,2,163.5
WF,DP13130427,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,8,169.05
WF,FP2002323,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST PROFESSIONAL FEES ADD,Revenue,1,171.01
WF,FP1751007,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,172.9
WF,FP1751007,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SUMM/XMAS/BDAY,Revenue,2,172.9
WF,FP3041283,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,172.9
WF,FP3041283,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SUMM/XMAS/BDAY,Revenue,2,172.9
WF,FP3807867,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW RESPITE CARE,Revenue,2,172.9
WF,FP3807867,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,172.9
WF,FP4205199,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,172.9
WF,FP5941947,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,RELATIVES AS APPROVED CARERS,Revenue,1,172.9
WF,FP5941947,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,F & R SUMM/XMAS/BDAY,Revenue,3,172.9
WF,FP5941947,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,RELATIVES AS APPROVED CARERS,Revenue,1,172.9
WF,DP3281367,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,175
WF,DP13331199,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,175
WF,DP13355067,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,175
WF,DP11191503,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,181.17
WF,FP5685015,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,PWAY SERV OTHR NEEDS,Revenue,2,188.02
WF,FP1172559,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST RESPITE PROF FEE,Revenue,2,188.08
WF,FP3250479,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST RESPITE PROF FEE,Revenue,2,188.08
WF,FP5585331,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST RESPITE PROF FEE,Revenue,2,189.9
WF,FP5585331,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST RESPITE PROF FEE,Revenue,2,189.9
WF,FP610959,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,190.75
WF,FP610959,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SUMM/XMAS/BDAY,Revenue,2,190.75
WF,FP1172559,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,190.75
WF,FP1706079,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,190.75
WF,FP1706079,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,190.75
WF,FP2002323,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,190.75
WF,FP3076383,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,190.75
WF,FP3807867,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SUMM/XMAS/BDAY,Revenue,2,190.75
WF,FP4653075,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,190.75
WF,FP5027943,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,190.75
WF,FP5027943,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SUMM/XMAS/BDAY,Revenue,2,190.75
WF,FP5308743,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,190.75
WF,FP5308743,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SUMM/XMAS/BDAY,Revenue,2,190.75
WF,FP5536191,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,190.75
WF,FP5536191,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SUMM/XMAS/BDAY,Revenue,2,190.75
WF,FP4664307,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOSTER PARENT TRAVEL CLAIMS,Revenue,1,194.2
WF,FP2259255,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,SPECIAL GUARDIANSHIP PAYMENTS,Revenue,1,201.38
WF,FP2259255,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,SPECIAL GUARDIANSHIP PAYMENTS,Revenue,2,201.38
WF,DP8789259,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,204.92
WF,DP13130427,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,6,209.3
WF,FP3076383,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOSTER PARENT TRAVEL CLAIMS,Revenue,2,214.15
WF,FP24087,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,218.33
WF,FP24087,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,2,218.33
WF,FP410187,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,218.33
WF,FP410187,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SUMM/XMAS/BDAY,Revenue,2,218.33
WF,FP1765047,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,RELATIVES AS APPROVED CARERS,Revenue,1,218.33
WF,FP1765047,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,F & R SUMM/XMAS/BDAY,Revenue,2,218.33
WF,FP2137107,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,218.33
WF,FP2137107,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SUMM/XMAS/BDAY,Revenue,2,218.33
WF,FP2736615,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,218.33
WF,FP2736615,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SUMM/XMAS/BDAY,Revenue,2,218.33
WF,FP3076383,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SUMM/XMAS/BDAY,Revenue,2,218.33
WF,FP3330507,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,218.33
WF,FP4582875,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,218.33
WF,FP4582875,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SUMM/XMAS/BDAY,Revenue,2,218.33
WF,FP4653075,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SUMM/XMAS/BDAY,Revenue,2,218.33
WF,FP4341387,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW RESPITE CARE,Revenue,1,222.3
WF,DP13311543,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,225
WF,DP13130427,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,225.4
WF,DP13130427,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,225.4
WF,DP13130427,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,225.4
WF,DP13130427,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,5,225.4
WF,DP13130427,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,7,225.4
WF,FP585687,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,PWAY SERV RENTS,Revenue,2,228.31
WF,FP1172559,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST PROFESSIONAL FEES ADD,Revenue,2,235.1
WF,FP4664307,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOSTER PARENT TRAVEL CLAIMS,Revenue,2,235.6
WF,FP3076383,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOSTER PARENT TRAVEL CLAIMS,Revenue,1,246.55
WF,FP1930719,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW RESPITE CARE,Revenue,1,247
WF,FP1894215,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,251.45
WF,FP3966519,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,252
WF,FP3966519,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,252
WF,FP3966519,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,252
WF,DP7103055,10/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,254.84
WF,FP3219591,10/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,OTHR AGENCY SERVICES,Revenue,1,255
WF,DP10123059,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,256
WF,DP8236083,10/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,261.16
WF,FP3997407,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,262.15
WF,FP1623,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,PWAY SERV RENTS,Revenue,1,265.44
WF,FP1623,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,PWAY SERV RENTS,Revenue,1,265.44
WF,FP1623,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,PWAY SERV RENTS,Revenue,1,265.44
WF,FP1623,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,PWAY SERV RENTS,Revenue,1,265.44
WF,FP12855,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP12855,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP12855,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP12855,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP12855,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP12855,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP12855,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP12855,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP12855,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP12855,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP12855,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP12855,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP50763,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,PWAY SERV RENTS,Revenue,1,265.44
WF,FP50763,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,PWAY SERV RENTS,Revenue,1,265.44
WF,FP50763,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,PWAY SERV RENTS,Revenue,1,265.44
WF,FP50763,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,PWAY SERV RENTS,Revenue,1,265.44
WF,FP92883,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,PWAY SERV RENTS,Revenue,1,265.44
WF,FP92883,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,PWAY SERV RENTS,Revenue,1,265.44
WF,FP92883,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,PWAY SERV RENTS,Revenue,1,265.44
WF,FP92883,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,PWAY SERV RENTS,Revenue,1,265.44
WF,FP160275,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP160275,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP160275,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP160275,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP172911,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP172911,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP172911,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP172911,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP327351,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP327351,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP327351,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP327351,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP366663,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP366663,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP366663,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP366663,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP366663,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP366663,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP366663,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP366663,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP366663,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP366663,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP366663,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP366663,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP368067,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP368067,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP368067,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP368067,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP369471,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP369471,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP369471,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP369471,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP427035,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP427035,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
WF,FP427035,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,1,265.44
