Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Expenditure Description,Type of Expenditure,Line Number,Line Amount,,
WF,SU84459,B & K BUILDERS LTD,26/04/2024,373473,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,360,,
WF,SU97095,BORDER FOOD MACHINERY LTD,16/04/2024,361194,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,MEAL COSTS,Revenue,1,499.5,,
WF,SU97095,BORDER FOOD MACHINERY LTD,17/04/2024,365178,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,BUILDING REPAIRS,Revenue,1,"3,650.00",,
WF,SU112539,BRAMPTON WOODWORKS,03/04/2024,350906,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,GROUNDS MAINTENANCE,Revenue,1,345,,
WF,SU154659,W CLEMENTSON & SON,16/04/2024,360850,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,BUILDING REPAIRS,Revenue,1,"20,954.76",,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357503,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,REPAIRS & MAINTENANCE,Revenue,1,272,,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357508,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,1,323.67,,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357509,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,1,"1,165.36",,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357510,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,1,"1,208.43",,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357513,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,1,578.42,,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357513,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,2,140,,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357514,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,REPAIRS & MAINTENANCE,Revenue,1,"5,082.68",,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357515,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,1,"1,772.04",,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357811,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,1,245.88,,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357811,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,2,626.18,,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357811,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,3,553.28,,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357811,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BBC Grass pitches,Revenue,4,614.98,,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357811,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,5,693.26,,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357811,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,6,600,,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357811,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,7,240,,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357811,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,8,80.55,,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357811,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,9,240,,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357811,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,10,462.45,,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357811,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,11,60.43,,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357811,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,ELECTRICITY,Revenue,12,152.33,,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357811,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GAS (INCL LPG),Revenue,13,"1,064.77",,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357818,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,1,"19,353.85",,
WF,SU160275,CONTINENTAL LANDSCAPING LT,11/04/2024,357818,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,2,"1,718.20",,
WF,SU160275,CONTINENTAL LANDSCAPING LT,16/04/2024,360103,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,1,"16,022.51",,
WF,SU160275,CONTINENTAL LANDSCAPING LT,16/04/2024,360103,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,2,"2,725.44",,
WF,SU160275,CONTINENTAL LANDSCAPING LT,24/04/2024,371972,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,1,"32,737.71",,
WF,SU160275,CONTINENTAL LANDSCAPING LT,24/04/2024,371972,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,2,"25,829.09",,
WF,SU160275,CONTINENTAL LANDSCAPING LT,24/04/2024,371972,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,3,"2,728.55",,
WF,SU160275,CONTINENTAL LANDSCAPING LT,24/04/2024,371972,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,4,"1,897.87",,
WF,SU160275,CONTINENTAL LANDSCAPING LT,24/04/2024,371972,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,5,736.95,,
WF,SU161679,CONTRACT FLOORING (CUMBRIA) LTD,03/04/2024,350804,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,700,,
WF,SU161679,CONTRACT FLOORING (CUMBRIA) LTD,03/04/2024,350804,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,399,,
WF,SU161679,CONTRACT FLOORING (CUMBRIA) LTD,23/04/2024,368465,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,380,,
WF,SU182739,CONTRACT FENCING,16/04/2024,360125,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,850,,
WF,SU182739,CONTRACT FENCING,16/04/2024,360125,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,"1,000.00",,
WF,SU186951,CUMBRIA MECHANICAL & PLUMBING LTD,11/04/2024,357785,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,CAPITAL ADDITIONS - OTHER,Capital,1,"15,099.53",,
WF,SU188355,CUMBRIA ROOFING (ULVERSTON),09/04/2024,353721,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,55,,
WF,SU188355,CUMBRIA ROOFING (ULVERSTON),09/04/2024,353721,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,200,,
WF,SU188355,CUMBRIA ROOFING (ULVERSTON),09/04/2024,353722,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,65,,
WF,SU188355,CUMBRIA ROOFING (ULVERSTON),09/04/2024,353722,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,230,,
WF,SU188355,CUMBRIA ROOFING (ULVERSTON),09/04/2024,353866,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,462.00",,
WF,SU188355,CUMBRIA ROOFING (ULVERSTON),09/04/2024,353866,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,700,,
WF,SU188355,CUMBRIA ROOFING (ULVERSTON),19/04/2024,366850,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,BUILDING REPAIRS,Revenue,1,"1,320.00",,
WF,SU188355,CUMBRIA ROOFING (ULVERSTON),30/04/2024,374657,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,443.00",,
WF,SU188355,CUMBRIA ROOFING (ULVERSTON),30/04/2024,374657,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,"4,266.00",,
WF,SU297867,ROLAND HILL (PARSONBY) LTD,03/04/2024,350902,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,CAPITAL ADDITIONS - OTHER,Capital,1,"77,959.24",,
WF,SU297867,ROLAND HILL (PARSONBY) LTD,03/04/2024,350902,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,CAPITAL ADDITIONS - OTHER,Capital,2,"4,103.12",,
WF,SU297867,ROLAND HILL (PARSONBY) LTD,03/04/2024,350902,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,WIP RETENTIONS,Capital,3,"-4,103.12",,
WF,SU297867,ROLAND HILL (PARSONBY) LTD,09/04/2024,353723,CAPITAL COST CENTRES,CAPITAL - RESOURCES           ,CAPITAL ADDITIONS - OTHER,Capital,1,"12,742.18",,
WF,SU297867,ROLAND HILL (PARSONBY) LTD,15/04/2024,359580,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,CAPITAL ADDITIONS - OTHER,Capital,1,"59,521.62",,
WF,SU297867,ROLAND HILL (PARSONBY) LTD,15/04/2024,359580,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,CAPITAL ADDITIONS - OTHER,Capital,2,"-59,521.62",,
WF,SU297867,ROLAND HILL (PARSONBY) LTD,15/04/2024,359580,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,WIP RETENTIONS,Capital,3,"59,521.62",,
WF,SU297867,ROLAND HILL (PARSONBY) LTD,15/04/2024,359596,CAPITAL COST CENTRES,CAPITAL - RESOURCES           ,CAPITAL ADDITIONS - OTHER,Capital,1,"10,179.61",,
WF,SU297867,ROLAND HILL (PARSONBY) LTD,15/04/2024,359596,CAPITAL COST CENTRES,CAPITAL - RESOURCES           ,CAPITAL ADDITIONS - OTHER,Capital,2,"-10,179.61",,
WF,SU297867,ROLAND HILL (PARSONBY) LTD,15/04/2024,359596,CAPITAL COST CENTRES,CAPITAL - RESOURCES           ,WIP RETENTIONS,Capital,3,"10,179.61",,
WF,SU297867,ROLAND HILL (PARSONBY) LTD,18/04/2024,365917,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,CAPITAL ADDITIONS - OTHER,Capital,1,"6,379.90",,
WF,SU297867,ROLAND HILL (PARSONBY) LTD,18/04/2024,365917,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,CAPITAL ADDITIONS - OTHER,Capital,2,"-6,379.90",,
WF,SU297867,ROLAND HILL (PARSONBY) LTD,18/04/2024,365917,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,WIP RETENTIONS,Capital,3,"6,379.90",,
WF,SU297867,ROLAND HILL (PARSONBY) LTD,18/04/2024,365920,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,CAPITAL ADDITIONS - OTHER,Capital,1,"2,846.00",,
WF,SU339987,R H IRVING CONSTRUCTION LTD,09/04/2024,353867,CAPITAL COST CENTRES,CAPITAL - THRIVING COMMUNITIES,CAPITAL PURCHASE L&B,Capital,1,"804,097.03",,
WF,SU347007,JJ GROUP (CONTRACTING) LIMITED,03/04/2024,350806,CAPITAL COST CENTRES,CAPITAL - RESOURCES           ,CAPITAL ADDITIONS - OTHER,Capital,1,"4,960.00",,
WF,SU347007,JJ GROUP (CONTRACTING) LIMITED,04/04/2024,351935,CAPITAL COST CENTRES,CAPITAL - RESOURCES           ,CAPITAL ADDITIONS - OTHER,Capital,1,"4,960.00",,
WF,SU347007,JJ GROUP (CONTRACTING) LIMITED,09/04/2024,353724,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"3,950.00",,
WF,SU347007,JJ GROUP (CONTRACTING) LIMITED,17/04/2024,365103,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,BUILDING REPAIRS,Revenue,1,770,,
WF,SU387723,TK ACCESS SOLUTIONS LIMITED,04/04/2024,351608,CAPITAL COST CENTRES,CAPITAL - THRIVING COMMUNITIES,CAPITAL ADDITIONS - OTHER,Capital,1,"4,750.90",,
WF,SU387723,TK ACCESS SOLUTIONS LIMITED,11/04/2024,357755,CAPITAL COST CENTRES,CAPITAL - THRIVING COMMUNITIES,CAPITAL ADDITIONS - OTHER,Capital,1,"5,050.40",,
WF,SU387723,TK ACCESS SOLUTIONS LIMITED,22/04/2024,367632,CAPITAL COST CENTRES,CAPITAL - THRIVING COMMUNITIES,CAPITAL ADDITIONS - OTHER,Capital,1,"2,099.60",,
WF,SU387723,TK ACCESS SOLUTIONS LIMITED,22/04/2024,367634,CAPITAL COST CENTRES,CAPITAL - THRIVING COMMUNITIES,CAPITAL ADDITIONS - OTHER,Capital,1,"2,104.18",,
WF,SU387723,TK ACCESS SOLUTIONS LIMITED,22/04/2024,367645,CAPITAL COST CENTRES,CAPITAL - THRIVING COMMUNITIES,CAPITAL ADDITIONS - OTHER,Capital,1,"2,005.18",,
WF,SU394743,GROWING CONCERNS,10/04/2024,357113,RESOURCES,FINANCE                       ,SLDC Handyperson,Revenue,1,252,,
WF,SU394743,GROWING CONCERNS,10/04/2024,357115,RESOURCES,FINANCE                       ,SLDC Handyperson,Revenue,1,576,,
WF,SU394743,GROWING CONCERNS,16/04/2024,361141,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,REPAIRS & MAINTENANCE,Revenue,1,"3,898.42",,
WF,SU394743,GROWING CONCERNS,16/04/2024,361142,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,REPAIRS & MAINTENANCE,Revenue,1,253.92,,
WF,SU394743,GROWING CONCERNS,16/04/2024,361143,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,REPAIRS & MAINTENANCE,Revenue,1,623.61,,
WF,SU398955,LOGIC PLUMBING HEATING AND ELECTRICAL,24/04/2024,372039,THRIVING COMMUNITIES,HOUSING                       ,REPAIRS & MAINTENANCE,Revenue,1,282.5,,
WF,SU445287,METCALFE PLANT & TOOL HIRE,09/04/2024,353931,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,HIGHWAYS: CONTRACTOR,Capital,1,"7,483.01",,
WF,SU445287,METCALFE PLANT & TOOL HIRE,10/04/2024,356119,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,HIGHWAYS: CONTRACTOR,Capital,1,"3,402.50",,
WF,SU445287,METCALFE PLANT & TOOL HIRE,10/04/2024,357029,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,BRIDGES,Revenue,1,"3,730.00",,
WF,SU445287,METCALFE PLANT & TOOL HIRE,10/04/2024,357030,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,BRIDGES,Revenue,1,"10,251.50",,
WF,SU494427,ON LINE SYSTEMS,19/04/2024,366580,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,TELEPHONE LINE CHARGES,Revenue,1,289.26,,
WF,SU515487,PICKERINGS EUROPE LTD,25/04/2024,372781,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"8,622.95",,
WF,SU526719,PORTAKABIN LTD,10/04/2024,357120,THRIVING PLACES,WASTE & ENVIRONMENTAL SERVICES,ANNUAL RENTS/LEASES,Revenue,1,"1,846.01",,
WF,SU539355,QUALITY FLOORING,10/04/2024,356122,THRIVING COMMUNITIES,HOUSING                       ,BBC HRA Shop repairs,Revenue,1,"3,958.33",,
WF,SU602535,GEORGE SHEPHERD LTD,30/04/2024,374411,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,BUILDING REPAIRS,Revenue,1,296.5,,
WF,SU641847,STOBBARTS LTD,09/04/2024,353868,CAPITAL COST CENTRES,CAPITAL -ADULT SOCIAL CARE    ,CAPITAL ADDITIONS - OTHER,Capital,1,"6,185.09",,
WF,SU641847,STOBBARTS LTD,09/04/2024,353868,CAPITAL COST CENTRES,CAPITAL -ADULT SOCIAL CARE    ,CAPITAL ADDITIONS - OTHER,Capital,2,"6,185.08",,
WF,SU641847,STOBBARTS LTD,09/04/2024,353868,CAPITAL COST CENTRES,CAPITAL -ADULT SOCIAL CARE    ,CAPITAL ADDITIONS - OTHER,Capital,3,"6,185.09",,
WF,SU641847,STOBBARTS LTD,09/04/2024,353868,CAPITAL COST CENTRES,CAPITAL -ADULT SOCIAL CARE    ,CAPITAL ADDITIONS - OTHER,Capital,4,"6,185.09",,
WF,SU641847,STOBBARTS LTD,09/04/2024,353868,CAPITAL COST CENTRES,CAPITAL -ADULT SOCIAL CARE    ,CAPITAL ADDITIONS - OTHER,Capital,5,"6,185.09",,
WF,SU641847,STOBBARTS LTD,09/04/2024,353868,CAPITAL COST CENTRES,CAPITAL -ADULT SOCIAL CARE    ,CAPITAL ADDITIONS - OTHER,Capital,6,"6,185.09",,
WF,SU641847,STOBBARTS LTD,09/04/2024,353868,CAPITAL COST CENTRES,CAPITAL -ADULT SOCIAL CARE    ,CAPITAL ADDITIONS - OTHER,Capital,7,"6,185.08",,
WF,SU664311,MICHAEL THOMPSON LTD,15/04/2024,359475,CAPITAL COST CENTRES,CAPITAL - RESOURCES           ,CAPITAL ADDITIONS - OTHER,Capital,1,"2,866.01",,
WF,SU664311,MICHAEL THOMPSON LTD,15/04/2024,359475,CAPITAL COST CENTRES,CAPITAL - RESOURCES           ,CAPITAL ADDITIONS - OTHER,Capital,2,"-2,866.01",,
WF,SU664311,MICHAEL THOMPSON LTD,15/04/2024,359475,CAPITAL COST CENTRES,CAPITAL - RESOURCES           ,WIP RETENTIONS,Capital,3,"2,866.01",,
WF,SU674139,TOP NOTCH CONTRACTORS LTD,03/04/2024,350828,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,871.88",,
WF,SU674139,TOP NOTCH CONTRACTORS LTD,03/04/2024,350829,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"2,428.00",,
WF,SU674139,TOP NOTCH CONTRACTORS LTD,09/04/2024,353726,CAPITAL COST CENTRES,CAPITAL - RESOURCES           ,CAPITAL ADDITIONS - OTHER,Capital,1,"7,014.50",,
WF,SU674139,TOP NOTCH CONTRACTORS LTD,10/04/2024,357035,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"2,936.00",,
WF,SU674139,TOP NOTCH CONTRACTORS LTD,10/04/2024,357036,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"2,048.00",,
WF,SU674139,TOP NOTCH CONTRACTORS LTD,10/04/2024,357037,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,269.84,,
WF,SU674139,TOP NOTCH CONTRACTORS LTD,11/04/2024,357787,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,576.74,,
WF,SU674139,TOP NOTCH CONTRACTORS LTD,11/04/2024,357804,CAPITAL COST CENTRES,CAPITAL - THRIVING COMMUNITIES,CAPITAL ADDITIONS - OTHER,Capital,1,"6,040.00",,
WF,SU674139,TOP NOTCH CONTRACTORS LTD,16/04/2024,360093,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,CAPITAL ADDITIONS - OTHER,Capital,1,"3,740.88",,
WF,SU674139,TOP NOTCH CONTRACTORS LTD,16/04/2024,360093,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,CAPITAL ADDITIONS - OTHER,Capital,2,"-3,740.88",,
WF,SU674139,TOP NOTCH CONTRACTORS LTD,16/04/2024,360093,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,WIP RETENTIONS,Capital,3,"3,740.88",,
WF,SU674139,TOP NOTCH CONTRACTORS LTD,18/04/2024,365946,CAPITAL COST CENTRES,CAPITAL - RESOURCES           ,CAPITAL ADDITIONS - OTHER,Capital,1,"132,163.23",,
WF,SU674139,TOP NOTCH CONTRACTORS LTD,19/04/2024,366614,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,327.75,,
WF,SU674139,TOP NOTCH CONTRACTORS LTD,19/04/2024,366616,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,470.02,,
WF,SU674139,TOP NOTCH CONTRACTORS LTD,19/04/2024,366617,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,349.82,,
WF,SU686775,STATELY GATES,25/04/2024,372903,THRIVING COMMUNITIES,HOUSING                       ,REPAIRS & MAINTENANCE,Revenue,1,295,,
WF,SU700815,T WARD & SON LTD,10/04/2024,356979,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,REPAIRS & MAINTENANCE,Revenue,1,473.51,,
WF,SU700815,T WARD & SON LTD,10/04/2024,356981,CAPITAL COST CENTRES,CAPITAL - THRIVING COMMUNITIES,CAPITAL ADDITIONS - OTHER,Capital,1,"6,690.65",,
WF,SU700815,T WARD & SON LTD,10/04/2024,356982,THRIVING COMMUNITIES,HOUSING                       ,BBC HRA Roofing,Revenue,1,633.11,,
WF,SU700815,T WARD & SON LTD,11/04/2024,357765,THRIVING COMMUNITIES,HOUSING                       ,REPAIRS & MAINTENANCE,Revenue,1,314.52,,
WF,SU700815,T WARD & SON LTD,15/04/2024,359598,THRIVING COMMUNITIES,HOUSING                       ,BBC HRA Repointing Walney,Revenue,1,850.79,,
WF,SU700815,T WARD & SON LTD,19/04/2024,366875,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,BUILDING REPAIRS,Revenue,1,517.52,,
