Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,22/02/29,VI-131934,8000,Revenue,Aran Insulation Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,01/03/29,VI-132367,8000,Revenue,Aran Insulation Ltd
Planning and Coastal Management,Planning,Supplies and Services,Other Ext Provided Services,22/02/29,VI-132019,4809.9,Revenue,Andrew Ashcroft Planning Limited
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,20/02/29,VI-131776,2500,Revenue,Asperger East Anglia
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,08/02/29,VI-131075,3360,Revenue,Aspire Adaptations Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,08/02/29,VI-131059,6988.72,Revenue,Aspire Adaptations Ltd
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Rents Payable,22/02/29,VI-131697,2407.58,Revenue,Associated British Ports
Financial Resources and Value for Money,Financial Services,Employee Expenses,Qualification Training,15/02/29,VI-131042,311,Revenue,Association of Chartered Certified Accountants
Financial Resources and Value for Money,Financial Services,Employee Expenses,Qualification Training,15/02/29,VI-131043,311,Revenue,Association of Chartered Certified Accountants
Financial Resources and Value for Money,Financial Services,Employee Expenses,Qualification Training,01/03/29,VI-131041,311,Revenue,Association of Chartered Certified Accountants
Financial Resources and Value for Money,Financial Services,Employee Expenses,Officer Professional Subscriptions,11/02/29,VI-131093,311,Revenue,Association of Chartered Certified Accountants
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,15/02/29,VI-131563,342.9,Revenue,ASSET Education
Community Health,Port Health Authority,Supplies and Services,Software Purchases,11/02/29,VI-131204,293.92,Revenue,Atlassian Pty
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,11/02/29,VI-130994,500,Revenue,Aurelia Ltd
Excluded,Holding Accounts,Supplies and Services,Grants & Contributions,08/02/29,VI-131049,9788.7,Revenue,Automotion Ltd
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,01/03/29,VI-132372,916.79,Revenue,AVC Wise Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Other Direct Salary Costs,20/02/29,VI-131578,9594.06,Revenue,Babergh District Council
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,20/02/29,VI-131778,1840,Revenue,BACT Community Transport
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Technical Training,01/03/29,VI-132457,1560,Revenue,Bal Kaur Howard (BKH Training)
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,22/02/29,VI-131883,1619.6,Revenue,Gordon Barber
Economic Development and Transport,Parking Services,Supplies and Services,Corporate Subscriptions,12/02/29,VI-131064,11486,Revenue,Barbour Logic Ltd
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,11/02/29,VI-131141,1000,Capital,E E Bartlett Ltd
Economic Development and Transport,Parking Services,Premises Expenses,Vandalism,15/02/29,VI-131526,1975,Revenue,Baymans CRM Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,12/02/29,VI-131299,13166.14,Revenue,B & B Skip Hire
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,15/02/29,VI-131716,2325.07,Revenue,B & B Skip Hire
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,20/02/29,VI-131777,250,Revenue,Being Well in Suffolk
Leader of the Council,Legal,Supplies and Services,Legal Fees,15/02/29,VI-131605,838.5,Revenue,Bevan Brittan LLP
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,22/02/29,VI-132009,493.92,Revenue,Binder Ltd
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,27/02/29,VI-131516,5922,Capital,Broadfield Law Uk
Leader of the Council,Legal,Supplies and Services,Legal Fees,15/02/29,VI-131568,2499,Revenue,Birketts LLP
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,12/02/29,VI-131228,2000,Revenue,Birchwood Primary School PTFA
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,20/02/29,VI-131750,257622.51,Capital,Blakedown Landscapes Ltd
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,05/02/29,VI-130874,580,Revenue,Bloomfield Carpets & Vinyls
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,08/02/29,VI-131252,1583.33,Revenue,Bloomfield Carpets & Vinyls
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,15/02/29,VI-131606,590,Revenue,Bloomfield Carpets & Vinyls
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,20/02/29,VI-131882,850,Revenue,Bloomfield Carpets & Vinyls
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,22/02/29,VI-132005,590,Revenue,Bloomfield Carpets & Vinyls
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,22/02/29,VI-132010,695,Revenue,Bloomfield Carpets & Vinyls
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,26/02/29,VI-131714,460,Revenue,Bloomfield Carpets & Vinyls
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,06/02/29,VI-130969,11525.2,Revenue,Blue Sail Consulting Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,27/02/29,VI-131960,4148.58,Revenue,Blyth Valley Parishes Joint Council
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,12/02/29,VI-131409,1650,Revenue,Blyth Woods
Corporate Services,ICT,Supplies and Services,Software Maintenance,21/02/29,VI-132224,1016.91,Revenue,Bottomline
Financial Resources and Value for Money,Housing Benefits,Third Party Payments,Other Local Authorities Third Party,12/02/29,VI-131040,8978.16,Revenue,Breckland Council
Financial Resources and Value for Money,Housing Benefits,Third Party Payments,Other Local Authorities Third Party,20/02/29,VI-131655,3547.38,Revenue,Breckland Council
Financial Resources and Value for Money,Housing Benefits,Third Party Payments,Other Local Authorities Third Party,20/02/29,VI-131658,8335,Revenue,Breckland Council
Financial Resources and Value for Money,Housing Benefits,Third Party Payments,Other Local Authorities Third Party,22/02/29,VI-131913,1846.53,Revenue,Breckland Council
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,05/02/29,VI-130809,406,Revenue,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,08/02/29,VI-130864,271.2,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,08/02/29,VI-130900,1899,Revenue,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,27/02/29,VI-131217,320,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,27/02/29,VI-131223,383.5,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,27/02/29,VI-131371,383,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Holding Account - Cash Out,Capital Expenditure,27/02/29,VI-131378,945.56,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,27/02/29,VI-131522,371,Revenue,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,27/02/29,VI-131664,765,Capital,Breydon Flooring Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,22/02/29,VI-130999,659.28,Revenue,The Bridge Marketing Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,01/03/29,VI-132271,995,Revenue,Britannia Safety & Training
Housing Revenue Account,HRA Special Services,Premises Expenses,Gas,01/03/29,VI-132308,319.07,Revenue,British Gas - Bereavement
Economic Development and Transport,Economic Regeneration,Premises Expenses,Electricity,22/02/29,VI-131885,370.45,Revenue,British Gas - Business
Financial Resources and Value for Money,Industrial Estates,Premises Expenses,Electricity,22/02/29,VI-131886,718.46,Revenue,British Gas - Business
Economic Development and Transport,Parking Services,Supplies and Services,Corporate Subscriptions,20/02/29,VI-131734,1015,Revenue,British Parking Association
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,12/02/29,VI-131405,10500,Capital,Bristow Holland Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,12/02/29,VI-131231,3000,Revenue,Britten Pears Arts
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Qualification Training,27/02/29,VI-132027,500,Revenue,British Institute of Cleaning Science (BICs)
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Transport Expenses,Other Indirect Transport Costs,20/02/29,VI-131737,1589.82,Revenue,Broads Authority
Financial Resources and Value for Money,Financial Services,Supplies and Services,Other Ext Provided Services,21/02/29,VI-132210,33495,Revenue,George Browns Ltd
Financial Resources and Value for Money,Financial Services,Supplies and Services,Other Ext Provided Services,21/02/29,VI-132211,30300,Revenue,George Browns Ltd
Financial Resources and Value for Money,Financial Services,Supplies and Services,Other Ext Provided Services,02/02/29,VC-004066,-18725,Revenue,George Browns Ltd
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,19/02/29,VI-131305,710,Revenue,British Telecom
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,19/02/29,VI-131309,1100,Revenue,British Telecom
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,26/02/29,VI-131729,710,Revenue,British Telecom
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,13/02/29,VI-131518,2877.9,Revenue,Building Partnerships Ltd
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Cleaning Materials,12/02/29,VI-131411,1069.34,Revenue,Bunzl Cleaning & Hygiene Supplies
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,22/02/29,VI-132038,270.75,Revenue,Bungay Community Support
Community Health,Licensing,Supplies and Services,Corporate Subscriptions,01/03/29,VI-132455,900,Revenue,James Button & Co Solicitors
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,12/02/29,VI-131408,5000,Revenue,Peak Open Water Sports/Mrs Nicola Butler
Planning and Coastal Management,Coastal Management,Supplies and Services,Software Maintenance,12/02/29,VI-131442,296.96,Revenue,Bytes Software Services
Corporate Services,ICT,Supplies and Services,Software Maintenance,20/02/29,VI-131844,1611.8,Revenue,Bytes Software Services
Housing Revenue Account,HRA Repairs and Maintenance,Transport Expenses,Fuel,08/02/29,VI-131256,289.09,Revenue,Calor Gas Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Miscellaneous Other Services,08/02/29,VI-131249,2424,Revenue,Cambridge House & Talbot
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,05/02/29,VI-130846,525,Revenue,Canham Consulting Ltd
Economic Development and Transport,Economic Regeneration Towns Fund,Supplies and Services,Other Ext Provided Services,12/02/29,VI-131285,520,Revenue,Canham Consulting Ltd
Economic Development and Transport,Economic Regeneration,Supplies and Services,Consultants,15/02/29,VI-130819,1950,Revenue,Canham Consulting Ltd
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,27/02/29,VI-132221,825,Revenue,Canham Consulting Ltd
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Bank Fees,12/02/29,VI-131419,334.68,Revenue,Access Paysuite Ltd - 360
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,15/02/29,VI-131558,1750,Revenue,Carr Road Distribution Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Transport Expenses,Operational Vehicle Hire,15/02/29,VI-131691,1673.69,Revenue,Car Hire (Day of Swansea) Ltd T/A Day's Rental
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,20/02/29,VI-131789,1768,Revenue,Carrington West
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,27/02/29,VI-131791,1725,Revenue,Carrington West
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,27/02/29,VI-132241,2127.5,Revenue,Carrington West
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,27/02/29,VI-132242,2127.5,Revenue,Carrington West
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,05/02/29,VI-130802,2100,Revenue,Catch 22
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,08/02/29,VI-130767,595.05,Capital,CCS Media Limited
Community Health,Health and Wellbeing,Supplies and Services,Hardware Purchases,08/02/29,VI-130859,460.8,Revenue,CCS Media Limited
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,12/02/29,VI-131210,307.2,Capital,CCS Media Limited
Community Health,Port Health Authority,Supplies and Services,Software Purchases,15/02/29,VI-131603,6703.2,Revenue,CCS Media Limited
Economic Development and Transport,Economic Development,Supplies and Services,Hardware Purchases,20/02/29,VI-131481,589.13,Revenue,CCS Media Limited
The Environment,Environmental Protection,Supplies and Services,Hardware Purchases,20/02/29,VI-131594,460.8,Revenue,CCS Media Limited
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,01/03/29,VI-132322,307.2,Capital,CCS Media Limited
Community Health,Food and Safety,Supplies and Services,Hardware Purchases,01/03/29,VI-132319,307.2,Revenue,CCS Media Limited
Economic Development and Transport,Parking Services,Supplies and Services,General Purchases,01/03/29,VI-132315,743,Revenue,CCS Media Limited
Community Health,Port Health Authority,Supplies and Services,Hardware Purchases,01/03/29,VI-132493,1620.77,Revenue,CCS Media Limited
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Electrical Heating,11/02/29,VI-130972,720,Revenue,Certsure LLP NIC EIC ELECSA
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Consultants,22/02/29,VI-132023,8400,Revenue,Certa Partnership Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Consultants,26/02/29,VC-004060,-3483.96,Revenue,Certa Partnership Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Consultants,26/02/29,VI-130982,53550,Revenue,Certa Partnership Ltd
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,01/03/29,VI-132046,611.08,Revenue,Chapelfield Veterinary Partnership
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,01/03/29,VI-131907,504.58,Revenue,Chapelfield Veterinary Partnership
Housing Revenue Account,HRA Special Services,Supplies and Services,Valuation Fees,20/02/29,VI-131774,2000,Revenue,O A Chapman and Son
Planning and Coastal Management,Building Control,Employee Expenses,Officer Professional Subscriptions,12/02/29,VI-130638,334,Revenue,Chartered Association of Building Engineers
Community Health,Food and Safety,Employee Expenses,Officer Professional Subscriptions,11/02/29,VI-130921,263,Revenue,Chartered Institute Environmental Health
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Officer Professional Subscriptions,11/02/29,VI-131444,263,Revenue,Chartered Institute Environmental Health
Planning and Coastal Management,Coastal Management,Employee Expenses,Officer Professional Subscriptions,11/02/29,VI-130894,280,Revenue,Chartered Institute of Public Relations
Planning and Coastal Management,Coastal Management,Employee Expenses,Officer Professional Subscriptions,11/02/29,VI-130901,280,Revenue,Chartered Institute of Public Relations
Planning and Coastal Management,Planning,Employee Expenses,Technical Training,27/02/29,VI-132244,301,Revenue,Chartered Institute of Ecology and Enviromental Ma
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,08/02/29,VI-131073,14700,Capital,Chaplin Farrant Ltd
Corporate Services,Customer Services and Complaints,Holding Account - Cash Out,Capital Expenditure,12/02/29,VI-131053,1125,Capital,Chaplin Farrant Ltd
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,15/02/29,VI-131068,6125,Capital,Chaplin Farrant Ltd
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,15/02/29,VI-131069,5000,Capital,Chaplin Farrant Ltd
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,15/02/29,VI-131070,28480.44,Capital,Chaplin Farrant Ltd
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,08/02/29,VI-131275,9846.84,Revenue,Chase Services Group Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,15/02/29,VI-131712,6523.76,Revenue,City Electrical Factors Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,22/02/29,VI-132026,5265.85,Revenue,City Electrical Factors Ltd
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,26/02/29,VI-131669,25000,Revenue,Citizens Advice East Suffolk
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,05/02/29,VI-130823,1500,Revenue,Civica UK Ltd
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,12/02/29,VI-130824,3584.29,Revenue,Civica UK Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,13/02/29,VI-131519,3770,Revenue,Closomat Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,20/02/29,VC-004053,-865.05,Revenue,Coastal Accessible Transport Services Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,20/02/29,VI-131779,7537.42,Revenue,Coastal Accessible Transport Services Ltd
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,12/02/29,VI-131276,438,Revenue,Park Now Limited
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,15/02/29,VI-131420,3797.13,Revenue,Park Now Limited
Corporate Services,ICT,Supplies and Services,Software Maintenance,12/02/29,VI-130993,300,Revenue,Code Enigma Limited
Planning and Coastal Management,Coastal Management,Supplies and Services,Furniture and Equipment,08/02/29,VI-130551,6961.29,Revenue,Colena Ltd t/a heliguy
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,08/02/29,VI-130923,370,Revenue,Community Action Suffolk
Community Health,Health and Wellbeing,Premises Expenses,Rents Payable,22/02/29,VI-131689,272,Revenue,Community Action Suffolk
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Miscellaneous Other Services,27/02/29,VI-132251,725,Revenue,Community Action Suffolk
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,08/02/29,VI-131028,2990,Revenue,SGS United Kingdom Ltd
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,15/02/29,VI-131421,23230.38,Revenue,SGS United Kingdom Ltd
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,20/02/29,VC-004051,-494.88,Revenue,SGS United Kingdom Ltd
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,20/02/29,VI-129611,20364.43,Revenue,SGS United Kingdom Ltd
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,20/02/29,VI-131860,1265,Revenue,SGS United Kingdom Ltd
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,05/02/29,VI-130750,482,Revenue,Cooks Blinds and Shutters Ltd
Leader of the Council,Legal,Supplies and Services,Legal Fees,12/02/29,VI-131401,975,Revenue,Cornerstone Barristers
Leader of the Council,Legal,Supplies and Services,Legal Fees,22/02/29,VI-131888,1344.5,Revenue,Cornerstone Barristers
Leader of the Council,Legal,Supplies and Services,Legal Fees,20/02/29,VI-131758,3000,Revenue,Cornerstone Barristers
Leader of the Council,Legal,Supplies and Services,Legal Fees,20/02/29,VI-131751,700,Revenue,Cornerstone Barristers
Leader of the Council,Legal,Supplies and Services,Legal Fees,20/02/29,VI-131752,1250,Revenue,Cornerstone Barristers
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Holding Account - Cash Out,Capital Expenditure,12/02/29,VI-131250,785.45,Capital,Covill Interiors Ltd
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Bank Fees,22/02/29,VI-131968,1187.08,Revenue,CPRAS
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,08/02/29,VI-129846,1425,Revenue,Create Consulting Engineers Ltd
