Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,25/09/2024,VI-120210,503.20,Revenue,Anglia Electrical & Security Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Building Services - Responsive Maintenance,03/09/2024,VI-121313,464.95,Revenue,Anglia Locksmiths and Safe Engineers Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,03/09/2024,VI-121386,613.47,Capital,Anglia Locksmiths and Safe Engineers Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Equipment Hire,06/09/2024,VI-121640,442.86,Revenue,Anglo Scottish Equipment (Southern) Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Furniture and Equipment,10/09/2024,VI-121494,566.66,Revenue,AO Business,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,General Purchases,06/09/2024,VI-119752,250.00,Revenue,Arborterra Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,06/09/2024,VI-121664,308.68,Revenue,Arena Partnership Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,27/09/2024,VI-122833,"10,010.00",Revenue,Asbestech Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,10/09/2024,VI-121747,375.85,Revenue,ASDA Stores Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,27/09/2024,VI-122814,"12,745.73",Revenue,Aspire Adaptations Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,10/09/2024,VI-121790,582.63,Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,13/09/2024,VI-122261,730.75,Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,24/09/2024,VI-122554,592.50,Revenue,A & S Recruitment,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Rents Payable,11/09/2024,VI-120825,"2,407.59",Revenue,Associated British Ports,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,27/09/2024,VI-122773,"5,389.37",Revenue,The Association for renewable energy & clean Techn,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,10/09/2024,VI-121607,261.64,Revenue,Atlassian Pty,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,10/09/2024,VI-121608,281.49,Revenue,Atlassian Pty,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Other Indirect Employee Expenses,03/09/2024,VI-121121,688.93,Revenue,AVC Wise Limited,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Other Indirect Employee Expenses,27/09/2024,VI-122827,761.46,Revenue,AVC Wise Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Supplies and Services,Consultants,13/09/2024,VI-122059,"9,743.00",Revenue,Avison Young (UK) Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,03/09/2024,VI-120478,"1,815.00",Revenue,BACT Community Transport,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,17/09/2024,VI-122355,"1,889.00",Revenue,BACT Community Transport,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122199,"6,975.00",Revenue,Badingham Parish Council,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,06/09/2024,VI-120406,"1,367,626.05",Capital,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,24/09/2024,VI-122255,"1,619.60",Revenue,Gordon Barber,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,24/09/2024,VI-122256,"1,722.60",Revenue,Gordon Barber,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Vandalism,24/09/2024,VI-122523,776.00,Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,06/09/2024,VI-121621,"6,421.38",Revenue,B & B Skip Hire,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,10/09/2024,VI-121852,"2,992.56",Revenue,B & B Skip Hire,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,17/09/2024,VI-122395,835.20,Revenue,B & B Skip Hire,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,17/09/2024,VI-122392,"2,644.80",Revenue,B & B Skip Hire,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,11/09/2024,VI-121439,"1,500.00",Revenue,Beccles Town Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122200,"118,660.00",Revenue,Beccles Town Council,,,,,,,,,,,,,,,
The Environment,Waste Management,Premises Expenses,Refuse Collection,27/09/2024,VI-122465,"3,000.00",Revenue,Beccles HCC Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,25/09/2024,VI-122620,"1,282.37",Revenue,Matt Bedding Plumbing and Heating,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,General Purchases,03/09/2024,VI-120254,258.00,Revenue,Bee-Line Entertainment and Leisure,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,06/09/2024,VI-121537,619.50,Revenue,Bevan Brittan LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,06/09/2024,VI-121567,381.73,Revenue,Bidwells LLP,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,27/09/2024,VI-122761,"1,000.00",Revenue,Bike Action North Suffolk,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,10/09/2024,VI-121412,256.00,Capital,Binder Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,10/09/2024,VI-119652,"4,405.50",Capital,BDB Pitmans LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,04/09/2024,VI-121348,838.00,Revenue,Birketts LLP,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,27/09/2024,VI-122755,"4,163.27",Revenue,Bison Electrical Services Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,27/09/2024,VI-122756,"4,485.00",Revenue,Bison Electrical Services Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Equipment Hire,24/09/2024,VI-122563,"1,426.00",Revenue,Blackwing Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,13/09/2024,VI-122092,"1,515.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,13/09/2024,VI-122262,"1,300.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,13/09/2024,VI-122298,"1,900.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Grants & Contributions,18/09/2024,VI-122434,755.00,Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,27/09/2024,VI-122075,"1,925.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,27/09/2024,VI-122076,"1,950.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122201,"5,699.50",Revenue,Blundeston and Flixton Parish Council,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,10/09/2024,VI-121518,395.00,Revenue,Booking.com,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,10/09/2024,VI-121884,279.60,Revenue,Booking.com,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,20/09/2024,VI-122390,978.76,Revenue,Bottomline,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,01/09/2024,VI-117904,"14,027.52",Revenue,BoxUp,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Housing Benefits,Third Party Payments,Other Local Authorities Third Party,24/09/2024,VI-121657,"8,978.16",Revenue,Breckland Council,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,03/09/2024,VI-121276,272.50,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,03/09/2024,VI-121278,283.50,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,03/09/2024,VI-121281,554.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,03/09/2024,VI-121283,403.70,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,10/09/2024,VI-121506,445.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,10/09/2024,VI-121514,283.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,10/09/2024,VI-121637,528.40,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,10/09/2024,VI-121792,283.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,10/09/2024,VI-121793,283.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,10/09/2024,VI-121795,505.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,10/09/2024,VI-121794,325.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,13/09/2024,VI-119688,531.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,13/09/2024,VI-119703,876.44,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,13/09/2024,VI-122018,279.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,13/09/2024,VI-122020,536.70,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,13/09/2024,VI-122021,406.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,13/09/2024,VI-122023,369.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,27/09/2024,VI-122066,326.50,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,27/09/2024,VI-122067,379.14,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,27/09/2024,VI-122481,497.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,27/09/2024,VI-122484,354.90,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,27/09/2024,VI-122068,411.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,17/09/2024,VI-121903,"1,310.14",Revenue,The Bridge Marketing Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,10/09/2024,VI-121834,380.00,Revenue,Britannia Safety & Training,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Electricity,27/09/2024,VI-122367,481.22,Revenue,British Gas,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Consultants,17/09/2024,VI-122311,"9,975.00",Revenue,Bristow Holland Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Transport Expenses,Other Indirect Transport Costs,10/09/2024,VI-121819,"8,772.00",Revenue,Broads Authority,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Transport Expenses,Other Indirect Transport Costs,13/09/2024,VI-121821,"2,278.00",Revenue,Broads Authority,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Transport Expenses,Other Indirect Transport Costs,13/09/2024,VI-121893,671.35,Revenue,Broads Authority,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Transport Expenses,Other Indirect Transport Costs,27/09/2024,VI-121822,"6,541.83",Revenue,Broads Authority,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,13/09/2024,VI-122011,783.00,Revenue,Browne Jacobson LLP,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Consultants,25/09/2024,VI-122748,911.50,Revenue,Brookbank Consulting Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,10/09/2024,VI-121833,494.00,Revenue,Broadland Home Interiors,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,10/09/2024,VI-121838,498.00,Revenue,Broadland Home Interiors,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,17/09/2024,VI-121843,"1,100.00",Revenue,British Telecom,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,17/09/2024,VI-121845,710.00,Revenue,British Telecom,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,24/09/2024,VI-122313,710.00,Revenue,British Telecom,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122202,"5,860.00",Revenue,Bucklesham Parish Council,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,13/09/2024,VI-121964,"2,775.00",Revenue,Building Partnerships Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,10/09/2024,VI-121491,"1,500.00",Revenue,Building Compliance (SW) Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,10/09/2024,VI-121739,"3,500.00",Capital,Building Compliance (SW) Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,04/09/2024,VI-121474,"1,740.00",Revenue,Bungay Town Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122203,"94,421.00",Revenue,Bungay Town Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Cleaning Materials,17/09/2024,VI-122346,"1,411.48",Revenue,Bunzl Cleaning & Hygiene Supplies,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Hardware Maintenance,11/09/2024,VI-121403,"5,872.26",Revenue,Bytes Software Services,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,17/09/2024,VI-122340,"1,249.50",Revenue,Bytes Software Services,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Materials For Resale,03/09/2024,VI-121294,270.99,Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Gas,24/09/2024,VI-122585,520.38,Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Materials For Resale,24/09/2024,VI-122737,768.77,Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,06/09/2024,VI-121758,"1,950.00",Capital,Canham Consulting Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,27/09/2024,VI-122511,500.00,Revenue,Canham Consulting Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,10/09/2024,VI-121545,"5,347.69",Revenue,Canada Life Ltd,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Bank Fees,13/09/2024,VI-121924,512.43,Revenue,Access Paysuite Ltd - 360,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,06/09/2024,VI-121667,329.00,Revenue,Carlton Colville Community Centre,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122204,"28,918.19",Revenue,Carlton Colville Town Council,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,13/09/2024,VI-122078,"1,742.50",Revenue,Carr Road Distribution Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Equipment Hire,06/09/2024,VI-121609,"1,673.69",Revenue,Car Hire (Day of Swansea) Ltd T/A Day's Rental,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,10/09/2024,VI-121907,"1,820.00",Revenue,Carrington West,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,17/09/2024,VI-122048,"1,820.00",Revenue,Carrington West,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,17/09/2024,VI-122356,"6,330.00",Revenue,Catch 22,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,04/09/2024,VI-121165,632.23,Capital,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,06/09/2024,VI-121341,384.60,Capital,CCS Media Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Hardware Purchases,06/09/2024,VI-121485,382.07,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Community Health,Food and Safety,Supplies and Services,Hardware Purchases,06/09/2024,VI-121486,"1,025.60",Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,13/09/2024,VI-121866,617.70,Capital,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,13/09/2024,VI-122103,256.40,Capital,CCS Media Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Hardware Purchases,13/09/2024,VI-122104,256.40,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Hardware Purchases,13/09/2024,VI-122107,384.60,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,17/09/2024,VI-122385,620.47,Capital,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Supplies and Services,Hardware Purchases,27/09/2024,VI-122807,512.80,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Employee Expenses,Officer Professional Subscriptions,18/09/2024,VI-122038,334.00,Revenue,Chartered Association of Building Engineers,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Supplies and Services,Stationery,10/09/2024,VI-121879,347.00,Revenue,Chartered Association of Building Engineers,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Supplies and Services,Stationery,10/09/2024,VI-121881,347.00,Revenue,Chartered Association of Building Engineers,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Technical Training,10/09/2024,VI-121766,440.00,Revenue,Chartered Institute Environmental Health,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Officer Professional Subscriptions,04/09/2024,VI-120479,262.68,Revenue,Chartered Institute of Housing,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Technical Training,10/09/2024,VI-121854,"2,800.00",Revenue,Chartered Institute of Public Finance & Accountanc,,,,,,,,,,,,,,,
