Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,23/07/2024,VI-118609,959.06,Revenue,C Brewer and Son,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,02/07/2024,VI-116815,359.70,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,02/07/2024,VI-116824,402.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,02/07/2024,VI-116830,250.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,02/07/2024,VI-116834,250.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,02/07/2024,VI-116840,289.50,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,02/07/2024,VI-116842,363.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,02/07/2024,VI-116844,414.60,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,02/07/2024,VI-116810,429.50,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,02/07/2024,VI-116813,500.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,09/07/2024,VI-117155,353.80,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,16/07/2024,VI-117151,257.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,16/07/2024,VI-117154,441.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,16/07/2024,VI-117156,292.48,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,16/07/2024,VI-117157,545.60,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,16/07/2024,VI-117369,333.70,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,24/07/2024,VI-117475,333.10,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,24/07/2024,VI-117476,727.50,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,30/07/2024,VI-118882,494.50,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,30/07/2024,VI-118884,646.70,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,30/07/2024,VI-118890,290.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,31/07/2024,VI-119016,320.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,31/07/2024,VI-119119,276.50,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,31/07/2024,VI-119132,283.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,31/07/2024,VI-119120,484.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,31/07/2024,VI-119217,363.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,31/07/2024,VI-119218,326.50,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,19/07/2024,VI-118367,500.00,Revenue,Breast Friends CIC,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,16/07/2024,VI-117839,550.00,Revenue,Britannia Safety & Training,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,16/07/2024,VI-117840,285.00,Revenue,Britannia Safety & Training,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,16/07/2024,VI-117843,600.00,Revenue,Britannia Safety & Training,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,30/07/2024,VI-118852,"1,212.00",Revenue,Britannia Safety & Training,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,30/07/2024,VI-118926,360.00,Revenue,Britannia Safety & Training,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Electricity,23/07/2024,VI-105371,312.67,Revenue,British Gas,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,10/07/2024,VI-117564,300.00,Revenue,British Gas,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Consultants,09/07/2024,VI-117375,"9,975.00",Revenue,Bristow Holland Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,31/07/2024,VI-119192,"1,176.00",Revenue,Britten Pears Arts,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,23/07/2024,VI-118517,617.16,Revenue,Broadland Housing Association Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,16/07/2024,VI-117988,"5,353.40",Revenue,Brown & Co Property and Business Consultants LLP,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Consultants,23/07/2024,VI-117859,"4,050.00",Revenue,Brookbank Consulting Ltd,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Supplies and Services,Telephone Calls/Data/Broadband,17/07/2024,VI-117888,"3,757.36",Revenue,British Telecommunications plc,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,17/07/2024,VI-117545,"1,100.00",Revenue,British Telecom,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,17/07/2024,VI-117546,710.00,Revenue,British Telecom,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,24/07/2024,VI-118141,710.00,Revenue,British Telecom,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,19/07/2024,VI-118413,300.00,Revenue,Bucklesham & Foxhall Village Hall,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,12/07/2024,VI-117715,"2,952.90",Revenue,Building Partnerships Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Officer Professional Subscriptions,10/07/2024,VI-117541,"3,042.00",Revenue,Building Cost Information Service Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,16/07/2024,VI-117343,"2,000.00",Revenue,Building Compliance (SW) Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,30/07/2024,VI-118750,"3,500.00",Capital,Building Compliance (SW) Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Cleaning Materials,16/07/2024,VI-117801,748.19,Revenue,Bunzl Cleaning & Hygiene Supplies,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,12/07/2024,VI-117723,"1,785.00",Revenue,Bytes Software Services,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,24/07/2024,VI-118437,"1,606.50",Revenue,Bytes Software Services,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Software Maintenance,24/07/2024,VI-118438,430.10,Revenue,Bytes Software Services,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Gas,09/07/2024,VI-117331,626.22,Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Materials For Resale,12/07/2024,VI-117740,338.34,Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Materials For Resale,31/07/2024,VI-119202,477.97,Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,
