Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,04/12/2024,VI-126418,"1,085.00",Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,04/12/2024,VI-126419,416.00,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,20/12/2024,VI-126967,389.00,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,20/12/2024,VI-126970,316.00,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,20/12/2024,VI-126972,542.50,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,20/12/2024,VI-126973,452.00,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,20/12/2024,VI-126974,674.60,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,20/12/2024,VI-126985,337.00,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,20/12/2024,VI-127149,485.00,Capital,Breydon Flooring Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,04/12/2024,VI-123376,575.00,Revenue,The Bridge Marketing Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,06/12/2024,VI-127044,582.94,Revenue,The Bridge Marketing Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,20/12/2024,VI-128109,600.00,Revenue,Britannia Safety & Training
Housing Revenue Account,HRA Special Services,Premises Expenses,Electricity,06/12/2024,VI-126912,317.12,Revenue,British Gas
Economic Development and Transport,Economic Regeneration,Premises Expenses,Electricity,13/12/2024,VI-127800,473.40,Revenue,British Gas - Business
Economic Development and Transport,Economic Regeneration,Premises Expenses,Electricity,13/12/2024,VI-127798,643.97,Revenue,British Gas - Business
Planning and Coastal Management,Building Control,Supplies and Services,Corporate Subscriptions,03/12/2024,VI-126759,"2,557.00",Revenue,British Standards Institution
Community Health,Port Health Authority,Supplies and Services,Consultants,17/12/2024,VI-127309,"10,500.00",Revenue,Bristow Holland Ltd
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Transport Expenses,Other Indirect Transport Costs,20/12/2024,VI-128289,"2,771.00",Revenue,Broads Authority
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,06/12/2024,VI-127099,"1,000.00",Revenue,Bromeswell Village Hall
Leader of the Council,Legal,Supplies and Services,Legal Fees,06/12/2024,VI-125879,"1,682.20",Revenue,Browne Jacobson LLP
Leader of the Council,Legal,Supplies and Services,Legal Fees,24/12/2024,VI-128039,"2,043.40",Revenue,Browne Jacobson LLP
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,24/12/2024,VI-128237,500.00,Revenue,Broadland Home Interiors
Housing Revenue Account,HRA Special Services,Supplies and Services,Telephone Calls/Data/Broadband,04/12/2024,VI-126920,"5,211.95",Revenue,British Telecommunications plc
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,17/12/2024,VI-127368,710.00,Revenue,British Telecom
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,17/12/2024,VI-127371,"1,100.00",Revenue,British Telecom
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,24/12/2024,VI-127814,710.00,Revenue,British Telecom
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,10/12/2024,VI-127422,"1,912.50",Revenue,Building Partnerships Ltd
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Software Maintenance,06/12/2024,VI-126659,446.25,Revenue,Bytes Software Services
Economic Development and Transport,Economic Development,Supplies and Services,Software Maintenance,24/12/2024,VI-128320,285.60,Revenue,Bytes Software Services
Financial Resources and Value for Money,Internal Audit and Corporate Investigations,Supplies and Services,Audit Fees,13/12/2024,VI-127586,"2,685.00",Revenue,Cabinet Office
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,13/12/2024,VI-127438,762.00,Capital,Cadent Gas Limited
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Gas,10/12/2024,VI-127255,607.32,Revenue,Calor Gas Ltd
"Communities, Culture, Leisure and Tourism",Outdoor Leisure,Supplies and Services,S106 REFCUS,17/12/2024,VI-127685,"1,493.30",Revenue,Campsea Ashe Parish Council
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,10/12/2024,VI-126359,"20,316.00",Capital,Access Paysuite Ltd - 360
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Bank Fees,13/12/2024,VI-127486,364.68,Revenue,Access Paysuite Ltd - 360
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,10/12/2024,VI-127415,720.00,Revenue,Carlton Colville Town Council
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,17/12/2024,VI-127833,"1,682.50",Revenue,Carr Road Distribution Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,24/12/2024,VI-128630,898.00,Revenue,2nd Carlton Colville Scout Group
The Environment,Environmental Protection,Supplies and Services,Furniture and Equipment,06/12/2024,VI-126915,490.92,Revenue,Car Hire (Day of Swansea) Ltd T/A Day's Rental
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Materials For Resale,06/12/2024,VI-127060,"1,619.70",Revenue,Car Hire (Day of Swansea) Ltd T/A Day's Rental
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,06/12/2024,VI-127045,"1,820.00",Revenue,Carrington West
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,18/12/2024,VI-127955,"1,820.00",Revenue,Carrington West
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,18/12/2024,VI-127956,"1,872.00",Revenue,Carrington West
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,20/12/2024,VI-127901,"1,820.00",Revenue,Carrington West
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,24/12/2024,VI-128704,978.83,Revenue,Carlton Colville Primary School
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Hardware Purchases,06/12/2024,VI-126655,"1,025.60",Revenue,CCS Media Limited
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Hardware Purchases,18/12/2024,VI-127500,923.20,Revenue,CCS Media Limited
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Hardware Purchases,18/12/2024,VI-127501,256.40,Revenue,CCS Media Limited
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,20/12/2024,VI-127499,256.40,Capital,CCS Media Limited
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Hardware Purchases,20/12/2024,VI-127502,585.86,Revenue,CCS Media Limited
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,24/12/2024,VI-127958,269.50,Capital,CCS Media Limited
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,24/12/2024,VI-128627,922.15,Capital,CCS Media Limited
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,10/12/2024,VI-127271,"4,500.00",Revenue,Century Training Academy Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Consultants,13/12/2024,VI-125705,"12,600.00",Revenue,Certa Partnership Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Consultants,13/12/2024,VI-127037,"25,200.00",Revenue,Certa Partnership Ltd
Community Health,Port Health Authority,Employee Expenses,Officer Professional Subscriptions,03/12/2024,VI-126510,258.00,Revenue,Chartered Institute of Environmental Health
Community Health,Port Health Authority,Employee Expenses,Officer Professional Subscriptions,03/12/2024,VI-126684,263.00,Revenue,Chartered Institute of Environmental Health
Community Health,Port Health Authority,Employee Expenses,Officer Professional Subscriptions,03/12/2024,VI-126685,263.00,Revenue,Chartered Institute of Environmental Health
Community Health,Port Health Authority,Employee Expenses,Officer Professional Subscriptions,03/12/2024,VI-126689,263.00,Revenue,Chartered Institute of Environmental Health
Community Health,Port Health Authority,Employee Expenses,Officer Professional Subscriptions,03/12/2024,VI-126690,263.00,Revenue,Chartered Institute of Environmental Health
Community Health,Port Health Authority,Employee Expenses,Officer Professional Subscriptions,20/12/2024,VI-126686,263.00,Revenue,Chartered Institute of Environmental Health
Community Health,Port Health Authority,Employee Expenses,Officer Professional Subscriptions,20/12/2024,VI-126688,263.00,Revenue,Chartered Institute of Environmental Health
Community Health,Port Health Authority,Employee Expenses,Officer Professional Subscriptions,20/12/2024,VI-128153,263.00,Revenue,Chartered Institute of Environmental Health
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Qualification Training,10/12/2024,VI-126899,280.00,Revenue,Chartered Institute Environmental Health
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Qualification Training,10/12/2024,VI-126900,280.00,Revenue,Chartered Institute Environmental Health
Deputy Leader and Housing,Housing Needs,Employee Expenses,Officer Professional Subscriptions,11/12/2024,VI-128071,262.00,Revenue,Chartered Institute of Housing
Housing Revenue Account,HRA Special Services,Employee Expenses,Technical Training,24/12/2024,VI-127945,375.00,Revenue,Chartered Institute of Housing
Financial Resources and Value for Money,Financial Services,Employee Expenses,Officer Professional Subscriptions,10/12/2024,VI-126820,365.00,Revenue,Chartered Institute of Management Accountants
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,06/12/2024,VI-127024,"10,000.00",Capital,Chaplin Farrant Ltd
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,06/12/2024,VI-127025,"6,125.00",Capital,Chaplin Farrant Ltd
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,10/12/2024,VI-127228,"6,000.00",Revenue,Chaplin Farrant Ltd
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,27/12/2024,VI-127201,"4,000.00",Capital,Chaplin Farrant Ltd
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,13/12/2024,VI-127252,"9,340.50",Revenue,Chase Services Group Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,10/12/2024,VI-127020,"14,619.41",Revenue,City Electrical Factors Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,10/12/2024,VI-127251,"9,177.77",Revenue,City Electrical Factors Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,13/12/2024,VI-127748,"6,667.92",Revenue,City Electrical Factors Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,24/12/2024,VI-128645,"6,235.20",Revenue,City Electrical Factors Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Clothing & Uniforms,24/12/2024,VI-128686,"35,072.39",Revenue,City Electrical Factors Ltd
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Purchases,03/12/2024,VC-003876,-750.00,Revenue,Civica UK Ltd
Deputy Leader and Housing,Housing Needs,Supplies and Services,Software Maintenance,03/12/2024,VI-125682,"10,851.05",Revenue,Civica UK Ltd
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Purchases,03/12/2024,VI-126741,"1,750.00",Revenue,Civica UK Ltd
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Purchases,10/12/2024,VI-127026,"3,000.00",Revenue,Civica UK Ltd
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Other Cleaning Services,27/12/2024,VI-128466,508.00,Revenue,C and L Waste Oil Collection
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,20/12/2024,VC-003887,"-4,500.00",Revenue,CMC Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,01/12/2024,VC-003888,"-11,288.57",Revenue,CMC Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,20/12/2024,VI-127299,"12,148.57",Revenue,CMC Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,20/12/2024,VI-127297,"5,360.00",Revenue,CMC Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,18/12/2024,VC-003902,-928.17,Revenue,Coastal Accessible Transport Services Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,18/12/2024,VI-127865,"7,537.42",Revenue,Coastal Accessible Transport Services Ltd
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,10/12/2024,VI-127106,442.00,Revenue,Park Now Limited
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,13/12/2024,VI-127561,"3,925.01",Revenue,Park Now Limited
Corporate Services,ICT,Supplies and Services,Software Maintenance,10/12/2024,VI-127040,300.00,Revenue,Code Enigma Limited
Economic Development and Transport,Parking Services,Premises Expenses,Rents Payable,03/12/2024,VI-126408,"1,125.00",Revenue,Colliers International-Common Clients
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,24/12/2024,VI-128439,256.00,Revenue,Combined Heating Services Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,03/12/2024,VI-126830,270.00,Revenue,Command Pest Control Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,03/12/2024,VI-126832,380.00,Revenue,Command Pest Control Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,03/12/2024,VI-126825,490.00,Revenue,Command Pest Control Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,13/12/2024,VI-126991,285.00,Revenue,Command Pest Control Ltd
Corporate Services,Human Resources,Supplies and Services,Miscellaneous Other Services,03/12/2024,VI-125966,700.00,Revenue,Combat2Coffee CIC
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,04/12/2024,VI-126880,"1,955.00",Revenue,SGS United Kingdom Ltd
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,13/12/2024,VI-127624,"19,166.88",Revenue,SGS United Kingdom Ltd
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,27/12/2024,VI-127206,"1,955.00",Revenue,SGS United Kingdom Ltd
Leader of the Council,Legal,Supplies and Services,Legal Fees,13/12/2024,VI-127599,"5,000.00",Revenue,Cornerstone Barristers
Leader of the Council,Legal,Supplies and Services,Legal Fees,06/12/2024,VI-126872,"1,150.00",Revenue,Cornerstone Barristers
Leader of the Council,Legal,Supplies and Services,Legal Fees,06/12/2024,VI-127011,"4,500.00",Revenue,Cornerstone Barristers
Leader of the Council,Legal,Supplies and Services,Legal Fees,20/12/2024,VI-128005,"2,000.00",Revenue,Cornerstone Barristers
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,16/12/2024,VI-121057,"9,939.75",Revenue,CF Corporate Finance Ltd
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Bank Fees,24/12/2024,VI-128186,"1,279.08",Revenue,CPRAS
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,24/12/2024,VI-128299,772.50,Revenue,Create Consulting Engineers Ltd
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,11/12/2024,VI-127432,780.00,Revenue,Crisp Design Services Ltd (T/A Crisp Photography
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,24/12/2024,VI-127430,455.00,Revenue,Crisp Design Services Ltd (T/A Crisp Photography
Community Health,Port Health Authority,Supplies and Services,Consultants,03/12/2024,VI-126808,"1,627.50",Revenue,Crystolutions Ltd
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,18/12/2024,VI-127565,"3,109.74",Revenue,Daisy Communications Ltd
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,18/12/2024,VI-127480,"64,500.00",Capital,Dell Corporation Ltd
Leader of the Council,Electoral Services,Supplies and Services,Software Maintenance,06/12/2024,VI-127079,"4,110.75",Revenue,Democracy Counts Ltd
Leader of the Council,Electoral Services,Supplies and Services,Software Maintenance,10/12/2024,VI-127447,"2,156.60",Revenue,Democracy Counts Ltd
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Software Maintenance,10/12/2024,VI-127241,"1,430.00",Revenue,De Sudor
Economic Development and Transport,Felixstowe Vision Development,Supplies and Services,General Purchases,13/12/2024,VI-125888,500.00,Revenue,Destination Research Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,10/12/2024,VI-127453,426.43,Capital,S W Dewell
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,06/12/2024,VI-127173,"2,385.53",Revenue,DG Accessible Designs
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,06/12/2024,VI-127036,395.11,Revenue,DG Accessible Designs
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/12/2024,VI-127541,702.13,Revenue,DG Accessible Designs
