Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,02/10/2024,VI-123091,880.00,Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Miscellaneous Other Services,04/10/2024,VI-122718,816.67,Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Miscellaneous Other Services,08/10/2024,VI-122810,495.00,Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,15/10/2024,VI-122930,458.33,Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,29/10/2024,VI-124766,"1,950.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,29/10/2024,VI-124767,"1,995.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,30/10/2024,VI-124832,"1,995.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,04/10/2024,VI-123302,780.00,Revenue,Blundeston and Flixton Parish Council,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,21/10/2024,VI-124631,969.17,Revenue,Bottomline,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124357,"4,101.60",Revenue,Bramfield & Thorington PC,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Housing Benefits,Third Party Payments,Other Local Authorities Third Party,08/10/2024,VI-123337,"8,978.16",Revenue,Breckland Council,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,01/10/2024,VI-122838,320.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,01/10/2024,VI-122839,294.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,01/10/2024,VI-122840,519.47,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,01/10/2024,VI-123028,353.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,01/10/2024,VI-123034,338.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,01/10/2024,VI-123036,"1,223.00",Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,01/10/2024,VI-123039,415.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,01/10/2024,VI-123040,360.30,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,01/10/2024,VI-122876,641.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,01/10/2024,VI-122875,342.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,01/10/2024,VI-122866,594.65,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,01/10/2024,VI-122861,441.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,01/10/2024,VI-122859,360.90,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,01/10/2024,VI-122850,333.10,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,01/10/2024,VI-122837,368.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,11/10/2024,VI-122856,722.50,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,16/10/2024,VI-124119,311.20,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
