Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,02/10/2024,VI-121487,319.98,Revenue,Landmark Fencing Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,09/10/2024,VI-123277,994.75,Revenue,Landmark Fencing Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,15/10/2024,VI-123985,"1,229.40",Revenue,Landmark Fencing Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,23/10/2024,VI-124445,439.21,Revenue,Landmark Fencing Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124444,391.74,Revenue,Landmark Fencing Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-123275,573.29,Revenue,Landmark Fencing Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,01/10/2024,VI-122055,"3,940.75",Revenue,LDA Design Consultancy Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,11/10/2024,VI-123922,"10,944.26",Revenue,LDA Design Consultancy Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,11/10/2024,VI-123923,"3,000.00",Revenue,LDA Design Consultancy Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Building Services - Responsive Maintenance,04/10/2024,VI-123190,987.48,Revenue,LEC Marine (Klyne) Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Minor Improvements,04/10/2024,VI-123191,"11,250.00",Revenue,LEC Marine (Klyne) Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Building Services - Planned Maintenance,22/10/2024,VI-123771,838.00,Revenue,LEC Marine (Klyne) Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,10/10/2024,VI-124135,"12,995.50",Revenue,Legal and General Assurance Society Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,15/10/2024,VI-124305,"14,510.24",Revenue,Legal and General Assurance Society Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,01/10/2024,VI-122864,"1,000.00",Revenue,Leiston-cum-Sizewell Town Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,01/10/2024,VI-122865,970.00,Revenue,Leiston-cum-Sizewell Town Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124372,"6,127.99",Revenue,Leiston-cum-Sizewell Town Council,,,,,,,,,,,,,,,
Leader of the Council,Communications,Supplies and Services,Marketing & Promotions,01/10/2024,VI-118187,340.00,Revenue,Leiston Press,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,External Printing,04/10/2024,VI-123050,995.00,Revenue,Leiston Press,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,External Printing,08/10/2024,VI-123534,340.00,Revenue,Leiston Press,,,,,,,,,,,,,,,
Community Health,Community Safety,Supplies and Services,Grants & Contributions,25/10/2024,VI-124295,658.00,Revenue,Leiston Press,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Furniture and Equipment,11/10/2024,VI-123121,"3,234.72",Revenue,Lets Connect IT Solutions Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Furniture and Equipment,11/10/2024,VI-123123,448.80,Revenue,Lets Connect IT Solutions Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Furniture and Equipment,15/10/2024,VI-123980,259.08,Revenue,Lets Connect IT Solutions Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,29/10/2024,VI-124705,895.00,Revenue,Level 2 Youth Project,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,29/10/2024,VI-124751,"1,500.00",Revenue,Levington & Stratton Hall PC,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,22/10/2024,VI-124192,441.09,Revenue,Lisa's Homes,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124373,"17,542.90",Revenue,Little Bealings Parish Council,,,,,,,,,,,,,,,
The Environment,Waste Management,Supplies and Services,General Purchases,29/10/2024,VI-124541,900.00,Revenue,Litter Free Felixstowe,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Bank Fees,14/10/2024,VI-124297,"2,188.59",Revenue,Lloyds Bank Group,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Bank Fees,14/10/2024,VI-124298,"6,847.99",Revenue,Lloyds Bank Group,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Directors and PA's,Supplies and Services,Conference Fees,01/10/2024,VC-003754,"-7,371.00",Revenue,Local Government Association,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Directors and PA's,Supplies and Services,Conference Fees,01/10/2024,VC-003762,"-7,938.00",Revenue,Local Government Association,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Directors and PA's,Supplies and Services,Conference Fees,01/10/2024,VI-122404,"7,938.00",Revenue,Local Government Association,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Directors and PA's,Supplies and Services,Conference Fees,01/10/2024,VI-122582,"8,505.00",Revenue,Local Government Association,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,04/10/2024,VI-123115,933.00,Revenue,Logistics UK T/AS Freight Transport Association),,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,15/10/2024,VI-123575,"5,839.25",Revenue,Rossi Long Consulting Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,29/10/2024,VI-124753,478.50,Revenue,Lound Parish Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,08/10/2024,VI-123398,"2,000.00",Revenue,Lound Village Hall,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,29/10/2024,VI-124793,"1,000.00",Revenue,Lound Village Hall,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/10/2024,VI-124557,"2,000.00",Revenue,Lowestoft Community Church,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/10/2024,VI-124559,850.00,Revenue,Lowestoft Community Church,,,,,,,,,,,,,,,
Corporate Services,Operational Management,Supplies and Services,Legal Fees,08/10/2024,VI-122079,500.00,Revenue,Lowestoft Town Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124374,"3,634.81",Revenue,Lowestoft Town Council,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Other REFCUS,25/10/2024,VI-124549,"100,000.00",Revenue,Lowestoft Town Council,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Grants & Contributions,30/10/2024,VI-124827,"250,000.00",Revenue,Lowestoft Town Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,09/10/2024,VI-123630,"18,603.23",Revenue,Lowestoft Vision,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,11/10/2024,VI-123648,"11,270.30",Revenue,Lowestoft Vision,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,18/10/2024,VI-124161,"1,500.00",Revenue,Lowestoft North Cliff Community Garden,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,11/10/2024,VI-123535,"3,075.00",Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,11/10/2024,VI-123543,647.28,Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,18/10/2024,VI-124299,559.00,Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,22/10/2024,VI-124341,"2,034.05",Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,29/10/2024,VI-124770,507.03,Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,30/10/2024,VI-124826,"2,057.35",Capital,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,23/10/2024,VI-124349,900.00,Revenue,MACC International Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,16/10/2024,VI-122603,"36,470.00",Revenue,Marsh Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Consultants,08/10/2024,VI-123669,"7,400.00",Revenue,March Web Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,01/10/2024,VI-118881,"25,842.50",Revenue,MENTA - Mid Anglian Enterpirse Agency Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,23/10/2024,VI-124433,550.00,Capital,Micro Geotechnical Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Supplies and Services,Other Ext Provided Services,18/10/2024,VI-124140,330.00,Revenue,Mid Suffolk District Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124376,"1,052.98",Revenue,Middleton Parish Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,21/10/2024,VI-113633,"3,808,167.00",Revenue,"Dept Levelling Up, Housing & Communities",,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,09/10/2024,VI-123293,"1,078.57",Revenue,MLL Telecom Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Other Ext Provided Services,16/10/2024,VI-124122,723.20,Revenue,Mobile Mini UK Ltd,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Premises Expenses,Building Services - Planned Maintenance,04/10/2024,VI-123063,"2,500.00",Revenue,Morton Partnership Ltd,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Premises Expenses,Building Services - Responsive Maintenance,15/10/2024,VI-123968,"7,748.00",Revenue,Mountain Builders,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,18/10/2024,VI-124238,"2,845.00",Revenue,Mountfield Services Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Building Services - Responsive Maintenance,22/10/2024,VI-124274,597.70,Revenue,Multifuel Eco Stove,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Clothing & Uniforms,04/10/2024,VI-123349,"1,302.85",Revenue,Munnings Supplies Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,29/10/2024,VI-124661,505.96,Revenue,Mutford Parish Council,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,29/10/2024,VI-124749,875.00,Revenue,East Coast Jazz,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,04/10/2024,VI-123014,"1,206.86",Revenue,St Edmundsbury and Ipswich Diocesan MAT,,,,,,,,,,,,,,,
Leader of the Council,Communications,Supplies and Services,Postages,04/10/2024,VI-121773,"9,463.81",Revenue,The National Leaflet Company,,,,,,,,,,,,,,,
Leader of the Council,Communications,Supplies and Services,Postages,04/10/2024,VI-121774,709.17,Revenue,The National Leaflet Company,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,08/10/2024,VI-123400,"5,484.00",Revenue,Natural Habitat,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,15/10/2024,VI-123989,621.00,Revenue,Need 2 Store Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Hardware Maintenance,01/10/2024,VI-121092,250.00,Revenue,Quadient UK Ltd - Formerly Neopost UK,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,16/10/2024,VI-124189,423.92,Revenue,Newsquest Media Group Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,16/10/2024,VI-123845,423.92,Revenue,Newsquest Media Group Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,22/10/2024,VI-124407,"1,430.73",Revenue,Newsquest Media Group Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,22/10/2024,VI-124408,"1,226.34",Revenue,Newsquest Media Group Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,22/10/2024,VI-124409,726.72,Revenue,Newsquest Media Group Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,22/10/2024,VI-124410,"9,878.85",Revenue,Newsquest Media Group Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,30/10/2024,VI-124858,666.16,Revenue,Newsquest Media Group Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,25/10/2024,VI-124464,"1,293.25",Revenue,Next Thing Education Camps,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,25/10/2024,VI-124465,398.20,Revenue,Next Thing Education Camps,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Rents Payable,08/10/2024,VI-123515,750.00,Revenue,Nicholas Everitt Park Trust,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,25/10/2024,VI-124644,"11,909.35",Revenue,Norfolk County Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124379,"2,030.84",Revenue,North Cove Parish Council,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Employee Expenses,Contract Staff,04/10/2024,VI-123232,"12,046.42",Revenue,North Norfolk District Council,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Equipment Hire,15/10/2024,VI-124131,563.92,Revenue,Northgate Vehicle Hire Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,08/10/2024,VI-123365,750.00,Revenue,Norris Media Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,08/10/2024,VI-123366,350.00,Revenue,Norris Media Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,09/10/2024,VI-123563,"2,333.00",Revenue,Norris Media Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Other Ext Provided Services,08/10/2024,VI-123098,"13,500.00",Revenue,NWES Property Services Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Other Ext Provided Services,08/10/2024,VI-123099,"11,100.00",Revenue,NWES Property Services Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,01/10/2024,VI-116880,"1,732.58",Capital,M S Oakes Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,18/10/2024,VI-123380,"9,930.38",Capital,M S Oakes Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,01/10/2024,VC-003796,"-14,350.75",Capital,M S Oakes Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,30/10/2024,VI-124526,400.00,Revenue,Oakfield Arboricultural Services Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Electricity,01/10/2024,VI-122871,257.69,Revenue,Octopus Energy Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Vandalism,22/10/2024,VI-124242,470.00,Revenue,Odd Bods exterior cleaning specialist Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Premises Expenses,Building Services - Planned Maintenance,25/10/2024,VI-124550,450.00,Revenue,OnSite Central Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Employee Expenses,Qualification Training,25/10/2024,VI-124542,"3,636.00",Revenue,The Open University,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Consultants,02/10/2024,VI-122740,"6,000.00",Revenue,Optima Digital Solutions Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,15/10/2024,VI-124033,"5,016.64",Revenue,Orchard Information Systems Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124380,"3,885.96",Revenue,Orford & Gedgrave Parish Cncl,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,30/10/2024,VI-124846,"1,144.25",Revenue,Orwell Housing Association,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124381,"27,016.00",Revenue,Otley Parish Council,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,09/10/2024,VI-123613,"20,000.00",Revenue,Ove Arup & Partners Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,01/10/2024,VI-123005,"4,125.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,08/10/2024,VI-123003,"1,471.25",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Contract Staff,08/10/2024,VI-123521,"4,375.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,08/10/2024,VI-123522,"1,593.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,08/10/2024,VI-123523,"2,360.44",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Contract Staff,15/10/2024,VI-124078,"4,250.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,15/10/2024,VI-124077,"2,301.52",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,15/10/2024,VI-124076,"1,593.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,22/10/2024,VI-124401,"1,593.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,22/10/2024,VI-124403,"1,255.27",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Contract Staff,22/10/2024,VI-124404,"4,250.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,22/10/2024,VI-124405,"3,025.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,29/10/2024,VI-124730,443.63,Revenue,The Oyster Partnership,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,29/10/2024,VI-124726,"3,025.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,29/10/2024,VI-124728,"1,593.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Contract Staff,29/10/2024,VI-124731,"4,250.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,10/10/2024,VI-123627,649.00,Revenue,Paddle.Net,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Building Services - Responsive Maintenance,04/10/2024,VI-123094,"2,201.59",Revenue,Panks Engineers Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Grounds Maintenance - Other,11/10/2024,VI-122975,"2,007.86",Revenue,Panks Engineers Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,18/10/2024,VI-124221,450.00,Capital,Parish Land Surveys Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,15/10/2024,VI-123981,675.00,Revenue,Paragon Business Finance Plc - Factor,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,15/10/2024,VI-123982,"2,275.00",Revenue,Paragon Business Finance Plc - Factor,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Internal Audit and Corporate Investigations,Supplies and Services,Publication Expense,02/10/2024,VI-123053,"1,200.50",Revenue,PDP Companies Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Asbestos,11/10/2024,VI-123444,"4,418.40",Revenue,Pennington Choices Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Consultants,15/10/2024,VI-123840,"31,854.41",Revenue,Pennington Choices Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,15/10/2024,VI-124144,595.26,Revenue,Pennington Choices Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Asbestos,25/10/2024,VI-124545,"1,122.77",Revenue,Pennington Choices Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,09/10/2024,VI-123716,"17,120.40",Revenue,Perfect Circle JV Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,11/10/2024,VI-122012,"20,794.06",Revenue,Perfect Circle JV Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,15/10/2024,VI-124152,423.00,Revenue,The PE Shed,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,15/10/2024,VI-124153,352.50,Revenue,The PE Shed,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,15/10/2024,VI-124154,423.00,Revenue,The PE Shed,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,25/10/2024,VI-124466,423.00,Revenue,The PE Shed,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,25/10/2024,VI-124467,423.00,Revenue,The PE Shed,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,25/10/2024,VI-124468,352.50,Revenue,The PE Shed,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124382,"13,607.20",Revenue,Pettistree Parish Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,11/10/2024,VI-123894,"2,990.40",Revenue,Pier Marketing Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Supplies and Services,Other Ext Provided Services,01/10/2024,VI-123037,"2,328.00",Revenue,Places for People,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Supplies and Services,Other Ext Provided Services,01/10/2024,VI-123038,"2,328.00",Revenue,Places for People,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Third Party Payments,Private Contractors,08/10/2024,VI-123530,"11,845.09",Revenue,Places for people,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Other Ext Provided Services,04/10/2024,VI-123271,"1,156.00",Revenue,Planning Portal,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,01/10/2024,VI-122858,"4,556.00",Revenue,Polycastle Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Premises Expenses,Electricity,15/10/2024,VI-124035,"1,300.44",Revenue,Port of Felixstowe,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Premises Expenses,Electricity,15/10/2024,VI-124037,982.13,Revenue,Port of Felixstowe,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,"HRA Drainage, Pumping Stat etc",04/10/2024,VI-123001,350.00,Revenue,Precision Pipework Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,"HRA Drainage, Pumping Stat etc",25/10/2024,VI-124428,350.00,Revenue,Precision Pipework Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Directors and PA's,Supplies and Services,Hotel Accommodation,10/10/2024,VI-123143,408.31,Revenue,Premier Inn,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Directors and PA's,Supplies and Services,Hotel Accommodation,10/10/2024,VI-123151,302.48,Revenue,Premier Inn,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,18/10/2024,VI-124169,"1,087.12",Revenue,Premier Sportscoach Solutions,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,25/10/2024,VI-124460,"1,475.00",Revenue,Premier Sportscoach Solutions,,,,,,,,,,,,,,,
