Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Community Health,Health and Wellbeing,Supplies and Services,Other Ext Provided Services,30/08/2024,VI-121087,598.00,Revenue,ALLEN CARR'S EASYWAY (INTERNATIONAL) LTD,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,06/08/2024,VI-119649,"10,415.76",Revenue,Amazon (AWS),,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,06/08/2024,VI-119651,"15,735.04",Revenue,Amazon (AWS),,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Furniture and Equipment,13/08/2024,VI-120063,"2,092.58",Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,13/08/2024,VI-120119,296.67,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,23/08/2024,VI-115192,"1,027.11",Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,16/08/2024,VI-120111,294.97,Revenue,Anglia Electrical & Security Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,07/08/2024,VI-119466,270.00,Capital,Anglian Demolition & Asbestos Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,20/08/2024,VI-119465,"26,350.00",Capital,Anglian Demolition & Asbestos Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Equipment Hire,09/08/2024,VI-119773,442.86,Revenue,Anglo Scottish Equipment (Southern) Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Equipment Hire,23/08/2024,VI-120890,442.86,Revenue,Anglo Scottish Equipment (Southern) Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Equipment Hire,23/08/2024,VI-120894,428.58,Revenue,Anglo Scottish Equipment (Southern) Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Pest Control,20/08/2024,VI-118729,750.00,Revenue,A P C Pest Control Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Pest Control,20/08/2024,VI-118730,450.00,Revenue,A P C Pest Control Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Pest Control,20/08/2024,VI-118731,375.00,Revenue,A P C Pest Control Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,06/08/2024,VI-119390,"16,377.79",Capital,Aran Insulation Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,09/08/2024,VI-119934,354.24,Revenue,Arena Partnership Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,16/08/2024,VI-120416,"3,347.50",Revenue,Asbestech Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Legal Fees,30/08/2024,VI-120809,"3,115.97",Revenue,Ashfords LLP,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,14/08/2024,VI-120397,"6,108.99",Revenue,Aspire Adaptations Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,06/08/2024,VI-119326,"2,051.65",Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Recruitment Advertising,06/08/2024,VI-119508,"4,141.80",Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,13/08/2024,VI-120041,"1,774.21",Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,20/08/2024,VI-120520,535.50,Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,28/08/2024,VI-121038,286.38,Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Recruitment Advertising,28/08/2024,VI-120849,"2,500.00",Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,30/08/2024,VI-121229,730.75,Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Employee Expenses,Technical Training,09/08/2024,VI-119973,"5,110.80",Revenue,Association of Electoral Administrators,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,09/08/2024,VI-119779,265.80,Revenue,Atlassian Pty,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,09/08/2024,VI-119780,275.13,Revenue,Atlassian Pty,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Other Indirect Employee Expenses,14/08/2024,VI-118920,861.60,Revenue,AVC Wise Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Planned Maintenance,28/08/2024,VI-120967,"3,146.00",Revenue,Bailey International Steeplejack Co Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Employee Expenses,Technical Training,16/08/2024,VI-120260,"4,680.00",Revenue,Bal Kaur Howard (BKH Training),,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Grants & Contributions,21/08/2024,VI-120790,"1,000.00",Revenue,Elizabeth Baalham-Williams,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,07/08/2024,VC-003691,-273.40,Revenue,Gordon Barber,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Software Maintenance,13/08/2024,VI-119330,318.68,Revenue,Bartec Municipal Technologies Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Software Maintenance,23/08/2024,VI-120441,537.54,Revenue,Bartec Municipal Technologies Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,30/08/2024,VI-120674,"1,008.00",Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,30/08/2024,VI-120676,"2,397.20",Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,09/08/2024,VI-119742,"4,643.66",Revenue,B & B Skip Hire,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,20/08/2024,VI-120216,440.00,Revenue,B & B Skip Hire,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Software Purchases,09/08/2024,VI-119745,600.00,Revenue,Be Collective International,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,09/08/2024,VI-120003,"5,549.21",Revenue,Matt Bedding Plumbing and Heating,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,16/08/2024,VI-120445,"7,064.51",Revenue,Matt Bedding Plumbing and Heating,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Artists Fees,20/08/2024,VI-113914,"2,440.00",Revenue,Bee-Line Entertainment and Leisure,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Artists Fees,20/08/2024,VI-113915,"2,340.00",Revenue,Bee-Line Entertainment and Leisure,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Equipment Hire,20/08/2024,VI-120403,"3,000.00",Revenue,Bee-Line Entertainment and Leisure,,,,,,,,,,,,,,,
The Environment,Waste Management,Premises Expenses,Refuse Collection,13/08/2024,VI-119935,600.00,Revenue,Stuart Beer and Co Ltd,,,,,,,,,,,,,,,
The Environment,Waste Management,Premises Expenses,Refuse Collection,13/08/2024,VI-119936,600.00,Revenue,Stuart Beer and Co Ltd,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,09/08/2024,VI-119948,"5,883.50",Revenue,Bevan Brittan LLP,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Other Ext Provided Services,01/08/2024,VC-003627,-299.00,Revenue,Birketts LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,14/08/2024,VI-120390,438.50,Revenue,Birketts LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,16/08/2024,VI-120475,"1,961.50",Revenue,Birketts LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,20/08/2024,VI-120593,"9,979.00",Revenue,Birketts LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,20/08/2024,VI-120632,"2,153.00",Revenue,Birketts LLP,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Legal Fees,23/08/2024,VI-119825,598.00,Revenue,Birketts LLP,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Premises Expenses,Building Services - Responsive Maintenance,23/08/2024,VI-120672,"1,934.50",Revenue,Bison Electrical Services Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,13/08/2024,VI-120125,"1,845.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,16/08/2024,VI-120470,620.00,Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Grants & Contributions,21/08/2024,VI-119418,595.00,Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Grants & Contributions,23/08/2024,VI-119416,"1,100.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,23/08/2024,VI-120889,"1,950.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,23/08/2024,VI-120891,"1,995.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,23/08/2024,VI-120892,"1,995.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,09/08/2024,VI-119930,494.00,Revenue,Blundeston and Flixton Parish Council,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,09/08/2024,VI-119432,973.00,Revenue,Booking.com,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,14/08/2024,VC-003702,-777.86,Revenue,Booking.com,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,20/08/2024,VI-105775,"1,003.75",Revenue,Bottomline,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Hotel Accommodation,01/08/2024,VC-003701,"-1,847.00",Revenue,Bournemouth Convention Bureau Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Housing Benefits,Third Party Payments,Other Local Authorities Third Party,06/08/2024,VI-119462,"27,000.00",Revenue,Breckland Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Housing Benefits,Third Party Payments,Other Local Authorities Third Party,09/08/2024,VI-119643,"8,978.16",Revenue,Breckland Council,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,13/08/2024,VI-120279,329.50,Revenue,C Brewer and Son,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,14/08/2024,VI-120194,646.50,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,14/08/2024,VI-120195,387.30,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,16/08/2024,VI-120222,411.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,16/08/2024,VI-119898,263.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA External Structural,16/08/2024,VI-119991,374.50,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,21/08/2024,VI-120665,"1,070.50",Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,23/08/2024,VI-120776,372.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,30/08/2024,VI-120945,"1,218.00",Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,30/08/2024,VI-120512,358.64,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,30/08/2024,VI-120666,369.50,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,30/08/2024,VI-121202,320.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,30/08/2024,VI-121205,363.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,30/08/2024,VI-121206,437.30,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,30/08/2024,VI-121209,353.20,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,07/08/2024,VI-119606,"1,248.98",Revenue,The Bridge Marketing Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,09/08/2024,VI-118151,"1,042.25",Revenue,The Bridge Marketing Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Concessions,Premises Expenses,Electricity,07/08/2024,VI-116716,413.01,Revenue,British Gas,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Consultants,16/08/2024,VI-120259,"13,125.00",Revenue,Bristow Holland Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,16/08/2024,VI-120555,"30,000.00",Revenue,Britten Pears Arts,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,09/08/2024,VI-119925,308.58,Revenue,Broadland Housing Association Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,06/08/2024,VI-119415,500.00,Revenue,Broadland Home Interiors,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Telephone Calls/Data/Broadband,30/08/2024,VI-121219,"5,233.91",Revenue,British Telecommunications plc,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,19/08/2024,VI-119958,710.00,Revenue,British Telecom,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,19/08/2024,VI-119959,"1,100.00",Revenue,British Telecom,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,27/08/2024,VI-120503,710.00,Revenue,British Telecom,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,23/08/2024,VI-120866,479.90,Revenue,Bucklesham Parish Council,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,13/08/2024,VI-119821,"2,850.00",Revenue,Building Partnerships Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,07/08/2024,VI-119655,"2,000.00",Revenue,Building Compliance (SW) Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,30/08/2024,VI-120380,"4,000.00",Capital,Building Compliance (SW) Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,09/08/2024,VI-119694,350.00,Revenue,The Bungay Community Centre,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,20/08/2024,VI-120649,"1,000.00",Revenue,Bungay Town Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Cleaning Materials,07/08/2024,VI-119629,"1,573.13",Revenue,Bunzl Cleaning & Hygiene Supplies,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Cleaning Materials,28/08/2024,VI-120987,"1,460.25",Revenue,Bunzl Cleaning & Hygiene Supplies,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,09/08/2024,VI-119328,"1,606.50",Revenue,Bytes Software Services,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Gas,07/08/2024,VI-119654,587.16,Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Materials For Resale,13/08/2024,VI-120268,703.94,Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Materials For Resale,20/08/2024,VI-120561,580.31,Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Gas,20/08/2024,VI-120598,"1,171.17",Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Materials For Resale,28/08/2024,VI-120991,271.72,Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Gas,28/08/2024,VI-121021,451.08,Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,09/08/2024,VI-119990,775.00,Revenue,Canham Consulting Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,13/08/2024,VI-120097,775.00,Revenue,Canham Consulting Ltd,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Bank Fees,16/08/2024,VI-120253,572.82,Revenue,Access Paysuite Ltd - 360,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,20/08/2024,VI-120648,800.00,Revenue,Carlton Colville Town Council,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,16/08/2024,VI-120281,"1,957.50",Revenue,Carr Road Distribution Ltd,,,,,,,,,,,,,,,
Corporate Services,Operational Management,Supplies and Services,Hardware Purchases,09/08/2024,VI-119251,306.49,Revenue,Cartridge Save Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Equipment Hire,06/08/2024,VI-119427,"1,673.69",Revenue,Car Hire (Day of Swansea) Ltd T/A Day's Rental,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,09/08/2024,VI-119194,"1,612.00",Revenue,Carrington West,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,20/08/2024,VI-120646,"1,820.00",Revenue,Carrington West,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,21/08/2024,VI-120645,"1,820.00",Revenue,Carrington West,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,23/08/2024,VI-120808,"1,820.00",Revenue,Carrington West,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,30/08/2024,VI-121170,"1,820.00",Revenue,Carrington West,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Hardware Purchases,06/08/2024,VI-119510,"1,358.77",Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,09/08/2024,VI-120057,384.60,Capital,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,09/08/2024,VI-120060,"2,423.93",Capital,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,09/08/2024,VI-120065,471.76,Capital,CCS Media Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Hardware Purchases,09/08/2024,VI-120068,"1,220.41",Revenue,CCS Media Limited,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Hardware Purchases,09/08/2024,VI-120069,256.40,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,09/08/2024,VI-120076,769.20,Capital,CCS Media Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Hardware Purchases,09/08/2024,VI-120102,382.07,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Hardware Purchases,09/08/2024,VI-120101,256.40,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Hardware Purchases,09/08/2024,VI-120099,889.81,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,09/08/2024,VI-120096,"2,770.52",Capital,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,09/08/2024,VI-120095,471.74,Capital,CCS Media Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Hardware Purchases,09/08/2024,VI-120094,256.40,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,09/08/2024,VI-120093,510.27,Capital,CCS Media Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Hardware Purchases,20/08/2024,VI-120497,310.23,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Hardware Purchases,20/08/2024,VI-120494,"4,214.31",Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,23/08/2024,VI-120816,390.52,Capital,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,28/08/2024,VI-120979,"6,556.68",Capital,CCS Media Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Hardware Purchases,30/08/2024,VI-121166,509.71,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
