Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,07/03/2025,VI-131966,775.00,Revenue,Barnby & Northcove Social Club,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Vandalism,21/03/2025,VC-004083,"-1,975.00",Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Vandalism,21/03/2025,VI-132739,"1,755.00",Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,21/03/2025,VI-132465,"1,015.00",Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,21/03/2025,VI-134063,"3,700.00",Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,11/03/2025,VI-133007,"11,407.30",Revenue,B & B Skip Hire,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Funding,Supplies and Services,Grants & Contributions,04/03/2025,VI-132608,"91,485.79",Revenue,Beccles Lido Limited,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,28/03/2025,VI-134581,500.00,Revenue,Beccles Sea Cadets,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,04/03/2025,VI-132383,"2,020.00",Revenue,Beccles Town Council,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,12/03/2025,VI-133354,"1,300.00",Revenue,Beccles Town Council,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,14/03/2025,VI-133471,500.00,Revenue,Beccles Town Council,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,12/03/2025,VI-133430,440.00,Revenue,The Benjamin Foundation,,,,,,,,,,,,,,,,,,
Leader of the Council,Legal,Supplies and Services,Legal Fees,21/03/2025,VI-133491,409.50,Revenue,Bevan Brittan LLP,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,18/03/2025,VI-133683,309.45,Revenue,Bigods Kitchen,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,07/03/2025,VI-132713,"1,095.00",Capital,Broadfield Law Uk,,,,,,,,,,,,,,,,,,
