Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,14/03/2025,VI-133535,"15,310.00",Capital,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
The Environment,Waste Management,Supplies and Services,General Purchases,18/03/2025,VI-133742,"40,000.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Contract Cleaning,19/03/2025,VI-133396,918.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Grounds Maintenance - Variations,19/03/2025,VI-133855,"3,392.57",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Supplies and Services,S106 REFCUS,19/03/2025,VI-133856,"3,246.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Grounds Maintenance - Variations,19/03/2025,VI-133857,"6,785.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Premises Expenses,Minor Improvements,19/03/2025,VI-133858,"8,787.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,21/03/2025,VI-133690,"7,464.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,21/03/2025,VI-134025,"3,027.00",Capital,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Paths & Hardstanding,21/03/2025,VI-134026,606.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Grounds Maintenance - Other,21/03/2025,VI-134034,"3,408.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Responsive Maintenance,21/03/2025,VI-134105,"5,465.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Premises Expenses,Grounds Maintenance - Other,25/03/2025,VI-134177,"1,109.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Paths & Hardstanding,25/03/2025,VI-134178,"1,054.20",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Sewerage Charge,25/03/2025,VI-134244,455.40,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Other Ext Provided Services,25/03/2025,VI-126810,"6,289.50",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Other Ext Provided Services,25/03/2025,VI-126811,"3,147.50",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Grounds Maintenance - Contract,25/03/2025,VI-134180,"1,983.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Premises Expenses,Grounds Maintenance - Coastal,26/03/2025,VI-134024,"2,446.75",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Sewerage Charge,19/03/2025,VI-132795,580.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,28/03/2025,VI-134179,676.50,Capital,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Third Party Payments,Other Local Authorities Third Party,31/03/2025,VI-134919,"1,790,936.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,19/03/2025,VI-132679,"23,996.84",Capital,East Rising Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,26/03/2025,VI-134351,"23,569.06",Capital,East Rising Ltd,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Premises Expenses,Electricity,28/03/2025,VI-134436,"92,240.04",Revenue,EDF Energy Networks Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,18/03/2025,VI-133492,"2,090.00",Capital,E E Bartlett Ltd,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,03/03/2025,VI-132605,761.63,Revenue,EE Ltd,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,31/03/2025,VI-134557,771.13,Revenue,EE Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,04/03/2025,VI-131912,"26,868.83",Revenue,Elecosoft UK Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,28/03/2025,VI-134166,"1,637.50",Revenue,Elsom Spettigue Associates Limited,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Heads of Service,Supplies and Services,Conference Fees,21/03/2025,VI-134033,"1,080.00",Revenue,EMAP Publishing Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,07/03/2025,VI-132825,331.40,Revenue,Enable Access Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,11/03/2025,VI-133313,"3,952.00",Capital,Enable Access Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,25/03/2025,VI-134289,795.00,Capital,Enable Access Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,25/03/2025,VI-134207,"6,000.00",Revenue,Englemere Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Fire Risk Assessments,04/03/2025,VI-132572,"4,700.00",Revenue,Ensure Safety and Compliance,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Fire Risk Assessments,25/03/2025,VI-134246,"7,380.00",Revenue,Ensure Safety and Compliance,,,,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,28/03/2025,VI-134595,"3,412.80",Revenue,Socotec,,,,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,25/03/2025,VI-134029,437.50,Revenue,Environmental Protection Strategies Ltd (EPS Ltd),,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Electricity,28/03/2025,VI-134454,307.64,Revenue,E.ON NEXT Energy Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Gas,28/03/2025,VI-132467,265.93,Revenue,E.ON NEXT Energy Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Electricity,28/03/2025,VI-126575,384.60,Revenue,E.ON NEXT Energy Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Electricity,28/03/2025,VC-004117,-352.47,Revenue,E.ON NEXT Energy Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Gas,28/03/2025,VI-134585,449.86,Revenue,E.ON NEXT Energy Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Technical Training,07/03/2025,VI-132860,"1,970.00",Revenue,Eras Limited,,,,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Interview Expenses,21/03/2025,VI-133325,"3,200.00",Revenue,Eras Limited,,,,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Audit Fees,26/03/2025,VI-134334,"22,747.97",Revenue,Ernst & Young LLP,,,,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Audit Fees,26/03/2025,VI-134333,"27,747.97",Revenue,Ernst & Young LLP,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Hardware Maintenance,07/03/2025,VI-132846,"15,668.80",Revenue,Esri UK Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Employee Expenses,Technical Training,28/03/2025,VI-134296,595.00,Revenue,Esri UK Ltd,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,28/03/2025,VI-134597,"6,399.35",Revenue,Essex County Council,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Water ,12/03/2025,VI-133344,778.85,Revenue,Essex & Suffolk Water,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,25/03/2025,VI-134250,300.00,Revenue,Essex Property Angel Limited,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,31/03/2025,VI-134115,"3,778.51",Revenue,EVAD Think Unfied Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Employee Expenses,Technical Training,12/03/2025,VI-132881,262.00,Revenue,Eventbrite,,,,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Building Services - Responsive Maintenance,19/03/2025,VI-133917,370.61,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Building Services - Responsive Maintenance,19/03/2025,VI-133919,552.05,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,21/03/2025,VI-131869,349.00,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,21/03/2025,VI-131870,349.00,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,21/03/2025,VI-131874,383.61,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,21/03/2025,VI-131908,455.00,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,21/03/2025,VI-134032,330.00,Revenue,Feilden & Mawson,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,12/03/2025,VI-133363,"1,250.00",Revenue,Felixstowe History & Museum Society,,,,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,19/03/2025,VI-131962,"2,291.67",Revenue,Felixstowe Town Council,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,12/03/2025,VI-133433,"2,000.00",Revenue,Felixstowe Carnival Association,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134138,"1,500.00",Revenue,Felixstowe Carnival Association,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,04/03/2025,VI-132597,"1,886.40",Revenue,FERA,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,25/03/2025,VI-134200,"4,054.80",Revenue,FERA,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Other Ext Provided Services,18/03/2025,VI-133748,"10,698.00",Revenue,First Light Festival C.I.C.,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Other Ext Provided Services,18/03/2025,VI-133749,"7,558.00",Revenue,First Light Festival C.I.C.,,,,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Contract Cleaning,28/03/2025,VI-134339,"3,246.49",Revenue,First Light Festival C.I.C.,,,,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Contract Cleaning,28/03/2025,VI-134340,"3,708.65",Revenue,First Light Festival C.I.C.,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,18/03/2025,VI-133654,303.60,Revenue,Five One Taxis Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,19/03/2025,VI-133934,250.27,Revenue,Flagship Housing Group Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,28/03/2025,VI-134437,273.92,Revenue,Flagship Housing Group Ltd,,,,,,,,,,,,,,,,,,
Community Health,Community Safety,Supplies and Services,Grants & Contributions,04/03/2025,VI-132132,"10,965.00",Revenue,Forward & Thinking Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,04/03/2025,VI-132381,"1,513.21",Revenue,4th Lowestoft Scout Group,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,28/03/2025,VI-134368,"2,000.00",Revenue,Frostenden Uggeshall & Sth Cove P C,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,07/03/2025,VI-132890,465.00,Revenue,Fully Loaded Removals,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,04/03/2025,VI-132302,"2,000.00",Revenue,G2 Recruitment Solutions a division of G2V Recruit,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,19/03/2025,VI-133450,"2,000.00",Revenue,G2 Recruitment Solutions a division of G2V Recruit,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,28/03/2025,VI-134046,"2,000.00",Revenue,G2 Recruitment Solutions a division of G2V Recruit,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Holding Account - Cash Out,Capital Expenditure,25/03/2025,VI-132397,687.50,Capital,Ian Garrett Building Design Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,10/03/2025,VI-133415,"46,867.43",Revenue,Gasway Services Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,17/03/2025,VI-134365,"66,950.90",Capital,Gasway Services Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Electrical Heating,12/03/2025,VI-133369,"9,442.20",Revenue,Gasway Services,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Technical Training,21/03/2025,VI-133367,"1,620.00",Revenue,Genius Within CIC,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Renovation Grants,11/03/2025,VI-133315,"1,847.79",Revenue,Gilbert Builders Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Renovation Grants,18/03/2025,VI-133565,"1,802.88",Revenue,Gilbert Builders Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Renovation Grants,19/03/2025,VI-133510,"4,814.64",Revenue,Gilbert Builders Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,04/03/2025,VI-132346,995.00,Revenue,Glasstap Limited,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,26/03/2025,VI-134350,"10,000.00",Revenue,GLA Group Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,28/03/2025,VI-131872,"1,848.83",Revenue,GoCardless Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,28/03/2025,VI-133893,"1,848.33",Revenue,GoCardless Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Building Services - Responsive Maintenance,12/03/2025,VI-133232,681.18,Revenue,Godfreys IT Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,12/03/2025,VI-132800,699.99,Revenue,GoTo Technologies,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,05/03/2025,VI-132657,"8,650.00",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,07/03/2025,VI-132942,"6,808.09",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-132943,"8,061.53",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-133332,"2,500.00",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/03/2025,VI-134332,"7,239.31",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Legal Fees,05/03/2025,VI-130406,"3,647.00",Revenue,GowlingWLG (UK) LLP,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,05/03/2025,VI-131900,"1,440.00",Revenue,GP Planning Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,11/03/2025,VC-004071,-810.04,Revenue,Graham,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,11/03/2025,VC-004072,-587.28,Revenue,Graham,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,11/03/2025,VC-004074,"-2,477.00",Revenue,Graham,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,11/03/2025,VC-004076,"-3,945.08",Revenue,Graham,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,11/03/2025,VI-132766,"4,268.44",Revenue,Graham,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,11/03/2025,VI-133031,"9,174.05",Revenue,Graham,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,11/03/2025,VI-133066,"10,970.75",Revenue,Graham,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,21/03/2025,VI-133876,"15,474.87",Revenue,Graham,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,25/03/2025,VI-134240,"4,579.71",Revenue,Graham,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-133312,"4,286.81",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-133317,"5,756.78",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-133318,"13,849.10",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-133333,"3,580.00",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,21/03/2025,VI-134039,333.60,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/03/2025,VI-134329,"10,267.78",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,28/03/2025,VI-134422,630.00,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,21/03/2025,VI-133496,"4,200.00",Revenue,Greyfriars Project Management,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,25/03/2025,VI-134223,"54,149.14",Revenue,Groundwork East,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Supplies and Services,Consultants,18/03/2025,VI-131916,"1,250.00",Revenue,Group 19 Architecture and Urban Design Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,14/03/2025,VI-133652,"12,292.00",Revenue,The Growth Company,,,,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,14/03/2025,VI-133377,"3,520.00",Revenue,Ground Gas Solutions Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration Towns Fund,Supplies and Services,Consultants,18/03/2025,VI-133739,"20,050.00",Revenue,HACH Property Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Premises Expenses,Building Services - Responsive Maintenance,05/03/2025,VI-131800,"6,391.30",Revenue,Hags SMP Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Premises Expenses,Building Services - Responsive Maintenance,05/03/2025,VI-131846,"7,306.54",Revenue,Hags SMP Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,04/03/2025,VI-132599,901.50,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Employee Expenses,Contract Staff,04/03/2025,VI-132602,"1,644.65",Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,04/03/2025,VI-132603,390.40,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,04/03/2025,VI-131351,706.33,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,04/03/2025,VI-131353,572.70,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,04/03/2025,VI-131741,572.70,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,04/03/2025,VI-132604,286.35,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,04/03/2025,VI-132640,775.50,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,04/03/2025,VI-132606,531.76,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,07/03/2025,VI-132063,855.38,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,07/03/2025,VI-132070,598.50,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,11/03/2025,VI-133335,650.76,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,14/03/2025,VI-133493,775.50,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,14/03/2025,VI-133459,901.50,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,14/03/2025,VI-133457,501.11,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,14/03/2025,VI-133455,638.55,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,14/03/2025,VI-133452,563.04,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,14/03/2025,VI-132598,621.18,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,14/03/2025,VI-132068,386.57,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,18/03/2025,VI-133781,314.10,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,18/03/2025,VI-133785,901.50,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,19/03/2025,VI-133786,524.98,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,19/03/2025,VI-133783,531.76,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,19/03/2025,VI-133782,491.57,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,19/03/2025,VI-133454,663.38,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,21/03/2025,VI-133780,775.50,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,25/03/2025,VI-132600,724.50,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,25/03/2025,VI-132607,855.38,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
