Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Community Health,Health and Wellbeing,Supplies and Services,Other Ext Provided Services,19/04/2024,VI-111853,"1,495.00",Revenue,ALLEN CARR'S EASYWAY (INTERNATIONAL) LTD,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,05/04/2024,VI-111371,"14,830.89",Revenue,Amazon (AWS),,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,05/04/2024,VI-111377,"9,999.12",Revenue,Amazon (AWS),,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Other Ext Provided Services,02/04/2024,VI-108713,325.65,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Other Ext Provided Services,05/04/2024,VC-003303,-325.65,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Other Ext Provided Services,09/04/2024,VI-110677,531.21,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Furniture and Equipment,23/04/2024,VI-111665,"3,708.20",Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Furniture and Equipment,23/04/2024,VI-111982,293.70,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Hardware Purchases,30/04/2024,VI-112943,270.63,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Planned Maintenance,05/04/2024,VI-111030,450.00,Revenue,M and C Engineering (Newbourne) Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Planned Maintenance,12/04/2024,VI-111749,571.82,Revenue,M and C Engineering (Newbourne) Ltd,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Health and Safety,12/04/2024,VI-111829,665.00,Revenue,Anglia Handling Services Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,"HRA Drainage, Pumping Stat etc",02/04/2024,VI-110162,"1,050.00",Revenue,Anglia Land Surveys Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Holding Account - Cash Out,Capital Expenditure,02/04/2024,VI-110669,525.00,Capital,Anglia Land Surveys Ltd,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Hardware Maintenance,23/04/2024,VI-112653,527.63,Revenue,Anglia Region Web Design,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Equipment Hire,30/04/2024,VI-112283,442.86,Revenue,Anglo Scottish Equipment (Southern) Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Grants & Contributions,09/04/2024,VI-111611,"1,000.00",Revenue,Anna Photography,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,17/04/2024,VI-106098,"1,000.00",Revenue,Apollo Youth Club,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,02/04/2024,VI-109848,"11,000.00",Revenue,Applied Ecology Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,09/04/2024,VI-111594,"9,400.05",Revenue,Aran Insulation Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,09/04/2024,VI-111480,"8,515.25",Revenue,Aran Insulation Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,09/04/2024,VI-111461,"8,122.76",Revenue,Aran Insulation Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,09/04/2024,VI-111624,"8,658.50",Revenue,Aran Insulation Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,09/04/2024,VI-111620,"9,958.42",Revenue,Aran Insulation Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,12/04/2024,VI-111842,"8,645.50",Revenue,Aran Insulation Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,12/04/2024,VI-111878,357.35,Revenue,Arena Partnership Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Consultants,16/04/2024,VI-112074,"25,000.00",Revenue,Arlingclose Ltd,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,02/04/2024,VI-110806,304.00,Revenue,The Art Station,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,05/04/2024,VI-111319,"2,350.00",Revenue,The Art Station,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,26/04/2024,VI-112786,"8,298.00",Revenue,Asbestech Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112397,"3,465.00",Revenue,Ashby Herringfleet & Somerleyton P C,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,05/04/2024,VI-111381,"11,058.83",Revenue,Aspire Adaptations Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,30/04/2024,VI-112911,"7,158.03",Revenue,Aspire Adaptations Ltd,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,05/04/2024,VI-111346,"1,953.45",Revenue,ASSET Education,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,05/04/2024,VI-111350,931.20,Revenue,ASSET Education,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,09/04/2024,VI-111097,255.96,Revenue,Atlassian Pty,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Other Indirect Employee Expenses,05/04/2024,VI-110758,676.69,Revenue,AVC Wise Limited,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Other Indirect Employee Expenses,30/04/2024,VI-112905,679.80,Revenue,AVC Wise Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,16/04/2024,VI-112178,"5,963.00",Revenue,Avison Young (UK) Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Customer and Client Receipts,Outside Scope Inspection Fees,02/04/2024,VI-110738,525.00,Revenue,Babergh District Council,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,12/04/2024,VI-111815,"1,499.00",Revenue,BACT Community Transport,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,17/04/2024,VI-112083,"11,203.16",Revenue,Badingham Parish Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112398,"6,975.00",Revenue,Badingham Parish Council,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,02/04/2024,VI-109771,"1,053,363.57",Capital,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,17/04/2024,VI-112187,"495,643.83",Capital,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Employee Expenses,Contract Staff,19/04/2024,VI-111399,"2,117.74",Revenue,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,19/04/2024,VI-111587,"55,796.69",Revenue,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,24/04/2024,VI-112770,"1,701.50",Revenue,Gordon Barber,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112399,"1,376.85",Revenue,Barsham & Shipmeadow Parish Council,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Grounds Maintenance - Other,10/04/2024,VI-111596,270.00,Revenue,Barnby Nursery Centre,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,17/04/2024,VI-112084,629.28,Revenue,Barnby Parish Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112400,"8,411.96",Revenue,Barnby Parish Council,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,05/04/2024,VI-110702,"2,800.00",Revenue,Barleybird CIC,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Premises Expenses,Rents Payable,09/04/2024,VI-111198,"1,316.80",Revenue,Basildon Borough Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,17/04/2024,VI-112085,895.78,Revenue,Bawdsey Parish Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112401,"8,030.00",Revenue,Bawdsey Parish Council,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,16/04/2024,VI-111794,"9,033.06",Revenue,B & B Skip Hire,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,05/04/2024,VI-110711,"1,000.00",Revenue,Beccles Parish,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,05/04/2024,VI-110716,"1,200.00",Revenue,Beccles Lido Ltd. Beccles Public Hall,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,17/04/2024,VI-112086,"13,705.11",Revenue,Beccles Town Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112402,"118,660.00",Revenue,Beccles Town Council,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,09/04/2024,VI-111290,"1,265.00",Revenue,Beccles Library Community Trust,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112403,"9,500.00",Revenue,Benhall & Sternfield Parish Council,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,02/04/2024,VI-110799,"3,671.00",Revenue,Better Tasting Drinks Company,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,23/04/2024,VI-112631,380.00,Revenue,Bevan Brittan LLP,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,02/04/2024,VI-107597,"10,643.76",Capital,BDB Pitmans LLP,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,09/04/2024,VI-111447,"2,454.00",Capital,BDB Pitmans LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,05/04/2024,VI-104545,"1,386.00",Revenue,Birketts LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,05/04/2024,VI-104548,"3,243.00",Revenue,Birketts LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,05/04/2024,VI-111293,"1,533.00",Revenue,Birketts LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,09/04/2024,VI-111653,"6,583.50",Revenue,Birketts LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,09/04/2024,VI-111650,"2,269.00",Revenue,Birketts LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,30/04/2024,VI-112927,372.00,Revenue,Birketts LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,30/04/2024,VI-112928,395.00,Revenue,Birketts LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,30/04/2024,VI-112931,"4,100.00",Revenue,Birketts LLP,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,17/04/2024,VI-111682,"3,000.00",Revenue,Birchwood Primary School PTFA,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Building Services - Responsive Maintenance,09/04/2024,VI-111419,268.14,Revenue,Bison Electrical Services Ltd,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Premises Expenses,Building Services - Planned Maintenance,10/04/2024,VI-111417,"1,431.91",Revenue,Bison Electrical Services Ltd,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Premises Expenses,Building Services - Responsive Maintenance,12/04/2024,VI-111418,565.00,Revenue,Bison Electrical Services Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112404,"6,299.78",Revenue,Blaxhall Parish Council,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,05/04/2024,VI-110699,"2,250.00",Revenue,Black Shuck Festival,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,05/04/2024,VI-110810,"1,400.00",Revenue,Black Shuck Festival,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,02/04/2024,VI-110723,"1,385.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,02/04/2024,VI-110932,"1,200.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Other Ext Provided Services,05/04/2024,VI-110857,960.00,Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,12/04/2024,VI-111841,"1,200.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,12/04/2024,VI-111843,"1,575.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,12/04/2024,VI-111844,"1,420.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,16/04/2024,VI-112158,"1,100.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Building Services - Responsive Maintenance,23/04/2024,VI-111762,"1,000.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,30/04/2024,VI-113098,"1,630.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112405,"5,699.50",Revenue,Blundeston and Flixton Parish Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112406,"3,500.00",Revenue,Blyford and Sotherton Parish Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,17/04/2024,VI-112087,"1,009.98",Revenue,Blythburgh Parish Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112407,"8,257.00",Revenue,Blythburgh Parish Council,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,22/04/2024,VI-112900,982.40,Revenue,Bottomline,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Hotel Accommodation,10/04/2024,VI-111704,"3,867.50",Revenue,Bournemouth Convention Bureau Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112408,"4,112.53",Revenue,Boyton Parish Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,17/04/2024,VI-112088,600.00,Revenue,Bramfield & Thorington PC,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112409,"6,000.00",Revenue,Bramfield & Thorington PC,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112410,"3,096.95",Revenue,Brampton With Stoven Parish Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112411,"6,250.00",Revenue,Brandeston Parish Council,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,09/04/2024,VI-111279,"2,000.00",Revenue,Bramfield Village Green,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Consultants,05/04/2024,VI-111114,"29,672.92",Revenue,Breckland Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Housing Benefits,Third Party Payments,Other Local Authorities Third Party,17/04/2024,VI-112154,"8,978.16",Revenue,Breckland Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112412,"6,027.00",Revenue,Bredfield Parish Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,17/04/2024,VI-112089,"11,905.05",Revenue,Bredfield Parish Council,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,16/04/2024,VI-111724,411.66,Revenue,C Brewer and Son,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,26/04/2024,VI-112184,252.86,Revenue,C Brewer and Son,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Building Services - Responsive Maintenance,30/04/2024,VI-113168,991.68,Revenue,C Brewer and Son,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,05/04/2024,VI-109569,893.10,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,12/04/2024,VI-111791,345.67,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,19/04/2024,VI-111988,444.90,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,26/04/2024,VI-111789,377.34,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,26/04/2024,VI-111790,290.63,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,30/04/2024,VI-112351,522.80,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,17/04/2024,VI-112120,"9,602.96",Revenue,Brightwell Foxhall & Purdis Farm Parish Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112413,"7,000.00",Revenue,Brightwell Foxhall & Purdis Farm Parish Council,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,05/04/2024,VI-110743,630.00,Revenue,Britannia Safety & Training,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,10/04/2024,VI-111677,450.00,Revenue,Britannia Safety & Training,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,10/04/2024,VI-111678,450.00,Revenue,Britannia Safety & Training,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,16/04/2024,VI-111876,475.00,Revenue,Britannia Safety & Training,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,19/04/2024,VI-112078,660.00,Revenue,Britannia Safety & Training,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,09/04/2024,VI-111309,300.00,Revenue,British Gas,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Consultants,10/04/2024,VI-111656,"12,075.00",Revenue,Bristow Holland Ltd,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,16/04/2024,VI-111999,"2,200.00",Revenue,Britten Pears Arts,,,,,,,,,,,,,,,
