Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,14/06/2024,VI-116022,"1,862.50",Revenue,BACT Community Transport,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Employee Expenses,Contract Staff,04/06/2024,VI-114278,"2,117.74",Revenue,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,28/06/2024,VI-116575,"507,923.01",Capital,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Grounds Maintenance - Other,25/06/2024,VI-116610,"1,442.25",Revenue,Barnby Nursery Centre,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,04/06/2024,VI-115227,400.00,Revenue,Bawdsey Village Hall & Recreation Ground Cttee,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,11/06/2024,VI-115436,895.00,Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,11/06/2024,VI-115435,"2,640.00",Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,18/06/2024,VI-116397,"2,905.00",Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,21/06/2024,VI-116394,460.00,Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,21/06/2024,VI-116396,"2,000.00",Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,14/06/2024,VI-116158,"5,983.82",Revenue,Matt Bedding Plumbing and Heating,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,07/06/2024,VI-115571,"4,181.50",Revenue,Bevan Brittan LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,07/06/2024,VI-115636,"2,379.00",Revenue,Bevan Brittan LLP,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Industrial Estates,Premises Expenses,Building Services - Responsive Maintenance,12/06/2024,VI-116037,520.28,Revenue,Binder Ltd,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,05/06/2024,VI-115450,"2,500.00",Revenue,Birketts LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,14/06/2024,VI-116288,474.00,Revenue,Birketts LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,14/06/2024,VI-116301,"1,195.00",Revenue,Birketts LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,28/06/2024,VI-116785,258.00,Revenue,Birketts LLP,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,07/06/2024,VI-115759,360.00,Revenue,Bison Electrical Services Ltd,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Premises Expenses,Building Services - Responsive Maintenance,12/06/2024,VI-116046,"1,284.99",Revenue,Bison Electrical Services Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,18/06/2024,VI-115755,330.00,Revenue,Bloodmoor Hill Community Association,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,07/06/2024,VI-115643,"1,559.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,14/06/2024,VI-116148,"1,850.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,26/06/2024,VI-116719,"1,668.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,26/06/2024,VI-116720,"1,717.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,28/06/2024,VI-116791,"2,000.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,04/06/2024,VI-114201,"24,400.00",Capital,Blok N Mesh Global Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,04/06/2024,VI-115214,"22,800.00",Capital,Blok N Mesh Global Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,07/06/2024,VI-114611,"4,150.00",Capital,Blok N Mesh Global Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,07/06/2024,VI-114805,"3,850.00",Capital,Blok N Mesh Global Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,14/06/2024,VI-115443,"16,000.00",Capital,Blok N Mesh Global Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,19/06/2024,VI-116115,"3,612.50",Capital,Blok N Mesh Global Limited,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Recruitment Advertising,11/06/2024,VI-115994,"9,725.00",Revenue,Bluetownonline Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Technical Training,26/06/2024,VI-116632,495.46,Revenue,Bond Solon Training Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,11/06/2024,VI-115264,841.80,Revenue,Booking.com,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Conference Fees,11/06/2024,VI-115494,825.00,Revenue,Booking.com,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Planned Maintenance,28/06/2024,VI-116746,"6,400.00",Revenue,Booth Tarmacadem Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Planned Maintenance,11/06/2024,VI-115615,"4,554.50",Revenue,Boot Construction (East Anglia) Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Holding Account - Cash Out,Capital Expenditure,11/06/2024,VI-115614,"11,435.03",Capital,Boot Construction (East Anglia) Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,20/06/2024,VI-116724,988.00,Revenue,Bottomline,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Pest Control,25/06/2024,VI-116619,950.00,Revenue,P Bowyer Associates Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Tax Collection Cost,Supplies and Services,External Printing,05/06/2024,VI-114598,"5,488.95",Revenue,Breckland Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Housing Benefits,Third Party Payments,Other Local Authorities Third Party,07/06/2024,VI-115700,"8,978.16",Revenue,Breckland Council,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,04/06/2024,VI-114818,283.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,04/06/2024,VI-114854,362.80,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,04/06/2024,VI-114856,396.50,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,04/06/2024,VI-114857,283.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,04/06/2024,VI-114860,535.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,07/06/2024,VI-115462,932.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,18/06/2024,VI-115850,426.42,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,18/06/2024,VI-115854,606.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,18/06/2024,VI-115859,461.50,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,18/06/2024,VI-116135,409.50,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,18/06/2024,VI-116137,616.40,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,18/06/2024,VI-116139,458.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,18/06/2024,VI-116142,665.90,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,18/06/2024,VI-116144,514.90,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,18/06/2024,VI-116147,354.40,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,18/06/2024,VI-116366,349.40,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,19/06/2024,VI-116385,366.80,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,19/06/2024,VI-116400,580.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,14/06/2024,VI-115411,760.00,Revenue,Britannia Safety & Training,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Consultants,07/06/2024,VI-115597,"12,600.00",Revenue,Bristow Holland Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Consultants,07/06/2024,VI-115619,"9,187.50",Revenue,Bristow Holland Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Consultants,18/06/2024,VI-116349,"1,356.00",Revenue,British Port Association,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,14/06/2024,VI-116226,"3,084.84",Revenue,Browne Jacobson LLP,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,07/06/2024,VI-115637,368.00,Revenue,Broadland Home Interiors,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,07/06/2024,VI-115638,413.98,Revenue,Broadland Home Interiors,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,07/06/2024,VI-115640,445.98,Revenue,Broadland Home Interiors,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,07/06/2024,VI-115641,500.00,Revenue,Broadland Home Interiors,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,28/06/2024,VI-116804,487.50,Revenue,Broadland Home Interiors,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Telephone Calls/Data/Broadband,14/06/2024,VI-116282,"5,818.76",Revenue,British Telecommunications plc,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,18/06/2024,VI-115766,"1,100.00",Revenue,British Telecom,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,18/06/2024,VI-115780,710.00,Revenue,British Telecom,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,25/06/2024,VI-116325,710.00,Revenue,British Telecom,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Conference Fees,25/06/2024,VI-115515,"2,275.00",Revenue,BT Plc,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,11/06/2024,VI-115868,"3,027.90",Revenue,Building Partnerships Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,11/06/2024,VI-115855,"2,962.50",Revenue,Building Partnerships Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,11/06/2024,VI-115527,"7,000.00",Revenue,Building Compliance (SW) Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,07/06/2024,VI-114847,350.00,Revenue,The Bungay Community Centre,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,21/06/2024,VI-116552,"1,950.00",Revenue,Bungay Town Council,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,28/06/2024,VI-116734,840.00,Revenue,Jo Bunker Training,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Cleaning Materials,18/06/2024,VI-116344,685.41,Revenue,Bunzl Cleaning & Hygiene Supplies,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Holding Account - Cash Out,Capital Expenditure,11/06/2024,VI-115922,"1,173.00",Capital,Tim Buxbaum Architect,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,05/06/2024,VI-115246,"2,346.31",Revenue,Bytes Software Services,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,18/06/2024,VI-116165,"2,677.50",Revenue,Bytes Software Services,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,18/06/2024,VI-116270,"35,632.63",Revenue,Bytes Software Services,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Materials For Resale,11/06/2024,VI-115917,346.44,Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Gas,12/06/2024,VI-116001,536.76,Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Materials For Resale,28/06/2024,VC-003600,-510.93,Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Materials For Resale,28/06/2024,VI-116490,309.99,Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Materials For Resale,28/06/2024,VI-116723,459.66,Revenue,Calor Gas Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,"HRA Drainage, Pumping Stat etc",28/06/2024,VI-116750,500.00,Revenue,Canham Consulting Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,"HRA Drainage, Pumping Stat etc",28/06/2024,VI-116749,500.00,Revenue,Canham Consulting Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,28/06/2024,VI-116744,350.00,Revenue,Canham Consulting Ltd,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Bank Fees,18/06/2024,VI-116043,636.39,Revenue,Access Paysuite Ltd - 360,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,07/06/2024,VI-114839,329.00,Revenue,Carlton Colville Community Centre,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,18/06/2024,VI-116138,"2,095.58",Revenue,Carr Road Distribution Ltd,,,,,,,,,,,,,,,
Corporate Services,Operational Management,Supplies and Services,Hardware Purchases,11/06/2024,VI-115275,"1,161.00",Revenue,Cartridge Save Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Stationery,11/06/2024,VI-115321,"1,205.42",Revenue,Cartridge People,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Equipment Hire,18/06/2024,VI-116339,"1,565.71",Revenue,Car Hire (Day of Swansea) Ltd T/A Day's Rental,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Equipment Hire,18/06/2024,VI-116341,"1,727.68",Revenue,Car Hire (Day of Swansea) Ltd T/A Day's Rental,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Premises Expenses,Water ,14/06/2024,VI-116045,323.12,Revenue,Castle Water,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,18/06/2024,VI-115087,678.90,Revenue,Catch 22,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,07/06/2024,VC-003498,"-79,510.08",Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,07/06/2024,VI-114876,"119,265.12",Revenue,CCS Media Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Hardware Purchases,18/06/2024,VI-116007,361.64,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Hardware Purchases,18/06/2024,VI-116264,"2,492.60",Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Consultants,19/06/2024,VI-115503,"23,400.00",Revenue,Certa Partnership Ltd,,,,,,,,,,,,,,,
