Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Clothing & Uniforms,21/05/2024,VI-114510,299.52,Revenue,Aspect Corporate Clothing Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,10/05/2024,VI-113892,"5,698.71",Revenue,Aspire Adaptations Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,14/05/2024,VI-114112,"7,316.39",Revenue,Aspire Adaptations Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,21/05/2024,VI-114407,"6,499.09",Revenue,Aspire Adaptations Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Rents Payable,29/05/2024,VI-114395,"2,407.58",Revenue,Associated British Ports,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Employee Expenses,Technical Training,24/05/2024,VI-114802,"4,775.50",Revenue,Association of Electoral Administrators,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Other Indirect Employee Expenses,31/05/2024,VI-115082,"1,037.86",Revenue,AVC Wise Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,14/05/2024,VI-113088,"9,938.00",Revenue,Avison Young (UK) Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,24/05/2024,VI-114413,"1,907.50",Revenue,BACT Community Transport,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,General Purchases,10/05/2024,VI-113503,472.08,Revenue,Baker Ross Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,03/05/2024,VI-113259,"25,261.96",Revenue,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Employee Expenses,Contract Staff,10/05/2024,VI-112341,"2,117.74",Revenue,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,22/05/2024,VI-114448,"514,514.89",Capital,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,24/05/2024,VI-114682,"1,996.00",Revenue,Gordon Barber,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,24/05/2024,VI-114683,"1,619.60",Revenue,Gordon Barber,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Supplies and Services,Legal Fees,24/05/2024,VI-114661,"1,000.00",Revenue,Barker Gotelee,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,17/05/2024,VI-114150,"4,725.00",Revenue,Steve Barwick Political Consultancy,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,24/05/2024,VI-114792,500.00,Revenue,Barge Preservation Community Project,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Premises Expenses,Building Services - Responsive Maintenance,14/05/2024,VC-003368,"-1,445.00",Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Premises Expenses,Building Services - Responsive Maintenance,14/05/2024,VI-111862,"1,436.00",Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,14/05/2024,VI-113923,980.00,Capital,Baymans CRM Ltd,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Building Services - Responsive Maintenance,14/05/2024,VI-113924,711.00,Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,14/05/2024,VI-113925,"1,830.00",Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,14/05/2024,VI-113926,"3,787.20",Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,31/05/2024,VI-115175,"1,500.00",Revenue,Beccles Amateur Sailing Club,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Artists Fees,14/05/2024,VI-113911,487.50,Revenue,Bee-Line Entertainment and Leisure,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Artists Fees,14/05/2024,VI-113913,508.33,Revenue,Bee-Line Entertainment and Leisure,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Electricity,08/05/2024,VI-007883,469.38,Revenue,BES Utilities,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,08/05/2024,VI-113485,"1,620.00",Revenue,Bevan Brittan LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,14/05/2024,VI-114082,"22,743.50",Revenue,Bevan Brittan LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,14/05/2024,VC-003429,"-19,126.00",Revenue,Bevan Brittan LLP,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,08/05/2024,VI-113544,"3,766.00",Capital,BDB Pitmans LLP,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Other Ext Provided Services,01/05/2024,VI-115374,"5,579.50",Revenue,BDB Pitmans LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,08/05/2024,VI-113296,359.50,Revenue,Birketts LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,14/05/2024,VI-113964,973.00,Revenue,Birketts LLP,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,17/05/2024,VI-114271,"1,000.00",Revenue,Black Shuck Festival,,,,,,,,,,,,,,,
