Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Water ,29/05/2024,VI-114988,666.34,Revenue,Essex & Suffolk Water,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,31/05/2024,VI-114631,"3,176.08",Revenue,EVAD Think Unfied Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,10/05/2024,VI-113782,400.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,10/05/2024,VI-113783,400.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,10/05/2024,VI-113784,700.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Recruitment Advertising,10/05/2024,VI-113834,300.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,03/05/2024,VI-113286,"1,650.00",Revenue,Felgains Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,10/05/2024,VI-113672,"3,296.00",Revenue,Felgains Ltd,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,03/05/2024,VI-107062,"2,708.34",Revenue,Felixstowe Town Council,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Supplies and Services,Grants & Contributions,03/05/2024,VI-110412,"5,750.00",Revenue,Felixstowe Town Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,17/05/2024,VI-114247,300.00,Revenue,Felixstowe Town Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,24/05/2024,VI-114728,"45,837.60",Revenue,Felixstowe BID Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Supplies and Services,Health and Safety,08/05/2024,VI-113368,300.00,Revenue,Felixstowe Ferry Fore Shore Trust,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,29/05/2024,VI-114770,770.00,Revenue,Felixstowe Rowing Club,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,21/05/2024,VI-114534,"7,234.80",Revenue,FERA,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,22/05/2024,VI-114529,"11,923.20",Revenue,FERA,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Other Ext Provided Services,17/05/2024,VI-114298,"8,796.00",Revenue,First Light Festival C.I.C.,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,03/05/2024,VI-113389,800.00,Revenue,First Bungay Sea Scout Group,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Premises Expenses,Rents Payable,08/05/2024,VI-113680,250.79,Revenue,Flagship Housing Group Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Premises Expenses,Rents Payable,17/05/2024,VI-114327,304.99,Revenue,Flagship Housing Group Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Premises Expenses,Rents Payable,21/05/2024,VI-114479,"1,700.00",Revenue,Flagship Housing,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,29/05/2024,VI-114810,504.34,Revenue,Flagship Housing,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Machine Repair & Maintenance,03/05/2024,VI-112812,360.00,Revenue,Flowbird Smart City UK Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,10/05/2024,VI-113867,"2,000.00",Revenue,Foxwood Building Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,22/05/2024,VI-114559,600.00,Revenue,Framlingham Area Youth Action Partnership,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,15/05/2024,VI-114221,"10,000.00",Revenue,Framlingham Town Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,29/05/2024,VI-114793,"1,000.00",Revenue,Framlingham Sports Club,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,15/05/2024,VI-113416,750.00,Revenue,Friston Parish Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,01/05/2024,VI-113202,"1,000.00",Revenue,Friends of Albert Pye School,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,17/05/2024,VI-110949,"1,440.00",Revenue,G2 Recruitment Solutions a division of G2V Recruit,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,17/05/2024,VI-111767,720.00,Revenue,G2 Recruitment Solutions a division of G2V Recruit,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,17/05/2024,VI-113072,"1,440.00",Revenue,G2 Recruitment Solutions a division of G2V Recruit,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,17/05/2024,VI-112700,"2,880.00",Revenue,G2 Recruitment Solutions a division of G2V Recruit,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,21/05/2024,VI-113647,"2,520.00",Revenue,G2 Recruitment Solutions a division of G2V Recruit,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,21/05/2024,VI-114493,"1,046.25",Revenue,G2 Recruitment Solutions a division of G2V Recruit,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Equipment Hire,01/05/2024,VI-111474,925.00,Revenue,G2 Survey Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,08/05/2024,VI-115272,"10,842.18",Revenue,Gasway Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,08/05/2024,VI-115271,"47,445.34",Revenue,Gasway Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,13/05/2024,VI-115273,"52,861.93",Capital,Gasway Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,03/05/2024,VI-113282,"2,016.67",Revenue,Gas adv serv Ltd t/a Phoenix Compliancy MGT Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,03/05/2024,VI-113280,526.32,Revenue,Gas adv serv Ltd t/a Phoenix Compliancy MGT Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,03/05/2024,VI-113381,"1,464.00",Revenue,Gas adv serv Ltd t/a Phoenix Compliancy MGT Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,17/05/2024,VI-114389,654.84,Revenue,Gas adv serv Ltd t/a Phoenix Compliancy MGT Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Consultants,08/05/2024,VI-112355,"2,750.00",Revenue,G B Geotechnics Ltd t/a GBG Group,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Furniture and Equipment,01/05/2024,VI-113225,911.14,Revenue,GDC Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,31/05/2024,VI-115090,695.00,Revenue,GDC Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,14/05/2024,VI-113777,"3,050.00",Revenue,S J Geomatics Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,24/05/2024,VI-114693,"9,760.00",Revenue,S J Geomatics Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,29/05/2024,VI-114714,"4,500.00",Revenue,Gilbert Builders Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Bank Fees,17/05/2024,VI-114624,596.44,Revenue,Global payments,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Grants & Contributions,08/05/2024,VI-113531,"2,000.00",Revenue,Global Asset International Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,17/05/2024,VI-114362,"2,084.83",Revenue,GoCardless Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,03/05/2024,VI-113210,"3,355.68",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,03/05/2024,VI-113104,"6,534.60",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,10/05/2024,VI-113676,"6,673.58",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,21/05/2024,VI-114334,"4,413.60",Revenue,GP Planning Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,17/05/2024,VC-003408,"-3,631.03",Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Furniture and Equipment,17/05/2024,VI-112660,"6,254.82",Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,17/05/2024,VI-112664,"4,235.68",Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,17/05/2024,VI-113767,"6,942.16",Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,17/05/2024,VI-114197,"4,667.36",Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,17/05/2024,VI-114369,"3,043.01",Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,21/05/2024,VI-114449,"8,929.03",Revenue,Graham,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Marketing & Promotions,29/05/2024,VI-111096,"99,741.46",Revenue,Great Yarmouth Borough Council,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,03/05/2024,VI-112887,302.40,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,03/05/2024,VI-113219,"7,239.53",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,15/05/2024,VI-114236,"10,213.40",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,17/05/2024,VI-114273,"6,025.00",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,22/05/2024,VI-114587,"9,447.44",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,29/05/2024,VI-114815,"5,672.54",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,31/05/2024,VI-115088,"8,525.43",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,01/05/2024,VI-112924,569.25,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,01/05/2024,VI-112597,345.00,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,03/05/2024,VI-112599,"1,197.00",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,03/05/2024,VI-112922,"1,212.75",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,08/05/2024,VI-113447,517.50,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Employee Expenses,Contract Staff,08/05/2024,VI-113448,776.10,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Contract Staff,08/05/2024,VI-113451,888.00,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,08/05/2024,VI-113545,"1,934.48",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,10/05/2024,VI-113449,"2,688.23",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,14/05/2024,VI-113450,"1,228.50",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Contract Staff,14/05/2024,VI-113942,888.00,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,14/05/2024,VI-113943,517.50,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,14/05/2024,VI-111977,"1,260.00",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,14/05/2024,VC-003428,"-1,925.61",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,01/05/2024,VI-114078,"1,925.46",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,15/05/2024,VI-114230,"1,210.41",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,22/05/2024,VI-114229,333.98,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Employee Expenses,Contract Staff,17/05/2024,VI-114399,970.33,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,21/05/2024,VI-114397,517.50,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Contract Staff,21/05/2024,VI-114400,720.00,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Contract Staff,21/05/2024,VI-114481,661.56,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Contract Staff,21/05/2024,VI-114485,536.40,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Contract Staff,21/05/2024,VI-114486,527.46,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,21/05/2024,VI-114487,536.76,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,21/05/2024,VI-114488,"1,996.67",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,22/05/2024,VI-114231,469.28,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Contract Staff,24/05/2024,VI-114720,745.55,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Contract Staff,24/05/2024,VI-114748,527.46,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Contract Staff,24/05/2024,VI-114774,594.43,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Contract Staff,24/05/2024,VI-114775,745.55,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Contract Staff,24/05/2024,VI-114776,745.55,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Contract Staff,24/05/2024,VI-114718,594.43,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,29/05/2024,VI-114401,"1,921.50",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,29/05/2024,VI-114788,717.59,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Contract Staff,29/05/2024,VI-114797,744.00,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,29/05/2024,VI-114799,"2,110.45",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,29/05/2024,VI-114800,596.40,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Furniture and Equipment,15/05/2024,VI-113316,895.00,Revenue,Halfords,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,01/05/2024,VI-111265,"7,000.00",Revenue,Hamson Barron Smith,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,10/05/2024,VI-113340,"7,000.00",Revenue,Hamson Barron Smith,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Grants & Contributions,10/05/2024,VI-113887,"1,750.00",Revenue,Handmade by Raksha,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,14/05/2024,VI-113692,"2,706.50",Capital,Harrison Group Environmental Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Renovation Grants,10/05/2024,VI-113786,"2,915.00",Revenue,Harrison Woodrow Plumbing & Heating Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,31/05/2024,VI-115075,"3,000.00",Revenue,HAT Projects Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,24/05/2024,VI-114691,"3,111.88",Revenue,Havebury Housing Partnership,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,24/05/2024,VI-114692,"3,174.73",Revenue,Havebury Housing Partnership,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Consultants,14/05/2024,VI-113688,"1,575.00",Revenue,Haydens Aboricultural,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Recruitment Advertising,28/05/2024,VC-003341,"-2,500.00",Revenue,Hays Specialist Recruitment Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Surveyor Fees,22/05/2024,VI-114607,"7,800.00",Revenue,Haydn Evans Consulting Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Surveyor Fees,22/05/2024,VI-113839,"2,100.00",Revenue,Haydn Evans Consulting Ltd,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Supplies and Services,Hardware Purchases,22/05/2024,VI-114461,507.50,Revenue,Headset Sales Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,17/05/2024,VI-113094,"2,355.00",Revenue,Heatlink Services Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,21/05/2024,VI-114336,295.00,Revenue,Heatlink Services Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Health and Safety,22/05/2024,VI-113828,"2,635.00",Revenue,Heatlink Services Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Outdoor Leisure,Premises Expenses,Building Services - Planned Maintenance,24/05/2024,VI-114785,412.50,Revenue,Heatlink Services Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Furniture and Equipment,17/05/2024,VI-114252,596.00,Revenue,Heart 2 Heart Norfolk,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Medical Fees,01/05/2024,VI-113223,935.00,Revenue,Optima Health,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Medical Fees,14/05/2024,VI-113953,375.00,Revenue,Optima Health,,,,,,,,,,,,,,,
Energy and Climate Change,The Green Agenda,Supplies and Services,Furniture and Equipment,03/05/2024,VI-113309,"2,084.50",Revenue,The Helping Hand Company,,,,,,,,,,,,,,,
Energy and Climate Change,The Green Agenda,Supplies and Services,Furniture and Equipment,08/05/2024,VI-113648,798.00,Revenue,The Helping Hand Company,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,31/05/2024,VI-113258,"2,402.58",Revenue,The Helping Hand Company,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,15/05/2024,VI-114167,"4,417.50",Revenue,Hi-Spec Facilities Services Ltd,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,16/05/2024,VI-114294,322.00,Revenue,Her Majesty's Court and Tribunal Service,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,24/05/2024,VI-115154,710.00,Revenue,Her Majesty's Court and Tribunal Service,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,08/05/2024,VI-113649,"828,241.01",Revenue,HM Revenue & Customs,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,14/05/2024,VI-113963,"8,665.43",Revenue,HM Revenue & Customs,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,24/05/2024,VI-114762,330.00,Revenue,Hollesley Village Hall,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Holding Account - Cash Out,Capital Expenditure,15/05/2024,VI-114216,"8,797.40",Capital,Hollins,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,15/05/2024,VI-113825,"9,294.00",Revenue,Home Start in Suffolk,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,08/05/2024,VI-113683,"4,963.75",Revenue,Home Adapt,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,15/05/2024,VI-114235,390.10,Revenue,Home Adapt,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,17/05/2024,VI-114396,"7,775.00",Revenue,Home Adapt,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,10/05/2024,VI-113812,"1,068.00",Revenue,Hootsuite Media Inc,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Stationery,17/05/2024,VI-114250,"1,750.50",Revenue,Hound Envelopes Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Software Maintenance,29/05/2024,VI-114874,885.00,Revenue,Housemark Ltd,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Premises Expenses,Minor Improvements,08/05/2024,VI-113419,"2,191.60",Revenue,John E Wright & Co. Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Consultants,24/05/2024,VI-114646,"1,100.00",Revenue,IDOX Software Ltd,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,17/05/2024,VC-003427,-376.67,Revenue,Igenix Ltd T/A Animal Warden Services,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,17/05/2024,VI-113857,"3,588.33",Revenue,Igenix Ltd T/A Animal Warden Services,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,08/05/2024,VI-113527,"5,667.28",Capital,Ingleton Wood,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,17/05/2024,VI-114225,500.00,Revenue,Ingleton Wood,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,22/05/2024,VI-114224,"5,000.00",Revenue,Ingleton Wood,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,01/05/2024,VI-113196,"1,466.30",Capital,Insight Direct (UK) Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,17/05/2024,VI-114260,"1,460.44",Capital,Insight Direct (UK) Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Technical Training,10/05/2024,VI-112787,747.08,Revenue,International Correspondance Schools Ltd,,,,,,,,,,,,,,,
Community Health,Health and Wellbeing,Supplies and Services,Hardware Purchases,22/05/2024,VI-114596,"1,772.00",Revenue,Intermedical (UK) Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,10/05/2024,VI-113477,500.00,Revenue,Ipswich Borough Council,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,10/05/2024,VI-113479,500.00,Revenue,Ipswich Borough Council,,,,,,,,,,,,,,,
