Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Community Health,Food and Safety,Employee Expenses,Technical Training,29/11/2024,VI-126448,600.00,Revenue,APHA,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,15/11/2024,VI-125603,"17,395.39",Capital,Aran Insulation Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,15/11/2024,VI-125604,"28,831.11",Capital,Aran Insulation Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,22/11/2024,VI-126058,"30,752.69",Revenue,Aran Insulation Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Consultants,13/11/2024,VI-125585,"5,800.00",Revenue,ARC Resolve Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,08/11/2024,VI-125453,422.44,Revenue,Arena Partnership Ltd,,,,,,,,,,,,,,,
Energy and Climate Change,Environmental Climate Change,Supplies and Services,Grants & Contributions,27/11/2024,VI-126351,"1,000.00",Revenue,The Art Station,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,15/11/2024,VI-125740,"7,367.50",Revenue,Asbestech Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,General Purchases,11/11/2024,VI-125424,255.50,Revenue,ASDA Stores Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,General Purchases,11/11/2024,VI-125426,380.50,Revenue,ASDA Stores Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,01/11/2024,VI-124965,765.31,Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,19/11/2024,VI-125855,711.00,Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,22/11/2024,VI-126118,711.00,Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Corporate Subscriptions,01/11/2024,VI-124918,"4,000.00",Revenue,Association of Suffolk Museums,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,22/11/2024,VI-126116,"13,909.72",Revenue,Astor Bannerman (Medical) Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Expenditure not charged to Cost of Service,Gains/Losses on Disposal of PPE - Cost of Sale,01/11/2024,VI-124830,495.00,Revenue,Auction House East Anglia,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Internal Audit and Corporate Investigations,Supplies and Services,Software Maintenance,27/11/2024,VI-126080,665.00,Revenue,CaseWare UK Ltd,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Other Indirect Employee Expenses,06/11/2024,VI-124713,773.45,Revenue,AVC Wise Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Other Direct Salary Costs,06/11/2024,VI-124303,"19,701.72",Revenue,Babergh District Council,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,20/11/2024,VI-125996,"14,544.55",Revenue,Babergh District Council,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,20/11/2024,VI-125995,"38,698.29",Revenue,Babergh District Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,26/11/2024,VI-126104,"4,037.50",Revenue,BACT Community Transport,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Employee Expenses,Technical Training,15/11/2024,VI-124499,760.00,Revenue,Bal Kaur Howard (BKH Training),,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,13/11/2024,VI-125665,"1,722.60",Revenue,Gordon Barber,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,26/11/2024,VI-125809,"1,100.00",Revenue,Barsham & Shipmeadow Parish Council,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,12/11/2024,VI-125536,"12,293.71",Revenue,B & B Skip Hire,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,12/11/2024,VI-125621,"7,244.68",Revenue,Matt Bedding Plumbing and Heating,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Health and Safety,11/11/2024,VI-125251,324.45,Revenue,BES Utilities,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Marketing & Promotions,29/11/2024,VI-126561,"1,055.00",Revenue,Big Bear Promo Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,19/11/2024,VI-123309,"3,166.88",Capital,BDB Pitmans LLP,,,,,,,,,,,,,,,
Leader of the Council,Legal,Supplies and Services,Legal Fees,19/11/2024,VI-125351,455.00,Revenue,Birketts LLP,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Legal Fees,20/11/2024,VI-125691,"1,012.00",Revenue,Birketts LLP,,,,,,,,,,,,,,,
Leader of the Council,Communications,Supplies and Services,Marketing & Promotions,11/11/2024,VI-124971,276.22,Revenue,Bitly,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,15/11/2024,VI-125695,740.00,Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,15/11/2024,VI-125694,380.00,Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,15/11/2024,VI-125657,"11,525.20",Revenue,Blue Sail Consulting Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Hotel Accommodation,11/11/2024,VI-125551,334.19,Revenue,Booking.com,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Premises Expenses,Building Services - Planned Maintenance,08/11/2024,VI-124955,"39,138.00",Revenue,Booth Tarmacadem Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,20/11/2024,VI-125441,"1,025.66",Revenue,Bottomline,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,29/11/2024,VI-126482,"30,000.00",Revenue,Boudica Inns Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Housing Benefits,Third Party Payments,Other Local Authorities Third Party,12/11/2024,VI-125221,"8,978.16",Revenue,Breckland Council,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,08/11/2024,VI-125398,342.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,08/11/2024,VI-125396,320.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,08/11/2024,VI-125395,900.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,08/11/2024,VI-125394,408.50,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,08/11/2024,VI-125393,359.80,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,08/11/2024,VI-125391,326.50,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,08/11/2024,VI-125390,412.50,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,13/11/2024,VI-125629,818.50,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,22/11/2024,VI-125919,408.50,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,22/11/2024,VI-125922,333.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,22/11/2024,VI-125925,410.70,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Bad Debt Provision,Holding Account - Cash Out,Capital Expenditure,22/11/2024,VI-125928,363.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,22/11/2024,VI-125783,515.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,22/11/2024,VI-125781,737.50,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,22/11/2024,VI-125780,363.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,22/11/2024,VI-125779,271.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,08/11/2024,VI-125210,754.00,Revenue,The Bridge Marketing Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Industrial Estates,Premises Expenses,Electricity,15/11/2024,VI-125467,529.87,Revenue,British Gas - Business,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Premises Expenses,Electricity,19/11/2024,VI-124029,482.56,Revenue,British Gas - Business,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Consultants,08/11/2024,VI-125472,"12,862.50",Revenue,Bristow Holland Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,29/11/2024,VI-126452,"30,000.00",Revenue,Britten Pears Arts,,,,,,,,,,,,,,,
Leader of the Council,Legal,Supplies and Services,Legal Fees,13/11/2024,VI-122799,787.50,Revenue,Browne Jacobson LLP,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,05/11/2024,VI-125001,425.00,Revenue,Broadland Home Interiors,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,29/11/2024,VI-126573,499.86,Revenue,Broadland Home Interiors,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,19/11/2024,VI-125509,710.00,Revenue,British Telecom,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,19/11/2024,VI-125510,"1,100.00",Revenue,British Telecom,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,26/11/2024,VI-125850,710.00,Revenue,British Telecom,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,08/11/2024,VI-125459,"2,475.00",Revenue,Building Partnerships Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,06/11/2024,VI-125193,"2,000.00",Revenue,Building Compliance (SW) Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,06/11/2024,VI-125194,"3,500.00",Capital,Building Compliance (SW) Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Grants & Contributions,19/11/2024,VI-125937,"14,228.00",Revenue,Bungay Town Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,06/11/2024,VI-125191,812.25,Revenue,Bungay Community Support,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,27/11/2024,VI-126172,"2,250.00",Revenue,Bungay Folk Festival,,,,,,,,,,,,,,,
Community Health,Licensing,Employee Expenses,Technical Training,15/11/2024,VI-125681,"1,155.00",Revenue,James Button & Co Solicitors,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Supplies and Services,Consultants,27/11/2024,VI-126384,500.00,Revenue,Tim Buxbaum Architect,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Software Maintenance,22/11/2024,VI-126023,446.25,Revenue,Bytes Software Services,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,26/11/2024,VI-126170,892.50,Revenue,Bytes Software Services,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,05/11/2024,VI-125178,"1,315.00",Capital,Cadent Gas Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Software Maintenance,12/11/2024,VI-125429,"1,293.23",Revenue,Call Logging Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Technical Training,26/11/2024,VI-126151,"6,060.00",Revenue,Cambridge House & Talbot,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Technical Training,26/11/2024,VI-126150,"6,930.00",Revenue,Cambridge House & Talbot,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,27/11/2024,VI-126392,"5,000.00",Revenue,Candeo Smart Ltd,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Bank Fees,12/11/2024,VI-125526,410.67,Revenue,Access Paysuite Ltd - 360,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,15/11/2024,VI-125765,"1,625.00",Revenue,Carr Road Distribution Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Holding Account - Cash Out,Capital Expenditure,06/11/2024,VI-124924,"145,936.02",Capital,RG Carter Southern Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Materials For Resale,08/11/2024,VI-125445,"1,673.69",Revenue,Car Hire (Day of Swansea) Ltd T/A Day's Rental,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,12/11/2024,VI-125297,"1,820.00",Revenue,Carrington West,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,20/11/2024,VI-126015,"1,820.00",Revenue,Carrington West,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,20/11/2024,VI-126016,"1,820.00",Revenue,Carrington West,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Employee Expenses,Technical Training,01/11/2024,VI-124864,"1,155.00",Revenue,CATG Ltd,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Employee Expenses,Technical Training,01/11/2024,VI-124865,495.00,Revenue,CATG Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Hardware Purchases,01/11/2024,VI-124435,509.71,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Leader of the Council,Electoral Services,Supplies and Services,Hardware Purchases,01/11/2024,VI-124788,548.55,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,12/11/2024,VI-125495,512.80,Capital,CCS Media Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Stationery,12/11/2024,VI-125589,350.00,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,13/11/2024,VI-125566,"6,978.75",Capital,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,13/11/2024,VI-125568,477.00,Capital,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,15/11/2024,VI-125707,751.88,Capital,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,15/11/2024,VI-125706,641.00,Capital,CCS Media Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,19/11/2024,VI-125857,"2,146.97",Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,19/11/2024,VI-125862,"1,653.14",Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,19/11/2024,VI-125863,517.26,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Hardware Purchases,27/11/2024,VI-126398,405.34,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Hardware Purchases,29/11/2024,VI-126534,"1,283.20",Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,11/11/2024,VI-125417,410.00,Revenue,Certsure LLP NIC EIC ELECSA,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Consultants,06/11/2024,VI-123847,"27,000.00",Revenue,Certa Partnership Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Financial Services,Employee Expenses,Officer Professional Subscriptions,12/11/2024,VI-124881,394.00,Revenue,Chartered Institute of Housing,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Financial Services,Employee Expenses,Qualification Training,22/11/2024,VI-126119,"1,150.00",Revenue,Chartered Institute of Public Finance & Accountanc,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Technical Training,20/11/2024,VI-125986,305.00,Revenue,Chartered Institute of Ecology and Enviromental Ma,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,06/11/2024,VI-125206,"10,000.00",Capital,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,08/11/2024,VI-125456,"8,000.00",Capital,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,08/11/2024,VI-125201,"7,375.00",Capital,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,06/11/2024,VI-124079,"9,432.42",Revenue,Chase Services Group Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,12/11/2024,VI-125557,"9,340.62",Revenue,Chase Services Group Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Supplies and Services,Surveyor Fees,06/11/2024,VI-124663,650.00,Revenue,Charles Bycroft & Co Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,27/11/2024,VI-126391,"5,000.00",Revenue,Chestnut & Rose,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,06/11/2024,VI-123089,"5,124.70",Capital,J P Chick & Partners,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,05/11/2024,VI-125115,"6,374.00",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,12/11/2024,VI-125532,"5,244.50",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,12/11/2024,VI-125529,"7,909.31",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,12/11/2024,VI-125545,"2,684.94",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,29/11/2024,VI-126571,"9,117.91",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Software Maintenance,29/11/2024,VI-126509,"13,769.53",Revenue,Civica UK Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,01/11/2024,VI-124346,"1,551.17",Revenue,Claranet Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,27/11/2024,VI-126063,"1,551.17",Revenue,Claranet Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Supplies and Services,Other Ext Provided Services,26/11/2024,VI-126488,"45,000.00",Revenue,Clear Channel UK Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,12/11/2024,VI-125640,"4,196.75",Revenue,Closomat Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Other Ext Provided Services,15/11/2024,VI-123927,"3,605.49",Revenue,Clyde & Co,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,22/11/2024,VI-126108,"7,825.19",Revenue,Coastal Accessible Transport Services Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,22/11/2024,VC-003863,"-1,350.20",Revenue,Coastal Accessible Transport Services Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,15/11/2024,VI-125684,"4,315.37",Revenue,Park Now Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,15/11/2024,VI-125262,448.00,Revenue,Park Now Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,19/11/2024,VI-125961,"15,432.75",Revenue,Iain Cochran Architects,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,12/11/2024,VI-125214,300.00,Revenue,Code Enigma Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,20/11/2024,VI-125751,291.08,Revenue,Code Enigma Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Felixstowe Vision Development,Supplies and Services,Consultants,12/11/2024,VI-125524,"4,000.00",Revenue,Colliers International Property Advisors UK,,,,,,,,,,,,,,,
Economic Development and Transport,Felixstowe Vision Development,Supplies and Services,Consultants,12/11/2024,VI-125525,"3,000.00",Revenue,Colliers International Property Advisors UK,,,,,,,,,,,,,,,
