Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,45678,VI-130000,7941.32,Revenue,Aran Insulation Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,45679,VI-130048,7940.87,Revenue,Aran Insulation Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,45681,VI-130095,7800.56,Revenue,Aran Insulation Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,45674,VI-129677,5695,Revenue,Asbestech Ltd
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Supplies and Services,Consultants,45664,VI-128773,7212,Revenue,Atkinsrealis PPS Limited
Financial Resources and Value for Money,Internal Audit and Corporate Investigations,Supplies and Services,Consultants,45678,VI-129665,3150,Revenue,Audit and Business Services Ltd
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,45686,VI-130572,625,Revenue,The Audience Agency
Corporate Services,Human Resources,Employee Expenses,Other Indirect Employee Expenses,45674,VI-128756,885.39,Revenue,AVC Wise Limited
Corporate Services,Human Resources,Employee Expenses,Other Indirect Employee Expenses,45688,VI-130510,934.8,Revenue,AVC Wise Limited
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,45688,VI-129588,1618.13,Revenue,BACT Community Transport
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,45667,VI-129519,600,Capital,E E Bartlett Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,45667,VI-128932,6267.45,Revenue,B & B Skip Hire
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45678,VI-129966,6000,Revenue,Beccles Fenland Charity Trust
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45681,VI-130246,5000,Revenue,Beccles Fenland Charity Trust
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,45688,VI-130586,4148.58,Revenue,Beccles Community Hub
Leader of the Council,Democratic Services,Supplies and Services,Other Civic Expenses,45679,VI-130641,630,Revenue,Beccles Auctions Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45678,VI-129871,3920,Revenue,Being Well in Suffolk
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45681,VI-130167,4000,Revenue,Bike Active North Suffolk
Corporate Services,Human Resources,Supplies and Services,Legal Fees,45674,VI-127559,1711,Revenue,Birketts LLP
Leader of the Council,Legal,Supplies and Services,Legal Fees,45674,VI-129733,1637,Revenue,Birketts LLP
Leader of the Council,Legal,Supplies and Services,Legal Fees,45686,VI-130320,738,Revenue,Birketts LLP
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,45671,VI-129421,565,Revenue,Bison Electrical Services Ltd
Community Health,Health and Wellbeing,Supplies and Services,Publication Expense,45672,VI-129582,315,Revenue,Blackwell Print
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,45679,VI-129880,43304.31,Capital,Blakedown Landscapes Ltd
Economic Development and Transport,Economic Development,Supplies and Services,Hotel Accommodation,45667,VI-129166,406.25,Revenue,Booking.com
"Communities, Culture, Leisure and Tourism",Beach,Holding Account - Cash Out,Capital Expenditure,45678,VI-129404,24945.2,Capital,Boot Construction (East Anglia) Ltd
Corporate Services,ICT,Supplies and Services,Software Maintenance,45677,VI-130234,1014.32,Revenue,Bottomline
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,45664,VI-128694,4250,Revenue,Dyno-Rod T/A P Bowyer Associates Ltd
Financial Resources and Value for Money,Housing Benefits,Third Party Payments,Other Local Authorities Third Party,45667,VI-128941,8978.16,Revenue,Breckland Council
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,45667,VI-129249,664.22,Revenue,C Brewer and Son
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,45678,VI-129771,342.8,Revenue,C Brewer and Son
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,45678,VI-129772,802.79,Revenue,C Brewer and Son
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,45685,VI-130338,335.96,Revenue,C Brewer and Son
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,45665,VI-127811,292.3,Revenue,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,45674,VI-128335,708.4,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,45674,VI-128337,669.5,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,45674,VI-128338,729.7,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,45674,VI-128339,353.8,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,45674,VI-128340,496,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,45674,VI-128341,456,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Welfare Adaptations,45674,VI-128986,354.4,Revenue,Breydon Flooring Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Welfare Adaptations,45674,VI-128991,339.6,Revenue,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,45674,VI-129691,326.5,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,45674,VI-129692,408.6,Capital,Breydon Flooring Ltd
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,45678,VI-128342,640,Revenue,Breydon Flooring Ltd
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,45678,VI-129695,322.6,Revenue,Breydon Flooring Ltd
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,45678,VI-128214,451.5,Revenue,Breydon Flooring Ltd
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,45678,VI-128993,426.5,Revenue,Breydon Flooring Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,45678,VI-129829,448.4,Revenue,Breydon Flooring Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,45678,VI-129831,567,Revenue,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,45688,VI-130168,335.4,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,45688,VI-130169,370.1,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,45688,VI-130170,310,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,45688,VI-130562,359,Capital,Breydon Flooring Ltd
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,45688,VI-130566,577.24,Revenue,Breydon Flooring Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,45667,VI-128928,340,Revenue,The Bridge Marketing Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,45664,VI-128074,720,Revenue,Britannia Safety & Training
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,45664,VI-128080,520,Revenue,Britannia Safety & Training
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,45664,VI-128083,600,Revenue,Britannia Safety & Training
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,45664,VI-128086,912,Revenue,Britannia Safety & Training
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,45664,VI-128088,720,Revenue,Britannia Safety & Training
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,45664,VI-128090,450,Revenue,Britannia Safety & Training
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,45664,VI-128092,450,Revenue,Britannia Safety & Training
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,45664,VI-128097,808,Revenue,Britannia Safety & Training
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,45664,VI-128099,450,Revenue,Britannia Safety & Training
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,45664,VI-128101,450,Revenue,Britannia Safety & Training
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,45664,VI-128103,808,Revenue,Britannia Safety & Training
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,45664,VI-128105,450,Revenue,Britannia Safety & Training
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,45664,VI-128108,450,Revenue,Britannia Safety & Training
Economic Development and Transport,Economic Regeneration,Premises Expenses,Electricity,45678,VI-129379,328.71,Revenue,British Gas - Business
Financial Resources and Value for Money,Industrial Estates,Premises Expenses,Electricity,45681,VI-127277,615.09,Revenue,British Gas - Business
Financial Resources and Value for Money,Industrial Estates,Premises Expenses,Electricity,45681,VI-129375,631.5,Revenue,British Gas - Business
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,45671,VI-129309,9450,Capital,Bristow Holland Ltd
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Consultants,45688,VI-130640,1397,Revenue,British Port Association
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Other Ext Provided Services,45681,VI-129954,175000,Revenue,British Cycling Events Ltd
Leader of the Council,Legal,Supplies and Services,Legal Fees,45678,VI-129754,2284.1,Revenue,Browne Jacobson LLP
Leader of the Council,Legal,Supplies and Services,Legal Fees,45678,VI-129755,5103,Revenue,Browne Jacobson LLP
Leader of the Council,Legal,Supplies and Services,Legal Fees,45688,VI-130627,1716,Revenue,Browne Jacobson LLP
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45674,VI-129783,450,Revenue,Brook Land Dental Surgery
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,45681,VI-129292,1252.11,Revenue,British Telecommunications plc
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,45677,VI-129150,710,Revenue,British Telecom
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,45677,VI-129152,1100,Revenue,British Telecom
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,45669,VI-129703,710,Revenue,British Telecom
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,45684,VI-130697,710,Revenue,British Telecom
Economic Development and Transport,Economic Development,Supplies and Services,Corporate Subscriptions,45671,VI-129056,1545,Revenue,Buckinghamshire Council
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,45667,VI-129189,1612.5,Revenue,Building Partnerships Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45681,VI-130316,1000,Revenue,Bungay Tennis Club
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Software Maintenance,45667,VI-128908,357,Revenue,Bytes Software Services
Corporate Services,ICT,Supplies and Services,Software Maintenance,45678,VI-129984,2993.54,Revenue,Bytes Software Services
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,45685,VI-130220,33082.2,Capital,Bytes Software Services
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,45685,VI-130166,7417.5,Revenue,Campbell Tickell Ltd
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,45664,VI-128849,675,Revenue,Canham Consulting Ltd
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Bank Fees,45674,VI-129215,310.86,Revenue,Access Paysuite Ltd - 360
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45674,VI-129779,2175.85,Revenue,Carlton Colville Town Council
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45674,VI-129782,376,Revenue,Carlton Colville Town Council
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,45671,VI-129551,1567.5,Revenue,Carr Road Distribution Ltd
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Hardware Purchases,45667,VI-129370,1116.7,Revenue,Cartridge Save Ltd
Economic Development and Transport,Parking Services,Holding Account - Cash Out,Capital Expenditure,45678,VI-129499,11636.64,Capital,RG Carter Southern Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Transport Expenses,Operational Vehicle Hire,45667,VI-129144,1673.69,Revenue,Car Hire (Day of Swansea) Ltd T/A Day's Rental
The Environment,Environmental Protection,Supplies and Services,Furniture and Equipment,45667,VI-128917,318.37,Revenue,Car Hire (Day of Swansea) Ltd T/A Day's Rental
The Environment,Environmental Protection,Supplies and Services,Furniture and Equipment,45679,VI-129990,418.25,Revenue,Car Hire (Day of Swansea) Ltd T/A Day's Rental
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,45665,VI-128855,1872,Revenue,Carrington West
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,45665,VI-129003,1872,Revenue,Carrington West
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,45667,VI-128724,1872,Revenue,Carrington West
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,45688,VI-130593,1872,Revenue,Carrington West
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,45688,VI-130594,1872,Revenue,Carrington West
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,45688,VI-130595,1872,Revenue,Carrington West
Economic Development and Transport,Economic Development,Supplies and Services,Marketing & Promotions,45685,VI-130460,3000,Revenue,Business Enquirer (The Carter & Co Group)
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,45678,VI-129964,14644.25,Revenue,The Castle Inn
Corporate Services,ICT,Supplies and Services,Hardware Maintenance,45664,VI-128817,2352,Revenue,CCS Media Limited
Community Health,Port Health Authority,Supplies and Services,Stationery,45667,VI-128700,430.76,Revenue,CCS Media Limited
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,45667,VI-128909,4973.95,Capital,CCS Media Limited
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Hardware Purchases,45672,VI-129614,698,Revenue,CCS Media Limited
Housing Revenue Account,HRA Special Services,Supplies and Services,Hardware Purchases,45672,VI-129617,743,Revenue,CCS Media Limited
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,45672,VI-129618,1399,Capital,CCS Media Limited
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Hardware Purchases,45658,VC-003996,-585.86,Revenue,CCS Media Limited
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Hardware Purchases,45674,VI-129663,590.86,Revenue,CCS Media Limited
Planning and Coastal Management,Planning,Supplies and Services,Hardware Purchases,45678,VI-129822,614.4,Revenue,CCS Media Limited
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Hardware Purchases,45678,VI-129981,1050.2,Revenue,CCS Media Limited
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Qualification Training,45667,VI-129739,520,Revenue,Chartered Institute of Building
The Environment,Environmental Protection,Employee Expenses,Officer Professional Subscriptions,45686,VI-129804,1315,Revenue,Chartered Institute of Environmental Health
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Officer Professional Subscriptions,45667,VI-129167,263,Revenue,Chartered Institute Environmental Health
Community Health,Food and Safety,Employee Expenses,Officer Professional Subscriptions,45667,VI-129253,263,Revenue,Chartered Institute Environmental Health
Community Health,Food and Safety,Employee Expenses,Officer Professional Subscriptions,45667,VI-129254,263,Revenue,Chartered Institute Environmental Health
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Officer Professional Subscriptions,45667,VI-129418,263,Revenue,Chartered Institute Environmental Health
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Officer Professional Subscriptions,45667,VI-129420,526,Revenue,Chartered Institute Environmental Health
Community Health,Food and Safety,Employee Expenses,Officer Professional Subscriptions,45667,VI-129233,263,Revenue,Chartered Institute Environmental Health
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,45685,VI-130464,2410,Revenue,Chartered Institute of Housing
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Technical Training,45688,VI-130612,1755,Revenue,Chartered Institute of Housing
Financial Resources and Value for Money,Financial Services,Employee Expenses,Qualification Training,45671,VI-124996,1450,Revenue,Chartered Institute of Public Finance & Accountanc
Financial Resources and Value for Money,Financial Services,Employee Expenses,Officer Professional Subscriptions,45667,VI-129425,391.4,Revenue,Chartered Institute of Public Finance& Accountancy
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,45671,VI-129493,9700,Capital,Chaplin Farrant Ltd
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,45671,VI-129494,5000,Capital,Chaplin Farrant Ltd
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,45671,VI-129505,6125,Capital,Chaplin Farrant Ltd
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,45671,VI-129560,4500,Revenue,Chaplin Farrant Ltd
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,45678,VI-129503,500,Capital,Chaplin Farrant Ltd
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,45678,VI-129504,10075,Capital,Chaplin Farrant Ltd
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,45678,VI-129864,11200,Revenue,Chaplin Farrant Ltd
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,45685,VI-129371,10797.68,Revenue,Chase Services Group Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,45667,VI-129228,12784.83,Revenue,City Electrical Factors Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,45674,VI-129680,9478.65,Revenue,City Electrical Factors Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,45678,VI-129787,14014.15,Revenue,City Electrical Factors Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,45685,VI-130257,9997.05,Revenue,City Electrical Factors Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,45685,VI-130399,31107.17,Revenue,City Electrical Factors Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,45688,VI-130706,5468.8,Revenue,City Electrical Factors Ltd
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,45664,VI-128165,1551.17,Revenue,Claranet Ltd
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,45681,VI-130042,1551.17,Revenue,Claranet Ltd
Corporate Services,ICT,Supplies and Services,Other Office Expenses,45664,VI-128824,525,Revenue,CLC Presentation Systems Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,45679,VI-129935,3398.12,Capital,Cleveland Joinery
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,45685,VI-130438,307,Revenue,Closomat Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,45674,VC-003995,-744.85,Revenue,Coastal Accessible Transport Services Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,45674,VI-129586,6978.08,Revenue,Coastal Accessible Transport Services Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,45664,VI-128936,460,Revenue,Coastline Holidays
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,45664,VI-128938,600,Revenue,Coastline Holidays
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,45665,VI-128943,438,Revenue,Park Now Limited
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,45671,VI-129392,4262.12,Revenue,Park Now Limited
Corporate Services,ICT,Supplies and Services,Software Maintenance,45667,VI-127906,273.61,Revenue,Code Enigma Limited
Corporate Services,ICT,Supplies and Services,Software Maintenance,45667,VI-128930,300,Revenue,Code Enigma Limited
Corporate Services,ICT,Supplies and Services,Software Maintenance,45667,VI-128937,3455.27,Revenue,Columbus Global UK Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Miscellaneous Other Services,45688,VI-130631,2645.82,Revenue,Community Action Suffolk
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,45667,VC-003984,-331,Revenue,SGS United Kingdom Ltd
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,45667,VI-128749,26087.24,Revenue,SGS United Kingdom Ltd
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,45671,VI-128945,805,Revenue,SGS United Kingdom Ltd
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,45685,VI-129977,3800,Capital,Concertus Design & Property Consultants Limited
Economic Development and Transport,North Felixstowe Garden Neighbourhood,Supplies and Services,Consultants,45667,VI-128100,1732.5,Revenue,Connecting Spaces
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,45664,VI-128697,1389,Revenue,Cooks Blinds and Shutters Ltd
Leader of the Council,Legal,Supplies and Services,Legal Fees,45674,VI-129729,4000,Revenue,Cornerstone Barristers
Leader of the Council,Legal,Supplies and Services,Legal Fees,45688,VI-130628,6525,Revenue,Cornerstone Barristers
Leader of the Council,Legal,Supplies and Services,Legal Fees,45674,VI-129699,2500,Revenue,Cornerstone Barristers
Leader of the Council,Legal,Supplies and Services,Legal Fees,45678,VI-129700,800,Revenue,Cornerstone Barristers
Leader of the Council,Legal,Supplies and Services,Legal Fees,45674,VI-129693,2750,Revenue,Cornerstone Barristers
Economic Development and Transport,Economic Development,Supplies and Services,Software Purchases,45679,VI-129982,5806.45,Revenue,CoStar UK Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45667,VI-129210,600,Revenue,Cransford Village Hall
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,45658,VC-004050,-1425,Revenue,Create Consulting Engineers Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Tenants Allowances,45685,VI-130346,1817.9,Revenue,Crown Paints Ltd
