Portfolio,Supplier_Name,Payment_Date,Transaction_Number,Net Amount,Merchant Category
Adults Balance Sheet Total,CANNON CARS,45078,5037021,10539.93,TCR TRANSPORT
"Children, Education and Families",CANNON CARS,45078,5037021,854.48,TCR TRANSPORT
"Resources, Commissioning and Contracts Management",CAPITA BUSINESS SERVICES LTD,45078,5037022,9926.69,VENDOR
"Children, Education and Families",CAPITA BUSINESS SERVICES LTD,45078,5037023,76758.05,VENDOR
Adult Care and Health,CARE DIRECT UK LTD,45078,5037024,10390.12,TCR SUPPLIER GENERAL
Adult Care and Health,CARE DIRECT UK LTD,45078,5037024,718.74,TCR SUPPLIER GENERAL
Adult Care and Health,CARE OUTLOOK LIMITED,45078,5037025,1299.6299999999999,TCR SUPPLIER GENERAL
Adult Care and Health,CARE OUTLOOK LIMITED,45078,5037025,475.82,TCR SUPPLIER GENERAL
Adult Care and Health,CARE WORLD AGENCY LTD,45078,5037026,7593.419999999991,TCR SUPPLIER GENERAL
Adult Care and Health,CARE WORLD AGENCY LTD,45078,5037026,39.82,TCR SUPPLIER GENERAL
"Children, Education and Families",CITY & GUILDS,45078,5037027,678.6,OTHER CREDS
Adults Balance Sheet Total,REDACTED PERSONAL DATA,45078,5037028,14810,TCR TRANSPORT
Adult Care and Health,DADDATA LTD,45078,5037029,3180,TCR SUPPLIER GENERAL
Control Balance Sheet Total,DAYS FLEET,45078,5037030,4276.720000000001,TCR SUPPLIER GENERAL
Adult Care and Health,REDACTED PERSONAL DATA,45078,5037031,11323.449999999997,TCR DOMICILIARY PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45078,5037031,2115.34,TCR DOMICILIARY PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45078,5037033,900,TCR CONSULTANT
"Children, Education and Families",REDACTED PERSONAL DATA,45078,5037035,1452.68,TCR CONSULTANT
Public Protection and Enforcement,ENIGMA CCTV LTD,45078,5037036,28048.75,TCR CORP CONTRACTS
"Children, Education and Families",EQUAL CHANCE LTD,45078,5037037,688.75,TCR SUPPLIER GENERAL
"Children, Education and Families",FARRINGTONS SCHOOL,45078,5037038,6755.34,OTHER CREDS
Adult Care and Health,REDACTED PERSONAL DATA,45078,5037040,518.6999999999999,TCR DOMICILIARY PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45078,5037041,691.6,TCR DOMICILIARY PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45078,5037042,2148.9,TCR DOMICILIARY PROVIDER
RCCM Capital Total,REDACTED PERSONAL DATA,45078,5037043,6588,TCR CONSULTANT
"Renewal, Recreation and Housing",GREENWICH LEISURE LTD,45078,5037044,381605.3,TCR SUPPLIER GENERAL
Adult Care and Health,HOMECARE BROMLEY,45078,5037046,5806.469999999998,TCR RESIDENTIAL HOME
Adult Care and Health,HOMECARE BROMLEY,45078,5037046,179.72,TCR RESIDENTIAL HOME
Environment & Community Services,IDVERDE LTD,45078,5037048,443,TCR SUPPLIER GENERAL
ECS Capital Total,IDVERDE LTD,45078,5037049,9251.18,TCR SUPPLIER GENERAL
Adult Care and Health,REDACTED PERSONAL DATA,45078,5037050,6366.95,TCR DOMICILIARY PROVIDER
Adult Care and Health,INVICTA24 PLUS LTD,45078,5037051,11976.459999999995,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45078,5037053,5152,TCR DOMICILIARY PROVIDER
"Children, Education and Families",REDACTED PERSONAL DATA,45078,5037053,1363.5,TCR DOMICILIARY PROVIDER
"Children, Education and Families",REDACTED PERSONAL DATA,45078,5037053,3999,TCR DOMICILIARY PROVIDER
"Children, Education and Families",JAMMA UMOJA [RESIDENTIAL SERVICES] LTD,45078,5037054,4918,OTHER CREDS
"Children, Education and Families",JAMMA UMOJA [RESIDENTIAL SERVICES] LTD,45078,5037054,-3465,OTHER CREDS
Adult Care and Health,REDACTED PERSONAL DATA,45078,5037056,519.12,TCR RESIDENTIAL HOME
"Renewal, Recreation and Housing",KINDLY PROPERTIES,45078,5037057,2736,VENDOR
"Children, Education and Families",KINGSDALE FOUNDATION SCHOOL,45078,5037058,16734.58,TCR IND SCHOOL
"Resources, Commissioning and Contracts Management",LONDON GRID FOR LEARNING TRUST,45078,5037059,43042.1,OTHER CREDS
"Children, Education and Families",LONDON SOUTH EAST COLLEGES,45078,5037060,5005.02,TCR SUPPLIER GENERAL
Environment & Community Services,MARKETFORCE SERVICES LTD,45078,5037062,3960,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45078,5037065,1260,TCR SUPPLIER GENERAL
"Children, Education and Families",NEST CHILD CONTACT & FAMILY SUPPORT SERVICES,45078,5037069,2080,COMPANY
Insurance Fund Holding Account Total,NEW LAW LEGAL LTD,45078,5037070,8183.5,TCR LEGAL
"Children, Education and Families",NEWLANDS ACADEMY,45078,5037071,34729.17,TCR IND SCHOOL
RCCM Capital Total,NUMBER 10 INTERIM,45078,5037072,2300,TCR SUPPLIER GENERAL
RCCM Capital Total,NUMBER 10 INTERIM,45078,5037073,2875,TCR SUPPLIER GENERAL
"Children, Education and Families",NUTRIX PERSONNEL LTD,45078,5037074,2205.5,TCR DOMICILIARY PROVIDER
"Children, Education and Families",NUTRIX PERSONNEL LTD,45078,5037075,2505.5,TCR DOMICILIARY PROVIDER
"Children, Education and Families",NUTRIX PERSONNEL LTD,45078,5037076,3803.5,TCR DOMICILIARY PROVIDER
Adult Care and Health,OMEGA NEST VALERIE OWELLE,45078,5037077,660,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",OPUS ENERGY LTD,45078,5037078,614,TCR UTILITY
"Resources, Commissioning and Contracts Management",OPUS ENERGY LTD,45078,5037079,3990.3799999999997,TCR UTILITY
RRH Capital Total,PLAYLE & PARTNERS LLP,45078,5037081,3959.64,TCR CONSULTANT
Adult Care and Health,RIVER GARDEN CARE LTD,45078,5037082,7927.859999999999,TCR RESIDENTIAL HOME
Adult Care and Health,RIVER GARDEN CARE LTD,45078,5037082,561.1,TCR RESIDENTIAL HOME
Adult Care and Health,RIVER GARDEN CARE LTD,45078,5037082,1355.7199999999998,TCR RESIDENTIAL HOME
Adults Balance Sheet Total,ROWLAND BROTHERS LTD,45078,5037085,3065,TCR SUPPLIER GENERAL
"Renewal, Recreation and Housing",SEAS PROPERTY LTD,45078,5037086,28630.5,TCR LANDLORD
"Children, Education and Families",REDACTED PERSONAL DATA,45078,5037088,3518.9,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45078,5037088,1051.1,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45078,5037089,595,TCR SUPPLIER GENERAL
Adult Care and Health,REDACTED PERSONAL DATA,45078,5037090,27716.629999999997,TCR DOMICILIARY PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45078,5037090,2432.8599999999997,TCR DOMICILIARY PROVIDER
"Children, Education and Families",THE JOHN FISHER SCHOOL,45078,5037091,2487.08,TCR ACADEMY
"Renewal, Recreation and Housing",REDACTED PERSONAL DATA,45078,5037095,1500,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45078,5037096,9394,TCR SUPPLIER GENERAL
"Children, Education and Families",THE OT PRACTICE LTD,45078,5037097,580.8,TCR SUPPLIER GENERAL
Enviromnent Balance Sheet Total,TOGETHER BECKENHAM LTD,45078,5037098,8924.15,TCR SUPPLIER GENERAL
"Renewal, Recreation and Housing",WATES PROPERTY SERVICES LTD,45078,5037099,755.13,SUB-CONTRACTOR
"Renewal, Recreation and Housing",WATES PROPERTY SERVICES LTD,45078,5037100,2268.27,SUB-CONTRACTOR
RRH Capital Total,WOMBLE BOND DICKINSON UK LLP,45078,5037101,677.4,TCR LEGAL
"Children, Education and Families",YOUNG VIBRANT,45078,5037102,600,TCR SUPPLIER GENERAL
"Children, Education and Families",YOUNG VIBRANT,45078,5037103,600,TCR SUPPLIER GENERAL
"Children, Education and Families",YOUNG VIBRANT,45078,5037104,600,TCR SUPPLIER GENERAL
"Renewal, Recreation and Housing",ZFA LTD,45078,5037106,10064.5,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",2 DR JOHNSON'S BUILDINGS,45079,5037107,700,TCR LEGAL
"Renewal, Recreation and Housing",REDACTED PERSONAL DATA,45079,5037108,3500,TCR LANDLORD
Adult Care and Health,REDACTED PERSONAL DATA,45079,5037109,1660,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",A TO Z COURIERS,45079,5037110,661.16,TCR SUPPLIER GENERAL
Adult Care and Health,REDACTED PERSONAL DATA,45079,5037111,420,IND GRANTS
Adult Care and Health,ABSOLUTE CARE SERVICES LTD,45079,5037112,9010.42999999999,TCR DOMICILIARY PROVIDER
Adult Care and Health,ABSOLUTE CARE SERVICES LTD,45079,5037112,357.89,TCR DOMICILIARY PROVIDER
Adult Care and Health,ABSOLUTE CARE SERVICES LTD,45079,5037112,1414.04,TCR DOMICILIARY PROVIDER
Adult Care and Health,AMY ADAMS HOMECARE UK LIMITED,45079,5037115,4628.45,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45079,5037116,6400,TCR CONSULTANT
Adult Care and Health,CAPITAL HOMECARE UK LTD,45079,5037121,9391.119999999995,TCR DOMICILIARY PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45079,5037122,8491.72,TCR SUPPLIER GENERAL
Adult Care and Health,REDACTED PERSONAL DATA,45079,5037122,212.76,TCR SUPPLIER GENERAL
Adult Care and Health,REDACTED PERSONAL DATA,45079,5037122,834.36,TCR SUPPLIER GENERAL
"Children, Education and Families",CAROLINE WALSH LTD,45079,5037123,6600,TCR CONSULTANT
"Children, Education and Families",CAROLINE WALSH LTD,45079,5037124,10800,TCR CONSULTANT
"Children, Education and Families",REDACTED PERSONAL DATA,45079,5037126,2367.5,IND OTHER
Adults Balance Sheet Total,CENTAUR OVERLAND TRAVEL LTD,45079,5037127,2799,TCR TRANSPORT
"Children, Education and Families",REDACTED PERSONAL DATA,45079,5037128,940.29,TCR SUPPLIER GENERAL
"Renewal, Recreation and Housing",CROYDON COUNCIL,45079,5037129,654,PCS LOCAL AUTH
"Children, Education and Families",REDACTED PERSONAL DATA,45079,5037131,765,TCR TRAINING
Adult Care and Health,DAY TO DAY CARE LTD,45079,5037132,1539.4,TCR DOMICILIARY PROVIDER
Adult Care and Health,DAY TO DAY CARE LTD,45079,5037132,73.68,TCR DOMICILIARY PROVIDER
Adult Care and Health,DAY TO DAY CARE LTD,45079,5037132,227.28,TCR DOMICILIARY PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45079,5037134,13661.2,TCR DOMICILIARY PROVIDER
Adult Care and Health,FABS DOMICILIARY HOMECARE LTD,45079,5037136,11739.27,TCR DOMICILIARY PROVIDER
Adult Care and Health,FABS DOMICILIARY HOMECARE LTD,45079,5037136,536.13,TCR DOMICILIARY PROVIDER
Adult Care and Health,FABS DOMICILIARY HOMECARE LTD,45079,5037136,329.46,TCR DOMICILIARY PROVIDER
Adult Care and Health,FALA ACHIEVEMENTS,45079,5037137,660,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45079,5037138,6732.9,IND AGENCY CARERS
"Children, Education and Families",REDACTED PERSONAL DATA,45079,5037139,6957.33,IND AGENCY CARERS
Adult Care and Health,HARMONY HOME AID SERVICES LTD,45079,5037141,927.85,TCR DOMICILIARY PROVIDER
Adult Care and Health,HARMONY HOME AID SERVICES LTD,45079,5037141,35.42,TCR DOMICILIARY PROVIDER
"Children, Education and Families",KELLY EXECUTIVE LTD,45079,5037149,4120,TCR TRANSPORT
"Children, Education and Families",KHIN FAMILY SERVICES,45079,5037150,16662.9,TCR RESIDENTIAL HOME
Adults Balance Sheet Total,REDACTED PERSONAL DATA,45079,5037151,7337,TCR TRANSPORT
Environment & Community Services,LUCY ZODION LTD,45079,5037152,9777.76,TCR SUPPLIER GENERAL
Adult Care and Health,REDACTED PERSONAL DATA,45079,5037153,22986.41,IND DIRECT PAYMENTS
"Children, Education and Families",NUTRIX PERSONNEL LTD,45079,5037154,715,TCR DOMICILIARY PROVIDER
"Children, Education and Families",NUTRIX PERSONNEL LTD,45079,5037155,1832,TCR DOMICILIARY PROVIDER
"Children, Education and Families",REDACTED PERSONAL DATA,45079,5037156,22550,TCR STAFF AGENCY
Adult Care and Health,PETTS WOOD HOMECARE LTD,45079,5037157,1392.9300000000003,TCR SUPPLIER GENERAL
Adult Care and Health,PETTS WOOD HOMECARE LTD,45079,5037158,1582.79,TCR SUPPLIER GENERAL
Adults Balance Sheet Total,PG PASSENGER SERVICES LTD,45079,5037159,5735,TCR TRANSPORT
"Children, Education and Families",POTTON KARE SERVICES LTD,45079,5037160,107.7,TCR SUPPLIER GENERAL
"Children, Education and Families",POTTON KARE SERVICES LTD,45079,5037160,764.4,TCR SUPPLIER GENERAL
Adult Care and Health,REDACTED PERSONAL DATA,45079,5037161,9588.960000000017,TCR DOMICILIARY PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45079,5037161,165.34,TCR DOMICILIARY PROVIDER
"Children, Education and Families",PROSTARS FOOTBALL SCHOOL,45079,5037162,2610,VENDOR
"Children, Education and Families",PSYCHOLOGY DIRECT LTD,45079,5037163,873.6,TCR SUPPLIER GENERAL
ECS Capital Total,PURCELL ARCHITECTURE LTD,45079,5037164,2000,TCR CONSULTANT
Environment & Community Services,PURCELL ARCHITECTURE LTD,45079,5037164,-225,TCR CONSULTANT
"Children, Education and Families",REDACTED PERSONAL DATA,45079,5037168,4185,TCR SUPPLIER GENERAL
"Children, Education and Families",SUPPLY & DEMAND CONSULTANCY LTD,45079,5037170,13604,OTHER CREDS
"Children, Education and Families",YOUNG VIBRANT,45079,5037173,600,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",ZELLIS UK LTD,45079,5037174,1200,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",ZELLIS UK LTD,45079,5037174,1200,TCR SUPPLIER GENERAL
"Renewal, Recreation and Housing",24/7 HOUSING LTD,45082,5037175,104544,TCR LANDLORD
"Renewal, Recreation and Housing",3 ARROWS PROPERTIES LTD,45082,5037176,80108.65,TCR LANDLORD
"Children, Education and Families",ALLPAY LTD,45082,5037178,1200,TCR SUPPLIER GENERAL
Adult Care and Health,AVENUES TRUST GROUP LTD,45082,5037179,1823.08,OTHER CREDS
Adult Care and Health,AVENUES TRUST GROUP LTD,45082,5037180,6069.17,OTHER CREDS
Adult Care and Health,BHR PHARMACEUTICALS LTD,45082,5037181,2387.94,TCR SUPPLIER GENERAL
Corporate Balance Sheet Total,BT GLOBAL SERVICES,45082,5037183,35104.44,TCR SUPPLIER GENERAL
Environment & Community Services,BT GLOBAL SERVICES,45082,5037183,1225,TCR SUPPLIER GENERAL
RCCM Capital Total,BT GLOBAL SERVICES,45082,5037183,23100,TCR SUPPLIER GENERAL
RCCM Capital Total,BT GLOBAL SERVICES,45082,5037183,21000,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",BT GLOBAL SERVICES,45082,5037183,330671.44999999995,TCR SUPPLIER GENERAL
"Children, Education and Families",CANNON CARS,45082,5037185,545.01,TCR TRANSPORT
"Renewal, Recreation and Housing",DIAL INVESTMENTS LTD,45082,5037190,4000,TCR INVESTMENTS
"Children, Education and Families",DOTS FOR CHILDREN LTD,45082,5037191,963.42,TCR CONSULTANT
"Children, Education and Families",DYNAMIC CARE LTD,45082,5037193,5035.71,TCR SUPPLIER GENERAL
"Children, Education and Families",EDF ENERGY CUSTOMERS PLC,45082,5037194,778.86,TCR UTILITY
"Children, Education and Families",REDACTED PERSONAL DATA,45082,5037195,3829.12,IND AGENCY CARERS
"Renewal, Recreation and Housing",EON NEXT,45082,5037196,30829.989999999998,TCR UTILITY
"Renewal, Recreation and Housing",FAMILY FUND TRADING LTD,45082,5037197,14800.63,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45082,5037199,1466,IND AGENCY CARERS
"Children, Education and Families",REDACTED PERSONAL DATA,45082,5037200,31740,CHILDRENS RESIDENTIAL UNITS
"Children, Education and Families",REDACTED PERSONAL DATA,45082,5037201,1170,IND OTHER
Environment & Community Services,IDVERDE LTD,45082,5037202,3642.85,TCR SUPPLIER GENERAL
Environment & Community Services,IDVERDE LTD,45082,5037203,5534.37,TCR SUPPLIER GENERAL
Environment & Community Services,IDVERDE LTD,45082,5037204,10017.82,TCR SUPPLIER GENERAL
"Children, Education and Families",JAMMA UMOJA [RESIDENTIAL SERVICES] LTD,45082,5037205,795,OTHER CREDS
Adults Balance Sheet Total,LADYBIRDS 1991 LTD,45082,5037208,4173,TCR SUPPLIER GENERAL
"Renewal, Recreation and Housing",LETTING INTERNATIONAL LTD,45082,5037210,14353,TCR LANDLORD
"Children, Education and Families",REDACTED PERSONAL DATA,45082,5037211,770,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",LONDON GRID FOR LEARNING TRUST,45082,5037212,3045.37,OTHER CREDS
Enviromnent Balance Sheet Total,LONDON HIRE LIMITED,45082,5037213,440.43,TCR SUPPLIER GENERAL
Control Balance Sheet Total,REDACTED PERSONAL DATA,45082,5037217,691.57,IND REFUND
"Children, Education and Families",REDACTED PERSONAL DATA,45082,5037222,622.6,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45082,5037223,943.5,IND FOSTER CARER
"Resources, Commissioning and Contracts Management",NTA MONITOR T/A INTERTEK NTA,45082,5037230,6375,TCR SUPPLIER GENERAL
"Children, Education and Families",NUTRIX PERSONNEL LTD,45082,5037231,1426.5,TCR DOMICILIARY PROVIDER
"Children, Education and Families",PROVIDENT RECRUITMENT LTD T/A PSYCHOLOGY PEOPLE,45082,5037232,2422,IRC_JOB_AGENCY
"Renewal, Recreation and Housing",RF CARE SERVICES LTD,45082,5037233,1100.5,TCR SUPPLIER GENERAL
Public Protection and Enforcement,SDK ENVIRONMENTAL LTD,45082,5037234,5773.5,TCR SUPPLIER GENERAL
"Renewal, Recreation and Housing",SOVEREIGN SERVICES PROPERTY HOLDINGS LTD,45082,5037235,40584,TCR SUPPLIER GENERAL
"Children, Education and Families",SUPPLY & DEMAND CONSULTANCY LTD,45082,5037236,6076,OTHER CREDS
"Children, Education and Families",THE OWL CENTRE,45082,5037238,676.36,TCR SUPPLIER GENERAL
"Children, Education and Families",THE TUTORIAL FOUNDATION,45082,5037239,5229.85,VENDOR
"Children, Education and Families",THE WRITE TIME LTD,45082,5037240,13844.19,TCR TRAINING
"Children, Education and Families",REDACTED PERSONAL DATA,45082,5037241,720,TCR SUPPLIER GENERAL
"Renewal, Recreation and Housing",TRAFALGAR UK THEATRES BROMLEY LTD,45082,5037242,10125,TCR SUPPLIER GENERAL
Adult Care and Health,WALLER ASSOCIATES LTD,45082,5037243,32746.98,COMPANY
"Children, Education and Families",WIZE UP (GREENWICH) LTD,45082,5037244,4546.08,TCR SUPPLIER GENERAL
"Children, Education and Families",YOUNG PEOPLE AT HEART LTD,45082,5037245,7800,TCR SUPPLIER GENERAL
"Children, Education and Families",YOUNG VIBRANT,45082,5037246,600,TCR SUPPLIER GENERAL
"Children, Education and Families",1ST FOR CHILDREN LTD,45083,5037248,12479.7,OTHER CREDS
"Children, Education and Families",1ST FOR CHILDREN LTD,45083,5037248,828,OTHER CREDS
"Resources, Commissioning and Contracts Management",2 DR JOHNSON'S BUILDINGS,45083,5037249,500,TCR LEGAL
"Resources, Commissioning and Contracts Management",2 DR JOHNSON'S BUILDINGS,45083,5037250,600,TCR LEGAL
"Resources, Commissioning and Contracts Management",2 DR JOHNSON'S BUILDINGS,45083,5037251,1000,TCR LEGAL
"Resources, Commissioning and Contracts Management",2 DR JOHNSON'S BUILDINGS,45083,5037252,1450,TCR LEGAL
"Resources, Commissioning and Contracts Management",4 BRICK COURT,45083,5037253,825,TCR LEGAL
"Resources, Commissioning and Contracts Management",4 BRICK COURT,45083,5037254,4100,TCR LEGAL
"Children, Education and Families",REDACTED PERSONAL DATA,45083,5037255,2106,TCR NURSERY
"Children, Education and Families",REDACTED PERSONAL DATA,45083,5037257,1248,TCR NURSERY
Adult Care and Health,ADVOCACY FOR ALL,45083,5037258,1353.86,VOS CHARITY ORG
"Children, Education and Families",AFFINITY FOSTERING SERVICES LTD,45083,5037259,1626.39,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45083,5037264,748.8,TCR NURSERY
"Children, Education and Families",REDACTED PERSONAL DATA,45083,5037267,608.4,TCR NURSERY
Adult Care and Health,AMY ADAMS HOMECARE UK LIMITED,45083,5037269,4628.45,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45083,5037270,832,IND CARERS/MOTHERS
"Children, Education and Families",REDACTED PERSONAL DATA,45083,5037273,1234.48,TCR NURSERY
"Children, Education and Families",ARCHANGELS MONTESSORI LTD,45083,5037274,6550.1,TCR NURSERY
Adult Care and Health,AVENUES TRUST GROUP LTD,45083,5037275,29964.87,OTHER CREDS
"Children, Education and Families",REDACTED PERSONAL DATA,45083,5037277,936,TCR NURSERY
"Children, Education and Families",REDACTED PERSONAL DATA,45083,5037278,1123.2,IND CARERS/MOTHERS
"Children, Education and Families",BASTON PRE-SCHOOL LTD,45083,5037279,8412.12,TCR SUPPLIER GENERAL
"Children, Education and Families",BASTON PRE-SCHOOL LTD,45083,5037279,288,TCR SUPPLIER GENERAL
"Renewal, Recreation and Housing",BAXTER PHILIPS CHARTERED SURVEYORS,45083,5037280,9625,TCR LEGAL
"Children, Education and Families",BEAM INC LTD,45083,5037281,4670.03,TCR SUPPLIER GENERAL
"Children, Education and Families",BEBRIGHT PROJECT LIMITED,45083,5037282,25763.43,TCR SUPPLIER GENERAL
"Children, Education and Families",BEBRIGHT PROJECT LIMITED,45083,5037282,360,TCR SUPPLIER GENERAL
"Children, Education and Families",BECKENHAM MONTESSORI PRE-SCHOOL LTD,45083,5037283,3899.9399999999996,TCR NURSERY
"Children, Education and Families",BELLISSIMA NURSERIES LTD,45083,5037284,12050.22,TCR NURSERY
"Children, Education and Families",BELLISSIMA NURSERIES LTD,45083,5037285,18135.52,TCR NURSERY
"Children, Education and Families",REDACTED PERSONAL DATA,45083,5037288,685.56,TCR NURSERY
Adult Care and Health,BHR PHARMACEUTICALS LTD,45083,5037289,8133.28,TCR SUPPLIER GENERAL
"Children, Education and Families",BICKLEY PARK SCHOOL LTD,45083,5037290,12825,TCR IND SCHOOL
"Children, Education and Families",BISHOP CHALLONER SCHOOL,45083,5037291,6068.4,LBB SCHOOL
"Children, Education and Families",BIZZY BEES PRE-SCHOOL,45083,5037292,10317.8,TCR NURSERY
"Children, Education and Families",BLOSSOM YEARS LTD,45083,5037293,10452.61,TCR NURSERY
"Children, Education and Families",BLOSSOM YEARS LTD,45083,5037294,35083.14000000001,TCR NURSERY
"Children, Education and Families",BLOSSOM YEARS LTD,45083,5037294,1200,TCR NURSERY
"Children, Education and Families",BLUE PEAR DAY NURSERY,45083,5037295,9895.3,TCR NURSERY
