Portfolio,Supplier_Name,Payment_Date,Transaction_Number,Net Amount,Merchant Category
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029375,581.05,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029376,734.52,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029376,658.24,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029377,777.3199999999999,IND FOSTER CARER
Control Balance Sheet Total,ARNOLD CLARK FINANCE LTD,45020,5029378,2936.47,VENDOR
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029379,1049.8799999999999,IND BSAP PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029379,979.9599999999998,IND BSAP PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029382,1438.2800000000002,IND OTHER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029382,-714.48,IND OTHER
"Children, Education and Families",BARNARDOS,45020,5029385,733,VOS CHARITY ORG
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029386,883.44,IND FOSTER CARER
ECS Capital Total,CADMAP LTD,45020,5029391,1950,TCR CONSULTANT
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029402,986.74,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029403,728,IND FOSTER CARER
Public Protection and Enforcement,CIEH,45020,5029407,800,OTHER CREDS
Adult Care and Health,CREATIVE SUPPORT LTD,45020,5029408,93517.28,TCR SUPPLIER GENERAL
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029410,1585.68,IND OTHER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029410,-745.1600000000001,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029411,1500.08,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029416,690,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029416,875.54,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029417,850.2,IND FOSTER CARER
"Renewal, Recreation and Housing",EXACOM SYSTEMS LTD,45020,5029423,11337.96,TCR SUPPLIER GENERAL
"Children, Education and Families",EXPERT IN MIND,45020,5029424,1296,TCR CONSULTANT
"Renewal, Recreation and Housing",FAMILY FUND TRADING LTD,45020,5029425,12581.08,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029426,772.3199999999999,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029427,772.3199999999999,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029427,918.7,IND FOSTER CARER
"Renewal, Recreation and Housing",GREENWICH LEISURE LTD,45020,5029433,29650.65,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029438,3103.12,IND FOSTER CARER
"Children, Education and Families",IDVERDE LTD,45020,5029439,482.88000000000005,TCR SUPPLIER GENERAL
"Children, Education and Families",IDVERDE LTD,45020,5029439,179.76999999999998,TCR SUPPLIER GENERAL
CEF Capital Total,IDVERDE LTD,45020,5029440,14327.25,TCR SUPPLIER GENERAL
Environment & Community Services,IDVERDE LTD,45020,5029441,22931.3,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029445,674.04,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029446,815.48,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029447,883.52,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029450,734.52,IND CARERS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029451,1691.0199999999998,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029453,279.9,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029453,918.7,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029454,734.52,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029457,751.76,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029458,686.28,IND FOSTER CARER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029460,606,IND CARERS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029465,734.52,IND FOSTER CARER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029466,790.0399999999998,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029470,915,IND FOSTER CARER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029472,1754.48,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029474,893.52,IND CARERS
"Children, Education and Families",LADYBIRDS 1991 LTD,45020,5029476,5852,TCR SUPPLIER GENERAL
Adults Balance Sheet Total,LADYBIRDS 1991 LTD,45020,5029477,7228,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029479,772.3199999999999,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029479,772.3199999999999,IND FOSTER CARER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029480,1065.52,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029480,-427.17,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029481,808.12,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029482,160.93,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029482,634.4,IND OTHER
Control Balance Sheet Total,LEX AUTOLEASE LTD,45020,5029484,332.43,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",LEX AUTOLEASE LTD,45020,5029484,289.86,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029489,2043.8399999999997,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029490,1089.96,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029490,64.91,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029491,652.6,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029492,703.6600000000001,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029493,986.74,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029494,819.64,IND CARERS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029495,875.32,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029498,504.82,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029499,170.81,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029499,772.3199999999999,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029500,2952.9699999999993,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029500,103.22,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029501,728,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029504,1086.92,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029506,703.6600000000001,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029507,100.48,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029507,2279.16,FOSTER PARENTS
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029513,1007.1200000000001,IND BSAP PROVIDER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029519,627.28,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029520,1102.3600000000001,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029524,883.52,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029526,600.8399999999999,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029528,1587.8000000000002,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029529,652.4,IND CARERS
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029532,709.24,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029533,2547.12,IND FOSTER CARER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029535,1358.88,IND OTHER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029535,-745.1600000000001,IND OTHER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029536,2738,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029540,413.32,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029540,402.16,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029550,772.3199999999999,IND FOSTER CARER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029552,1272.21,IND BSAP PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029554,1175.23,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029555,2892.1799999999994,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029556,918.7,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029557,815.48,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029557,815.48,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029558,740.28,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029559,1837.3999999999996,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029559,1434.3,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029560,815.48,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029565,772.3199999999999,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029567,516.54,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029567,986.74,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029568,2000,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029569,2042.3199999999995,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029570,1434.6399999999999,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029571,1739.0200000000004,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029576,703.6600000000001,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029578,918.7,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029579,918.7,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029582,684.02,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029585,703.44,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029586,928.7,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029587,1469.0399999999997,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029587,1500.08,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029588,1587.8,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029589,-978.6,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029589,2190.1999999999994,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029593,2000.3199999999997,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029596,330.12,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029596,761.36,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029598,25,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029598,1726.6399999999999,FOSTER PARENTS
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029599,3436.6,IND OTHER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029602,1978.28,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029604,942.8700000000003,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029604,1283.4,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029605,552.9,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029606,758.5,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029607,1500.08,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029608,986.74,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029610,339.08,IND CARERS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029610,1510.08,IND CARERS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029611,640.76,IND FOSTER CARER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029612,982.3199999999999,IND BSAP PROVIDER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029613,700.48,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029614,933.5,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029615,651.84,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029616,845.1799999999985,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029619,815.48,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029620,547.55,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029620,734.52,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029620,880.54,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029621,986.74,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029621,986.74,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029622,734.52,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029624,1500.08,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029624,480.2,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029625,918.7,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029625,739.52,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029628,1734.1799999999996,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029629,368.56,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029629,337.1,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029631,986.74,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029633,216.02,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029633,359.98,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029635,674.04,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029636,1239.96,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029636,1039.2,IND FOSTER CARER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029637,837.56,IND BSAP PROVIDER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029641,655.5,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029642,1226.84,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029644,887.9,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029646,2428.16,IND CARERS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029647,918.7,IND CARERS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029648,-1303.27,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029648,2748.52,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029648,-110.33,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029649,1120.3799999999999,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029651,383.26,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029651,368.56,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029652,617.6999999999999,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029653,1444,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029656,635.4000000000001,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029657,734.52,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029662,1760.9400000000003,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029664,734.52,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029668,986.74,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029670,1435.2399999999998,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029670,918.7,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029673,2008.5799999999997,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029673,986.74,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029676,671.9,IND ADOPTERS
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029679,2131.12,IND BSAP PROVIDER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029680,815.48,IND FOSTER CARER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029684,2470.28,IND OTHER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029684,-745.1600000000001,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029689,686.28,IND FOSTER CARER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029694,3652.2,IND OTHER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029694,1695.7599999999998,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029696,1135.08,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029697,739.52,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029698,665.86,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029699,1734.1799999999996,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029700,1382.5,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029701,986.74,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029704,639.28,FOSTER PARENTS
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029705,1824.88,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029706,3303.539999999999,IND FOSTER CARER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029708,958.2400000000001,IND OTHER
"Children, Education and Families",PROSPERO GROUP LTD,45020,5029710,468,TCR SUPPLIER GENERAL
"Children, Education and Families",PROSPERO GROUP LTD,45020,5029711,1668,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029713,514.62,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029716,291.5,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029716,694.0200000000001,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029719,986.74,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029724,1158.8,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029727,1089.96,CHILDRENS RES UNITS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029727,918.7,CHILDRENS RES UNITS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029728,918.62,FOSTER PARENTS
Environment & Community Services,SOCIETY WORKS LTD,45020,5029730,30000,TCR SUPPLIER GENERAL
Environment & Community Services,SOCIETY WORKS LTD,45020,5029730,23550,TCR SUPPLIER GENERAL
Public Protection and Enforcement,SOUTH DERBYSHIRE DISTRICT COUNCIL,45020,5029731,5040.75,PCS LOCAL AUTH
"Renewal, Recreation and Housing",SPENCER HALL HISTORIC BUILDING CONSERVATION LTD,45020,5029732,16936.8,TCR CONSULTANT
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029733,658,IND AGENCY CARERS
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029735,331.86,IND OTHER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029735,331.86,IND OTHER
Adult Care and Health,REDACTED PERSONAL DATA,45020,5029736,1833.5199999999998,IND BSAP PROVIDER
"Children, Education and Families",THE TUTORIAL FOUNDATION,45020,5029742,15298,VENDOR
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029743,732.37,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029743,2463.34,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029744,722,IND ADOPTERS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029745,1734.1799999999996,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029745,2739.04,FOSTER PARENTS
"Renewal, Recreation and Housing",WATES PROPERTY SERVICES LTD,45020,5029748,5116.77,SUB-CONTRACTOR
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029749,579.9,IND FOSTER CARER
"Children, Education and Families",WIZE UP (GREENWICH) LTD,45020,5029750,4875,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",2 DR JOHNSON'S BUILDINGS,45021,5029756,450,TCR LEGAL
"Resources, Commissioning and Contracts Management",2 DR JOHNSON'S BUILDINGS,45021,5029757,1850,TCR LEGAL
"Resources, Commissioning and Contracts Management",2 DR JOHNSON'S BUILDINGS,45021,5029758,2400,TCR LEGAL
Adult Care and Health,REDACTED PERSONAL DATA,45021,5029761,1870,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45021,5029764,800,TCR TRANSPORT
Adult Care and Health,ALWAYS CARING (BROMLEY) LTD,45021,5029765,7488.159999999999,TCR DOMICILIARY PROVIDER
Adult Care and Health,ALWAYS CARING (BROMLEY) LTD,45021,5029765,3070.82,TCR DOMICILIARY PROVIDER
"Resources, Commissioning and Contracts Management",ANCHOR IMAGES LTD,45021,5029766,477.75,TCR SUPPLIER GENERAL
Environment & Community Services,APCOA PARKING (UK) LTD,45021,5029767,1903.7,TCR SUPPLIER GENERAL
Control Balance Sheet Total,ARNOLD CLARK FINANCE LTD,45021,5029769,6348.3,VENDOR
Environment & Community Services,BECKENHAM CHRISTCHURCH PCC,45021,5029774,10500,OTHER CREDS
Environment & Community Services,REDACTED PERSONAL DATA,45021,5029775,620,TCR SUPPLIER GENERAL
