SERVICE_AREA,PORTFOLIO,SUBJECTIVE,SUBJ_DESCRIPTION,SUPPLIER_NAME_REDACTED,SUPPLIER_NUMBER,PAYMENT_NUMBER,PAYMENT_DATE,Net Amount,VENDOR_TYPE_LOOKUP_CODE
 Learning Disabilities Services,Adult Care and Health,65516,Long Term Support Community Day Services,AGE CONCERN ORPINGTON & DISTRICT,3127729,5071782,45352,971.19,TCR SUPPLIER GENERAL
 Mental Health Services,Adult Care and Health,65516,Long Term Support Community Day Services,AGE CONCERN ORPINGTON & DISTRICT,3127729,5071782,45352,29.79,TCR SUPPLIER GENERAL
 Crystal Palace Park - Regeneration,RRH Capital Total,68155,Consultants Costs,ALIX SLATER CONSULTANCY & TRAINING LTD,3200881,5071783,45352,1200,TCR CONSULTANT
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,ALWAYS CARING (BROMLEY) LTD,3114186,5071784,45352,1453.41,TCR DOMICILIARY PROVIDER
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,ALWAYS CARING (BROMLEY) LTD,3114186,5071784,45352,3879.8199999999997,TCR DOMICILIARY PROVIDER
 Parking,Environment & Community Services,65556,Third Party Payment Not Government,APCOA PARKING (UK) LTD,3141044,5071785,45352,691.69,TCR SUPPLIER GENERAL
 Quality Assurance & Safeguarding,Adult Care and Health,64331,Miscellaneous Expenses,APEX MEDICAL CONSULTING LTD,3137540,5071786,45352,4675,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning West,"Children, Education and Families",66112,Looked After Cost Other,AVIS HOTEL * 3034588,3034588,5071787,45352,3780,OTHER CREDS
 Early Intervention and Family Support,"Children, Education and Families",65564,Contract Expenses,BRITISH ASSOCIATION FOR EARLY CHILDHOOD EDUCATION,3202013,5071788,45352,1950,TCR SUPPLIER GENERAL
 0-25 Children Service,"Children, Education and Families",66614,Grants to Businesses,BROMLEY FAMILY LINK,2055147,5071789,45352,3428.4,VOS CHARITY ORG
 Assessment and Care Management,Adult Care and Health,65516,Long Term Support Community Day Services,REDACTED PERSONAL DATA,1856731,5071790,45352,605,OTHER CREDS
 Learning Disabilities Services,Adult Care and Health,65516,Long Term Support Community Day Services,REDACTED PERSONAL DATA,1856731,5071790,45352,11990,OTHER CREDS
 Quality Assurance & Safeguarding,Adult Care and Health,64331,Miscellaneous Expenses,C MUYENDESI LTD,3151096,5071792,45352,2220,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3121366,5071794,45352,14158.639999999996,TCR SUPPLIER GENERAL
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3121366,5071794,45352,336.28,TCR SUPPLIER GENERAL
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3121366,5071794,45352,1064.28,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65516,Long Term Support Community Day Services,CHOICE SUPPORT,3115662,5071796,45352,50,TCR RESIDENTIAL HOME
 Learning Disabilities Services,Adult Care and Health,65516,Long Term Support Community Day Services,CHOICE SUPPORT,3115662,5071796,45352,5069.31,TCR RESIDENTIAL HOME
 Assessment and Care Management,Adult Care and Health,65516,Long Term Support Community Day Services,CHOICE SUPPORT,3115662,5071797,45352,50,TCR RESIDENTIAL HOME
 Learning Disabilities Services,Adult Care and Health,65516,Long Term Support Community Day Services,CHOICE SUPPORT,3115662,5071797,45352,5069.31,TCR RESIDENTIAL HOME
 Assessment and Care Management,Adult Care and Health,65516,Long Term Support Community Day Services,CHOICE SUPPORT,3115662,5071798,45352,50,TCR RESIDENTIAL HOME
 Learning Disabilities Services,Adult Care and Health,65516,Long Term Support Community Day Services,CHOICE SUPPORT,3115662,5071798,45352,5069.31,TCR RESIDENTIAL HOME
 Housing Options & Support ,"Renewal, Recreation and Housing",65550,Payment to Private Sector Landlords PSL,CITY OF LONDON,1587870,5071799,45352,2250,OTHER CREDS
 Quality Assurance & Safeguarding,Adult Care and Health,64331,Miscellaneous Expenses,REDACTED PERSONAL DATA,3152061,5071801,45352,1000,TCR SUPPLIER GENERAL
 0-25 Children Service,"Children, Education and Families",65584,Community Homes,REDACTED PERSONAL DATA,3152587,5071802,45352,9042.8,CHILDRENS RES UNITS
 Facilities & Support,"Resources, Commissioning and Contracts Management",62126,Reactive Repairs,DALE POWER SOLUTIONS LTD,3152446,5071803,45352,1200,SUB-CONTRACTOR
 Quality Assurance & Safeguarding,Adult Care and Health,64331,Miscellaneous Expenses,REDACTED PERSONAL DATA,3132295,5071808,45352,2140,TCR CONSULTANT
 Insur.Fund-Public Liability,Insurance Fund Holding Account Total,68611,Insurance Fund Claims,DWF LLP,3117003,5071810,45352,1875,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",65555,Client Support Third Party,REDACTED PERSONAL DATA,3151003,5071811,45352,310.59,CHILDRENS RES UNITS
 CLA and Care Leavers,"Children, Education and Families",66112,Looked After Cost Other,REDACTED PERSONAL DATA,3151003,5071811,45352,3314.41,CHILDRENS RES UNITS
 CLA and Care Leavers,"Children, Education and Families",66112,Looked After Cost Other,REDACTED PERSONAL DATA,3151003,5071812,45352,3314.41,CHILDRENS RES UNITS
 CLA and Care Leavers,"Children, Education and Families",65555,Client Support Third Party,REDACTED PERSONAL DATA,3151003,5071812,45352,621.47,CHILDRENS RES UNITS
 CLA and Care Leavers,"Children, Education and Families",66112,Looked After Cost Other,REDACTED PERSONAL DATA,3151003,5071813,45352,3728.53,CHILDRENS RES UNITS
 CLA and Care Leavers,"Children, Education and Families",65555,Client Support Third Party,REDACTED PERSONAL DATA,3151003,5071813,45352,1035.59,CHILDRENS RES UNITS
 Allocations & Accommodation,"Renewal, Recreation and Housing",65552,Private Rented Leased Fee,EASYMOVE ESTATE AGENTS LTD,3122563,5071814,45352,14181,TCR LANDLORD
 Quality Assurance & Safeguarding,Adult Care and Health,64331,Miscellaneous Expenses,EKOHRAY LTD,3201105,5071816,45352,2725,TCR SUPPLIER GENERAL
 0-25 Children Service,"Children, Education and Families",65520,Long Term Support Community Homecare,GRAPECROFT LTD T/A HARMONY HEALTHCARE,3204279,5071821,45352,720,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,HARMONY HOME AID SERVICES LTD,3121794,5071822,45352,659.4,TCR DOMICILIARY PROVIDER
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,HARMONY HOME AID SERVICES LTD,3121794,5071822,45352,35.42,TCR DOMICILIARY PROVIDER
 Civic Centre Development Strategy,RCCM Capital Total,68117,Building Acquisition Costs,HUGH SYMONS INFORMATION MANAGEMENT LTD,3203020,5071824,45352,9454.379999999997,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3151820,5071825,45352,2833.6800000000003,TCR DOMICILIARY PROVIDER
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3151820,5071825,45352,41.9,TCR DOMICILIARY PROVIDER
 CLA and Care Leavers,"Children, Education and Families",66112,Looked After Cost Other,REDACTED PERSONAL DATA,3200878,5071826,45352,3600,IND ADOPTERS
 Learning Disabilities Services,Adult Care and Health,53237,Fairer Charging Residential Care Income,LEONARD CHESHIRE SERVICES CIC,3146063,5071827,45352,-483.2,TCR RESIDENTIAL HOME
 Learning Disabilities Services,Adult Care and Health,65542,Long Term Residential Spot Contract,LEONARD CHESHIRE SERVICES CIC,3146063,5071827,45352,6030,TCR RESIDENTIAL HOME
 Learning Disabilities Services,Adult Care and Health,65542,Long Term Residential Spot Contract,LEONARD CHESHIRE SERVICES CIC,3146063,5071828,45352,11436.24,TCR RESIDENTIAL HOME
 SEN and Inclusion (DSG),"Children, Education and Families",62411,Cleaning Services,REDACTED PERSONAL DATA,3127245,5071830,45352,546.83,TCR SUPPLIER GENERAL
 SEN and Inclusion (DSG),"Children, Education and Families",62411,Cleaning Services,REDACTED PERSONAL DATA,3127245,5071831,45352,546.83,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,LONE CARE SERVICES LTD,3146246,5071832,45352,1426.15,TCR DOMICILIARY PROVIDER
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,LONE CARE SERVICES LTD,3146246,5071832,45352,989.8,TCR DOMICILIARY PROVIDER
 CLA and Care Leavers,"Children, Education and Families",65584,Community Homes,MIDAS MANORS LTD,3204268,5071833,45352,8000,CHILDRENS RESIDENTIAL UNITS
 Safeguarding and Care Planning East,"Children, Education and Families",66112,Looked After Cost Other,REDACTED PERSONAL DATA,3204380,5071837,45352,1373,IND OTHER
 Legal Services,"Resources, Commissioning and Contracts Management",64355,Counsel Fees,NEW SQUARE CHAMBERS LTD,3201577,5071840,45352,3300,TCR LEGAL
 0-25 Children Service,"Children, Education and Families",65520,Long Term Support Community Homecare,NUTRIX PERSONNEL LTD,3200352,5071841,45352,5705,TCR DOMICILIARY PROVIDER
 Env Serv - Rech Works Deposits,Enviromnent Balance Sheet Total,21442,Receipts in Advance Other Entities and Individuals,OKR PROPERTIES LTD,3204371,5071842,45352,2000,REFUNDS
 CLA and Care Leavers,"Children, Education and Families",65518,Fostering Agency Placements,ORANGE GROVE FOSTERCARE LTD,3123632,5071844,45352,15535.23,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",64326,Professional Services General,SAFESPACE LIVING LTD,3204250,5071850,45352,7800,TCR RESIDENTIAL HOME
 Assessment and Care Management,Adult Care and Health,65542,Long Term Residential Spot Contract,SANCTUARY CARE LTD,3028217,5071852,45352,1494.29,TCR RESIDENTIAL HOME
 Safeguarding and Care Planning East,"Children, Education and Families",66112,Looked After Cost Other,SCODEF LTD T/A SODEF CARE,3147940,5071854,45352,120,TCR SUPPLIER GENERAL
 0-25 Children Service,"Children, Education and Families",65520,Long Term Support Community Homecare,SCODEF LTD T/A SODEF CARE,3147940,5071854,45352,540,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning West,"Children, Education and Families",63213,Client Transport,SERENITY WELFARE LTD,3144774,5071855,45352,1127.6,TCR TRANSPORT
 CLA and Care Leavers,"Children, Education and Families",63213,Client Transport,SERENITY WELFARE LTD,3144774,5071856,45352,2217.5,TCR TRANSPORT
 Public Health,Adult Care and Health,65557,Pharmacy,SOUTH VIEW PARTNERSHIP,3132202,5071859,45352,3265,TCR SUPPLIER GENERAL
 Learning Disabilities Services,Adult Care and Health,65539,Long Term Support Community Supported Living,ST ELIZABETH'S WELFARE SERVICES LTD,3200093,5071860,45352,75288.03,TCR RESIDENTIAL HOME
 SEN and Inclusion (DSG),"Children, Education and Families",65513,School Fees,THE BECKMEAD TRUST,3146693,5071862,45352,119760.79000000001,TCR IND SCHOOL
 Safeguarding and Care Planning West,"Children, Education and Families",65584,Community Homes,THE CARE ADVANTAGE SUPPORTED LIVING LTD,3204231,5071863,45352,23678.7,CHILDRENS RESIDENTIAL UNITS
 Quality Assurance & Safeguarding,Adult Care and Health,64331,Miscellaneous Expenses,TRIPLE O&A LTD,3151177,5071865,45352,2120,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",65556,Third Party Payment Not Government,UK YOUTH,3204381,5071867,45352,2225,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3151775,5071868,45352,18464.049999999996,TCR DOMICILIARY PROVIDER
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3151775,5071868,45352,527.04,TCR DOMICILIARY PROVIDER
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3151775,5071868,45352,2219.1199999999994,TCR DOMICILIARY PROVIDER
 CLA and Care Leavers,"Children, Education and Families",66112,Looked After Cost Other,VIBRANT SUPPORTED HOUSING,3145217,5071869,45352,23720.71,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",65555,Client Support Third Party,VIBRANT SUPPORTED HOUSING,3145217,5071869,45352,5114.28,TCR SUPPLIER GENERAL
 Superannuation Fund,Pension Rev Total,64338,Custodian Fees,BANK OF NEW YORK MELLON,3130725,1001070,45355,28271.579999999994,TCR SUPPLIER GENERAL
 Pensions - VAT Acct,Pension Control Balance Sheet Total,15628,VAT Debtor Input Tax,BANK OF NEW YORK MELLON,3130725,1001070,45355,0,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",64323,Legal Fees,1GC FAMILY LAW,3200174,5071873,45355,1750,TCR LEGAL
 Quality Assurance & Safeguarding,Adult Care and Health,64331,Miscellaneous Expenses,ADVOCACY FOR ALL,3122641,5071874,45355,4982.33,VOS CHARITY ORG
 Safeguarding and Care Planning East,"Children, Education and Families",65517,Family Assessments,REDACTED PERSONAL DATA,3127865,5071875,45355,485,TCR SUPPLIER GENERAL
 Facilities & Support,"Resources, Commissioning and Contracts Management",62111,Facilities Management,ASCOT SERVICES UK LTD,3202928,5071879,45355,1504.75,TCR SUPPLIER GENERAL
 Facilities & Support,"Resources, Commissioning and Contracts Management",62111,Facilities Management,ASCOT SERVICES UK LTD,3202928,5071880,45355,1742.94,TCR SUPPLIER GENERAL
 Civic Centre Development Strategy,RCCM Capital Total,68117,Building Acquisition Costs,ASCOT SERVICES UK LTD,3202928,5071881,45355,2145.15,TCR SUPPLIER GENERAL
 Facilities & Support,"Resources, Commissioning and Contracts Management",62111,Facilities Management,ASCOT SERVICES UK LTD,3202928,5071881,45355,2847.26,TCR SUPPLIER GENERAL
 Civic Centre Development Strategy,RCCM Capital Total,68154,Capital Main Works,ASCOT SERVICES UK LTD,3202928,5071882,45355,3063.48,TCR SUPPLIER GENERAL
 Facilities & Support,"Resources, Commissioning and Contracts Management",62111,Facilities Management,ASCOT SERVICES UK LTD,3202928,5071882,45355,17510.68,TCR SUPPLIER GENERAL
 Investment and Non-Operational Property,"Resources, Commissioning and Contracts Management",64323,Legal Fees,BEVAN BRITTAN,3123412,5071883,45355,3200,TCR LEGAL
 Basic Needs,CEF Capital Total,68154,Capital Main Works,BISLEY CONTRACTING LIMITED,3204090,5071884,45355,67032.84,CONTRACTOR
 Safeguarding and Care Planning West,"Children, Education and Families",66112,Looked After Cost Other,CANNON CARS,1664360,5071886,45355,4128.99,TCR TRANSPORT
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,CARE OUTLOOK LIMITED,3119225,5071887,45355,945.71,TCR SUPPLIER GENERAL
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,CARE OUTLOOK LIMITED,3119225,5071887,45355,465.98,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3121366,5071888,45355,12717.689999999999,TCR SUPPLIER GENERAL
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3121366,5071888,45355,336.28,TCR SUPPLIER GENERAL
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3121366,5071888,45355,1064.28,TCR SUPPLIER GENERAL
 Housing Options & Support ,"Renewal, Recreation and Housing",65550,Payment to Private Sector Landlords PSL,CENTRAL AND NATIONAL LTD,3204376,5071892,45355,733.7,TCR LANDLORD
 CLA and Care Leavers,"Children, Education and Families",65584,Community Homes,CHILDHOOD FIRST,3136733,5071894,45355,25745.94,TCR SUPPLIER GENERAL
 SEN and Inclusion (DSG),"Children, Education and Families",65513,School Fees,CHILDHOOD FIRST,3136733,5071894,45355,2242.63,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",65517,Family Assessments,CHILDREN & FAMILILES ACROSS BORDERS (CFAB),3120790,5071895,45355,834.83,TCR SUPPLIER GENERAL
 General Fund,Funds Holding Account Total,71111,Levies Paid,CITY OF LONDON CORPORATION,3116856,5071897,45355,61617,TCR SUPPLIER GENERAL
 SEN and Inclusion (DSG),"Children, Education and Families",65587,Alternative Programmes,CLEVER KIDS CONSULTANCY,3150330,5071899,45355,840,TCR CONSULTANT
 Basic Needs,CEF Capital Total,68154,Capital Main Works,COMPASS ACADEMY TRUST,3151568,5071900,45355,1664,TCR IND SCHOOL
 Basic Needs,CEF Capital Total,68154,Capital Main Works,COMPASS ACADEMY TRUST,3151568,5071901,45355,5245,TCR IND SCHOOL
 CLA and Care Leavers,"Children, Education and Families",66112,Looked After Cost Other,REDACTED PERSONAL DATA,3150459,5071902,45355,6201.9400000000005,CHILDRENS RES UNITS
 CLA and Care Leavers,"Children, Education and Families",65555,Client Support Third Party,REDACTED PERSONAL DATA,3150459,5071902,45355,3368.06,CHILDRENS RES UNITS
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3138869,5071903,45355,8283.67,TCR DOMICILIARY PROVIDER
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3138869,5071903,45355,1714.0299999999997,TCR DOMICILIARY PROVIDER
 SEN and Inclusion (DSG),"Children, Education and Families",65513,School Fees,FARRINGTONS SCHOOL,3031781,5071907,45355,6755.34,OTHER CREDS
 Replacement of District Heating System Boilers & Works to Walnut Leisure Centre,RCCM Capital Total,68112,Construction and Conversion Costs,FORESHAW BUILDING SERVICES LIMITED,3008750,5071908,45355,506.37,SUB-CONTRACTOR
 Parks and Green Space,Environment & Community Services,62112,Major Repairs and Structural,REDACTED PERSONAL DATA,3022718,5071909,45355,765.5,OTHER CREDS
 Facilities & Support,"Resources, Commissioning and Contracts Management",62127,Property Refurbishment,G4S SECURE SOLUTIONS (UK) LTD FIRE & SECURITY,3131184,5071911,45355,5384.85,SUB-CONTRACTOR
 Town Centre Management & Business Support,"Renewal, Recreation and Housing",65556,Third Party Payment Not Government,GREENWICH LEISURE LTD,3107407,5071913,45355,10000,TCR SUPPLIER GENERAL
 Libraries and Museums,"Renewal, Recreation and Housing",65556,Third Party Payment Not Government,GREENWICH LEISURE LTD,3107407,5071914,45355,378489.63,TCR SUPPLIER GENERAL
 Crystal Palace Park - Regeneration,RRH Capital Total,68155,Consultants Costs,HTA DESIGN LLP,3202699,5071916,45355,81356.29999999999,COMPANY
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,INVICTA24 PLUS LTD,3135593,5071917,45355,10947.519999999997,TCR SUPPLIER GENERAL
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,INVICTA24 PLUS LTD,3135593,5071917,45355,16.88,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",66112,Looked After Cost Other,LADYBIRDS 1991 LTD,3133008,5071919,45355,711,TCR SUPPLIER GENERAL
 Liberata Personal Acct,Control Balance Sheet Total,35113,Deferred Capital Receipts,LIBERATA UK LIMITED,3020486,5071920,45355,38054.75,OTHER CREDS
 SEN and Inclusion (DSG),"Children, Education and Families",62411,Cleaning Services,REDACTED PERSONAL DATA,3127245,5071923,45355,546.83,TCR SUPPLIER GENERAL
 DFG - Renovation Grant,RRH Capital Total,68160,Grants Paid,M E HORSTEAD LTD,3204266,5071925,45355,6739.93,CONTRACTOR
 SEN and Inclusion (DSG),"Children, Education and Families",65587,Alternative Programmes,REDACTED PERSONAL DATA,3147761,5071930,45355,780,TCR SUPPLIER GENERAL
 Virtual School,"Children, Education and Families",66311,Schools Transfer Payment,REDACTED PERSONAL DATA,3133694,5071934,45355,1500,SOLETRADER
 Legal Services,"Resources, Commissioning and Contracts Management",64355,Counsel Fees,NEW COURT CHAMBERS,3201478,5071935,45355,2565,TCR LEGAL
 CLA and Care Leavers,"Children, Education and Families",65584,Community Homes,REDACTED PERSONAL DATA,3200792,5071936,45355,8103.39,CHILDRENS RESIDENTIAL UNITS
 Access and Inclusion,"Children, Education and Families",63112,Vehicle Repairs and Maintenance,NUTRIX PERSONNEL LTD,3200352,5071937,45355,6840,TCR DOMICILIARY PROVIDER
 CLA and Care Leavers,"Children, Education and Families",65518,Fostering Agency Placements,ORANGE GROVE FOSTERCARE LTD,3123632,5071938,45355,6052.14,TCR SUPPLIER GENERAL
 Early Intervention and Family Support,"Children, Education and Families",65564,Contract Expenses,PLAN FOR SAFETY CONSULTANCY LTD,3143247,5071941,45355,529,TCR SUPPLIER GENERAL
 Modular Build York Rise,RRH Capital Total,68155,Consultants Costs,PLAYLE & PARTNERS LLP,3122920,5071942,45355,1585,TCR CONSULTANT
 Modular Build York Rise,RRH Capital Total,68155,Consultants Costs,PLAYLE & PARTNERS LLP,3122920,5071943,45355,4582.89,TCR CONSULTANT
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,PRIORY CARE SERVICES LTD,3151823,5071947,45355,6241.3099999999995,TCR DOMICILIARY PROVIDER
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,PRIORY CARE SERVICES LTD,3151823,5071947,45355,240.87,TCR DOMICILIARY PROVIDER
 Town Centre Management & Business Support,"Renewal, Recreation and Housing",65556,Third Party Payment Not Government,SOS CREATIVITY,3151562,5071952,45355,10000,TCR SUPPLIER GENERAL
 SEN and Inclusion (DSG),"Children, Education and Families",65587,Alternative Programmes,ST DAVID'S PREP SCHOOL,3141484,5071955,45355,2430,TCR IND SCHOOL
 DFG - Renovation Grant,RRH Capital Total,68160,Grants Paid,THE LIFECARE CENTRE LTD,3023989,5071961,45355,7812.19,TCR SUPPLIER GENERAL
 Libraries and Museums,"Renewal, Recreation and Housing",62211,Electricity,TRAFALGAR UK THEATRES BROMLEY LTD,3140430,5071962,45355,8298.05,TCR SUPPLIER GENERAL
 HR,"Resources, Commissioning and Contracts Management",65556,Third Party Payment Not Government,TUSKERDIRECT LTD,3147856,5071964,45355,564.63,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",66112,Looked After Cost Other,VIBRANT SUPPORTED HOUSING,3145217,5071965,45355,17400,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",65555,Client Support Third Party,VIBRANT SUPPORTED HOUSING,3145217,5071965,45355,4700,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",64353,Placement Support,VIBRANT SUPPORTED HOUSING,3145217,5071965,45355,3800,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",66112,Looked After Cost Other,YOUNG FUTURES SOCIAL CARE LTD,3204351,5071968,45355,1928.4,TCR SUPPLIER GENERAL
 Building Control,"Renewal, Recreation and Housing",53262,Building Control Income,REDACTED PERSONAL DATA,3204406,220517,45356,510,IND REFUND
 Parks and Green Space,Environment & Community Services,64331,Miscellaneous Expenses,CAPSTICKS SOLICITORS LLP,3203420,220518,45356,1230.5,TCR LEGAL
 Building Control,"Renewal, Recreation and Housing",53262,Building Control Income,REDACTED PERSONAL DATA,3204419,220521,45356,420,IND REFUND
 CLA and Care Leavers,"Children, Education and Families",66112,Looked After Cost Other,A SAFE HOUSE LTD,3149409,5071969,45356,6000,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",65555,Client Support Third Party,A SAFE HOUSE LTD,3149409,5071969,45356,600,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",66112,Looked After Cost Other,A SAFE HOUSE LTD,3149409,5071970,45356,37450,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",65555,Client Support Third Party,A SAFE HOUSE LTD,3149409,5071970,45356,5750,TCR SUPPLIER GENERAL
 SEN and Inclusion (DSG),"Children, Education and Families",65587,Alternative Programmes,ABA CONSULTANCY,3202965,5071971,45356,540,SOLETRADER
 Safeguarding and Care Planning West,"Children, Education and Families",64326,Professional Services General,ABBOTT TOXICOLOGY LTD,3149242,5071972,45356,1119,TCR SUPPLIER GENERAL
 DFG - Renovation Grant,RRH Capital Total,68160,Grants Paid,ACCESSIBLE SOLUTIONS LTD,3134335,5071973,45356,7000,TCR SUPPLIER GENERAL
 Learning Disabilities Services,Adult Care and Health,65539,Long Term Support Community Supported Living,ACHIEVE TOGETHER SERVICES LTD,3202247,5071974,45356,2865.52,TCR SUPPLIER GENERAL
 Learning Disabilities Services,Adult Care and Health,65539,Long Term Support Community Supported Living,ACHIEVE TOGETHER SERVICES LTD,3202247,5071975,45356,9635.56,TCR SUPPLIER GENERAL
 Learning Disabilities Services,Adult Care and Health,65539,Long Term Support Community Supported Living,ACHIEVE TOGETHER SERVICES LTD,3202247,5071976,45356,9635.56,TCR SUPPLIER GENERAL
