SERVICE_AREA,PORTFOLIO,SUBJECTIVE,SUBJ_DESCRIPTION,SUPPLIER_NAME_REDACTED,SUPPLIER_NUMBER,PAYMENT_NUMBER,PAYMENT_DATE,Net Amount,VENDOR_TYPE_LOOKUP_CODE
 Bromley Youth Support Programme,"Children, Education and Families",64331,Miscellaneous Expenses,CRYSTAL PALACE COMMUNITY DEVELOPMENT TRUST,3028068,5040772,45110,1220,OTHER CREDS
 CLA and Care Leavers,"Children, Education and Families",64353,Placement Support,MITUS CARE LTD,3201612,5040802,45110,678.6,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",65518,Fostering Agency Placements,INTEGRATED SERVICES PROGRAMME,2084996,5040789,45110,40722.92,OTHER CREDS
 CLA and Care Leavers,"Children, Education and Families",65555,Client Support Third Party,CLOVER INDEPENDENT LIVING LTD,3142978,5040769,45110,974.29,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",65555,Client Support Third Party,CLOVER INDEPENDENT LIVING LTD,3142978,5040770,45110,2812.1400000000003,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",65555,Client Support Third Party,SOCIAL CARE LONDON LTD,3148652,5040834,45110,399.88,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",65555,Client Support Third Party,VALENTINE HOMES LIMITED,3201817,5040840,45110,625,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",66112,Looked After Cost Other,CLOVER INDEPENDENT LIVING LTD,3142978,5040769,45110,3210.71,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",66112,Looked After Cost Other,CLOVER INDEPENDENT LIVING LTD,3142978,5040770,45110,12444.27,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",66112,Looked After Cost Other,MITUS CARE LTD,3201612,5040802,45110,2578.57,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",66112,Looked After Cost Other,SOCIAL CARE LONDON LTD,3148652,5040834,45110,5080,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",66112,Looked After Cost Other,VALENTINE HOMES LIMITED,3201817,5040840,45110,3500,TCR SUPPLIER GENERAL
 Early Intervention and Family Support,"Children, Education and Families",62123,Property Improvement,B & M MCHUGH LIMITED,3152011,5040751,45110,1499.98,SUB-CONTRACTOR
 Referral and Assessment Service,"Children, Education and Families",64326,Professional Services General,EMMA MAGUIRE PSYCHOLOGY LTD,3202352,5040781,45110,2792,OTHER CREDS
 Safeguarding and Care Planning East,"Children, Education and Families",64353,Placement Support,SOCIAL CARE LONDON LTD,3148652,5040834,45110,1100.04,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",65517,Family Assessments,CHILDRENS SERVICES NETWORK,3140215,5040760,45110,7105,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",65517,Family Assessments,CHILDRENS SERVICES NETWORK,3140215,5040761,45110,7105,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",65517,Family Assessments,CHILDRENS SERVICES NETWORK,3140215,5040762,45110,7280,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",65517,Family Assessments,CHILDRENS SERVICES NETWORK,3140215,5040765,45110,7525,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",65517,Family Assessments,CHILDRENS SERVICES NETWORK,3140215,5040757,45110,4970,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",65517,Family Assessments,CHILDRENS SERVICES NETWORK,3140215,5040758,45110,7105,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",65517,Family Assessments,CHILDRENS SERVICES NETWORK,3140215,5040764,45110,7525,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",65517,Family Assessments,CHILDRENS SERVICES NETWORK,3140215,5040759,45110,7105,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",65517,Family Assessments,CHILDRENS SERVICES NETWORK,3140215,5040756,45110,845,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",65517,Family Assessments,CHILDRENS SERVICES NETWORK,3140215,5040763,45110,7479.5,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",65517,Family Assessments,REDACTED PERSONAL DATA,3150680,5040837,45110,2775,IND OTHER
 Safeguarding and Care Planning East,"Children, Education and Families",65518,Fostering Agency Placements,UK FOSTERING LTD,3131141,5040839,45110,5314.33,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",66112,Looked After Cost Other,PROACTIV CONTACT CENTRE,3144956,5040824,45110,490,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",66112,Looked After Cost Other,SOCIAL CARE LONDON LTD,3148652,5040834,45110,3700,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",66112,Looked After Cost Other,YOUNG FUTURES CIC,3147713,5040843,45110,1587.3,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning West,"Children, Education and Families",64326,Professional Services General,E4LAW T/A LEXTOX,3131401,5040780,45110,525.1,TCR LEGAL
 Safeguarding and Care Planning West,"Children, Education and Families",65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3149791,5040823,45110,615,CHILDRENS RES UNITS
 Safeguarding and Quality Improvement,"Children, Education and Families",64315,Consultancy Fees,AV OUTCOMES LTD,3139846,5040750,45110,6050,TCR SUPPLIER GENERAL
 SEN and Inclusion (DSG),"Children, Education and Families",64346,Non Staff Training,SIGNATURE,3114402,5040831,45110,770,VENDOR
 Parking,Environment & Community Services,64331,Miscellaneous Expenses,CITY OF LONDON,1587870,5040768,45110,8280.45,OTHER CREDS
 Insur.Fund-Public Liability,Insurance Fund Holding Account Total,68611,Insurance Fund Claims,NEW LAW LEGAL LTD,3152594,5040810,45110,9002,TCR LEGAL
 Superannuation Fund,Pension Rev Total,61611,Retirement Pension Payment,SURREY COUNTY COUNCIL,2141388,1000712,45110,3597.0600000000004,PCS LOCAL AUTH
 Superannuation Fund,Pension Rev Total,61619,Transfer Values Paid Out,CROYDON COUNCIL,3003866,1000710,45110,678.43,PCS LOCAL AUTH
 Superannuation Fund,Pension Rev Total,61619,Transfer Values Paid Out,KENT COUNTY COUNCIL,2167220,1000711,45110,143450.39999999997,PCS LOCAL AUTH
 Superannuation Fund,Pension Rev Total,61619,Transfer Values Paid Out,SURREY COUNTY COUNCIL,2141388,1000713,45110,245360.81,PCS LOCAL AUTH
 Superannuation Fund,Pension Rev Total,64338,Custodian Fees,BANK OF NEW YORK MELLON,3130725,1000709,45110,13396.930000000004,TCR SUPPLIER GENERAL
 Mortuary & Coroners Service,Public Protection and Enforcement,65571,Mortuary Service,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,3129922,5040793,45110,29956.59,PCS HEALTH AUTH
 Public Protection,Public Protection and Enforcement,64331,Miscellaneous Expenses,POSTURITE  LTD,1995995,5040822,45110,874.3,OTHER CREDS
 Allocations & Accommodation,"Renewal, Recreation and Housing",65550,Payment to Private Sector Landlords PSL,REDACTED PERSON,3202779,5040825,45110,9696,TCR LANDLORD
 Allocations & Accommodation,"Renewal, Recreation and Housing",65552,Private Rented Leased Fee,OAK HOUSING LTD,3141968,5040816,45110,968.28,TCR SUPPLIER GENERAL
 Housing Options & Support ,"Renewal, Recreation and Housing",65550,Payment to Private Sector Landlords PSL,REDACTED PERSON,3137720,5040805,45110,4000,TCR LANDLORD
 Housing Options & Support ,"Renewal, Recreation and Housing",65550,Payment to Private Sector Landlords PSL,RESI PROPERTY MANAGEMENT LTD,3201626,5040826,45110,2325.58,TCR LANDLORD
" Housing Strategy, Advice and Enabling","Renewal, Recreation and Housing",66611,Grants To Individuals,BLACKHAWK NETWORK EMEA LTD,3201328,5040752,45110,1273.25,TCR SUPPLIER GENERAL
 Libraries and Museums,"Renewal, Recreation and Housing",65556,Third Party Payment Not Government,GREENWICH LEISURE LTD,3107407,5040786,45110,381605.3,TCR SUPPLIER GENERAL
 Audit,"Resources, Commissioning and Contracts Management",65111,Payment to Other Local Authorities,CROYDON COUNCIL,3003866,5040771,45110,1890,PCS LOCAL AUTH
 Exchequer - Revenue & Benefits,"Resources, Commissioning and Contracts Management",65578,Revenue & Benefits Contract,LIBERATA UK LIMITED,3020486,5040798,45110,2400,OTHER CREDS
 Facilities & Support,"Resources, Commissioning and Contracts Management",62135,Security of Premises,SSG SUPPORT SERVICES GROUP LTD,3151875,5040835,45110,14876.93,TCR SUPPLIER GENERAL
 Financial Accounting,"Resources, Commissioning and Contracts Management",64315,Consultancy Fees,LAVAT CONSULTING LTD,3105900,5040796,45110,3000,TCR CONSULTANT
 Legal Services,"Resources, Commissioning and Contracts Management",64355,Counsel Fees,2 DR JOHNSON'S BUILDINGS,3200419,5040745,45110,600,TCR LEGAL
 Legal Services,"Resources, Commissioning and Contracts Management",64355,Counsel Fees,2 DR JOHNSON'S BUILDINGS,3200419,5040744,45110,500,TCR LEGAL
 Legal Services,"Resources, Commissioning and Contracts Management",64355,Counsel Fees,2 DR JOHNSON'S BUILDINGS,3200419,5040742,45110,500,TCR LEGAL
 Legal Services,"Resources, Commissioning and Contracts Management",64355,Counsel Fees,2 DR JOHNSON'S BUILDINGS,3200419,5040743,45110,500,TCR LEGAL
 Legal Services,"Resources, Commissioning and Contracts Management",64355,Counsel Fees,2 DR JOHNSON'S BUILDINGS,3200419,5040746,45110,600,TCR LEGAL
 Legal Services,"Resources, Commissioning and Contracts Management",64355,Counsel Fees,DEKA CHAMBERS ,3200695,5040774,45110,750,TCR LEGAL
 Bushell Site Development,RRH Capital Total,68155,Consultants Costs,JACKSON COLES LLP,3152377,5040791,45110,1540,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,53251,Client Contributions - Direct Payments,REDACTED PERSONAL DATA,3150057,5040915,45111,-606.16,IND DIRECT PAYMENTS
 Assessment and Care Management,Adult Care and Health,62411,Cleaning Services,REDACTED PERSONAL DATA,3149151,5040845,45111,1040,IND GRANTS
 Assessment and Care Management,Adult Care and Health,64411,ICT Hardware,BT GLOBAL SERVICES,3136575,5040854,45111,68.77,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,BLUEFIELD CARE SERVICES LTD,3143988,5040850,45111,14192.090000000004,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,DAY TO DAY CARE LTD,3028207,5040860,45111,1514.8,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,ETERNAL CARE UK LTD,3126584,5040864,45111,2292.29,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,HARMONY HOME AID SERVICES LTD,3121794,5040868,45111,783.37,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,JUGA HOMES LTD,3146361,5040873,45111,726.3199999999999,TCR RESIDENTIAL HOME
 Assessment and Care Management,Adult Care and Health,66211,Long Term Support Community Direct Payments,REDACTED PERSONAL DATA,3201199,5040945,45111,653.52,IND DIRECT PAYMENTS
 Assessment and Care Management,Adult Care and Health,66211,Long Term Support Community Direct Payments,REDACTED PERSONAL DATA,3150057,5040915,45111,1949.92,IND DIRECT PAYMENTS
 Learning Disabilities Services,Adult Care and Health,53251,Client Contributions - Direct Payments,REDACTED PERSONAL DATA,3142353,5040954,45111,-263.56,IND DIRECT PAYMENTS
 Learning Disabilities Services,Adult Care and Health,53251,Client Contributions - Direct Payments,REDACTED PERSONAL DATA,3130329,5040923,45111,-569.16,IND DIRECT PAYMENTS
 Learning Disabilities Services,Adult Care and Health,65516,Long Term Support Community Day Services,REDACTED PERSON,3100720,220196,45111,667.72,VENDOR
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,BLUEFIELD CARE SERVICES LTD,3143988,5040850,45111,404.12,TCR DOMICILIARY PROVIDER
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,DAY TO DAY CARE LTD,3028207,5040860,45111,73.68,TCR DOMICILIARY PROVIDER
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,ETERNAL CARE UK LTD,3126584,5040864,45111,4440.58,TCR DOMICILIARY PROVIDER
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,HARMONY HOME AID SERVICES LTD,3121794,5040868,45111,35.42,TCR DOMICILIARY PROVIDER
 Learning Disabilities Services,Adult Care and Health,66211,Long Term Support Community Direct Payments,REDACTED PERSONAL DATA,3142353,5040954,45111,839.04,IND DIRECT PAYMENTS
 Learning Disabilities Services,Adult Care and Health,66211,Long Term Support Community Direct Payments,REDACTED PERSONAL DATA,3130329,5040923,45111,2599.48,IND DIRECT PAYMENTS
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,BLUEFIELD CARE SERVICES LTD,3143988,5040850,45111,535.64,TCR DOMICILIARY PROVIDER
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,DAY TO DAY CARE LTD,3028207,5040860,45111,214.98000000000002,TCR DOMICILIARY PROVIDER
 Placement and Brokerage,Adult Care and Health,64117,Purchase Equipment Furniture and Materials,BT GLOBAL SERVICES,3136575,5040854,45111,180.96,TCR SUPPLIER GENERAL
 Public Health,Adult Care and Health,64411,ICT Hardware,BT GLOBAL SERVICES,3136575,5040854,45111,53.75,TCR SUPPLIER GENERAL
 Public Health,Adult Care and Health,65556,Third Party Payment Not Government,BHR PHARMACEUTICALS LTD,3152997,5040849,45111,6919.799999999999,TCR SUPPLIER GENERAL
 Quality Assurance & Safeguarding,Adult Care and Health,64331,Miscellaneous Expenses,BT GLOBAL SERVICES,3136575,5040854,45111,64.5,TCR SUPPLIER GENERAL
 0-25 Children Service,"Children, Education and Families",65518,Fostering Agency Placements,THE NATIONAL FOSTERING AGENCY LTD,3106374,5040896,45111,5805,TCR SUPPLIER GENERAL
 0-25 Children Service,"Children, Education and Families",65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3149030,5040865,45111,1466,IND AGENCY CARERS
 0-25 Children Service,"Children, Education and Families",66211,Long Term Support Community Direct Payments,REDACTED PERSONAL DATA,3201468,5040964,45111,3240,IND DIRECT PAYMENTS
 Access and Inclusion,"Children, Education and Families",63213,Client Transport,REDACTED PERSONAL DATA,3150410,5040856,45111,4292.4,IND AGENCY CARERS
 Bromley Youth Support Programme,"Children, Education and Families",64117,Purchase Equipment Furniture and Materials,BT GLOBAL SERVICES,3136575,5040854,45111,41.15,TCR SUPPLIER GENERAL
 Bromley Youth Support Programme,"Children, Education and Families",64117,Purchase Equipment Furniture and Materials,HP INC. UK LIMITED,2174391,5040871,45111,408,OTHER CREDS
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,MRS SUSAN PUCKNELL,3104637,5040958,45111,1064.4,TCR CONSULTANT
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3151871,5040978,45111,200,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3145125,5040932,45111,511.5,IND FOSTER CARER
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3134975,5040920,45111,511.5,IND FOSTER CARER
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3151044,5040905,45111,511.5,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3144095,5040914,45111,511.5,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3150439,5040913,45111,511.5,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3143651,5040943,45111,511.5,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3149972,5040962,45111,511.5,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3112912,5040917,45111,1863.32,IND FOSTER CARER
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3124161,5040967,45111,511.5,IND FOSTER CARER
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3128753,5040965,45111,511.5,IND FOSTER CARER
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3140337,5040957,45111,511.5,IND FOSTER CARER
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3144408,5040911,45111,511.5,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3202361,5040947,45111,511.5,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3020335,5040950,45111,511.5,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3132640,5040944,45111,511.5,IND FOSTER CARER
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3149758,5040925,45111,511.5,IND FOSTER CARER
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3200679,5040960,45111,511.5,IND CARERS/MOTHERS
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3144332,5040951,45111,511.5,IND FOSTER CARER
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3147541,5040953,45111,511.5,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3151352,5040977,45111,511.5,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3147186,5040972,45111,1023,IND CARERS/MOTHERS
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3201692,5040961,45111,511.5,IND CARERS
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3019315,5040948,45111,1579.71,FOSTER PARENTS
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3029813,5040956,45111,511.5,FOSTER PARENTS
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3014475,5040949,45111,511.5,FOSTER PARENTS
 CLA and Care Leavers,"Children, Education and Families",64326,Professional Services General,REDACTED PERSONAL DATA,3202361,5040946,45111,511.5,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",64331,Miscellaneous Expenses,BT GLOBAL SERVICES,3136575,5040854,45111,82.3,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",65518,Fostering Agency Placements,OLDHAM COUNCIL,3151057,5040887,45111,7587.81,PCS LA SCHOOL
 CLA and Care Leavers,"Children, Education and Families",65555,Client Support Third Party,BRIGHT FUTURE SEMI INDEPENDENT LIVING,3145825,5040852,45111,4100,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",65555,Client Support Third Party,BRIGHT FUTURE SEMI INDEPENDENT LIVING,3145825,5040851,45111,5621.43,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",65584,Community Homes,REDACTED PERSONAL DATA,3201252,5040870,45111,18600,CHILDRENS RES UNITS
 CLA and Care Leavers,"Children, Education and Families",65584,Community Homes,REDACTED PERSONAL DATA,3201252,5040869,45111,7200,CHILDRENS RES UNITS
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,MRS SUSAN PUCKNELL,3104637,5040958,45111,441.4,TCR CONSULTANT
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3151871,5040978,45111,552.92,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3145125,5040932,45111,241.4,IND FOSTER CARER
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3134975,5040920,45111,241.4,IND FOSTER CARER
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3020335,5040950,45111,241.4,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3151044,5040905,45111,241.4,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3144095,5040914,45111,432,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3150439,5040913,45111,241.4,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3143651,5040943,45111,241.4,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3149972,5040962,45111,432,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3112912,5040917,45111,879.39,IND FOSTER CARER
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3019315,5040948,45111,200,FOSTER PARENTS
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3124161,5040967,45111,588.46,IND FOSTER CARER
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3128753,5040965,45111,432,IND FOSTER CARER
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3140337,5040957,45111,432,IND FOSTER CARER
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3144408,5040911,45111,241.4,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3202361,5040947,45111,432,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3132640,5040944,45111,241.4,IND FOSTER CARER
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3149758,5040925,45111,241.4,IND FOSTER CARER
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3200679,5040960,45111,241.4,IND CARERS/MOTHERS
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3144332,5040951,45111,241.4,IND FOSTER CARER
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3151352,5040977,45111,241.4,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3147186,5040972,45111,864,IND CARERS/MOTHERS
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3201692,5040961,45111,432,IND CARERS
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3147541,5040953,45111,241.4,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3029813,5040956,45111,432,FOSTER PARENTS
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3014475,5040949,45111,241.4,FOSTER PARENTS
 CLA and Care Leavers,"Children, Education and Families",65585,Fostering Maintenance Allowance,REDACTED PERSONAL DATA,3202361,5040946,45111,432,IND OTHER
