Portfolio,Supplier_Name,Payment_Date,Transaction_Number,Net Amount,Merchant Category
Adult Care and Health,REDACTED PERSONAL DATA,45049,5032936,2766.4,TCR DOMICILIARY PROVIDER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032937,1466,IND AGENCY CARERS
"Children, Education and Families",FOSTER CARE LINK LTD,45049,5032938,2275.82,COMPANY
"Children, Education and Families",FOSTER CARE LINK LTD,45049,5032939,3353.84,COMPANY
"Children, Education and Families",FOSTER CARE LINK LTD,45049,5032940,3713.18,COMPANY
"Children, Education and Families",FOSTER CARE LINK LTD,45049,5032941,3713.18,COMPANY
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032942,1506.84,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032944,772.3199999999999,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032944,918.7,IND FOSTER CARER
"Children, Education and Families",HAMILTON LODGE (BRIGHTON) LIMITED * 3030661,45049,5032948,24917,OTHER CREDS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032949,752.9000000000001,IND OTHER
Adult Care and Health,REDACTED PERSONAL DATA,45049,5032951,3000,IND REFUND
RRH Capital Total,HOME ADAPTATIONS SOUTHEAST LTD,45049,5032952,7519,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032956,3103.12,IND FOSTER CARER
Adult Care and Health,INVICTA TELECARE LTD,45049,5032958,2647.62,VENDOR
Adult Care and Health,INVICTA TELECARE LTD,45049,5032959,3021.94,VENDOR
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032963,674.04,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032964,815.48,IND FOSTER CARER
ECS Capital Total,REDACTED PERSONAL DATA,45049,5032965,2500,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032966,883.52,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032969,158.57,IND CARERS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032969,734.52,IND CARERS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032970,1691.0199999999998,IND FOSTER CARER
Adult Care and Health,REDACTED PERSONAL DATA,45049,5032972,1540.86,ST SUPP LODGE
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032973,734.52,IND FOSTER CARER
RRH Capital Total,REDACTED PERSONAL DATA,45049,5032975,900,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032977,751.76,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032979,686.28,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032980,1251.9499999999998,IND OTHER
Adult Care and Health,REDACTED PERSONAL DATA,45049,5032982,606,IND CARERS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032987,734.52,IND FOSTER CARER
Adult Care and Health,REDACTED PERSONAL DATA,45049,5032988,790.0400000000001,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032992,915,IND FOSTER CARER
"Children, Education and Families",KENT COUNTY COUNCIL,45049,5032994,187048.71999999997,PCS LOCAL AUTH
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032995,3411,TCR IND SCHOOL
Adult Care and Health,REDACTED PERSONAL DATA,45049,5032996,1754.48,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032997,893.52,IND CARERS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033001,772.3199999999999,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033001,772.3199999999999,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033004,996.74,FOSTER PARENTS
Adult Care and Health,REDACTED PERSONAL DATA,45049,5033005,1065.52,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033006,808.12,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033008,634.4,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033010,2875.26,IND AGENCY CARERS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033011,3571,IND AGENCY CARERS
"Children, Education and Families",LIBERTY HOMES,45049,5033012,2594.28,ST SUPP LODGE
Adult Care and Health,LIVABILITY,45049,5033016,9704.04,VENDOR
Adult Care and Health,LIVABILITY,45049,5033016,-48808.399999999965,VENDOR
"Children, Education and Families",LIVABILITY,45049,5033016,169406.42,VENDOR
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033018,2043.8399999999997,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033020,1089.96,IND FOSTER CARER
Environment & Community Services,LUCY ZODION LTD,45049,5033021,9746.66,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033022,652.6,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033023,703.66,IND FOSTER CARER
RRH Capital Total,REDACTED PERSONAL DATA,45049,5033024,9424.5,SUB-CONTRACTOR
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033025,1226.84,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033026,819.64,IND CARERS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033027,875.32,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033030,504.82,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033032,121.1,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033032,1837.3999999999996,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033032,103.22,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033033,728,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033035,1086.92,IND FOSTER CARER
"Resources, Commissioning and Contracts Management",REDACTED PERSONAL DATA,45049,5033037,483.33,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033038,703.66,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033039,2279.16,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033041,881.96,IND FOSTER CARER
Adult Care and Health,REDACTED PERSONAL DATA,45049,5033046,1007.1199999999999,IND BSAP PROVIDER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033052,627.28,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033053,1102.3600000000001,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033058,883.52,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033061,600.8399999999999,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033063,1587.8000000000002,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033064,652.4,IND CARERS
Adult Care and Health,REDACTED PERSONAL DATA,45049,5033067,709.2400000000001,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033068,2365.12,IND FOSTER CARER
Adult Care and Health,REDACTED PERSONAL DATA,45049,5033070,2738,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033074,413.32,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033074,402.16,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033083,772.3199999999999,IND FOSTER CARER
"Children, Education and Families",MITUS CARE LTD,45049,5033084,5404.5599999999995,TCR SUPPLIER GENERAL
Adult Care and Health,REDACTED PERSONAL DATA,45049,5033088,252.5,IND BSAP PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45049,5033088,1057.8200000000002,IND BSAP PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45049,5033090,2507.9100000000008,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033091,2892.1799999999994,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033091,2493.85,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033092,947.86,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033093,815.48,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033093,815.48,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033094,740.28,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033097,1837.3999999999996,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033097,329.61,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033097,772.3199999999999,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033098,815.48,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033102,627.8399999999999,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033103,555.23,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033103,129.98,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033103,772.3199999999999,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033105,111.05,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033105,516.54,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033105,986.74,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033107,1802.2199999999996,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033108,1434.6399999999999,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033109,1739.0200000000004,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033114,703.6600000000001,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033116,918.7,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033117,918.7,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033119,684.02,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033122,703.44,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033123,928.7,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033124,1469.0399999999997,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033124,1500.08,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033125,1587.7999999999997,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033126,652.4,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033129,336.66,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033129,1626.4399999999996,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033130,1837.3999999999996,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033134,330.12,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033134,761.36,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033136,1544.6399999999999,FOSTER PARENTS
Adult Care and Health,REDACTED PERSONAL DATA,45049,5033137,3436.6000000000004,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033138,1344.87,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033138,467.16,IND FOSTER CARER
Adult Care and Health,REDACTED PERSONAL DATA,45049,5033141,1978.28,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033144,335.1,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033144,320.04,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033145,758.5,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033146,1500.08,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033146,415,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033147,986.74,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033149,1510.08,IND CARERS
Adult Care and Health,REDACTED PERSONAL DATA,45049,5033151,982.3199999999999,IND BSAP PROVIDER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033152,700.48,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033153,933.5,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033154,651.84,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033155,703.6600000000001,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033158,815.48,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033160,734.52,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033160,880.54,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033161,986.74,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033161,986.74,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033162,734.52,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033164,1500.08,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033165,918.7,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033165,739.52,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033168,1734.1799999999998,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033169,368.56,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033169,337.1,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033171,986.74,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033173,216.02,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033173,359.98,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033175,674.04,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033176,1239.96,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033176,1039.2,IND FOSTER CARER
Adult Care and Health,REDACTED PERSONAL DATA,45049,5033177,837.5600000000002,IND BSAP PROVIDER
Control Balance Sheet Total,REDACTED PERSONAL DATA,45049,5033180,619.78,IND REFUND
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033182,655.5,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033186,887.9000000000001,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033188,2428.1600000000003,IND CARERS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033189,986.74,IND CARERS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033190,1120.38,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033192,383.26,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033192,368.56,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033193,617.6999999999999,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033194,1444,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033197,635.4000000000001,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033198,102.22,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033198,734.52,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033199,1827.1100000000015,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033203,3636.6600000000344,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033205,734.52,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033209,986.74,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033211,1435.2399999999998,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033211,918.7,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033216,2008.5799999999997,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033216,986.74,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033219,671.9,IND ADOPTERS
Adult Care and Health,REDACTED PERSONAL DATA,45049,5033222,2131.1200000000003,IND BSAP PROVIDER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033223,815.48,IND FOSTER CARER
Adult Care and Health,REDACTED PERSONAL DATA,45049,5033227,2470.2799999999997,IND OTHER
Adult Care and Health,REDACTED PERSONAL DATA,45049,5033227,-745.16,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033232,686.28,IND FOSTER CARER
Adult Care and Health,REDACTED PERSONAL DATA,45049,5033234,3652.2,IND OTHER
Adult Care and Health,REDACTED PERSONAL DATA,45049,5033234,1695.7600000000002,IND OTHER
"Children, Education and Families",NUTRIX PERSONNEL LTD,45049,5033235,810,TCR DOMICILIARY PROVIDER
"Children, Education and Families",NUTRIX PERSONNEL LTD,45049,5033236,1996,TCR DOMICILIARY PROVIDER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033238,1135.08,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033239,739.52,IND FOSTER CARER
"Resources, Commissioning and Contracts Management",OPUS ENERGY LTD,45049,5033240,480.98,TCR UTILITY
"Children, Education and Families",ORANGE GROVE FOSTERCARE LTD,45049,5033241,17308.489999999998,TCR SUPPLIER GENERAL
"Children, Education and Families",ORANGE GROVE FOSTERCARE LTD,45049,5033241,3881.64,TCR SUPPLIER GENERAL
"Renewal, Recreation and Housing",ORCHARD & SHIPMAN GROUP T/A PINNACLE GROUP,45049,5033242,2340,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033243,665.86,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5033244,1734.1799999999996,FOSTER PARENTS
