Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,28/06/2024,ENTERPRISE RENT-A-CAR UK,9143548,revenue,1KESY,External Hires,762.91
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,28/06/2024,ENTERPRISE RENT-A-CAR UK,9143550,revenue,1KESY,External Hires,1767.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,28/06/2024,ENTERPRISE RENT-A-CAR UK,9143551,revenue,1KESY,External Hires,2012.52
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,28/06/2024,ENTERPRISE RENT-A-CAR UK,9143552,revenue,1KESY,External Hires,552.16
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,06/06/2024,ENTROTEC LTD,9141567,revenue,1KVEE,Electrical Stand Alone Works,1914.40
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,07/06/2024,ENVIRONMENT AGENCY,9142650,revenue,1KE16,NCC Paradise Yd WTS Management,3960.55
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,07/06/2024,ENVIRONMENT AGENCY,9142651,revenue,1KE23,Sandhills,3809.00
Investment & Growth,Transport,Revenue Expenditure,26/06/2024,ENVIRONMENT AGENCY,9146493,revenue,1KEAV,Flood Management,62292.78
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,14/06/2024,ENVIROVENT LTD,9134493,revenue,1KR01,Responsive Maintenance,1561.93
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,14/06/2024,ENVIROVENT LTD,9134474,revenue,1KR01,Responsive Maintenance,1378.83
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,06/06/2024,ENVIROVENT LTD,9110219,revenue,1KR01,Responsive Maintenance,727.68
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,06/06/2024,ENVIROVENT LTD,9109993,revenue,1KR01,Responsive Maintenance,450.57
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,06/06/2024,ENVIROVENT LTD,9134329,revenue,1KR01,Responsive Maintenance,438.98
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,07/06/2024,ENVIROVENT LTD,9134385,revenue,1KR01,Responsive Maintenance,623.19
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,17/06/2024,ENVIROVENT LTD,9134517,revenue,1KR01,Responsive Maintenance,1664.72
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,11/06/2024,ENVIROVENT LTD,9109992,revenue,1KR01,Responsive Maintenance,433.31
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,10/06/2024,ENVIROVENT LTD,9134404,revenue,1KR01,Responsive Maintenance,1665.58
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,13/06/2024,EON CONTROL SOLUTIONS LTD,9142295,revenue,1EJ20,City Library and Hub,275.00
HRA Expenditure,General Management,Revenue Expenditure,27/06/2024,EON NEXT ENERGY LTD,9156423,revenue,1HRA8,HRA - Investment Related Expe,343.86
HRA Expenditure,General Management,Revenue Expenditure,27/06/2024,EON NEXT ENERGY LTD,9156424,revenue,1HRA8,HRA - Investment Related Expe,591.28
HRA Expenditure,General Management,Revenue Expenditure,27/06/2024,EON NEXT ENERGY LTD,9156421,revenue,1HRA8,HRA - Investment Related Expe,326.13
HRA Expenditure,General Management,Revenue Expenditure,27/06/2024,EON NEXT ENERGY LTD,9156410,revenue,1HRA8,HRA - Investment Related Expe,608.67
HRA Expenditure,General Management,Revenue Expenditure,27/06/2024,EON NEXT ENERGY LTD,9156392,revenue,1HRA8,HRA - Investment Related Expe,522.42
HRA Expenditure,General Management,Revenue Expenditure,27/06/2024,EON NEXT ENERGY LTD,9156386,revenue,1HRA8,HRA - Investment Related Expe,544.96
HRA Expenditure,General Management,Revenue Expenditure,27/06/2024,EON NEXT ENERGY LTD,9156399,revenue,1HRA8,HRA - Investment Related Expe,626.28
HRA Expenditure,Repairs & Maintenance,Revenue Expenditure,18/06/2024,EON NEXT ENERGY LTD,9147740,revenue,1HA01,R&M Gen - Citywide,1410.07
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,EOTHEN HOMES LTD,9139305,revenue,1MG10,Nursing Care OP,-2356.74
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,EOTHEN HOMES LTD,9139305,revenue,1MG20,Residential Care OP,15252.32
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,EOTHEN HOMES LTD,9139255,revenue,1MG20,Residential Care OP,6642.00
Adult Social Care & Prevention,Community Support,Revenue Income,04/06/2024,EOTHEN HOMES LTD,9139255,revenue,1MG20,Residential Care OP,-1536.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,EOTHEN HOMES LTD,9139305,revenue,1MH20,Residential Care PD,4017.32
Adult Social Care & Prevention,Community Support,Revenue Expenditure,11/06/2024,EQUAL PARTNERSHIPS LTD,9145014,revenue,1MK50,Supported Living LD,12360.99
Adult Social Care & Prevention,Community Support,Revenue Income,11/06/2024,EQUAL PARTNERSHIPS LTD,9145014,revenue,1MK50,Supported Living LD,-485.96
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,27/06/2024,EQUANS REGENERATION LIMITED,9127168,revenue,1KFX2,School Meals Overhead,620.00
Housing & Communities,Fairer Housing Unit,Capital Expenditure,14/06/2024,EQUANS REGENERATION LIMITED,9131518,Capital,2N101,Capital Grants,486.72
Housing & Communities,Fairer Housing Unit,Capital Expenditure,07/06/2024,EQUANS REGENERATION LIMITED,9131517,Capital,2N101,Capital Grants,5920.31
Housing & Communities,Fairer Housing Unit,Capital Expenditure,07/06/2024,EQUANS REGENERATION LIMITED,9131629,Capital,2N101,Capital Grants,6772.90
Housing & Communities,Fairer Housing Unit,Capital Expenditure,28/06/2024,EQUANS REGENERATION LIMITED,9151752,Capital,2N101,Capital Grants,6747.21
Housing & Communities,Fairer Housing Unit,Capital Expenditure,28/06/2024,EQUANS REGENERATION LIMITED,9151754,Capital,2N101,Capital Grants,6210.10
Housing Revenue Account,HRA - Public Sector Stock,Capital Expenditure,14/06/2024,EQUANS REGENERATION LIMITED,9141683,Capital,2HE01,Capital Citywide,450927.01
Housing Revenue Account,HRA - Public Sector Stock,Capital Expenditure,19/06/2024,EQUANS REGENERATION LIMITED,9141598,Capital,2HE01,Capital Citywide,238726.30
CFO Directorate,Revenues and Benefits,Revenue Expenditure,17/06/2024,EQUITA,9148421,revenue,1CR01,Revs and Bens Supp&Svs,75.66
CFO Directorate,Revenues and Benefits,Revenue Expenditure,18/06/2024,EQUITA,9148443,revenue,1CR01,Revs and Bens Supp&Svs,150.00
CFO Directorate,Revenues and Benefits,Revenue Expenditure,18/06/2024,EQUITA,9148449,revenue,1CR01,Revs and Bens Supp&Svs,332.00
Corporate Budgets,Corporate Budgets,Revenue Expenditure,06/06/2024,ERNST & YOUNG,9138540,revenue,1FE06,External Audit Costs,7250.00
Investment & Growth,Transport,Capital Expenditure,13/06/2024,ESH CONSTRUCTION,9147084,Capital,2CAPI,Capital Investment,759369.12
Children & Families,Education Schools/DSG,Revenue Expenditure,05/06/2024,ESPA COLLEGE,9140759,revenue,1E20P,High Needs Post16 Funding,14373.35
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,ESPA LTD - EUROPEAN SERVICES FOR,9139317,revenue,1MK20,Residential Care LD,8797.44
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,ESPA LTD - EUROPEAN SERVICES FOR,9139316,revenue,1MK20,Residential Care LD,8797.44
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,ESPA LTD - EUROPEAN SERVICES FOR,9139318,revenue,1MK20,Residential Care LD,14812.64
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,ESPA LTD - EUROPEAN SERVICES FOR,9139315,revenue,1MK20,Residential Care LD,10136.24
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,ESPA LTD - EUROPEAN SERVICES FOR,9139314,revenue,1MK20,Residential Care LD,10136.24
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,ESPA LTD - EUROPEAN SERVICES FOR,9139313,revenue,1MK20,Residential Care LD,12013.40
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,ESPA LTD - EUROPEAN SERVICES FOR,9139312,revenue,1MK20,Residential Care LD,12013.40
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,ESPA LTD - EUROPEAN SERVICES FOR,9139320,revenue,1MK20,Residential Care LD,9508.76
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,ESPA LTD - EUROPEAN SERVICES FOR,9139319,revenue,1MK20,Residential Care LD,9508.76
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,ESPA LTD - EUROPEAN SERVICES FOR,9139311,revenue,1MK20,Residential Care LD,9539.64
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,ESPA LTD - EUROPEAN SERVICES FOR,9139310,revenue,1MK20,Residential Care LD,9539.64
Adult Social Care & Prevention,Community Support,Revenue Income,04/06/2024,ESPA LTD - EUROPEAN SERVICES FOR,9139317,revenue,1MK20,Residential Care LD,-494.80
Adult Social Care & Prevention,Community Support,Revenue Income,04/06/2024,ESPA LTD - EUROPEAN SERVICES FOR,9139316,revenue,1MK20,Residential Care LD,-523.80
Adult Social Care & Prevention,Community Support,Revenue Income,04/06/2024,ESPA LTD - EUROPEAN SERVICES FOR,9139315,revenue,1MK20,Residential Care LD,-494.80
Adult Social Care & Prevention,Community Support,Revenue Income,04/06/2024,ESPA LTD - EUROPEAN SERVICES FOR,9139314,revenue,1MK20,Residential Care LD,-523.80
Adult Social Care & Prevention,Community Support,Revenue Income,04/06/2024,ESPA LTD - EUROPEAN SERVICES FOR,9139313,revenue,1MK20,Residential Care LD,-820.80
Adult Social Care & Prevention,Community Support,Revenue Income,04/06/2024,ESPA LTD - EUROPEAN SERVICES FOR,9139312,revenue,1MK20,Residential Care LD,-1044.80
Adult Social Care & Prevention,Community Support,Revenue Expenditure,11/06/2024,ESPA LTD - EUROPEAN SERVICES FOR,9144991,revenue,1MK50,Supported Living LD,85613.85
Adult Social Care & Prevention,Community Support,Revenue Expenditure,21/06/2024,ESSEX CHAMBERS,9152361,revenue,1MM94,Mental Capacity Act,2800.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,21/06/2024,ESSEX CHAMBERS,9152362,revenue,1MM94,Mental Capacity Act,5281.53
Children & Families,Children's Social Care,Revenue Expenditure,21/06/2024,ESSEX CHAMBERS,9152360,revenue,1MD68,Legal Fees Care,2000.00
Children & Families,Education,Revenue Expenditure,13/06/2024,ETHAN WILKIN BURSARY ACC,9147123,revenue,1E296,16-19 Bursary Scheme,369.24
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,20/06/2024,ETHOS ENVIRONMENTAL PLANNING LTD,9134463,revenue,1KL65,Parks Playground Maintenance,3680.00
Deputy Chief Executive,Climate Change Strategy,Revenue Expenditure,27/06/2024,ETHSTAT ETHICAL CIC,9156379,revenue,1FT83,Climate Change Strategy,263.35
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,24/06/2024,EUROPEAN ELECTRONIQUE LTD,9152239,revenue,1CX50,Technical Refresh,14770.00
Investment & Growth,Major Projects,Capital Expenditure,28/06/2024,EUROVIA INFARSTRUCTURE LIMITED,9151729,Capital,2CAPI,Capital Investment,432576.49
Corporate Budgets,Commercial Dev & Property,Revenue Expenditure,28/06/2024,EVENT COVER PRODUCTIONS LTD,9157010,revenue,1DZQ1,Quayside Market,1242.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,11/06/2024,EVERYDAY CARE AND SUPPORT,9145080,revenue,1MG55,Extra Care Housing,31921.45
Adult Social Care & Prevention,Community Support,Revenue Expenditure,11/06/2024,EVERYDAY CARE AND SUPPORT,9145079,revenue,1MG55,Extra Care Housing,19509.39
Adult Social Care & Prevention,Community Support,Revenue Expenditure,11/06/2024,EVERYDAY CARE AND SUPPORT,9145080,revenue,1MM50,Home Care MH,2190.03
Adult Social Care & Prevention,Community Support,Revenue Expenditure,11/06/2024,EVERYDAY CARE AND SUPPORT,9145079,revenue,1MM50,Home Care MH,7803.82
Adult Social Care & Prevention,Community Support,Revenue Expenditure,11/06/2024,EVERYDAY CARE AND SUPPORT,9145029,revenue,1MG50,Home Care OP,1249.34
Adult Social Care & Prevention,Community Support,Revenue Expenditure,11/06/2024,EVERYDAY CARE AND SUPPORT,9145080,revenue,1MK50,Supported Living LD,2449.86
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,11/06/2024,EXCEL REFRIGERATION & CATERING EQUIPMENT,9144647,revenue,1KF07,Banqueting Suite,466.32
