Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Capital Code,Capital Code Name,Total (excludes VAT)
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,02/10/2024,ADVANCED WATER TECHNOLOGIES,9227255,revenue,1KR05,District Heating,  ,,1100.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,02/10/2024,ADVANCED WATER TECHNOLOGIES,9227255,revenue,1KR8L,Wide District Heating,  ,,265.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,21/10/2024,ADVANCED WATER TECHNOLOGIES,9239194,revenue,1KR05,District Heating,  ,,1100.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,21/10/2024,ADVANCED WATER TECHNOLOGIES,9239194,revenue,1KR8L,Wide District Heating,  ,,265.00
Children & Families,Education Schools/DSG,Revenue Expenditure,30/10/2024,ADVENTURE IN LEARNING LTD,9243544,revenue,1E25R,AP Inclusion Panel,  ,,1152.00
Children & Families,Education Schools/DSG,Revenue Expenditure,30/10/2024,ADVENTURE IN LEARNING LTD,9243545,revenue,1E25R,AP Inclusion Panel,  ,,1152.00
Children & Families,Education Schools/DSG,Revenue Expenditure,30/10/2024,ADVENTURE IN LEARNING LTD,9243548,revenue,1E25R,AP Inclusion Panel,  ,,1536.00
Children & Families,Education Schools/DSG,Revenue Expenditure,30/10/2024,ADVENTURE IN LEARNING LTD,9243549,revenue,1E25R,AP Inclusion Panel,  ,,1664.00
Children & Families,Children's Social Care,Revenue Expenditure,07/10/2024,ADVOCATE RESIDENTIAL,9229552,revenue,1MC02,External Residential Placement,  ,,39200.00
Operations & Regulatory Services ,Operations,Revenue Expenditure,23/10/2024,AEBI SCHMIDT UK LTD,9224618,revenue,3KES1,City Transport Stock,  ,,1018.00
Operations & Regulatory Services ,Operations,Revenue Expenditure,04/10/2024,AEBI SCHMIDT UK LTD,9209687,revenue,3KES1,City Transport Stock,  ,,1186.64
Operations & Regulatory Services ,Operations,Revenue Expenditure,04/10/2024,AEBI SCHMIDT UK LTD,9212777,revenue,3KES1,City Transport Stock,  ,,250.74
Operations & Regulatory Services ,Operations,Revenue Expenditure,18/10/2024,AEBI SCHMIDT UK LTD,9223694,revenue,3KES1,City Transport Stock,  ,,431.05
Operations & Regulatory Services ,Operations,Revenue Expenditure,03/10/2024,AEBI SCHMIDT UK LTD,9209686,revenue,3KES1,City Transport Stock,  ,,966.17
Operations & Regulatory Services ,Operations,Revenue Expenditure,30/10/2024,AEBI SCHMIDT UK LTD,9228901,revenue,3KES1,City Transport Stock,  ,,616.92
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,23/10/2024,AGGREKO UK LTD,9226266,revenue,1CC52,Outer West Library Hub,  ,,3346.14
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,03/10/2024,AGGREKO UK LTD,9212888,revenue,1CC52,Outer West Library Hub,  ,,2706.96
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,08/10/2024,AGROVISTA UK LTD,9202633,revenue,1KEFA,Grounds Maintenance,  ,,1199.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,11/10/2024,AJAY MANAGEMENT SERVICES LTD,9223063,revenue,1KVWC,Minor Works Contracts,  ,,1625.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,11/10/2024,AJAY MANAGEMENT SERVICES LTD,9223756,revenue,1KVWC,Minor Works Contracts,  ,,1550.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,03/10/2024,AKARI CARE LTD,9228198,revenue,1MG20,Residential Care OP,  ,,9520.71
Adult Social Care & Prevention,Community Support,Revenue Expenditure,03/10/2024,AKARI CARE LTD,9228200,revenue,1MG20,Residential Care OP,  ,,9520.71
Adult Social Care & Prevention,Community Support,Revenue Expenditure,03/10/2024,AKARI CARE LTD,9228204,revenue,1MG20,Residential Care OP,  ,,9838.07
Adult Social Care & Prevention,Community Support,Revenue Expenditure,03/10/2024,AKARI CARE LTD,9228205,revenue,1MG20,Residential Care OP,  ,,9838.07
Adult Social Care & Prevention,Community Support,Revenue Expenditure,03/10/2024,AKARI CARE LTD,9228206,revenue,1MG20,Residential Care OP,  ,,4760.38
Adult Social Care & Prevention,Community Support,Revenue Expenditure,03/10/2024,AKARI CARE LTD,9228208,revenue,1MG20,Residential Care OP,  ,,4919.04
Adult Social Care & Prevention,Community Support,Revenue Expenditure,03/10/2024,AKARI CARE LTD,9228209,revenue,1MG20,Residential Care OP,  ,,4919.04
Adult Social Care & Prevention,Community Support,Revenue Expenditure,03/10/2024,AKARI CARE LTD,9228211,revenue,1MG20,Residential Care OP,  ,,4760.38
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,11/10/2024,AKW MEDI-CARE LTD,9222391,revenue,1KR12,DDA,  ,,285.13
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,23/10/2024,AKW MEDI-CARE LTD,9225777,revenue,1KR12,DDA,  ,,285.09
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,23/10/2024,AKW MEDI-CARE LTD,9225782,revenue,1KR12,DDA,  ,,266.74
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,23/10/2024,AKW MEDI-CARE LTD,9225905,revenue,1KR12,DDA,  ,,266.70
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,23/10/2024,AKW MEDI-CARE LTD,9225914,revenue,1KR12,DDA,  ,,266.74
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,23/10/2024,AKW MEDI-CARE LTD,9225915,revenue,1KR12,DDA,  ,,354.70
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,23/10/2024,AKW MEDI-CARE LTD,9226203,revenue,1KR12,DDA,  ,,1209.28
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,04/10/2024,AKW MEDI-CARE LTD,9188505,revenue,1KR12,DDA,  ,,623.46
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,24/10/2024,AKW MEDI-CARE LTD,9227245,revenue,1KR12,DDA,  ,,547.08
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,02/10/2024,AKW MEDI-CARE LTD,9212966,revenue,1KR12,DDA,  ,,266.66
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,02/10/2024,AKW MEDI-CARE LTD,9212971,revenue,1KR12,DDA,  ,,266.66
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,02/10/2024,AKW MEDI-CARE LTD,9212972,revenue,1KR12,DDA,  ,,266.66
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,02/10/2024,AKW MEDI-CARE LTD,9212975,revenue,1KR12,DDA,  ,,266.74
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,10/10/2024,AKW MEDI-CARE LTD,9222287,revenue,1KR12,DDA,  ,,255.79
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,18/10/2024,AKW MEDI-CARE LTD,9224246,revenue,1KR12,DDA,  ,,292.27
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,18/10/2024,AKW MEDI-CARE LTD,9224440,revenue,1KR12,DDA,  ,,384.04
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,03/10/2024,AKW MEDI-CARE LTD,9208060,revenue,1KR12,DDA,  ,,343.32
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,03/10/2024,AKW MEDI-CARE LTD,9215384,revenue,1KR12,DDA,  ,,264.70
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,17/10/2024,ALARM SUPPLIES SCOTLAND LTD,9224325,revenue,1KJ42,Security Consultancy,  ,,489.25
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,04/10/2024,ALARM SUPPLIES SCOTLAND LTD,9224324,revenue,1KJ42,Security Consultancy,  ,,1315.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,08/10/2024,ALBANY HOUSE  (WHITLEY BAY),9230156,revenue,1MM20,Residential Care MH,  ,,2770.12
Children & Families,Early Help and Family Support,Revenue Expenditure,18/10/2024,ALBANY OFFICE FURNITURE SOLUTIONS,9227281,revenue,1EEG5,C&FN Outer West,  ,,270.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,09/10/2024,ALBANY OFFICE FURNITURE SOLUTIONS,9219199,revenue,1D507,Better Lives Project,  ,,330.00
Housing & Communities,Support Serv Active Incl,Revenue Expenditure,18/10/2024,ALBANY OFFICE FURNITURE SOLUTIONS,9228163,revenue,1VH22,Temporary Accommodation Prem,  ,,1280.00
Investment & Growth,Economic Development,Revenue Expenditure,25/10/2024,ALCIUM SOFTWARE,9230029,revenue,1FN38,Localised Provision Project,  ,,7652.00
Public Health Service,Public Health,Revenue Expenditure,18/10/2024,ALCOHOL CHANGE UK,9238072,revenue,1ML18,SSMTRG,  ,,770.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,08/10/2024,ALDERWOOD,9230210,revenue,1MM10,Nursing Care MH,  ,,6158.76
Adult Social Care & Prevention,Community Support,Revenue Income,08/10/2024,ALDERWOOD,9230210,revenue,1MM10,Nursing Care MH,  ,,-432.20
Children & Families,Children's Social Care,Revenue Expenditure,07/10/2024,ALEXANDERS HOUSE LTD,9229556,revenue,1MC02,External Residential Placement,  ,,19200.00
Investment & Growth,Economic Development,Revenue Expenditure,02/10/2024,ALEXANDRE MANENTI,9207355,revenue,1FN33,Place Innovation Programme,  ,,500.00
Children & Families,Education Schools/DSG,Revenue Expenditure,02/10/2024,ALL STAR PRODUCTIONS LTD,9223508,revenue,1E892,St Johns Primary Turf Account,  ,,750.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,08/10/2024,ALLAN COURT RESIDENTIAL HOME,9230221,revenue,1MG10,Nursing Care OP,  ,,49715.09
Adult Social Care & Prevention,Community Support,Revenue Expenditure,08/10/2024,ALLAN COURT RESIDENTIAL HOME,9230221,revenue,1MG20,Residential Care OP,  ,,99406.28
Adult Social Care & Prevention,Community Support,Revenue Expenditure,08/10/2024,ALLAN COURT RESIDENTIAL HOME,9230221,revenue,1MH10,Nursing Care PD,  ,,3499.48
Adult Social Care & Prevention,Community Support,Revenue Expenditure,08/10/2024,ALLAN COURT RESIDENTIAL HOME,9230221,revenue,1MH20,Residential Care PD,  ,,3499.48
Adult Social Care & Prevention,Community Support,Revenue Expenditure,08/10/2024,ALLAN COURT RESIDENTIAL HOME,9230221,revenue,1MK10,Nursing Care LD,  ,,7942.48
Adult Social Care & Prevention,Community Support,Revenue Expenditure,08/10/2024,ALLAN COURT RESIDENTIAL HOME,9230221,revenue,1MM10,Nursing Care MH,  ,,8577.20
Adult Social Care & Prevention,Community Support,Revenue Expenditure,08/10/2024,ALLAN COURT RESIDENTIAL HOME,9230221,revenue,1MM20,Residential Care MH,  ,,3499.48
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,16/10/2024,ALLIANCE DISPOSABLES LTD,9226253,revenue,1KFP9,Gosforth Academy,  ,,752.08
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,04/10/2024,ALLIANCE DISPOSABLES LTD,9210913,revenue,1EJ20,City Library and Hub,  ,,356.80
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,04/10/2024,ALLIANCE DISPOSABLES LTD,9210916,revenue,1KFR6,Benfield Comp,  ,,760.43
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,02/10/2024,ALLIANCE DISPOSABLES LTD,9210918,revenue,1KFP6,Walbottle Campus,  ,,1114.44
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,02/10/2024,ALLIANCE DISPOSABLES LTD,9210920,revenue,1KFP4,St Cuthberts Academy,  ,,889.43
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,02/10/2024,ALLIANCE DISPOSABLES LTD,9210922,revenue,1KFMH,Meals at Home,  ,,1137.76
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,14/10/2024,ALLIANCE DISPOSABLES LTD,9214292,revenue,1KFP9,Gosforth Academy,  ,,253.17
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,28/10/2024,ALLIANCE DISPOSABLES LTD,9226250,revenue,1KFR6,Benfield Comp,  ,,686.69
CFO Directorate,Revenues and Benefits,Revenue Expenditure,30/10/2024,ALLIED PUBLICITY SERVICES(MANCHESTER)LTD,9233613,revenue,1CS00,Revs and Bens Staffing,  ,,2293.29
Adult Social Care & Prevention,Community Support,Revenue Expenditure,08/10/2024,ALLINGTON HOUSE,9230206,revenue,1MG20,Residential Care OP,  ,,3468.16
Adult Social Care & Prevention,Community Support,Revenue Income,08/10/2024,ALLINGTON HOUSE,9230206,revenue,1MG20,Residential Care OP,  ,,-867.84
Housing & Communities,Head Housing Services,Revenue Expenditure,09/10/2024,ALLPAY.NET LIMITED,9229370,revenue,1BC10,Income General Team,  ,,3901.67
Housing & Communities,Head Housing Services,Revenue Expenditure,09/10/2024,ALLPAY.NET LIMITED,9229375,revenue,1BC10,Income General Team,  ,,5099.20
Housing & Communities,Head Housing Services,Revenue Expenditure,09/10/2024,ALLPAY.NET LIMITED,9229376,revenue,1BC10,Income General Team,  ,,581.84
Housing & Communities,Head Housing Services,Revenue Expenditure,09/10/2024,ALLPAY.NET LIMITED,9229378,revenue,1BC10,Income General Team,  ,,547.94
Housing & Communities,Head Housing Services,Revenue Expenditure,30/10/2024,ALLPAY.NET LIMITED,9230962,revenue,1BC10,Income General Team,  ,,3678.87
Housing & Communities,Head Housing Services,Revenue Expenditure,30/10/2024,ALLPAY.NET LIMITED,9230969,revenue,1BC10,Income General Team,  ,,632.11
Housing & Communities,Head Housing Services,Revenue Expenditure,30/10/2024,ALLPAY.NET LIMITED,9230970,revenue,1BC10,Income General Team,  ,,5122.77
Housing & Communities,Head Housing Services,Revenue Expenditure,30/10/2024,ALLPAY.NET LIMITED,9230972,revenue,1BC10,Income General Team,  ,,551.47
Investment & Growth,Economic Development,Revenue Expenditure,07/10/2024,ANA GABRIELA ENCINAS CARDENAS,9229564,revenue,1FN33,Place Innovation Programme,  ,,500.00
Children & Families,Education Schools/DSG,Revenue Expenditure,31/10/2024,ANDREA REID,9248503,revenue,1EEYH,Under 2YO,  ,,3153.15
Children & Families,Education Schools/DSG,Revenue Expenditure,31/10/2024,ANDREA REID,9248506,revenue,1EEP5,2Yr Old Learning & Childcare,  ,,1132.42
Children & Families,Education Schools/DSG,Revenue Expenditure,31/10/2024,ANDREA REID,9248518,revenue,1E201,3- and 4-Year-Old,  ,,1575.00
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,28/10/2024,ANDTECH SYSTEMS,9233823,revenue,1KJ42,Security Consultancy,  ,,694.00
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,28/10/2024,ANDTECH SYSTEMS,9233824,revenue,1KJ42,Security Consultancy,  ,,400.00
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,30/10/2024,ANDTECH SYSTEMS,9233822,revenue,1KJ42,Security Consultancy,  ,,6149.00
