Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Capital Code,Capital Code Name,Total (excludes VAT)
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,20/12/2024,A&J KEITH LTD,9287396,revenue,1KVWC,Minor Works Contracts,#N/A,,140964.68
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,20/12/2024,A&J KEITH LTD,9287394,revenue,1KVWC,Minor Works Contracts,#N/A,,184525.14
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,09/12/2024,A&J KEITH LTD,9275417,revenue,1KVWC,Minor Works Contracts,#N/A,,187880.23
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,09/12/2024,A&J KEITH LTD,9275418,revenue,1KVWC,Minor Works Contracts,#N/A,,267700.34
Investment & Growth,Development Management,Revenue Expenditure,03/12/2024,A&S LOCKSMITHS,9271389,revenue,1V073,Historic Monuments,#N/A,,375.81
Children & Families,Children's Social Care,Revenue Expenditure,20/12/2024,A1 FOSTER CARE,9286952,revenue,1MC22,External Foster Care Costs,#N/A,,4560.00
Children & Families,Children's Social Care,Revenue Expenditure,02/12/2024,A1 FOSTER CARE,9270049,revenue,1MC22,External Foster Care Costs,#N/A,,4560.00
Housing Revenue Account,HRA - Public Sector Stock,Capital Expenditure,24/12/2024,A1 SHEET METAL FLUES T/A A1 FLUE SYSTEMS,9278270,Capital,2HE01,Capital Citywide,HL119,Graham Park Rd Mech Elec Aura,1330.00
Operations & Regulatory Services ,Operations,Revenue Expenditure,13/12/2024,AAA CHEMICALS LTD,9261887,revenue,3KES1,City Transport Stock,#N/A,,776.40
Adult Social Care & Prevention,Community Support,Revenue Expenditure,17/12/2024,ABBEYFIELD CASTLE FARM,9283849,revenue,1MG20,Residential Care OP,#N/A,,17497.40
Adult Social Care & Prevention,Community Support,Revenue Expenditure,03/12/2024,ABBEYFIELD CASTLE FARM,9271566,revenue,1MG20,Residential Care OP,#N/A,,17497.40
Adult Social Care & Prevention,Community Support,Revenue Expenditure,17/12/2024,ABBEYFIELD THE GROVE,9283843,revenue,1MG20,Residential Care OP,#N/A,,17497.40
Adult Social Care & Prevention,Community Support,Revenue Expenditure,03/12/2024,ABBEYFIELD THE GROVE,9271560,revenue,1MG20,Residential Care OP,#N/A,,17497.40
Adult Social Care & Prevention,Community Support,Revenue Expenditure,17/12/2024,ABBEYMOOR LIFEWAYS,9283886,revenue,1MG10,Nursing Care OP,#N/A,,943.52
Adult Social Care & Prevention,Community Support,Revenue Expenditure,17/12/2024,ABBEYMOOR LIFEWAYS,9283886,revenue,1MH10,Nursing Care PD,#N/A,,20707.84
Adult Social Care & Prevention,Community Support,Revenue Expenditure,17/12/2024,ABBEYMOOR LIFEWAYS,9283886,revenue,1MM10,Nursing Care MH,#N/A,,12425.72
Adult Social Care & Prevention,Community Support,Revenue Expenditure,03/12/2024,ABBEYMOOR LIFEWAYS,9271601,revenue,1MG10,Nursing Care OP,#N/A,,943.52
Adult Social Care & Prevention,Community Support,Revenue Expenditure,03/12/2024,ABBEYMOOR LIFEWAYS,9271601,revenue,1MH10,Nursing Care PD,#N/A,,20707.84
Adult Social Care & Prevention,Community Support,Revenue Expenditure,03/12/2024,ABBEYMOOR LIFEWAYS,9271601,revenue,1MM10,Nursing Care MH,#N/A,,12425.72
Adult Social Care & Prevention,Community Support,Revenue Income,17/12/2024,ABBEYMOOR LIFEWAYS,9283886,revenue,1MM10,Nursing Care MH,#N/A,,-491.80
Adult Social Care & Prevention,Community Support,Revenue Income,03/12/2024,ABBEYMOOR LIFEWAYS,9271601,revenue,1MM10,Nursing Care MH,#N/A,,-491.80
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,23/12/2024,ABCA SYSTEMS,9273932,revenue,1KR56,Communal Area & Cyclical Mntce,#N/A,,9481.25
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,04/12/2024,ABCA SYSTEMS,9266826,revenue,1KR56,Communal Area & Cyclical Mntce,#N/A,,15956.25
CFO Directorate,Revenues and Benefits,Revenue Expenditure,10/12/2024,ACCESS INDEPENDENT,9273663,revenue,1CS00,Revs and Bens Staffing,#N/A,,3330.60
Children & Families,Education Schools/DSG,Revenue Expenditure,03/12/2024,ACORN CARE & EDUCATION LTD,9271453,revenue,1E20A,SB Independent Schools,#N/A,,82049.71
Children & Families,Education Schools/DSG,Revenue Expenditure,03/12/2024,ACORN CARE & EDUCATION LTD,9271454,revenue,1E20P,High Needs Post16 Funding,#N/A,,8895.50
Children & Families,Children's Social Care,Revenue Expenditure,20/12/2024,ACORN HOUSE,9286953,revenue,1MC22,External Foster Care Costs,#N/A,,4159.84
Children & Families,Children's Social Care,Revenue Expenditure,02/12/2024,ACORN HOUSE,9270050,revenue,1MC22,External Foster Care Costs,#N/A,,4159.84
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,06/12/2024,ACP,9262738,revenue,1KSCD,External Vehicle Tracking,#N/A,,1384.60
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,06/12/2024,ACP,9262739,revenue,1KSCD,External Vehicle Tracking,#N/A,,1089.65
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,06/12/2024,ACP,9262738,revenue,1KESW,Fleet & Maintce Internal SLA,#N/A,,4441.40
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,20/12/2024,ACP,9278276,revenue,1KENB,Fleet Workshops OH,#N/A,,315.83
Children & Families,Children's Social Care,Revenue Expenditure,20/12/2024,ACTION FOR CHILDREN,9286983,revenue,1MC02,External Residential Placement,#N/A,,21568.00
Children & Families,Children's Social Care,Revenue Expenditure,02/12/2024,ACTION FOR CHILDREN,9270080,revenue,1MC02,External Residential Placement,#N/A,,21568.00
Children & Families,Education Schools/DSG,Revenue Expenditure,13/12/2024,ACTION FOR CHILDREN,9272744,revenue,1E25R,AP Inclusion Panel,#N/A,,8333.34
Children & Families,Education Schools/DSG,Revenue Expenditure,13/12/2024,ACTION FOR CHILDREN,9272738,revenue,1E25R,AP Inclusion Panel,#N/A,,4166.66
Children & Families,Children's Social Care,Revenue Expenditure,20/12/2024,ACTIVE ARK,9286984,revenue,1MC02,External Residential Placement,#N/A,,19343.56
Children & Families,Children's Social Care,Revenue Expenditure,02/12/2024,ACTIVE ARK,9270081,revenue,1MC02,External Residential Placement,#N/A,,19343.56
Children & Families,Education,Revenue Expenditure,18/12/2024,ADAM COGDEN,9284048,revenue,1E558,SB Music Service,#N/A,,470.40
Housing & Communities,Fairer Housing Unit,Capital Expenditure,05/12/2024,ADAPT YOUR HOME FOR LIFE,9254887,Capital,2N101,Capital Grants,#N/A,,20736.00
Housing & Communities,Fairer Housing Unit,Capital Expenditure,18/12/2024,ADAPT YOUR HOME FOR LIFE,9284725,Capital,2N101,Capital Grants,#N/A,,17640.00
Housing & Communities,Fairer Housing Unit,Capital Expenditure,18/12/2024,ADAPT YOUR HOME FOR LIFE,9284726,Capital,2N101,Capital Grants,#N/A,,16108.00
"City Ops, Nghbrhds & Reg Srvcs",Democratic Services,Revenue Expenditure,30/12/2024,ADARE LTD,9282549,revenue,1FL01,Electoral Registration Unit,#N/A,,17978.73
"City Ops, Nghbrhds & Reg Srvcs",Democratic Services,Revenue Expenditure,30/12/2024,ADARE LTD,9282550,revenue,1FL01,Electoral Registration Unit,#N/A,,2325.50
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,27/12/2024,ADC ELECTRICAL CO LTD(F),9271712,revenue,1KR8L,Wide District Heating,#N/A,,996.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,11/12/2024,ADC ELECTRICAL CO LTD(F),9264556,revenue,1KR8L,Wide District Heating,#N/A,,448.75
Housing Revenue Account,HRA - Public Sector Stock,Capital Expenditure,13/12/2024,ADL LIFT SERVICES LTD,9275812,Capital,2HE01,Capital Citywide,H7273,Cruddas Park House Lifts,78253.28
Investment & Growth,Transport,Revenue Expenditure,30/12/2024,ADMEC ENVIRONMENTAL SERVICES LTD,9272064,revenue,1KW32,Gullies Team,#N/A,,323.76
Investment & Growth,Transport,Revenue Expenditure,18/12/2024,ADMEC ENVIRONMENTAL SERVICES LTD,9262130,revenue,1KW32,Gullies Team,#N/A,,351.66
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,02/12/2024,ADT FIRE & SECURITY,9270181,revenue,1KJ94,Security Services Delegated,#N/A,,631.58
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,27/12/2024,ADT FIRE & SECURITY,9290084,revenue,1KJ94,Security Services Delegated,#N/A,,558.00
CFO Directorate,Finance,Revenue Expenditure,30/12/2024,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,9285867,revenue,1FF51,Finance,#N/A,,1350.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,06/12/2024,ADVANCED TOTAL SUPPLIES LTD,9257435,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,8000.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,06/12/2024,ADVANCED TOTAL SUPPLIES LTD,9257436,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,9408.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,06/12/2024,ADVANCED TOTAL SUPPLIES LTD,9257431,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,4464.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,06/12/2024,ADVANCED TOTAL SUPPLIES LTD,9257434,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,4140.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,06/12/2024,ADVANCED TOTAL SUPPLIES LTD,9257433,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,672.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,06/12/2024,ADVANCED TOTAL SUPPLIES LTD,9257432,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,1320.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,24/12/2024,ADVANCED TOTAL SUPPLIES LTD,9280189,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,1568.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,24/12/2024,ADVANCED TOTAL SUPPLIES LTD,9280190,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,3920.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,24/12/2024,ADVANCED TOTAL SUPPLIES LTD,9284809,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,3920.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,24/12/2024,ADVANCED TOTAL SUPPLIES LTD,9280193,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,8880.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,04/12/2024,ADVANCED TOTAL SUPPLIES LTD,9257430,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,9408.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,04/12/2024,ADVANCED TOTAL SUPPLIES LTD,9257429,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,8880.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,13/12/2024,ADVANCED TOTAL SUPPLIES LTD,9268022,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,9936.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,27/12/2024,ADVANCED TOTAL SUPPLIES LTD,9270122,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,9936.00
Housing & Communities,Support Serv Active Incl,Revenue Expenditure,13/12/2024,ADVANCED TOTAL SUPPLIES LTD,9268024,revenue,1VH22,Temporary Accommodation Prem,#N/A,,2285.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,31/12/2024,ADVANCED WATER TECHNOLOGIES,9282715,revenue,1KR05,District Heating,#N/A,,1100.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,31/12/2024,ADVANCED WATER TECHNOLOGIES,9282715,revenue,1KR8L,Wide District Heating,#N/A,,265.00
Children & Families,Education Schools/DSG,Revenue Expenditure,04/12/2024,ADVENTURE IN LEARNING LTD,9272358,revenue,1E25R,AP Inclusion Panel,#N/A,,896.00
Children & Families,Education Schools/DSG,Revenue Expenditure,04/12/2024,ADVENTURE IN LEARNING LTD,9272357,revenue,1E25R,AP Inclusion Panel,#N/A,,896.00
Children & Families,Education Schools/DSG,Revenue Expenditure,04/12/2024,ADVENTURE IN LEARNING LTD,9272290,revenue,1E25R,AP Inclusion Panel,#N/A,,512.00
Children & Families,Education Schools/DSG,Revenue Expenditure,04/12/2024,ADVENTURE IN LEARNING LTD,9272359,revenue,1E25R,AP Inclusion Panel,#N/A,,1536.00
Children & Families,Education Schools/DSG,Revenue Expenditure,04/12/2024,ADVENTURE IN LEARNING LTD,9272360,revenue,1E25R,AP Inclusion Panel,#N/A,,1408.00
Children & Families,Education Schools/DSG,Revenue Expenditure,17/12/2024,ADVENTURE IN LEARNING LTD,9283500,revenue,1E25R,AP Inclusion Panel,#N/A,,1536.00
Children & Families,Education Schools/DSG,Revenue Expenditure,17/12/2024,ADVENTURE IN LEARNING LTD,9283505,revenue,1E25R,AP Inclusion Panel,#N/A,,1024.00
Children & Families,Education Schools/DSG,Revenue Expenditure,17/12/2024,ADVENTURE IN LEARNING LTD,9283506,revenue,1E25R,AP Inclusion Panel,#N/A,,1024.00
Children & Families,Education Schools/DSG,Revenue Expenditure,17/12/2024,ADVENTURE IN LEARNING LTD,9283507,revenue,1E25R,AP Inclusion Panel,#N/A,,1536.00
Children & Families,Education Schools/DSG,Revenue Expenditure,17/12/2024,ADVENTURE IN LEARNING LTD,9283509,revenue,1E25R,AP Inclusion Panel,#N/A,,1024.00
Children & Families,Children's Social Care,Revenue Expenditure,20/12/2024,ADVOCATE RESIDENTIAL,9287002,revenue,1MC02,External Residential Placement,#N/A,,39200.00
Children & Families,Children's Social Care,Revenue Expenditure,02/12/2024,ADVOCATE RESIDENTIAL,9270099,revenue,1MC02,External Residential Placement,#N/A,,39200.00
Operations & Regulatory Services ,Operations,Revenue Expenditure,05/12/2024,AEBI SCHMIDT UK LTD,9256087,revenue,3KES1,City Transport Stock,#N/A,,631.07
Operations & Regulatory Services ,Operations,Revenue Expenditure,20/12/2024,AEBI SCHMIDT UK LTD,9267030,revenue,3KES1,City Transport Stock,#N/A,,929.57
Operations & Regulatory Services ,Operations,Revenue Expenditure,17/12/2024,AEBI SCHMIDT UK LTD,9279395,revenue,3KES1,City Transport Stock,#N/A,,481.00
Operations & Regulatory Services ,Operations,Revenue Expenditure,13/12/2024,AEBI SCHMIDT UK LTD,9264390,revenue,3KES1,City Transport Stock,#N/A,,828.10
Operations & Regulatory Services ,Operations,Revenue Expenditure,13/12/2024,AEBI SCHMIDT UK LTD,9262995,revenue,3KES1,City Transport Stock,#N/A,,596.84
Operations & Regulatory Services ,Operations,Revenue Expenditure,27/12/2024,AEBI SCHMIDT UK LTD,9271677,revenue,3KES1,City Transport Stock,#N/A,,687.56
Operations & Regulatory Services ,Operations,Revenue Expenditure,27/12/2024,AEBI SCHMIDT UK LTD,9274028,revenue,3KES1,City Transport Stock,#N/A,,856.02
Operations & Regulatory Services ,Operations,Revenue Expenditure,27/12/2024,AEBI SCHMIDT UK LTD,9271679,revenue,3KES1,City Transport Stock,#N/A,,327.66
Operations & Regulatory Services ,Operations,Revenue Expenditure,27/12/2024,AEBI SCHMIDT UK LTD,9271678,revenue,3KES1,City Transport Stock,#N/A,,514.01
Operations & Regulatory Services ,Operations,Revenue Expenditure,27/12/2024,AEBI SCHMIDT UK LTD,9273090,revenue,3KES1,City Transport Stock,#N/A,,702.41
Operations & Regulatory Services ,Operations,Revenue Expenditure,11/12/2024,AEBI SCHMIDT UK LTD,9258998,revenue,3KES1,City Transport Stock,#N/A,,1210.85
Investment & Growth,Transport,Capital Expenditure,10/12/2024,AF INSTALLATION SERVICES LTD,9276849,Capital,2CAPI,Capital Investment,DXXTC,ITS Coast Road Extension,360.14
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,18/12/2024,AGGREKO UK LTD,9272549,revenue,1CC52,Outer West Library Hub,#N/A,,3492.96
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,13/12/2024,AGROVISTA UK LTD,9280919,revenue,1KEHA,Arbor Team,#N/A,,1350.40
Children & Families,Education Schools/DSG,Revenue Expenditure,12/12/2024,AIM QUALIFICATIONS AND ASSESSMENT GROUP,9277926,revenue,1E245,Sensory Service VI,#N/A,,324.00
Children & Families,Education Schools/DSG,Revenue Expenditure,27/12/2024,AIM QUALIFICATIONS AND ASSESSMENT GROUP,9280220,revenue,1E245,Sensory Service VI,#N/A,,700.00
Housing & Communities,Fairer Housing Unit,Revenue Expenditure,31/12/2024,AIMRANGE (N.E.) LTD,9280493,revenue,1VH17,Brownfield Hsing Development,#N/A,,1912.50
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,27/12/2024,AIR DESIGN SYSTEMS LTD,9272554,revenue,1KE1A,Wentworth Pl & Cherry Tree R&M,#N/A,,850.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,06/12/2024,AJAY MANAGEMENT SERVICES LTD,9268055,revenue,1KVWC,Minor Works Contracts,#N/A,,1550.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,06/12/2024,AJAY MANAGEMENT SERVICES LTD,9268056,revenue,1KVWC,Minor Works Contracts,#N/A,,1625.00
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,12/12/2024,AKW MEDI-CARE LTD,9269989,revenue,1KR12,DDA,#N/A,,317.32
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,19/12/2024,AKW MEDI-CARE LTD,9264699,revenue,1KR12,DDA,#N/A,,638.33
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,24/12/2024,AKW MEDI-CARE LTD,9280415,revenue,1KR12,DDA,#N/A,,327.35
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,20/12/2024,AKW MEDI-CARE LTD,9270277,revenue,1KR12,DDA,#N/A,,583.36
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,20/12/2024,AKW MEDI-CARE LTD,9278262,revenue,1KR12,DDA,#N/A,,265.60
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,30/12/2024,AKW MEDI-CARE LTD,9290315,revenue,1KR20,M&E Electrical,#N/A,,316.70
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,30/12/2024,AKW MEDI-CARE LTD,9290315,revenue,1KR12,DDA,#N/A,,226.57
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,17/12/2024,AKW MEDI-CARE LTD,9248328,revenue,1KR12,DDA,#N/A,,5366.28
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,17/12/2024,AKW MEDI-CARE LTD,9248329,revenue,1KR12,DDA,#N/A,,1489.30
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,16/12/2024,AKW MEDI-CARE LTD,9233145,revenue,1KR12,DDA,#N/A,,330.84
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,18/12/2024,AKW MEDI-CARE LTD,9262888,revenue,1KR12,DDA,#N/A,,533.76
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,18/12/2024,AKW MEDI-CARE LTD,9284002,revenue,1KR12,DDA,#N/A,,327.35
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,13/12/2024,AKW MEDI-CARE LTD,9264054,revenue,1KR12,DDA,#N/A,,327.35
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,27/12/2024,AKW MEDI-CARE LTD,9283994,revenue,1KR12,DDA,#N/A,,327.35
Investment & Growth,"Museums, Arts and Culture",Revenue Expenditure,11/12/2024,ALAN HILLARY EVENTS LTD,9279470,revenue,1KE92,Christmas Lights,#N/A,,8910.50
Investment & Growth,"Museums, Arts and Culture",Revenue Expenditure,11/12/2024,ALAN HILLARY EVENTS LTD,9279471,revenue,1KE92,Christmas Lights,#N/A,,1600.00
"City Ops, Nghbrhds & Reg Srvcs",Democratic Services,Revenue Expenditure,12/12/2024,ALAN HILLARY EVENTS LTD,9280430,revenue,1FN01,Lord Mayors Secretariat,#N/A,,14780.00
"City Ops, Nghbrhds & Reg Srvcs",Democratic Services,Revenue Expenditure,27/12/2024,ALAN HILLARY EVENTS LTD,9283437,revenue,1FN01,Lord Mayors Secretariat,#N/A,,1600.00
Corporate Budgets,Commercial Dev & Property,Revenue Expenditure,06/12/2024,ALAN HOLMES BUILDING SURVEYING SERVICES,9264514,revenue,1DZ15,St Anthonys Road Walker,#N/A,,450.00
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,27/12/2024,ALARM SUPPLIES SCOTLAND LTD,9280484,revenue,1KJ42,Security Consultancy,#N/A,,2317.28
Adult Social Care & Prevention,Community Support,Revenue Expenditure,17/12/2024,ALBANY HOUSE  (WHITLEY BAY),9283850,revenue,1MM20,Residential Care MH,#N/A,,2770.12
Adult Social Care & Prevention,Community Support,Revenue Expenditure,03/12/2024,ALBANY HOUSE  (WHITLEY BAY),9271567,revenue,1MM20,Residential Care MH,#N/A,,2770.12
Operations & Regulatory Services ,Operations,Revenue Expenditure,11/12/2024,ALBANY MOTORS,9258190,revenue,3KES1,City Transport Stock,#N/A,,326.75
Children & Families,Children's Social Care,Revenue Expenditure,13/12/2024,ALBANY OFFICE FURNITURE SOLUTIONS,9275806,revenue,1MB05,Children With Disabilities,#N/A,,398.00
Children & Families,Early Help and Family Support,Revenue Expenditure,06/12/2024,ALBANY OFFICE FURNITURE SOLUTIONS,9264524,revenue,1EEG9,C&FN North,#N/A,,500.00
Children & Families,Early Help and Family Support,Revenue Expenditure,30/12/2024,ALBANY OFFICE FURNITURE SOLUTIONS,9291653,revenue,1EEG5,C&FN Outer West,#N/A,,890.00
Housing & Communities,Head Housing Services,Revenue Expenditure,20/12/2024,ALBANY OFFICE FURNITURE SOLUTIONS,9280407,revenue,1BH04,Tenancy Mgmt Team,#N/A,,3840.00
"City Ops, Nghbrhds & Reg Srvcs",Democratic Services,Revenue Income,04/12/2024,ALBERT KENNEDY TRUST OUTPOST,9272483,revenue,1FN03,Lord Mayors Charities,#N/A,,1000.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,13/12/2024,ALCIUM SOFTWARE,9272758,revenue,1KEYZ,BEST 2 Project,#N/A,,450.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,17/12/2024,ALDERWOOD,9283789,revenue,1MM10,Nursing Care MH,#N/A,,6158.76
Adult Social Care & Prevention,Community Support,Revenue Expenditure,03/12/2024,ALDERWOOD,9271616,revenue,1MM10,Nursing Care MH,#N/A,,6158.76
Adult Social Care & Prevention,Community Support,Revenue Income,17/12/2024,ALDERWOOD,9283789,revenue,1MM10,Nursing Care MH,#N/A,,-432.20
Adult Social Care & Prevention,Community Support,Revenue Income,03/12/2024,ALDERWOOD,9271616,revenue,1MM10,Nursing Care MH,#N/A,,-432.20
Children & Families,Children's Social Care,Revenue Expenditure,20/12/2024,ALEXANDERS HOUSE LTD,9287006,revenue,1MC02,External Residential Placement,#N/A,,19200.00
Children & Families,Children's Social Care,Revenue Expenditure,02/12/2024,ALEXANDERS HOUSE LTD,9270103,revenue,1MC02,External Residential Placement,#N/A,,19200.00
Children & Families,Children's Social Care,Revenue Expenditure,11/12/2024,ALHAYAT ASSET MANAGEMENT,9279753,revenue,1MD67,S17 Children in Need,#N/A,,500.00
Children & Families,Children's Social Care,Revenue Expenditure,11/12/2024,ALHAYAT ASSET MANAGEMENT,9279754,revenue,1MD67,S17 Children in Need,#N/A,,500.00
Children & Families,Children's Social Care,Revenue Expenditure,11/12/2024,ALHAYAT ASSET MANAGEMENT,9279756,revenue,1MD67,S17 Children in Need,#N/A,,500.00
