Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Capital Code,Capital Code Name,Total (excludes VAT)
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,31/01/2025,ADT FIRE & SECURITY,9315125,revenue,1KE1A,Wentworth Pl & Cherry Tree R&M,#N/A,,1512.51
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,31/01/2025,ADT FIRE & SECURITY,9315144,revenue,1KE1K,Welford Day Centre R&M,#N/A,,1071.27
Corporate Budgets,Commercial Dev & Property,Revenue Expenditure,31/01/2025,ADT FIRE & SECURITY,9315188,revenue,1DR03,Grainger Market,#N/A,,2221.95
Corporate Budgets,Commercial Dev & Property,Revenue Expenditure,31/01/2025,ADT FIRE & SECURITY,9315190,revenue,1KKX1,Civic Centre Direct Costs,#N/A,,1513.99
Corporate Budgets,Commercial Dev & Property,Revenue Expenditure,31/01/2025,ADT FIRE & SECURITY,9315191,revenue,1KKX1,Civic Centre Direct Costs,#N/A,,1646.10
Deputy Chief Executive,Education & Skills Services,Revenue Expenditure,31/01/2025,ADT FIRE & SECURITY,9315143,revenue,1EA04,Heaton ASB,#N/A,,2379.55
HRA Expenditure,Special Services,Revenue Expenditure,31/01/2025,ADT FIRE & SECURITY,9315124,revenue,1HP01,Comm. Centres - Citywide,#N/A,,1329.19
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,10/01/2025,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,9298545,revenue,1CM00,IT Management & Admin,#N/A,,31915.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,10/01/2025,ADVANCED RENEWABLE POWER LTD,9292448,revenue,1KVEE,Electrical Stand Alone Works,#N/A,,1275.00
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,10/01/2025,ADVANCED TOTAL SUPPLIES LTD,9290765,revenue,1KQ20,NFS Commercial Solutions,#N/A,,2860.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,22/01/2025,ADVANCED TOTAL SUPPLIES LTD,9290766,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,9408.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,09/01/2025,ADVANCED TOTAL SUPPLIES LTD,9290703,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,9936.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,16/01/2025,ADVANCED TOTAL SUPPLIES LTD,9290757,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,4968.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,16/01/2025,ADVANCED TOTAL SUPPLIES LTD,9290758,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,3360.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,16/01/2025,ADVANCED TOTAL SUPPLIES LTD,9290759,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,672.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,07/01/2025,ADVANCED TOTAL SUPPLIES LTD,9275416,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,8880.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,10/01/2025,ADVANCED TOTAL SUPPLIES LTD,9287357,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,17408.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,27/01/2025,ADVANCED TOTAL SUPPLIES LTD,9275998,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,18288.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,03/01/2025,ADVANCED TOTAL SUPPLIES LTD,9284817,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,9408.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,03/01/2025,ADVANCED TOTAL SUPPLIES LTD,9290657,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,8880.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,28/01/2025,ADVANCED TOTAL SUPPLIES LTD,9311371,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,8000.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,28/01/2025,ADVANCED TOTAL SUPPLIES LTD,9311374,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,16880.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,28/01/2025,ADVANCED TOTAL SUPPLIES LTD,9311372,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,8280.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,28/01/2025,ADVANCED TOTAL SUPPLIES LTD,9311375,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,9936.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,28/01/2025,ADVANCED TOTAL SUPPLIES LTD,9311380,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,9108.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,28/01/2025,ADVANCED TOTAL SUPPLIES LTD,9311381,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,2640.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,28/01/2025,ADVANCED TOTAL SUPPLIES LTD,9311397,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,8880.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,28/01/2025,ADVANCED TOTAL SUPPLIES LTD,9311407,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,8880.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,23/01/2025,ADVANCED WATER TECHNOLOGIES,9303178,revenue,1KR05,District Heating,#N/A,,5023.04
Children & Families,Education Schools/DSG,Revenue Expenditure,17/01/2025,ADVENTURE IN LEARNING LTD,9303532,revenue,1E25R,AP Inclusion Panel,#N/A,,1152.00
