Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,PEGS PRE-SCHOOL,9100748,revenue,1E201,ISB PVI Nurseries,11384.10
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,PEGS PRE-SCHOOL,9100749,revenue,1EEP5,2Yr Old Learning & Childcare,2891.73
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,25/04/2024,PEGS PRE-SCHOOL,9112450,revenue,1E201,ISB PVI Nurseries,678.73
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,16/04/2024,PELE TOWER,9106812,revenue,1MM50,Home Care MH,557.40
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,09/04/2024,PEMBROKE LODGE,9102182,revenue,1MH20,Residential Care PD,4279.36
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,09/04/2024,PEMBROKE LODGE,9102182,revenue,1MM20,Residential Care MH,60514.84
ASC & Integrated Services,Adult Social Care,Revenue Income,09/04/2024,PEMBROKE LODGE,9102182,revenue,1MH20,Residential Care PD,-483.20
ASC & Integrated Services,Adult Social Care,Revenue Income,09/04/2024,PEMBROKE LODGE,9102182,revenue,1MM20,Residential Care MH,-702.40
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,10/04/2024,PENNINGTON CHOICES LTD,9102399,revenue,1KR56,Communal Area & Cyclical Mntce,1224.25
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,10/04/2024,PENNINGTON CHOICES LTD,9102400,revenue,1KR56,Communal Area & Cyclical Mntce,2059.58
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,08/04/2024,PEOPLE PLUS GROUP,9100440,revenue,1MG40,Direct Payments OP,27710.80
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,08/04/2024,PEOPLE PLUS GROUP,9100440,revenue,1MH40,Direct Payments PD,22341.84
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,08/04/2024,PEOPLE PLUS GROUP,9100440,revenue,1MK40,Direct Payments LD,38396.48
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,08/04/2024,PEOPLE PLUS GROUP,9100440,revenue,1MM40,Direct Payments MH,6788.76
ASC & Integrated Services,Adult Social Care,Revenue Income,08/04/2024,PEOPLE PLUS GROUP,9100440,revenue,1MG40,Direct Payments OP,-1407.40
ASC & Integrated Services,Adult Social Care,Revenue Income,08/04/2024,PEOPLE PLUS GROUP,9100440,revenue,1MH40,Direct Payments PD,-1926.16
ASC & Integrated Services,Adult Social Care,Revenue Income,08/04/2024,PEOPLE PLUS GROUP,9100440,revenue,1MM40,Direct Payments MH,-514.84
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,08/04/2024,PEOPLE PLUS GROUP,9100440,revenue,1MD66,CWD Care Packages,16460.92
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,08/04/2024,PEOPLE PLUS GROUP,9088929,revenue,1MD66,CWD Care Packages,290.00
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,08/04/2024,PEOPLE PLUS GROUP,9100440,revenue,1E20P,High Needs Post16 Funding,491.52
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115269,revenue,1MH60,Day Care PD,4542.26
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115248,revenue,1MH60,Day Care PD,2784.50
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115263,revenue,1MH60,Day Care PD,1106.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115274,revenue,1MK20,Residential Care LD,8632.72
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115249,revenue,1MK60,Ind Day Care LD,1073.08
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115252,revenue,1MK60,Ind Day Care LD,1889.30
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115270,revenue,1MK60,Ind Day Care LD,2075.47
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115271,revenue,1MK60,Ind Day Care LD,4633.72
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115272,revenue,1MK60,Ind Day Care LD,4542.26
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115273,revenue,1MK60,Ind Day Care LD,838.86
