Body Name,Service Area Categorisation,Service Area Division,Purpose of Expenditure,Payment Date,Trans No,Amount in £,Capital or Revenue,Beneficiary ID,Beneficiary,Merchant Category
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293187,2589.29,Revenue,503803,Fins Care Ltd t/a St Margarets Rest Home,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293188,2800,Revenue,503803,Fins Care Ltd t/a St Margarets Rest Home,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293189,5761.68,Revenue,503803,Fins Care Ltd t/a St Margarets Rest Home,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293190,5606.93,Revenue,518229,Barchester Healthcare Homes Ltd-Wilsmere Hse,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293190,-738.38,Revenue,518229,Barchester Healthcare Homes Ltd-Wilsmere Hse,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293191,2121.43,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293191,-615.72,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293192,2720,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293192,-752.36,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293193,3771.71,Revenue,522202,Archers Healthcare Ltd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293194,2720,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293194,-1669.36,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293195,2600,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293196,2720,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293197,-693.36,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293197,2700,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293198,2720,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293198,-752.36,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293199,2680,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293200,-822.88,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293200,2680.84,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293201,2700,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293201,-1014.24,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293202,2700,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293202,-691.2,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293203,2700,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293203,-702,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293204,2600,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293204,-701.24,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293205,2600,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293205,-691.2,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293206,-783.2,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293206,2600,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293208,2121.43,Revenue,504319,Anchor Homes (Clayburn Court),Respite Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293210,2700,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293210,-682.52,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293211,-475,Revenue,501532,THE LODGE TRUST,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293211,3244,Revenue,501532,THE LODGE TRUST,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293212,2748,Revenue,522199,Amber Arc Ltd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293212,-1584.92,Revenue,522199,Amber Arc Ltd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293213,-1506.74,Revenue,522199,Amber Arc Ltd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293213,2643.43,Revenue,522199,Amber Arc Ltd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293214,2748,Revenue,522199,Amber Arc Ltd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293214,-1584.92,Revenue,522199,Amber Arc Ltd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293215,2748,Revenue,522199,Amber Arc Ltd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293215,-1584.92,Revenue,522199,Amber Arc Ltd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293216,-742.2,Revenue,501562,Barchester Wood Grange,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293216,2937.76,Revenue,501562,Barchester Wood Grange,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293217,2800,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293218,1879.78,Revenue,501532,THE LODGE TRUST,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293219,2570.64,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293219,-1392.28,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293220,-1041.4,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293220,2700,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293221,3400,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293222,2800,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293222,-616.08,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293224,-972.8,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293224,2800,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293226,5043.68,Revenue,507732,Kemps Place Ltd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293227,4287.84,Revenue,507732,Kemps Place Ltd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293228,4287.84,Revenue,507732,Kemps Place Ltd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293231,2570.64,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293232,1350,Revenue,501506,Redacted Personal Information,Respite Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293233,2680.84,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293233,-1188.28,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293234,-1095.88,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293234,3280.84,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293235,-816.44,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293235,2570.64,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293236,2680.84,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293236,-1188.28,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293237,-1392.28,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293237,2570.64,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293239,3400,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293240,-616.08,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293240,2800,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293241,2570.64,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293242,-972.8,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293242,2800,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293243,3280.84,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293243,-1095.88,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293244,-816.44,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293244,2570.64,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293245,2680.84,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293245,-1188.28,Revenue,501506,Redacted Personal Information,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293246,16092.44,Revenue,509924,CYGNET CARE SERVICES LTD,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293247,17816.63,Revenue,509924,CYGNET CARE SERVICES LTD,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293248,18103.97,Revenue,509924,CYGNET CARE SERVICES LTD,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293249,18707.44,Revenue,509924,CYGNET CARE SERVICES LTD,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293250,5800,Revenue,503803,Fins Care Ltd t/a St Margarets Rest Home,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293251,8596.43,Revenue,503803,Fins Care Ltd t/a St Margarets Rest Home,Respite Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293252,5761.68,Revenue,503803,Fins Care Ltd t/a St Margarets Rest Home,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293253,5800,Revenue,503803,Fins Care Ltd t/a St Margarets Rest Home,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293254,5141.28,Revenue,503803,Fins Care Ltd t/a St Margarets Rest Home,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293255,5141.28,Revenue,503803,Fins Care Ltd t/a St Margarets Rest Home,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293256,5520,Revenue,503803,Fins Care Ltd t/a St Margarets Rest Home,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293257,5600,Revenue,503803,Fins Care Ltd t/a St Margarets Rest Home,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293258,5520,Revenue,503803,Fins Care Ltd t/a St Margarets Rest Home,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293259,5141.28,Revenue,503803,Fins Care Ltd t/a St Margarets Rest Home,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293260,3200,Revenue,511813,RCH Care HomesLLtd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293261,3200,Revenue,511813,RCH Care HomesLLtd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293262,3200,Revenue,511813,RCH Care HomesLLtd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293263,3600,Revenue,511813,RCH Care HomesLLtd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293264,3600,Revenue,511813,RCH Care HomesLLtd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293265,3200,Revenue,511813,RCH Care HomesLLtd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293266,3200,Revenue,511813,RCH Care HomesLLtd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293267,3200,Revenue,511813,RCH Care HomesLLtd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293268,3000,Revenue,511813,RCH Care HomesLLtd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293269,3000,Revenue,511813,RCH Care HomesLLtd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293270,3000,Revenue,511813,RCH Care HomesLLtd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293271,3600,Revenue,511813,RCH Care HomesLLtd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293272,3600,Revenue,511813,RCH Care HomesLLtd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293273,3600,Revenue,511813,RCH Care HomesLLtd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293274,5426.05,Revenue,518229,Barchester Healthcare Homes Ltd-Wilsmere Hse,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293274,-714.55,Revenue,518229,Barchester Healthcare Homes Ltd-Wilsmere Hse,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293275,5426.06,Revenue,518229,Barchester Healthcare Homes Ltd-Wilsmere Hse,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293275,-694.91,Revenue,518229,Barchester Healthcare Homes Ltd-Wilsmere Hse,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293276,-904.6,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293276,2860.84,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293277,-817.6,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293277,3276.84,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293278,-1030.56,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293278,3276.84,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293279,2860.84,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293280,3276.84,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293281,648.11,Revenue,511813,RCH Care HomesLLtd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293282,2860.84,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293282,-747.04,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293283,653.53,Revenue,511813,RCH Care HomesLLtd,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293284,3140.84,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293286,-0.04,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293286,3000.04,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293287,3276.84,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293288,-711.04,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293288,3300,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293289,3276.84,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293290,-807.16,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293290,3000,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293291,3000,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293292,3140.84,Revenue,502344,PHILIA LODGE REST HOME,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293293,3314.28,Revenue,501557,STAR RESIDENTIAL HOME LTD,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293294,2840.84,Revenue,501557,STAR RESIDENTIAL HOME LTD,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293294,-687.6,Revenue,501557,STAR RESIDENTIAL HOME LTD,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293295,3530.44,Revenue,501557,STAR RESIDENTIAL HOME LTD,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293296,-806.92,Revenue,501557,STAR RESIDENTIAL HOME LTD,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293296,2840.84,Revenue,501557,STAR RESIDENTIAL HOME LTD,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293297,3963.24,Revenue,501557,STAR RESIDENTIAL HOME LTD,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293297,-1017.16,Revenue,501557,STAR RESIDENTIAL HOME LTD,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293298,3963.24,Revenue,501557,STAR RESIDENTIAL HOME LTD,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293298,-987.68,Revenue,501557,STAR RESIDENTIAL HOME LTD,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293299,-960.28,Revenue,501557,STAR RESIDENTIAL HOME LTD,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293299,3330.44,Revenue,501557,STAR RESIDENTIAL HOME LTD,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293300,2840.84,Revenue,501557,STAR RESIDENTIAL HOME LTD,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293300,-483,Revenue,501557,STAR RESIDENTIAL HOME LTD,Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293301,2700,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Customer and client receipts - Fees & Charges,45110,8000293301,-1756.94,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293302,2720,Revenue,504319,Anchor Homes (Clayburn Court),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293304,3000,Revenue,505234,THE LAURELS (Nene Valley),Residential Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293305,4635,Revenue,522396,Olive Healthcare Solutions Limited,Home Care
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,45110,8000293307,10514.32,Revenue,502097,Affinity Trust,Home Care
