Body Name,Service Area Categorisation,Service Area Division,Purpose of Expenditure,Payment Date,Trans No,Amount in £,Unrecoverable vat £,Capital or Revenue,Beneficiary ID,Beneficiary,Merchant Category
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310830,2321.43,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310830,-89.29,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310830,267.86,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310830,2321.43,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310830,-89.29,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310830,1500,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310830,13000,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310830,-500,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310830,1500,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310830,13000,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310830,-500,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310900,5935.71,,Revenue,500348,Integrated Services Programme,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310900,0.09,,Revenue,500348,Integrated Services Programme,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310900,5935.71,,Revenue,500348,Integrated Services Programme,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310900,0.09,,Revenue,500348,Integrated Services Programme,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310900,5935.71,,Revenue,500348,Integrated Services Programme,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310900,0.09,,Revenue,500348,Integrated Services Programme,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310900,5935.71,,Revenue,500348,Integrated Services Programme,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310900,0.09,,Revenue,500348,Integrated Services Programme,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310900,8903.57,,Revenue,500348,Integrated Services Programme,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310900,-0.17,,Revenue,500348,Integrated Services Programme,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310900,8903.57,,Revenue,500348,Integrated Services Programme,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310900,-0.17,,Revenue,500348,Integrated Services Programme,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310900,5000,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310900,500,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310900,5000,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310900,500,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310900,29565.73,,Revenue,506405,Arnfield Care Limited,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310900,-0.43,,Revenue,506405,Arnfield Care Limited,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310900,29565.73,,Revenue,506405,Arnfield Care Limited,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310900,-0.43,,Revenue,506405,Arnfield Care Limited,Boarding Out Fees
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,8000311197,3462.53,,Capital,510255,Maplethorpe & Mooney Ltd,Grant Payment
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,8000311199,2752.5,,Capital,509481,MORLEY BUILDING SERVICES LTD,Grant Payment
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,8000311200,10559.86,,Capital,510255,Maplethorpe & Mooney Ltd,Grant Payment
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,8000311203,3078.73,,Capital,510255,Maplethorpe & Mooney Ltd,Grant Payment
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,8000311204,9973.28,,Capital,523104,Westone Housing Ltd,Grant Payment
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,8000311205,4925,,Capital,501100,Premier Mobility (UK) Limited,Grant Payment
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,8000311206,1553,,Capital,501100,Premier Mobility (UK) Limited,Grant Payment
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,8000311207,3782.06,,Capital,524328,MR. BRIGHT'S LTD,Grant Payment
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,8000311208,4011.74,,Capital,523104,Westone Housing Ltd,Grant Payment
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,8000311209,3406.37,,Capital,510255,Maplethorpe & Mooney Ltd,Grant Payment
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,8000311210,3106.81,,Capital,510255,Maplethorpe & Mooney Ltd,Grant Payment
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,8000311211,3793.18,,Capital,510255,Maplethorpe & Mooney Ltd,Grant Payment
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,8000311212,7476.75,,Capital,510255,Maplethorpe & Mooney Ltd,Grant Payment
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,8000311213,3065.74,,Capital,510255,Maplethorpe & Mooney Ltd,Grant Payment
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,8000311214,4862.88,,Capital,510255,Maplethorpe & Mooney Ltd,Grant Payment
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,8000311215,3065.74,,Capital,510255,Maplethorpe & Mooney Ltd,Grant Payment
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,8000311216,6240.14,,Capital,510255,Maplethorpe & Mooney Ltd,Grant Payment
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,8000311217,6164.54,,Capital,510255,Maplethorpe & Mooney Ltd,Grant Payment
Peterborough City Council,Adult Social Care,Home Services Delivery Model,Services,45261,8000311218,1040,,Revenue,502495,Allworks Home Improvements Ltd,Materials
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,8000311221,1020,,Capital,510255,Maplethorpe & Mooney Ltd,Grant Payment
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,8000311222,3181.73,,Capital,510255,Maplethorpe & Mooney Ltd,Grant Payment
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1071.71,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1037.14,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1071.71,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1037.14,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1071.71,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1037.14,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1071.71,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1071.71,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1037.14,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1071.71,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1037.14,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1071.71,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1037.14,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1071.71,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1037.14,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,957.3,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,79.84,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,957.3,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,79.84,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1071.71,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1037.14,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1071.71,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1037.14,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1071.71,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000311258,1037.14,,Revenue,522166,SUPPORTED HOUSING FELLOWSHIP CIC,Boarding Out Fees
Peterborough City Council,Adult Social Care,Block Contracts,Other Establishments,45264,30428114,2108.57,,Revenue,502562,Park Vista Care Homes Limited,Third Party Payments - Contract
Peterborough City Council,Children and Young People,Executive Director of Children's Services,Advertising,45264,30432975,7666.66,,Revenue,503396,Penna Plc,Recruitment Advertising
Peterborough City Council,Children and Young People,Executive Director of Children's Services,Advertising,45264,30432976,6950,,Revenue,503396,Penna Plc,Recruitment Advertising
Peterborough City Council,Adult Social Care,Community Team,Other Establishments,45264,30432979,1039.08,,Revenue,511067,Longhurst Group Limited,Third Party Payments - Contract
Peterborough City Council,Corporate Services,Legal Services,Agency Staff,45264,30433068,1152,,Revenue,501423,Sellick Partnership Limited,External Temporary Staff
Peterborough City Council,Corporate Services,Finance,Agency Staff,45264,30433069,2240,,Revenue,501423,Sellick Partnership Limited,External Temporary Staff
Peterborough City Council,Children and Young People,Short Breaks - In House provision,Interview & Training Expenses,45264,30433086,850,,Revenue,502507,Cambridgeshire County Council,Training
Peterborough City Council,Corporate Services,Performance Managment,Salaries & Wages,45264,30433087,13099,,Revenue,502507,Cambridgeshire County Council,Shared Services Staff Costs
Peterborough City Council,Corporate Services,Bereavement Service,Repair & Maintenance of Buildings,45264,30433506,852,,Revenue,500585,Fenland Stoneworks,Infrastructure
Peterborough City Council,Corporate Services,Corporate Services,Agency Staff,45264,30433508,11200,,Revenue,523178,Eleve HR Limited,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Repair & Maintenance of Buildings,45264,30433797,695,,Revenue,500351,Caterfix Ltd,Maintenance
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Repair & Maintenance of Buildings,45264,30433846,1025,,Revenue,501908,Weightmans LLP,Professional services
Peterborough City Council,Children and Young People,Clare Lodge,Repair & Maintenance of Buildings,45264,30433857,1186,,Revenue,508656,B & H Services Group Ltd,Maintenance
Peterborough City Council,Corporate Services,Finance,Interview & Training Expenses,45264,30433862,3768.94,,Revenue,501434,CIPFA Business Ltd,Training
Peterborough City Council,Corporate,Corporate,Non Revenue,45264,30433869,2383,,Capital,509420,CMS Accommodating People Ltd,Building And Site Works / Bus Passes
Peterborough City Council,Children and Young People,Clare Lodge,Repair & Maintenance of Buildings,45264,30433875,2500,,Revenue,500833,Adcock Refrig/air Conditioning Ltd,Maintenance
Peterborough City Council,Children and Young People,Clare Lodge,Repair & Maintenance of Buildings,45264,30433876,2099.38,,Revenue,500833,Adcock Refrig/air Conditioning Ltd,Maintenance
Peterborough City Council,Corporate Services,Bereavement Service,Repair & Maintenance of Buildings,45264,30434103,754.2,,Revenue,500585,Fenland Stoneworks,Infrastructure
Peterborough City Council,Corporate Services,Legal Services,Services,45264,30434118,3925,,Revenue,524623,No.5 Chambers,Legal Costs
Peterborough City Council,Children and Young People,Short Breaks - one to one support,Services,45264,30434131,564.48,,Revenue,524378,Peartreelifecare Ltd,Purchased Social Care Services
Peterborough City Council,Children and Young People,Short Breaks - one to one support,Services,45264,30434133,564.48,,Revenue,524378,Peartreelifecare Ltd,Purchased Social Care Services
Peterborough City Council,Place & Economy,Growth & Regen AD,Agency Staff,45264,30434260,4125,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Growth & Regen AD,Agency Staff,45264,30434265,3061.32,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Growth & Regen AD,Agency Staff,45264,30434267,2308.86,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Director of Housing,Agency Staff,45264,30434269,717,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Development Management,Agency Staff,45264,30434270,1350.3,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,SEN/Inclusion,Agency Staff,45264,30434271,1462.2,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Regulatory Services,Agency Staff,45264,30434273,1489.08,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Director of Housing,Agency Staff,45264,30434275,899.47,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Director of Housing,Agency Staff,45264,30434277,747.7,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Planning Techinical Services,Agency Staff,45264,30434279,610.74,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Director of Housing,Agency Staff,45264,30434284,753.97,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Director of Housing,Agency Staff,45264,30434286,705.38,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Director of Housing,Agency Staff,45264,30434290,787.83,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,SEN/Inclusion,Agency Staff,45264,30434294,1072.44,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Director of Housing,Agency Staff,45264,30434295,714.78,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,SEN/Inclusion,Agency Staff,45264,30434301,1072.44,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
