Beneficiary,Category/Purpose,Department,     Net value,VAT Value,Gross,Date incurred -Payment Date,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,5314.29,0,5314.29,45223,,
Abbotsford Residential Care Home LT,Rec Cost Ext Non-Vat,Long Term Care,-2869.71,0,-2869.71,45223,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3542.86,0,3542.86,45223,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3875,0,3875,45223,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3985.71,0,3985.71,45223,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4207.14,0,4207.14,45223,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4650,0,4650,45223,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4871.43,0,4871.43,45223,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,5314.29,0,5314.29,45223,,
Abbotsford Residential Care Home LT,Residential Placemnt,Interim Funding,4071.43,0,4071.43,45252,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,5142.85,0,5142.85,45252,,
Abbotsford Residential Care Home LT,Rec Cost Ext Non-Vat,Long Term Care,-2777.15,0,-2777.15,45252,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3428.57,0,3428.57,45252,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3571.43,0,3571.43,45252,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3750,0,3750,45252,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3857.15,0,3857.15,45252,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4071.43,0,4071.43,45252,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4500,0,4500,45252,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4714.28,0,4714.28,45252,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,5142.85,0,5142.85,45252,,
Abbotsford Residential Care Home LT,Residential Placemnt,Interim Funding,4207.14,0,4207.14,45280,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,1714.29,0,1714.29,45280,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,5314.29,0,5314.29,45280,,
Abbotsford Residential Care Home LT,Rec Cost Ext Non-Vat,Long Term Care,-2869.71,0,-2869.71,45280,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3542.86,0,3542.86,45280,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3875,0,3875,45280,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3985.71,0,3985.71,45280,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4207.14,0,4207.14,45280,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4571.43,0,4571.43,45280,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4650,0,4650,45280,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4871.43,0,4871.43,45280,,
ABC Housing,Semi Independent,Leaving Care Placements,578.57,0,578.57,45204,,
ABC Housing,Youth Aid Payments,Leaving Care Placements,128.57,0,128.57,45204,,
ABC Housing,Semi Independent,Leaving Care Placements,1928.57,0,1928.57,45204,,
ABC Housing,Youth Aid Payments,Leaving Care Placements,428.57,0,428.57,45204,,
ABC Housing,Semi Independent,Leaving Care Placements,3214.2,0,3214.2,45204,,
ABC Housing,Semi Independent,Leaving Care Placements,3214.2,0,3214.2,45204,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2142.86,0,2142.86,45209,,
ABC Housing,Foster Payments,Asylum Client Expenditure,1928.57,0,1928.57,45209,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,428.57,0,428.57,45209,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2571.43,0,2571.43,45209,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,428.57,0,428.57,45209,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2571.43,0,2571.43,45209,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,428.57,0,428.57,45209,,
ABC Housing,Foster Payments,Asylum Client Expenditure,3107.1,0,3107.1,45209,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2785.63,0,2785.63,45209,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,428.57,0,428.57,45209,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2785.63,0,2785.63,45209,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,428.57,0,428.57,45209,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2785.63,0,2785.63,45209,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,428.57,0,428.57,45209,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2785.63,0,2785.63,45209,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,428.57,0,428.57,45209,,
ABC Housing,Foster Payments,Asylum Client Expenditure,3214.2,0,3214.2,45209,,
ABC Housing,Foster Payments,Asylum Client Expenditure,1285.72,0,1285.72,45239,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,285.71,0,285.71,45239,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2214.29,0,2214.29,45239,,
ABC Housing,Foster Payments,Asylum Client Expenditure,1992.85,0,1992.85,45239,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,442.86,45239,,
ABC Housing,Foster Payments,Asylum Client Expenditure,1992.85,0,1992.85,45239,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,442.86,45239,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2657.14,0,2657.14,45239,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,442.86,45239,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2657.14,0,2657.14,45239,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,442.86,45239,,
ABC Housing,Foster Payments,Asylum Client Expenditure,3210.71,0,3210.71,45239,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2878.48,0,2878.48,45239,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,442.86,45239,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2878.57,0,2878.57,45239,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,442.86,45239,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2878.57,0,2878.57,45239,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,442.86,45239,,
ABC Housing,Foster Payments,Asylum Client Expenditure,3321.43,0,3321.43,45239,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2878.57,0,2878.57,45239,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,442.86,45239,,
ABC Housing,Semi Independent,Leaving Care Placements,1992.85,0,1992.85,45244,,
ABC Housing,Youth Aid Payments,Leaving Care Placements,442.86,0,442.86,45244,,
ABC Housing,Semi Independent,Leaving Care Placements,3321.43,0,3321.43,45244,,
ABC Housing,Semi Independent,Leaving Care Placements,3321.43,0,3321.43,45244,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2142.86,0,2142.86,45267,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,428.57,0,428.57,45267,,
ABC Housing,Foster Payments,Asylum Client Expenditure,1928.57,0,1928.57,45267,,
ABC Housing,Foster Payments,Asylum Client Expenditure,1928.57,0,1928.57,45267,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,428.57,0,428.57,45267,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2571.43,0,2571.43,45267,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,428.57,0,428.57,45267,,
ABC Housing,Foster Payments,Asylum Client Expenditure,3107.14,0,3107.14,45267,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2785.63,0,2785.63,45267,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,428.57,0,428.57,45267,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,428.57,0,428.57,45267,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2785.72,0,2785.72,45267,,
ABC Housing,Foster Payments,Asylum Client Expenditure,3214.29,0,3214.29,45267,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,428.57,0,428.57,45267,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2785.72,0,2785.72,45267,,
ABC Housing,Youth Aid Payments,Leaving Care Placements,428.57,0,428.57,45267,,
ABC Housing,Semi Independent,Leaving Care Placements,1928.57,0,1928.57,45267,,
ABC Housing,Semi Independent,Leaving Care Placements,3214.2,0,3214.2,45267,,
ABC Housing,Semi Independent,Leaving Care Placements,3214.29,0,3214.29,45267,,
Abracadabra Nursery Ltd,Residential Schools,Early Years SEN Provision,4309.5,0,4309.5,45278,,
Access Independent,Counselling,Freedom Pass & Taxicards,6972.5,1394.5,8367,45237,,
Access Independent,Counselling,Freedom Pass & Taxicards,6895,1379,8274,45244,,
Access Self Storage 1 Limited- Harrow,Misc Supp & Serv Cst,Mental Health  - S75,1012.44,0,1012.44,45216,,
Accesscare Ltd,Supptd Accommodation,Mental Health  - S75,3188.57,0,3188.57,45223,,
Accesscare Ltd,Rec Cost Ext Non-Vat,Mental Health  - S75,-1594.29,0,-1594.29,45223,,
Accesscare Ltd,Supptd Accommodation,Mental Health  - S75,3178.28,0,3178.28,45252,,
Accesscare Ltd,Rec Cost Ext Non-Vat,Mental Health  - S75,-1589.15,0,-1589.15,45252,,
Accesscare Ltd,Supptd Accommodation,Mental Health  - S75,3284.23,0,3284.23,45280,,
Accesscare Ltd,Rec Cost Ext Non-Vat,Mental Health  - S75,-1642.11,0,-1642.11,45280,,
Ace Homecare Services Ltd,Domiciliary Care,Self funders Personalisation - Adult Soc,1931.36,0,1931.36,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,500.48,0,500.48,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,570.28,0,570.28,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,570.28,0,570.28,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,642.71,0,642.71,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,651.24,0,651.24,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,698,0,698,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,732.92,0,732.92,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,895.52,0,895.52,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,977.2,0,977.2,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1058.88,0,1058.88,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1116.8,0,1116.8,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1127.4,0,1127.4,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1442.76,0,1442.76,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1465.8,0,1465.8,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1570.52,0,1570.52,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1628.44,0,1628.44,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1791.77,0,1791.77,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1832.24,0,1832.24,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1954.4,0,1954.4,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2117.04,0,2117.04,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2280.36,0,2280.36,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2605.64,0,2605.64,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2605.64,0,2605.64,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,3071.2,0,3071.2,45211,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,-791.19,0,-791.19,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,521.08,0,521.08,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,570.28,0,570.28,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,651.24,0,651.24,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,698,0,698,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,732.92,0,732.92,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,791.36,0,791.36,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,895.52,0,895.52,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,977.2,0,977.2,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1058.88,0,1058.88,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1058.89,0,1058.89,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1116.8,0,1116.8,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1169.16,0,1169.16,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1442.76,0,1442.76,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1465.8,0,1465.8,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1628.44,0,1628.44,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1791.71,0,1791.71,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1832.24,0,1832.24,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1861.66,0,1861.66,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1954.4,0,1954.4,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2117.04,0,2117.04,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2140.6,0,2140.6,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2280.36,0,2280.36,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2408.11,0,2408.11,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2605.64,0,2605.64,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2792.02,0,2792.02,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,3024.73,0,3024.73,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,3071.2,0,3071.2,45244,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,610.76,0,610.76,45253,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1704.35,0,1704.35,45253,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2373.2,0,2373.2,45253,,
Ace Homecare Services Ltd,Domiciliary Care,Self funders Personalisation - Adult Soc,1931.36,0,1931.36,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,570.28,0,570.28,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,570.28,0,570.28,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,651.24,0,651.24,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,698,0,698,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,732.92,0,732.92,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1058.88,0,1058.88,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1116.8,0,1116.8,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1169.16,0,1169.16,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1195.35,0,1195.35,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1372.96,0,1372.96,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1442.76,0,1442.76,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1465.8,0,1465.8,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1657.58,0,1657.58,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1791.76,0,1791.76,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1844.1,0,1844.1,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1884.6,0,1884.6,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1954.4,0,1954.4,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2117.04,0,2117.04,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2280.36,0,2280.36,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2373.2,0,2373.2,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2605.64,0,2605.64,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,3071.2,0,3071.2,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,3257.56,0,3257.56,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,3358.8,0,3358.8,45272,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,504.95,0,504.95,45278,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,535.5,0,535.5,45278,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,571.15,0,571.15,45278,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,571.15,0,571.15,45278,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,571.15,0,571.15,45278,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,673.2,0,673.2,45278,,
Ace Homecare Services Ltd,Domiciliary Care,Self funders Personalisation - Adult Soc,1310.57,0,1310.57,45281,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,942.3,0,942.3,45281,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1221.67,0,1221.67,45281,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2280.36,0,2280.36,45281,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2280.36,0,2280.36,45281,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4225.52,0,4225.52,45223,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,-973,45223,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4436.81,0,4436.81,45223,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,-973,45223,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4436.81,0,4436.81,45223,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,-973,45223,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4133.86,0,4133.86,45223,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-596.36,0,-596.36,45223,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4570.77,0,4570.77,45223,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,-973,45223,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4570.77,0,4570.77,45223,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,-973,45223,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6200,0,6200,45223,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-1240,0,-1240,45223,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6342.2,0,6342.2,45223,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,-973,45223,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6730.14,0,6730.14,45223,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,-973,45223,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6791.3,0,6791.3,45223,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,-973,45223,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4089.22,0,4089.22,45252,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-941.62,0,-941.62,45252,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4293.68,0,4293.68,45252,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-941.62,0,-941.62,45252,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4293.68,0,4293.68,45252,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-941.62,0,-941.62,45252,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4423.33,0,4423.33,45252,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-941.62,0,-941.62,45252,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4423.33,0,4423.33,45252,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-941.62,0,-941.62,45252,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6000,0,6000,45252,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-1200,0,-1200,45252,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6137.62,0,6137.62,45252,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-941.62,0,-941.62,45252,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6513.05,0,6513.05,45252,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-941.62,0,-941.62,45252,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6572.23,0,6572.23,45252,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-941.62,0,-941.62,45252,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,18276,0,18276,45252,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,-9138,0,-9138,45252,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-1318.26,0,-1318.26,45252,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,9482.15,0,9482.15,45252,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-1412.42,0,-1412.42,45252,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,15631.31,0,15631.31,45252,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-2259.88,0,-2259.88,45252,,
