Beneficiary,Category/Purpose,Department,Net value,VAT Value,Gross,Date incurred -Payment Date
A&R Educational Services Ltd,Consultants Fees,Harrow Schools Standards & Effectivenes,1610,322,1932,45126
A&R Educational Services Ltd,Consultants Fees,Harrow Schools Standards & Effectivenes,23,0,23,45126
A&R Educational Services Ltd,Consultants Fees,Harrow Schools Standards & Effectivenes,3842,768.4,4610.4,45189
A&R Educational Services Ltd,Consultants Fees,Harrow Schools Standards & Effectivenes,758,151.6,909.6,45189
A.R.C.S Environmental Ltd,Landld Rprs Exit Cts,Cap - Housing,600,120,720,45134
A.R.C.S Environmental Ltd,Landld Rprs Exit Cts,Cap - Housing,700,140,840,45134
A.R.C.S Environmental Ltd,Misc Supp & Serv Cst,Cap - Housing,1000,200,1200,45145
A.R.C.S Environmental Ltd,Misc Supp & Serv Cst,Cap - Housing,1200,240,1440,45187
A.R.C.S Environmental Ltd,Misc Supp & Serv Cst,Cap - Housing,1800,360,2160,45145
A.R.C.S Environmental Ltd,Misc Supp & Serv Cst,Cap - Housing,1900,380,2280,45145
A.R.C.S Environmental Ltd,Misc Supp & Serv Cst,Cap - Housing,2000,400,2400,45187
A.R.C.S Environmental Ltd,Misc Supp & Serv Cst,Cap - Housing,3650,730,4380,45145
A2Z Home Care Services Ltd,Domiciliary Care,Personalisation,522.15,0,522.15,45120
A2Z Home Care Services Ltd,Domiciliary Care,Personalisation,1152,0,1152,45152
A2Z Home Care Services Ltd,Domiciliary Care,Personalisation,1152,0,1152,45176
Abbey Healthcare Ltd,Nursing Care,Long Term Care,906,0,906,45180
Abbey Healthcare Ltd,Nursing Care,Long Term Care,906,0,906,45180
Abbey Healthcare Ltd,Nursing Care,Long Term Care,6200,0,6200,45131
Abbey Healthcare Ltd,Nursing Care,Long Term Care,6200,0,6200,45162
Abbey Healthcare Ltd,Rec Cost Ext Non-Vat,Long Term Care,-3100,0,-3100,45131
Abbey Healthcare Ltd,Rec Cost Ext Non-Vat,Long Term Care,-3100,0,-3100,45162
Abbey Healthcare Ltd,Nursing Care,Long Term Care,6180,0,6180,45191
Abbey Healthcare Ltd,Rec Cost Ext Non-Vat,Long Term Care,-3000,0,-3000,45191
Abbey Healthcare Ltd,Nursing Care,Long Term Care,6200,0,6200,45131
Abbey Healthcare Ltd,Nursing Care,Long Term Care,6200,0,6200,45162
Abbey Healthcare Ltd,Rec Cost Ext Non-Vat,Long Term Care,-1178,0,-1178,45131
Abbey Healthcare Ltd,Rec Cost Ext Non-Vat,Long Term Care,-1178,0,-1178,45162
Abbey Healthcare Ltd,Nursing Care,Long Term Care,6180,0,6180,45191
Abbey Healthcare Ltd,Rec Cost Ext Non-Vat,Long Term Care,-1140,0,-1140,45191
Abbey Ravenscroft Park Ltd,Nursing Care,Long Term Care,60671.98,0,60671.98,45153
Abbey Ravenscroft Park Ltd,Rec Cost Ext Non-Vat,Long Term Care,-10502.3,0,-10502.3,45153
Abbots Park Managment Company Limit,Other Professionals,Investment Properties Project,1646.37,329.274,1975.6439999999998,45124
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,-3035.71,0,-3035.71,45191
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3428.57,0,3428.57,45191
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,7542.86,0,7542.86,45191
Abbotsford Residential Care Home LT,Rec Cost Ext Non-Vat,Long Term Care,-4073.14,0,-4073.14,45191
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3542.85,0,3542.85,45162
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3542.86,0,3542.86,45131
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3750,0,3750,45191
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3764.28,0,3764.28,45162
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3764.29,0,3764.29,45131
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3857.14,0,3857.14,45191
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3875,0,3875,45131
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3875,0,3875,45162
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3985.71,0,3985.71,45131
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3985.72,0,3985.72,45162
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4071.43,0,4071.43,45191
Abbotsford Residential Care Home LT,Residential Placemnt,Interim Funding,4071.43,0,4071.43,45191
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4207.14,0,4207.14,45131
Abbotsford Residential Care Home LT,Residential Placemnt,Interim Funding,4207.14,0,4207.14,45131
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4207.15,0,4207.15,45162
Abbotsford Residential Care Home LT,Residential Placemnt,Interim Funding,4207.15,0,4207.15,45162
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4500,0,4500,45191
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4650,0,4650,45131
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4650,0,4650,45162
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4714.29,0,4714.29,45191
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4871.43,0,4871.43,45131
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4871.43,0,4871.43,45162
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,5142.86,0,5142.86,45191
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,5314.28,0,5314.28,45162
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,15771.43,0,15771.43,45131
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,7200,0,7200,45131
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,25571.43,0,25571.43,45131
ABC Housing,Semi Independent,Childrens Placements,1071.4,0,1071.4,45114
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,271.43,0,271.43,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,814.23,0,814.23,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,1785.72,0,1785.72,45176
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,400,0,400,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,1800,0,1800,45176
ABC Housing,Semi Independent,Leaving Care Placements,2249.94,0,2249.94,45114
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,285.72,0,285.72,45114
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,142.85,0,142.85,45114
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,428.57,0,428.57,45114
ABC Housing,Foster Payments,Asylum Client Expenditure,857.15,0,857.15,45114
ABC Housing,Foster Payments,Asylum Client Expenditure,1714.28,0,1714.28,45114
ABC Housing,Foster Payments,Asylum Client Expenditure,2571.43,0,2571.43,45114
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.85,0,442.85,45176
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,442.86,45176
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.85,0,442.85,45176
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,442.86,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,2657.15,0,2657.15,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,2657.14,0,2657.14,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,2657.15,0,2657.15,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,2657.14,0,2657.14,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,3107.1,0,3107.1,45114
ABC Housing,Foster Payments,Asylum Client Expenditure,2278.57,0,2278.57,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,932.1,0,932.1,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,3210.67,0,3210.67,45176
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,428.57,0,428.57,45114
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,428.57,0,428.57,45114
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,428.57,0,428.57,45114
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,428.57,0,428.57,45114
ABC Housing,Semi Independent,Leaving Care Placements,3214.2,0,3214.2,45114
ABC Housing,Semi Independent,Leaving Care Placements,3214.2,0,3214.2,45114
ABC Housing,Foster Payments,Asylum Client Expenditure,2785.63,0,2785.63,45114
ABC Housing,Foster Payments,Asylum Client Expenditure,2785.63,0,2785.63,45114
ABC Housing,Foster Payments,Asylum Client Expenditure,3214.2,0,3214.2,45114
ABC Housing,Foster Payments,Asylum Client Expenditure,2785.63,0,2785.63,45114
ABC Housing,Foster Payments,Asylum Client Expenditure,2785.63,0,2785.63,45114
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,442.86,45114
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,28.57,0,28.57,45176
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,414.28,0,414.28,45176
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,442.86,45176
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.85,0,442.85,45176
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,442.86,45176
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.85,0,442.85,45176
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,442.86,45176
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,385.71,0,385.71,45176
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,57.14,0,57.14,45176
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,442.86,45176
ABC Housing,Semi Independent,Leaving Care Placements,3321.34,0,3321.34,45177
ABC Housing,Semi Independent,Leaving Care Placements,3321.34,0,3321.34,45177
ABC Housing,Semi Independent,Leaving Care Placements,3321.34,0,3321.34,45177
ABC Housing,Semi Independent,Leaving Care Placements,3321.34,0,3321.34,45177
ABC Housing,Foster Payments,Asylum Client Expenditure,2878.48,0,2878.48,45114
ABC Housing,Foster Payments,Asylum Client Expenditure,2692.85,0,2692.85,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,185.64,0,185.64,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,2878.48,0,2878.48,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,2878.49,0,2878.49,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,2878.48,0,2878.48,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,2878.49,0,2878.49,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,2878.48,0,2878.48,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,3321.34,0,3321.34,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,3321.34,0,3321.34,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,371.43,0,371.43,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,2507.06,0,2507.06,45176
ABC Housing,Foster Payments,Asylum Client Expenditure,2878.48,0,2878.48,45176
Aberla Energy Ltd,Build Maint Exit Cst,Cap - Environment,42260.68,8452.136,50712.816,45183
Abiding Limited,Semi Independent,Childrens Placements,7386.86,0,7386.86,45114
AC Education,Other Professionals,CLA Pupil Premium Grant,550,110,660,45188
Access Automation,Landld Rprs Exit Cts,Cap - Housing,6719,1343.8,8062.8,45147
Access Independent,Counselling,Freedom Pass & Taxicards,6116,1223.2,7339.2,45183
Access Independent,Consultants Fees,Freedom Pass & Taxicards,6381,1276.2,7657.2,45120
Access Independent,Counselling,Freedom Pass & Taxicards,7990,1598,9588,45154
Access Independent,Consultants Fees,Freedom Pass & Taxicards,8089,1617.8,9706.8,45173
Access Skills,Staff training - Gen,In House Provided Services Management,1475,295,1770,45173
Access Systems UK Ltd,Grants and Subscript,Cashiers Services,12700,2540,15240,45159
Access UK Ltd,Computer Software,Mosaic Team,193288.2,38657.64,231945.84000000003,45124
AccessAble,Other Agencies,Workforce Equalities,9050,1810,10860,45184
Accesscare Ltd,Supptd Accommodation,Mental Health  - S75,3085.71,0,3085.71,45191
Accesscare Ltd,Rec Cost Ext Non-Vat,Mental Health  - S75,-1542.86,0,-1542.86,45191
Accesscare Ltd,Supptd Accommodation,Mental Health  - S75,6171.43,0,6171.43,45183
Accesscare Ltd,Rec Cost Ext Non-Vat,Mental Health  - S75,-3085.71,0,-3085.71,45183
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,500.48,0,500.48,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,523.5,0,523.5,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,542.48,0,542.48,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,542.48,0,542.48,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,542.48,0,542.48,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,542.48,0,542.48,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,553.14,0,553.14,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,570.28,0,570.28,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,570.28,0,570.28,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,608.83,0,608.83,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,619.52,0,619.52,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,619.52,0,619.52,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,651.24,0,651.24,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,651.24,0,651.24,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,664,0,664,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,664,0,664,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,697.2,0,697.2,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,698,0,698,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,703.62,0,703.62,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,732.92,0,732.92,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,774.88,0,774.88,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,774.88,0,774.88,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,774.88,0,774.88,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,774.88,0,774.88,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,774.88,0,774.88,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,774.88,0,774.88,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,799.42,0,799.42,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,851.92,0,851.92,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,851.92,0,851.92,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,929.6,0,929.6,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,929.6,0,929.6,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,929.6,0,929.6,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,929.6,0,929.6,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,929.6,0,929.6,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,929.6,0,929.6,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,932.94,0,932.94,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,977.2,0,977.2,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,980.69,0,980.69,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1007.28,0,1007.28,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1007.28,0,1007.28,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1029.2,0,1029.2,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1058.88,0,1058.88,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1062.4,0,1062.4,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1062.4,0,1062.4,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1116.8,0,1116.8,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1306.08,0,1306.08,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1338.06,0,1338.06,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1372.48,0,1372.48,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1372.48,0,1372.48,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1394.4,0,1394.4,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1394.4,0,1394.4,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1442.76,0,1442.76,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1448.35,0,1448.35,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1449.52,0,1449.52,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1510.82,0,1510.82,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1517.9,0,1517.9,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1549.12,0,1549.12,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1549.12,0,1549.12,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1628.44,0,1628.44,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1748.64,0,1748.64,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1832.24,0,1832.24,45184
Ace Homecare Services Ltd,Domiciliary Care,Self funders Personalisation - Adult Soc,1837.28,0,1837.28,45127
Ace Homecare Services Ltd,Domiciliary Care,Self funders Personalisation - Adult Soc,1837.28,0,1837.28,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1859.2,0,1859.2,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1859.2,0,1859.2,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1931.2,0,1931.2,45184
Ace Homecare Services Ltd,Domiciliary Care,Self funders Personalisation - Adult Soc,1931.36,0,1931.36,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1954.4,0,1954.4,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2013.92,0,2013.92,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2013.92,0,2013.92,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2013.92,0,2013.92,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2013.92,0,2013.92,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2091.81,0,2091.81,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2117.04,0,2117.04,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2169.28,0,2169.28,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2178.14,0,2178.14,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2280.36,0,2280.36,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2324,0,2324,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2324,0,2324,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2401.68,0,2401.68,45166
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2401.68,0,2401.68,45166
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2478.72,0,2478.72,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2478.72,0,2478.72,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2478.72,0,2478.72,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2478.72,0,2478.72,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2478.72,0,2478.72,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2478.72,0,2478.72,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2605.64,0,2605.64,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2605.64,0,2605.64,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2921.6,0,2921.6,45127
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2921.6,0,2921.6,45154
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,3071.2,0,3071.2,45184
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,3253.6,0,3253.6,45154
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,-2205.91,0,-2205.91,45162
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,282.49,0,282.49,45162
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,1029.17,0,1029.17,45180
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,1029.17,0,1029.17,45180
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4089.21,0,4089.21,45191
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-941.61,0,-941.61,45191
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4225.52,0,4225.52,45131
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4225.52,0,4225.52,45131
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4225.52,0,4225.52,45131
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4225.52,0,4225.52,45162
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4225.52,0,4225.52,45162
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4225.52,0,4225.52,45162
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,-973,45131
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,-973,45131
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,-973,45131
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,-973,45162
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,-973,45162
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,-973,45162
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4293.69,0,4293.69,45191
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4293.69,0,4293.69,45191
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-941.61,0,-941.61,45191
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-941.61,0,-941.61,45191
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4423.33,0,4423.33,45191
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4423.33,0,4423.33,45191
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-941.61,0,-941.61,45191
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-941.61,0,-941.61,45191
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4124.92,0,4124.92,45191
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-596.35,0,-596.35,45191
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4570.77,0,4570.77,45131
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4570.77,0,4570.77,45131
