Updated Beneficiary,Category/Purpose,Department,Net value,VAT Value,Gross,Date incurred -Payment Date
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1859.38,0,1859.38,45034
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2921.6,0,2921.6,45057
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2921.6,0,2921.6,45070
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,918.47,0,918.47,45078
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2921.6,0,2921.6,45098
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,7423.67,0,7423.67,45037
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6836.39,0,6836.39,45069
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-896.53,0,-896.53,45037
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-1018.08,0,-1018.08,45069
Acer Healthcare Operations Limited,Respite Costs,Long Term Care,10044.57,0,10044.57,45100
Achieve Together Limited,Residential Placemnt,Working Together - Learning Disability,12791.74,0,12791.74,45037
Achieve Together Limited,Residential Placemnt,Working Together - Learning Disability,13218.13,0,13218.13,45069
Achieve Together Limited,Residential Placemnt,Working Together - Learning Disability,12791.75,0,12791.75,45100
Achieve Together Limited,Supptd Accommodation,Working Together - Learning Disability,8501.7,0,8501.7,45037
Achieve Together Limited,Supptd Accommodation,Working Together - Learning Disability,8785.09,0,8785.09,45069
Achieve Together Limited,Supptd Accommodation,Working Together - Learning Disability,8501.7,0,8501.7,45100
Achieve with Autism Consultancy Ltd,Residential Schools,DSG Prov For Therapy Serv,550,0,550,45082
Acorn Care & Education Ltd,Consultants Fees,Ind Residential Day School Placement,133059.67,25808.57,158868.24,45076
Acorn Care & Education Ltd,Consultants Fees,Ind Residential Day School Placement,127885.99,25577.2,153463.19,45089
Acorn Care & Education Ltd,Consultants Fees,Ind Residential Day School Placement,215951.44,43459.56,259411,45097
Acorn Care & Education Ltd,Consultants Fees,Ind Residential Day School Placement,48583.71,9376.33,57960.04,45105
Acorn Care & Education Ltd,Consultants Fees,TU - FE Colleges,48000,9600,57600,45037
Acorn Homes UK Limited,Residential Placemnt,Childrens Placements,20371.34,0,20371.34,45022
Acorn Homes UK Limited,Residential Placemnt,Childrens Placements,19714.2,0,19714.2,45062
ACORN MONTESSORI SCHOOL,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,29935.8,0,29935.8,45089
Acquah Lodge,Consultants Fees,P-DSG Transport Educ - Ops,4620,0,4620,45027
Acquah Lodge,Consultants Fees,P-DSG Transport Educ - Ops,1420,0,1420,45061
Acquah Lodge,Consultants Fees,P-DSG Transport Educ - Ops,540,0,540,45069
Acquah Lodge,Consultants Fees,P-DSG Transport Educ - Ops,3580,0,3580,45090
Acquah Lodge,Rec Cost Ext Non-Vat,Working Together - Learning Disability,-120134.46,0,-120134.46,45100
Acquah Lodge,Supptd Accommodation,Working Together - Learning Disability,11241.43,0,11241.43,45037
Acquah Lodge,Supptd Accommodation,Working Together - Learning Disability,36499.98,0,36499.98,45069
Acquah Lodge,Supptd Accommodation,Working Together - Learning Disability,251902.15,0,251902.15,45100
ACRYLIC DESIGN WATFORD LTD,Private Contractors,Cap - Environment,665.5,133.1,798.6,45089
Active Prospects,Supptd Accommodation,Working Together - Learning Disability,12365.83,0,12365.83,45037
Active Prospects,Supptd Accommodation,Working Together - Learning Disability,12778.02,0,12778.02,45069
Active Prospects,Supptd Accommodation,Working Together - Learning Disability,12365.83,0,12365.83,45100
Active Young People Ltd,Residential Schools,Other LA Special Schools,350,0,350,45019
Active Young People Ltd,Residential Schools,Other LA Special Schools,7175,0,7175,45047
Activetime Day Nursery Ltd,Private Nurseries,2 year old offer,3383.88,0,3383.88,45085
Activetime Day Nursery Ltd,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,27070.2,0,27070.2,45034
Activetime Day Nursery Ltd,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,12582.45,0,12582.45,45089
Activetime Day Nursery Ltd,Private Nurseries,EY SEN Inclusion Fund,5400,0,5400,45091
Acute Hoarding and Fencing Ltd,Consultants Fees,Council Regeneration Programme,632.4,126.48,758.88,45054
Acute Hoarding and Fencing Ltd,Consultants Fees,Council Regeneration Programme,260.4,52.08,312.48,45089
Adapt IT,Computer Software,Kenmore NRC,500,100,600,45022
Adapt IT,Equipment Purchases,The New Bentley (Byron) NRC,1190,238,1428,45062
Adapt IT,Internet /CableTV,Vaughan NRC,500,100,600,45077
ADCS (The Association of Directors of Children's Services Ltd),Other Agencies,Childrens Placements,2795,559,3354,45099
Adesek Ltd,Misc Supp & Serv Cst,Safeguarding Adults & Quality Assurance,1879.12,0,1879.12,45019
Adesek Ltd,Misc Supp & Serv Cst,Safeguarding Adults & Quality Assurance,1250.6,0,1250.6,45037
Adina Home Care Services Ltd,Domiciliary Care,Personalisation,6374.88,0,6374.88,45043
Adina Home Care Services Ltd,Domiciliary Care,Personalisation,6374.88,0,6374.88,45069
Adina Home Care Services Ltd,Domiciliary Care,Personalisation,582.78,0,582.78,45084
Adina Home Care Services Ltd,Domiciliary Care,Personalisation,6374.88,0,6374.88,45092
Adolphus Care,Supptd Accommodation,Long Term Care,8562.86,0,8562.86,45037
Adolphus Care,Supptd Accommodation,Long Term Care,8848.29,0,8848.29,45069
Adolphus Care,Supptd Accommodation,Long Term Care,8562.85,0,8562.85,45100
Advanced Child Care Assessments Ltd,Consultants Fees,Divisional Director Targeted Services,33,6.6,39.6,45089
Advent Care Solutions,Rec Cost Ext Non-Vat,Working Together - Learning Disability,-5357.14,0,-5357.14,45037
Advent Care Solutions,Respite Costs,Working Together - Learning Disability,29040,0,29040,45069
Advent Care Solutions,Supptd Accommodation,Working Together - Learning Disability,10714.29,0,10714.29,45037
Advent Care Solutions,Supptd Accommodation,Working Together - Learning Disability,45247.14,0,45247.14,45100
Aegaea Ltd,Misc Supp & Serv Cst,Affordable Housing Programme,930,186,1116,45033
Aegaea Ltd,Misc Supp & Serv Cst,Affordable Housing Programme,300,60,360,45089
Affinity Property,Accommodation,Bed&Breakfast,2635,0,2635,45047
Affinity Property,Accommodation,Bed&Breakfast,2550,0,2550,45076
Affinity Property,Accommodation,Bed&Breakfast,2635,0,2635,45096
Affinity Water,Water Charges,Community Centres & Halls,361.03,0,361.03,45105
Affinity Water,Water Charges,Estate Services,225.41,0,225.41,45071
Affinity Water,Water Charges,Estate Services,1879.86,0,1879.86,45105
Affinity Water,Water Charges,HRA Garage & Car Spaces,382.88,0,382.88,45022
Affinity Water,Water Charges,HRA Garage & Car Spaces,16.7,0,16.7,45091
Affinity Water,Water Charges,HRA Garage & Car Spaces,18.97,0,18.97,45105
Affinity Water,Water Charges,Sheltered & Group Homes,416.16,0,416.16,45085
Affinity Water,Water Charges,Sheltered & Group Homes,2020.67,0,2020.67,45086
Affinity Water,Water Charges,Sheltered & Group Homes,6305.64,0,6305.64,45105
African Cultural Association,Other Professionals,Adult Skills Budget,6276,0,6276,45020
Aggregate Industries UK Ltd t/a Spadeoak,Grounds Maintenance,"Cap - Inclusive Economy, Leisure & Culture",233390.31,46678.05,280068.36,45033
Aggregate Industries UK Ltd t/a Spadeoak,Grounds Maintenance,"Cap - Inclusive Economy, Leisure & Culture",28141.11,5628.22,33769.33,45035
Aggregate Industries UK Ltd t/a Spadeoak,Grounds Maintenance,"Cap - Inclusive Economy, Leisure & Culture",65830.43,13166.08,78996.51,45058
Aggregate Industries UK Ltd t/a Spadeoak,Grounds Maintenance,"Cap - Inclusive Economy, Leisure & Culture",33826.24,6765.25,40591.49,45065
Agiito Limited,Travel Exp (Staff),Council Business Travel,0.3,0.06,0.36,45105
Air Liquide UK Ltd,Private Contractors,Environmental Health - Domestic,47.88,9.58,57.46,45027
Air Liquide UK Ltd,Private Contractors,Environmental Health - Domestic,47.88,9.58,57.46,45078
Air Liquide UK Ltd,Private Contractors,Environmental Health - Domestic,47.88,9.58,57.46,45096
Airey Miller Ltd,Consultants Fees,Affordable Housing Programme,4972.1,994.42,5966.52,45027
Airey Miller Ltd,Consultants Fees,Affordable Housing Programme,2949.5,589.9,3539.4,45056
Airey Miller Ltd,Consultants Fees,Affordable Housing Programme,2949.5,589.9,3539.4,45084
Aisa Medical Ltd,Misc Supp & Serv Cst,Safeguarding Adults & Quality Assurance,548.78,0,548.78,45019
Aisa Medical Ltd,Misc Supp & Serv Cst,Safeguarding Adults & Quality Assurance,549.31,0,549.31,45040
Aisa Medical Ltd,Misc Supp & Serv Cst,Safeguarding Adults & Quality Assurance,546.19,0,546.19,45047
Aisa Medical Ltd,Misc Supp & Serv Cst,Safeguarding Adults & Quality Assurance,188.37,0,188.37,45054
Aisa Medical Ltd,Misc Supp & Serv Cst,Safeguarding Adults & Quality Assurance,1095.98,0,1095.98,45055
Aisa Medical Ltd,Misc Supp & Serv Cst,Safeguarding Adults & Quality Assurance,362.86,0,362.86,45056
Aisa Medical Ltd,Misc Supp & Serv Cst,Safeguarding Adults & Quality Assurance,369.37,0,369.37,45057
Aisa Medical Ltd,Misc Supp & Serv Cst,Safeguarding Adults & Quality Assurance,728.99,0,728.99,45068
Aisa Medical Ltd,Misc Supp & Serv Cst,Safeguarding Adults & Quality Assurance,182.86,0,182.86,45090
Aisa Medical Ltd,Misc Supp & Serv Cst,Safeguarding Adults & Quality Assurance,181.48,0,181.48,45092
Aisa Medical Ltd,Misc Supp & Serv Cst,Safeguarding Adults & Quality Assurance,731.96,0,731.96,45103
Algeco UK Limited,Equipment Purchases,Cemetries & Breakspear Crematorium,52.92,10.59,63.51,45050
Algeco UK Limited,Equipment Purchases,Cemetries & Breakspear Crematorium,317.52,63.48,381,45096
All Behaviour Consultancy,Consultants Fees,DSG Prov For Therapy Serv,17038.25,3407.65,20445.9,45057
All Saints Preschool,Private Nurseries,2 year old offer,337.35,0,337.35,45085
All Saints Preschool,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,8417.66,0,8417.66,45034
All Saints Preschool,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,10756.69,0,10756.69,45089
All Saints Preschool,Private Nurseries,EY SEN Inclusion Fund,1000,0,1000,45091
All Saints' Trust,Catering,Household Support Grant,857.5,0,857.5,45077
All Saints' Trust,Grants and Subscript,Harrow Academies Costed Statements,8265,0,8265,45027
All Saints' Trust,Other Professionals,Harrow Schools Standards & Effectivenes,3100,0,3100,45019
All Saints' Trust,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,51679.8,0,51679.8,45096
All Saints' Trust,Private Nurseries,EY SEN Inclusion Fund,2200,0,2200,45104
AllAboutSafes Ltd,Furniture,Cap - Regeneration,1931,386.2,2317.2,45027
AllAboutSafes Ltd,Furniture,Cap - Regeneration,421.67,84.33,506,45099
AllAboutSafes Ltd,Furniture,Cap - Regeneration,629.46,125.89,755.35,45105
Alliance UK Ltd,Cleaning Materials,Corporate Cleaning,4730.4,946.08,5676.48,45027
Alliance UK Ltd,Cleaning Materials,Corporate Cleaning,516.08,103.22,619.3,45030
Alliance UK Ltd,Cleaning Materials,Corporate Cleaning,1231.19,246.24,1477.43,45033
Alliance UK Ltd,Cleaning Materials,Corporate Cleaning,176.22,35.24,211.46,45043
Alliance UK Ltd,Cleaning Materials,Corporate Cleaning,587.4,117.48,704.88,45064
Alliance UK Ltd,Cleaning Materials,Corporate Cleaning,117.48,23.5,140.98,45076
Alliance UK Ltd,Cleaning Materials,Corporate Cleaning,813.52,162.7,976.22,45097
Alliance UK Ltd,Cleaning Materials,Corporate Cleaning,2938.75,587.75,3526.5,45105
Allied Publicity Services (Manchester) Limited,Printing (external),Freedom Pass & Taxicards,1030.14,206.03,1236.17,45027
Allied Publicity Services (Manchester) Limited,Printing (external),Freedom Pass & Taxicards,765.33,153.07,918.4,45057
Alliotts LLP,Consultants Fees,Edward Harvist Trust Fund - Administrati,6600,0,6600,45021
Allpay.net,Accommodation,CIN Team 3,431.56,86.31,517.87,45061
Allpay.net,Accommodation,CIN Team 3,66.37,13.27,79.64,45090
Allpay.net,Accommodation,"CLA, UASC and LC Team",1439.66,287.93,1727.59,45061
Allpay.net,Accommodation,"CLA, UASC and LC Team",460.87,92.17,553.04,45090
Allpay.net,Accommodation,Section 47 Team,249.89,49.98,299.87,45061
Allpay.net,Accommodation,Section 47 Team,15.44,3.09,18.53,45090
Allpay.net,Grants and Subscript,Harrow Help,136.27,27.25,163.52,45037
Allpay.net,Grants and Subscript,Harrow Help,3.9,0.78,4.68,45061
Allpay.net,Grants and Subscript,Harrow Help,20.02,4,24.02,45091
Allpay.net,Levies (not in SL),Revenues - Dso,102.75,20.55,123.3,45061
Allpay.net,Misc Supp & Serv Cst,Tenant Services,49.37,9.87,59.24,45037
Allpay.net,Misc Supp & Serv Cst,Tenant Services,656.97,131.4,788.37,45042
Allpay.net,Misc Supp & Serv Cst,Tenant Services,754.16,150.83,904.99,45061
Allpay.net,Misc Supp & Serv Cst,Tenant Services,748.68,149.74,898.42,45090
Allpay.net,Section 17,Children Looked After Team 1,453.41,90.68,544.09,45027
Allpay.net,Section 17,CIN Team 3,55.06,11.01,66.07,45027
Allpay.net,Section 17,Section 47 Team,8.09,1.62,9.71,45027
Allstar Services Ltd,Printing/Stationery,Pensions Section,230,46,276,45057
Alpha Laundry Systems,Equipment Purchases,Cyclical Maintenance,318,63.6,381.6,45096
Alpha Plus Group t/a Abingdon House,Residential Schools,Ind Residential Day School Placement,14450,0,14450,45044
Alpha Plus Group t/a Abingdon House,Residential Schools,Ind Residential Day School Placement,28853,0,28853,45103
Alpha Preparatory School,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,15117.3,0,15117.3,45034
Alpha Preparatory School,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,5128.2,0,5128.2,45089
Alphonsus Investments Ltd,Supptd Accommodation,Working Together - Learning Disability,792.86,0,792.86,45037
Alphonsus Investments Ltd,Supptd Accommodation,Working Together - Learning Disability,819.29,0,819.29,45069
Alphonsus Investments Ltd,Supptd Accommodation,Working Together - Learning Disability,792.85,0,792.85,45100
Altwood Housing Ltd,Accommodation,Bed&Breakfast,16629,3325.8,19954.8,45021
Altwood Housing Ltd,Accommodation,Bed&Breakfast,13545,2709,16254,45061
Altwood Housing Ltd,Accommodation,Bed&Breakfast,11750,2350,14100,45083
Altwood Housing Ltd,Accommodation,NRPF,858,171.6,1029.6,45040
Altwood Housing Ltd,Accommodation,NRPF,2288,787.2,3075.2,45058
Altwood Housing Ltd,Accommodation,Personalisation,429,85.8,514.8,45069
Altwood Housing Ltd,Accommodation,Section 47 Team,930,186,1116,45054
Amac Express Services,Trans (Private Hire),Brent SNT Childrens,279703.5,11188.14,290891.64,45021
Amac Express Services,Trans (Private Hire),Brent SNT Childrens,119640,4785.6,124425.6,45050
Amac Express Services,Trans (Private Hire),Brent SNT Childrens,154135,6165.4,160300.4,45083
Amac Express Services,Trans (Private Hire),Brent SNT Childrens,73516,2940.64,76456.64,45085
Amac Express Services,Trans (Private Hire),Divisional Director Targeted Services,920,36.8,956.8,45044
Amac Express Services,Trans (Private Hire),Divisional Director Targeted Services,290,11.6,301.6,45050
Amac Express Services,Trans (Private Hire),Divisional Director Targeted Services,400,16,416,45070
Amac Express Services,Trans (Private Hire),Divisional Director Targeted Services,720,28.8,748.8,45086
Amac Express Services,Trans (Private Hire),P-DSG Transport Educ - Ops,113281,4531.24,117812.24,45021
Amac Express Services,Trans (Private Hire),P-DSG Transport Educ - Ops,44925,1797,46722,45054
Amac Express Services,Trans (Private Hire),P-DSG Transport Educ - Ops,75626,3025.04,78651.04,45085
Amac Express Services,Trans (Private Hire),Transport S S - Ops,990,39.6,1029.6,45021
Amac Express Services,Trans (Private Hire),Transport S S - Ops,880,35.2,915.2,45050
Amac Express Services,Trans (Private Hire),Transport S S - Ops,880,35.2,915.2,45085
AMANDEEP KALRA ARCHITECTS LTD,Consultants Fees,Development Control,300,0,300,45083
Ambitious about Autism,Prof Services-Curric,Ind Residential Day School Placement,159841.38,0,159841.38,45058
Amethyst Horticulture,Grounds Maintenance,Parks/Open Spaces & Playing Fields,360,72,432,45068
AMP Heat Ltd,Other Professionals,Harrow Museum,12950.46,2590.09,15540.55,45044
ANGEL UK CARE LTD,Semi Independent,Childrens Placements,1219.66,0,1219.66,45085
Angelic Healthcare Services LTD,Domiciliary Care,Working Together - Learning Disability,929.6,0,929.6,45028
Angelic Healthcare Services LTD,Domiciliary Care,Working Together - Learning Disability,929.6,0,929.6,45047
Angelic Healthcare Services LTD,Domiciliary Care,Working Together - Learning Disability,929.6,0,929.6,45086
Angelic Healthcare Services LTD,Domiciliary Care,Working Together - Learning Disability,929.6,0,929.6,45093
Anglian Water Business (National) Ltd,Build Maint Exit Cst,HAVS Building Lease - 64 Pinner Road,18.84,0,18.84,45040
Anglian Water Business (National) Ltd,Residential Placemnt,The Bridge,168.99,0,168.99,45040
Anglian Water Business (National) Ltd,Water Charges,14/15 Kenton Road,127.3,0,127.3,45021
Anglian Water Business (National) Ltd,Water Charges,14/15 Kenton Road,68.44,0,68.44,45061
Anglian Water Business (National) Ltd,Water Charges,14/15 Kenton Road,72.22,0,72.22,45078
Anglian Water Business (National) Ltd,Water Charges,14/15 Kenton Road,134.97,0,134.97,45105
Anglian Water Business (National) Ltd,Water Charges,7 Kenton Road,39.21,0,39.21,45078
Anglian Water Business (National) Ltd,Water Charges,7 Kenton Road,61.33,0,61.33,45105
Anglian Water Business (National) Ltd,Water Charges,Allotments,1198.83,0,1198.83,45061
Anglian Water Business (National) Ltd,Water Charges,Allotments,3012.22,0,3012.22,45096
Anglian Water Business (National) Ltd,Water Charges,Allotments,5696.56,0,5696.56,45103
Anglian Water Business (National) Ltd,Water Charges,Cemetries & Breakspear Crematorium,370.04,0,370.04,45061
Anglian Water Business (National) Ltd,Water Charges,Cemetries & Breakspear Crematorium,378.19,0,378.19,45096
Anglian Water Business (National) Ltd,Water Charges,Cemetries & Breakspear Crematorium,389.93,0,389.93,45103
Anglian Water Business (National) Ltd,Water Charges,Chandos Children's Centre,14.25,0,14.25,45040
Anglian Water Business (National) Ltd,Water Charges,Chandos Children's Centre,12.5,0,12.5,45068
Anglian Water Business (National) Ltd,Water Charges,Chandos Children's Centre,14.89,0,14.89,45098
Anglian Water Business (National) Ltd,Water Charges,Civic Centre Accommodation,632.19,0,632.19,45040
Anglian Water Business (National) Ltd,Water Charges,Civic Centre Accommodation,-653.26,0,-653.26,45076
Anglian Water Business (National) Ltd,Water Charges,Commercial Property Portfolio,165.04,0,165.04,45078
Anglian Water Business (National) Ltd,Water Charges,Community Centres & Halls,332.97,0,332.97,45047
Anglian Water Business (National) Ltd,Water Charges,Community Centres & Halls,341.09,0,341.09,45079
Anglian Water Business (National) Ltd,Water Charges,Depot,623.33,0,623.33,45049
Anglian Water Business (National) Ltd,Water Charges,Early Support Centre - Cedars Hub,47.73,0,47.73,45040
Anglian Water Business (National) Ltd,Water Charges,Early Support Centre - Cedars Hub,3.63,0,3.63,45068
Anglian Water Business (National) Ltd,Water Charges,Early Support Centre - Cedars Hub,6.04,0,6.04,45098
Anglian Water Business (National) Ltd,Water Charges,Early Support Centre - Hillview Hub,80.26,0,80.26,45040
Anglian Water Business (National) Ltd,Water Charges,Early Support Centre - Hillview Hub,80,0,80,45068
Anglian Water Business (National) Ltd,Water Charges,Early Support Centre - Hillview Hub,91.3,0,91.3,45098
Anglian Water Business (National) Ltd,Water Charges,Greenhill Library,61.12,0,61.12,45047
Anglian Water Business (National) Ltd,Water Charges,Greenhill Library,150.24,0,150.24,45105
Anglian Water Business (National) Ltd,Water Charges,Harrow Arts Centre,5231.97,0,5231.97,45051
Anglian Water Business (National) Ltd,Water Charges,HAVS Building Lease - 64 Pinner Road,21.31,0,21.31,45092
Anglian Water Business (National) Ltd,Water Charges,HAVS Building Lease - 64 Pinner Road,19.52,0,19.52,45105
Anglian Water Business (National) Ltd,Water Charges,Kenmore NRC,53.4,0,53.4,45040
Anglian Water Business (National) Ltd,Water Charges,Kenmore NRC,55.66,0,55.66,45068
Anglian Water Business (National) Ltd,Water Charges,Kenmore NRC,31.56,0,31.56,45099
Anglian Water Business (National) Ltd,Water Charges,Kenton Branch Library,13.15,0,13.15,45047
Anglian Water Business (National) Ltd,Water Charges,Kenton Branch Library,13.62,0,13.62,45071
Anglian Water Business (National) Ltd,Water Charges,Kenton Branch Library,20.46,0,20.46,45105
Anglian Water Business (National) Ltd,Water Charges,Milmans Day Centre,168.86,0,168.86,45042
Anglian Water Business (National) Ltd,Water Charges,Milmans Day Centre,170.49,0,170.49,45071
Anglian Water Business (National) Ltd,Water Charges,Milmans Day Centre,177.88,0,177.88,45099
Anglian Water Business (National) Ltd,Water Charges,Parks/Open Spaces & Playing Fields,3873.96,0,3873.96,45061
Anglian Water Business (National) Ltd,Water Charges,Parks/Open Spaces & Playing Fields,11031.25,0,11031.25,45096
Anglian Water Business (National) Ltd,Water Charges,Parks/Open Spaces & Playing Fields,5983.13,0,5983.13,45103
Anglian Water Business (National) Ltd,Water Charges,P-DSG Gange Nursery,149.5,0,149.5,45068
Anglian Water Business (National) Ltd,Water Charges,P-DSG Gange Nursery,77.55,0,77.55,45098
Anglian Water Business (National) Ltd,Water Charges,Pinner Branch Library,24.67,0,24.67,45047
Anglian Water Business (National) Ltd,Water Charges,Pinner Branch Library,89.7,0,89.7,45071
Anglian Water Business (National) Ltd,Water Charges,Pinner Branch Library,32.51,0,32.51,45105
Anglian Water Business (National) Ltd,Water Charges,Pinner Children's Centre,65.89,0,65.89,45040
Anglian Water Business (National) Ltd,Water Charges,Pinner Children's Centre,29.1,0,29.1,45068
Anglian Water Business (National) Ltd,Water Charges,Pinner Children's Centre,49.46,0,49.46,45098
Anglian Water Business (National) Ltd,Water Charges,Public Con's,44.98,0,44.98,45061
Anglian Water Business (National) Ltd,Water Charges,Public Con's,54.58,0,54.58,45096
Anglian Water Business (National) Ltd,Water Charges,Public Con's,48.38,0,48.38,45103
Anglian Water Business (National) Ltd,Water Charges,Roxeth Branch Library,26.08,0,26.08,45047
Anglian Water Business (National) Ltd,Water Charges,Roxeth Branch Library,24.63,0,24.63,45071
Anglian Water Business (National) Ltd,Water Charges,Roxeth Branch Library,25.07,0,25.07,45105
