Beneficiary,Category/Purpose,Department,     Net value,VAT Value,Gross,Date incurred -Payment Date,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,5407.14,0,5407.14,45314,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,1250,0,1250,45348,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3728.58,0,3728.58,45348,,
Abbotsford Residential Care Home LT,Residential Placemnt,Interim Funding,3935.72,0,3935.72,45348,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4350,0,4350,45348,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4557.14,0,4557.14,45348,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4971.42,0,4971.42,45348,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,5178.58,0,5178.58,45348,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,10400,0,10400,45348,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4971.42,0,11579.98,45348,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,18586.28,0,11579.98,45348,,
Abbotsford Residential Care Home LT,Rec Cost Ext Non-Vat,Long Term Care,-11977.72,0,11579.98,45348,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3214.29,0,3214.29,45376,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,3985.71,0,3985.71,45376,,
Abbotsford Residential Care Home LT,Residential Placemnt,Interim Funding,4207.14,0,4207.14,45376,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4650,0,4650,45376,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,4871.43,0,4871.43,45376,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,5314.29,0,5314.29,45376,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,5535.71,0,5535.71,45376,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,7386.86,0,6138.01,45376,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,5314.29,0,6138.01,45376,,
Abbotsford Residential Care Home LT,Rec Cost Ext Non-Vat,Long Term Care,-6563.14,0,6138.01,45376,,
Abbotsford Residential Care Home LT,Residential Placemnt,Long Term Care,6200,0,6200,45376,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2214.29,0,2214.29,45306,,
ABC Housing,Semi Independent,Leaving Care Placements,1992.85,0,2435.71,45306,,
ABC Housing,Youth Aid Payments,Leaving Care Placements,442.86,0,2435.71,45306,,
ABC Housing,Foster Payments,Asylum Client Expenditure,1992.85,0,2435.71,45306,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,2435.71,45306,,
ABC Housing,Foster Payments,Asylum Client Expenditure,1992.85,0,2435.71,45306,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,2435.71,45306,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2657.14,0,3100,45306,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,3100,45306,,
ABC Housing,Foster Payments,Asylum Client Expenditure,3210.71,0,3210.71,45306,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2785.72,0,3214.29,45306,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,428.57,0,3214.29,45306,,
ABC Housing,Semi Independent,Leaving Care Placements,3321.34,0,3321.34,45306,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2878.48,0,3321.34,45306,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,3321.34,45306,,
ABC Housing,Semi Independent,Leaving Care Placements,3321.43,0,3321.43,45306,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2878.57,0,3321.43,45306,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,3321.43,45306,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2600,0,3321.43,45306,,
ABC Housing,Foster Payments,Asylum Client Expenditure,278.57,0,3321.43,45306,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,400,0,3321.43,45306,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,42.86,0,3321.43,45306,,
ABC Housing,Foster Payments,Asylum Client Expenditure,3321.43,0,3321.43,45306,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2878.57,0,3321.43,45306,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,3321.43,45306,,
ABC Housing,Foster Payments,Asylum Client Expenditure,492.85,0,635.71,45362,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,142.86,0,635.71,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,1378.57,0,1378.57,45362,,
ABC Housing,Semi Independent,Leaving Care Placements,1092.85,0,1535.71,45362,,
ABC Housing,Youth Aid Payments,Leaving Care Placements,442.86,0,1535.71,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,1492.85,0,1535.71,45362,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,42.86,0,1535.71,45362,,
ABC Housing,Semi Independent,Leaving Care Placements,1182.86,0,1662.86,45362,,
ABC Housing,Youth Aid Payments,Leaving Care Placements,480,0,1662.86,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2071.43,0,2071.43,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2214.29,0,2214.29,45362,,
ABC Housing,Semi Independent,Leaving Care Placements,1864.29,0,2278.57,45362,,
ABC Housing,Youth Aid Payments,Leaving Care Placements,414.28,0,2278.57,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,1864.29,0,2278.57,45362,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,414.28,0,2278.57,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2550,0,2700,45362,,
ABC Housing,Youth Aid Payments,Asylum Client Expenditure,150,0,2700,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2829.94,0,2829.94,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2485.72,0,2900,45362,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,414.28,0,2900,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,3003.57,0,3003.57,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2657.14,0,3100,45362,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,3100,45362,,
ABC Housing,Semi Independent,Leaving Care Placements,3107.14,0,3107.14,45362,,
ABC Housing,Semi Independent,Leaving Care Placements,3107.14,0,3107.14,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2692.86,0,3107.14,45362,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,414.28,0,3107.14,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2692.86,0,3107.14,45362,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,414.28,0,3107.14,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,3107.14,0,3107.14,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2692.86,0,3107.14,45362,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,414.28,0,3107.14,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2692.86,0,3107.14,45362,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,414.28,0,3107.14,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,3210.71,0,3210.71,45362,,
ABC Housing,Semi Independent,Leaving Care Placements,3321.34,0,3321.34,45362,,
ABC Housing,Semi Independent,Leaving Care Placements,3321.43,0,3321.43,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2878.57,0,3321.43,45362,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,3321.43,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2878.57,0,3321.43,45362,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,3321.43,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,3321.43,0,3321.43,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,2878.57,0,3321.43,45362,,
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,3321.43,45362,,
ABC Housing,Foster Payments,Asylum Client Expenditure,3521.43,0,3521.43,45362,,
Abience Solutions,Domestic Cleaning,Personalisation,950,0,950,45313,,
Academy 21 Limited,Residential Schools,TU - FE Colleges,1625,325,1950,45352,,
Access Automation,Landld Rprs Exit Cts,Cap - Housing,6400,1280,7680,45349,,
Access Independent,Counselling,Freedom Pass & Taxicards,6892,1378.4,8270.4,45295,,
Access Independent,Counselling,Freedom Pass & Taxicards,6972,1394.4,8366.4,45306,,
Access Independent,Counselling,Freedom Pass & Taxicards,5353,1070.6,6423.6,45335,,
Access Independent,Counselling,Freedom Pass & Taxicards,7352.5,1470.5,8823,45364,,
Access Paysuite Ltd,Computer Purchases,Cashiers Services,1665.02,333.004,1998.02,45371,,
Access Paysuite Ltd,Computer Purchases,Cashiers Services,1954.12,390.824,2344.94,45379,,
Access Systems UK Ltd,Staff training - Gen,Revenues - Dso,600,120,720,45320,,
Access UK Ltd,Consultants Fees,Mosaic Team,1900,380,2280,45328,,
Accesscare Ltd,Supptd Accommodation,Mental Health  - S75,3284.23,0,1642.12,45314,,
Accesscare Ltd,Rec Cost Ext Non-Vat,Mental Health  - S75,-1642.11,0,1642.12,45314,,
Accesscare Ltd,Supptd Accommodation,Mental Health  - S75,3072.34,0,1536.16,45348,,
Accesscare Ltd,Rec Cost Ext Non-Vat,Mental Health  - S75,-1536.18,0,1536.16,45348,,
Accesscare Ltd,Supptd Accommodation,Mental Health  - S75,3284.23,0,1642.12,45376,,
Accesscare Ltd,Rec Cost Ext Non-Vat,Mental Health  - S75,-1642.11,0,1642.12,45376,,
Accident Credit Group,Other Agencies,Motor Insurance,3783.18,0,3783.18,45331,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,570.28,0,570.28,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,651.24,0,651.24,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,698,0,698,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,732.92,0,732.92,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,767.8,0,767.8,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Self funders Personalisation - Adult Soc,791.26,0,791.26,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,869.79,0,869.79,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1169.16,0,1169.16,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1372.96,0,1372.96,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1442.76,0,1442.76,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1465.8,0,1465.8,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1791.76,0,1791.76,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1832.24,0,1832.24,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1954.4,0,1954.4,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1954.4,0,1954.4,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2117.04,0,2117.04,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2280.36,0,2280.36,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2280.36,0,2280.36,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2373.2,0,2373.2,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2605.64,0,2605.64,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,3071.2,0,3071.2,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,3257.55,0,3257.55,45306,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,570.28,0,570.28,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,651.24,0,651.24,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,698,0,698,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,732.92,0,732.92,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,936.54,0,936.54,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1169.16,0,1169.16,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1372.96,0,1372.96,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1442.76,0,1442.76,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1465.8,0,1465.8,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1724.59,0,1724.59,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1791.76,0,1791.76,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1844.1,0,1844.1,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1954.4,0,1954.4,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1954.4,0,1954.4,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2047.82,0,2047.82,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2117.04,0,2117.04,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2280.36,0,2280.36,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2280.36,0,2280.36,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2373.2,0,2373.2,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2605.64,0,2605.64,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,3071.2,0,3071.2,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,3257.56,0,3257.56,45335,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,570.28,0,570.28,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,651.24,0,651.24,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,698,0,698,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,732.92,0,732.92,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,788.38,0,788.38,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,814.56,0,814.56,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1163.4,0,1163.4,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1169.16,0,1169.16,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1221.51,0,1221.51,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1221.62,0,1221.62,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1442.76,0,1442.76,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1465.8,0,1465.8,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1791.76,0,1791.76,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1844.1,0,1844.1,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1954.4,0,1954.4,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,1954.4,0,1954.4,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2117.04,0,2117.04,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2280.36,0,2280.36,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2605.64,0,2605.64,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,3071.2,0,3071.2,45352,,
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,3257.56,0,3257.56,45352,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4225.52,0,3252.52,45314,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,3252.52,45314,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4436.81,0,3463.81,45314,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,3463.81,45314,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4570.77,0,3597.77,45314,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,3597.77,45314,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4570.77,0,3597.77,45314,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,3597.77,45314,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6200,0,4960,45314,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-1240,0,4960,45314,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6342.2,0,5369.2,45314,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,5369.2,45314,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6532.14,0,5559.14,45314,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,5559.14,45314,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6730.14,0,5757.14,45314,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,5757.14,45314,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6730.14,0,5757.14,45314,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,5757.14,45314,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6744.71,0,5771.71,45314,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,5771.71,45314,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6791.3,0,5818.3,45314,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,5818.3,45314,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,8058.72,0,7085.72,45314,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,7085.72,45314,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,3952.91,0,3042.68,45348,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-910.23,0,3042.68,45348,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4150.56,0,3240.33,45348,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-910.23,0,3240.33,45348,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4275.89,0,3365.66,45348,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-910.23,0,3365.66,45348,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4275.89,0,3365.66,45348,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-910.23,0,3365.66,45348,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,5800,0,4640,45348,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-1160,0,4640,45348,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,11428.58,0,4929.64,45348,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-1569.36,0,4929.64,45348,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-4929.58,0,4929.64,45348,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,5933.03,0,5022.8,45348,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-910.23,0,5022.8,45348,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6110.72,0,5200.49,45348,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-910.23,0,5200.49,45348,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6295.95,0,5385.72,45348,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-910.23,0,5385.72,45348,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6295.95,0,5385.72,45348,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-910.23,0,5385.72,45348,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6309.58,0,5399.35,45348,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-910.23,0,5399.35,45348,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6353.16,0,5442.93,45348,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-910.23,0,5442.93,45348,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,7538.79,0,6628.56,45348,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-910.23,0,6628.56,45348,,
Acer Healthcare Operations Limited,Nursing Care,Interim Funding,40605.72,0,31974.25,45355,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-2667.91,0,31974.25,45355,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Interim Funding,-5963.56,0,31974.25,45355,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,7085.71,0,3056.38,45376,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,3056.38,45376,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-3056.33,0,3056.38,45376,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4225.52,0,3252.52,45376,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,3252.52,45376,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4436.81,0,3463.81,45376,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,3463.81,45376,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4570.77,0,3597.77,45376,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,3597.77,45376,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,4570.77,0,3597.77,45376,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,3597.77,45376,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6200,0,4960,45376,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-1240,0,4960,45376,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6342.2,0,5369.2,45376,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,5369.2,45376,,
Acer Healthcare Operations Limited,Nursing Care,Long Term Care,6532.14,0,5559.14,45376,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Long Term Care,-973,0,5559.14,45376,,
Acer Healthcare Operations Limited,Nursing Care,Interim Funding,6625.14,0,5652.14,45376,,
Acer Healthcare Operations Limited,Rec Cost Ext Non-Vat,Interim Funding,-973,0,5652.14,45376,,
