Organisation,Supplier Name,Unique reference number,Payment Date,Cost Center/Capital Project Description,GL Account Description,Amount £ (Ex VAT)
LBHF,33 Recruitment Limited,3009202300086,45110,Top-up Non maintained and Independent,OE - SEN - Pri,750
LBHF,33 Recruitment Limited,3009202300087,45110,Top-up Non maintained and Independent,OE - SEN - Pri,937.5
LBHF,33 Recruitment Limited,3009202300088,45110,Top-up Non maintained and Independent,OE - SEN - Pri,750
LBHF,Personal Data - Name Redacted,3009202300089,45110,Coroners Service,Fees-Tech&Prof Consu,4500
LBHF,Lioness Recruitment Limited,3009202300090,45110,Business Development (AD Op)- HRA,Fees-Tech&Prof Consu,2500
LBHF,Radiocoms Systems Ltd,3009202300091,45110,Contracts,Fees-Mgt & Admin,2411.25
LBHF,Radiocoms Systems Ltd,3009202300092,45110,Contracts,Fees-Mgt & Admin,2411.25
LBHF,NUBIAN JAK TRUST LIMITED,3009202300093,45110,Central & Corporately Requested Events,Activities & Events,2200
LBHF,Place Group Consulting Limited,3009202300094,45110,Children's Centres,Pmts to Private Cont,4000
LBHF,Marston Holdings LTD,3009202300095,45110,CLEAN Projects,Agency Staff,17313.08
LBHF,LIGHTING AND MAINS POWER SOLUTIONS,3009202300096,45110,H&F Maintenance (FRA works),Reac R&M-Materials,11.3
LBHF,LIGHTING AND MAINS POWER SOLUTIONS,3009202300097,45110,H&F Maintenance (FRA works),Reac R&M-Materials,43.25
LBHF,LIGHTING AND MAINS POWER SOLUTIONS,3009202300098,45110,H&F Maintenance (FRA works),Reac R&M-Materials,5.79
LBHF,LIGHTING AND MAINS POWER SOLUTIONS,3009202300099,45110,H&F Maintenance (FRA works),Reac R&M-Materials,25.8
LBHF,LIGHTING AND MAINS POWER SOLUTIONS,3009202300100,45110,H&F Maintenance (FRA works),Reac R&M-Materials,65.3
LBHF,LIGHTING AND MAINS POWER SOLUTIONS,3009202300101,45110,H&F Maintenance (FRA works),Reac R&M-Materials,230.34
LBHF,LIGHTING AND MAINS POWER SOLUTIONS,3009202300102,45110,H&F Maintenance (FRA works),Reac R&M-Materials,75.2
LBHF,LIGHTING AND MAINS POWER SOLUTIONS,3009202300103,45110,H&F Maintenance (FRA works),Reac R&M-Materials,12.63
LBHF,LIGHTING AND MAINS POWER SOLUTIONS,3009202300104,45110,H&F Maintenance (FRA works),Reac R&M-Materials,265.54
LBHF,LIGHTING AND MAINS POWER SOLUTIONS,3009202300105,45110,H&F Maintenance (FRA works),Reac R&M-Materials,10.02
LBHF,LIGHTING AND MAINS POWER SOLUTIONS,3009202300106,45110,H&F Maintenance (FRA works),Reac R&M-Materials,108.96
LBHF,LIGHTING AND MAINS POWER SOLUTIONS,3009202300107,45110,H&F Maintenance (FRA works),Reac R&M-Materials,396.38
LBHF,Anu’s Comprehensive Education Limited,3009202300108,45110,Home Tuition,Other Est-SEN-Sec,1800
LBHF,Lumi Foundation,3009202300109,45110,Ashchurch LD Day Services,Fees-General,200
LBHF,Blink Dance Theatre CIC,3009202300110,45110,Ashchurch LD Day Services,Fees-General,3450
LBHF,SUPREMA SUPPORT CARE LIMITED,3009202300111,45110,"Quality, Standards & Performance",Fees-General,250
LBHF,SUPREMA SUPPORT CARE LIMITED,3009202300112,45110,"Quality, Standards & Performance",Fees-General,1000
LBHF,Always Furthering & Nurturing Development,3009202300113,45110,Vaccine Hesitancy & Community Engagement,Activities & Events,2845
LBHF,Randolph Beresford Early Years,3009202300114,45110,EY SEN Inclusion Fund,School Contra-Income,4000
LBHF,Holy Cross Primary School,3009202300115,45110,Schools Formula Funding (Primary),School Contra-Income,260750.84
LBHF,Holy Cross Primary School,3009202300116,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,4995
LBHF,Holy Cross Primary School,3009202300117,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,2537.5
LBHF,Holy Cross Primary School,3009202300118,45110,NPQ Targeted Supp Funding,School Contra-Income,200
LBHF,Sir John Lillie Primary,3009202300119,45110,Schools Formula Funding (Primary),School Contra-Income,122134.51
LBHF,Sir John Lillie Primary,3009202300120,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,8505
LBHF,Sir John Lillie Primary,3009202300121,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,4785
LBHF,Sir John Lillie Primary,3009202300122,45110,NPQ Targeted Supp Funding,School Contra-Income,200
LBHF,Cambridge Special School,3009202300123,45110,Top-Up Funding – Non-Residents,School Contra-Income,459.93
LBHF,Cambridge Special School,3009202300124,45110,Top-Up Funding – Non-Residents,School Contra-Income,4829.23
LBHF,Cambridge Special School,3009202300125,45110,Top-Up Funding – Non-Residents,School Contra-Income,126615.83
LBHF,Cambridge Special School,3009202300126,45110,Top-Up Funding – Non-Residents,School Contra-Income,4369.3
LBHF,Cambridge Special School,3009202300127,45110,Special Schools Delegated,School Contra-Income,107500
LBHF,Cambridge Special School,3009202300128,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,17801.25
LBHF,Cambridge Special School,3009202300129,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,18285
LBHF,Woodlane High School,3009202300130,45110,Special Schools Delegated,School Contra-Income,83333.33
LBHF,Woodlane High School,3009202300131,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,11632.5
LBHF,Woodlane High School,3009202300132,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,15594
LBHF,St Stephens C.E. Primary School,3009202300133,45110,Schools Formula Funding (Primary),School Contra-Income,185023.51
LBHF,St Stephens C.E. Primary School,3009202300134,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,3780
LBHF,St Stephens C.E. Primary School,3009202300135,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,2211.25
LBHF,Vanessa Nursery School,3009202300136,45110,Top-Up Funding – Non-Residents,School Contra-Income,2232
LBHF,Vanessa Nursery School,3009202300137,45110,Top-Up Funding – Non-Residents,School Contra-Income,5953
LBHF,Wendell Park Primary School,3009202300138,45110,Schools Formula Funding (Primary),School Contra-Income,154542.13
LBHF,Wendell Park Primary School,3009202300139,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,5062.5
LBHF,Wendell Park Primary School,3009202300140,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,2936.25
LBHF,Wormholt Park Primary School,3009202300141,45110,Alternative Provision Commissioning,School Contra-Income,-6435.89
LBHF,Wormholt Park Primary School,3009202300142,45110,Schools Formula Funding (Primary),School Contra-Income,177823.32
LBHF,Wormholt Park Primary School,3009202300143,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,11340
LBHF,Wormholt Park Primary School,3009202300144,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,6742.5
LBHF,Wormholt Park Primary School,3009202300145,45110,NPQ Targeted Supp Funding,School Contra-Income,200
LBHF,Flora Gardens Primary School,3009202300146,45110,Schools Formula Funding (Primary),School Contra-Income,87736.52
LBHF,Flora Gardens Primary School,3009202300147,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,5265
LBHF,Flora Gardens Primary School,3009202300148,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,2900
LBHF,Flora Gardens Primary School,3009202300149,45110,NPQ Targeted Supp Funding,School Contra-Income,200
LBHF,William Morris Sixth Form,3009202300150,45110,Monitoring - Post 16 funding grant,School Contra-Income,406970.23
LBHF,William Morris Sixth Form,3009202300151,45110,Monitoring - Post 16 funding grant,School Contra-Income,1280
LBHF,William Morris Sixth Form,3009202300152,45110,Monitoring - Post 16 funding grant,School Contra-Income,5850
LBHF,William Morris Sixth Form,3009202300153,45110,Monitoring - Post 16 funding grant,School Contra-Income,10884.5
LBHF,William Morris Sixth Form,3009202300154,45110,Monitoring - Post 16 funding grant,School Contra-Income,5000
LBHF,William Morris Sixth Form,3009202300155,45110,Monitoring - Post 16 funding grant,School Contra-Income,3960
LBHF,William Morris Sixth Form,3009202300156,45110,Monitoring - Post 16 funding grant,School Contra-Income,-2560
LBHF,William Morris Sixth Form,3009202300157,45110,Special Schools Delegated,School Contra-Income,25000
LBHF,William Morris Sixth Form,3009202300158,45110,EFA - Teachers Pensions ER C Grant,School Contra-Income,72694
LBHF,St Pauls CE Primary School,3009202300159,45110,Schools Formula Funding (Primary),School Contra-Income,99482.18
LBHF,St Pauls CE Primary School,3009202300160,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,3780
LBHF,St Pauls CE Primary School,3009202300161,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,2320
LBHF,St Pauls CE Primary School,3009202300162,45110,NPQ Targeted Supp Funding,School Contra-Income,200
LBHF,All Saints C Of E Primary School,3009202300163,45110,Schools Formula Funding (Primary),School Contra-Income,86910.19
LBHF,All Saints C Of E Primary School,3009202300164,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,1080
LBHF,All Saints C Of E Primary School,3009202300165,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,797.5
LBHF,Kenmont Primary School,3009202300166,45110,Schools Formula Funding (Primary),School Contra-Income,92121.14
LBHF,Kenmont Primary School,3009202300167,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,3847.5
LBHF,Kenmont Primary School,3009202300168,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,2501.25
LBHF,Addison Primary School,3009202300169,45110,Schools Formula Funding (Primary),School Contra-Income,115510.47
LBHF,Addison Primary School,3009202300170,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,7560
LBHF,Addison Primary School,3009202300171,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,3190
LBHF,Avonmore Primary School,3009202300172,45110,Schools Formula Funding (Primary),School Contra-Income,97603.62
LBHF,Avonmore Primary School,3009202300173,45110,Schools Formula Funding (Primary),School Contra-Income,-97603.62
LBHF,Avonmore Primary School,3009202300174,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,4792.5
LBHF,Avonmore Primary School,3009202300175,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,2827.5
LBHF,Avonmore Primary School,3009202300176,45110,NPQ Targeted Supp Funding,School Contra-Income,200
LBHF,Larmenier & Sacred Heart Rc Primary School,3009202300177,45110,Schools Formula Funding (Primary),School Contra-Income,177512.11
LBHF,Larmenier & Sacred Heart Rc Primary School,3009202300178,45110,Schools Central Management,School Contra-Income,-321.09
LBHF,Larmenier & Sacred Heart Rc Primary School,3009202300179,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,3780
LBHF,Larmenier & Sacred Heart Rc Primary School,3009202300180,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,2356.25
LBHF,Larmenier & Sacred Heart Rc Primary School,3009202300181,45110,NPQ Targeted Supp Funding,School Contra-Income,400
LBHF,St Peters Primary School,3009202300182,45110,Top-Up Funding – Non-Residents,School Contra-Income,2845.32
LBHF,St Peters Primary School,3009202300183,45110,Top-Up Funding – Non-Residents,School Contra-Income,3304.25
LBHF,St Peters Primary School,3009202300184,45110,Top-Up Funding – Non-Residents,School Contra-Income,3340.68
LBHF,St Peters Primary School,3009202300185,45110,Schools Formula Funding (Primary),School Contra-Income,94092.33
LBHF,St Peters Primary School,3009202300186,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,1620
LBHF,St Peters Primary School,3009202300187,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,797.5
LBHF,Brackenbury Primary School,3009202300188,45110,Schools Formula Funding (Primary),School Contra-Income,171161.1
LBHF,Brackenbury Primary School,3009202300189,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,8370
LBHF,Brackenbury Primary School,3009202300190,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,5111.25
LBHF,Brackenbury Primary School,3009202300191,45110,NPQ Targeted Supp Funding,School Contra-Income,200
LBHF,Jack Tizard Special School,3009202300192,45110,Top-Up Funding – Non-Residents,School Contra-Income,26765
LBHF,Jack Tizard Special School,3009202300193,45110,Top-Up Funding – Non-Residents,School Contra-Income,10715
LBHF,Jack Tizard Special School,3009202300194,45110,Top-Up Funding – Non-Residents,School Contra-Income,10715.27
LBHF,Jack Tizard Special School,3009202300195,45110,Special Schools Delegated,School Contra-Income,58333.33
LBHF,Jack Tizard Special School,3009202300196,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,5287.5
LBHF,Jack Tizard Special School,3009202300197,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,6163
LBHF,The Good Shepherd R C School,3009202300198,45110,Schools Formula Funding (Primary),School Contra-Income,95253.27
LBHF,The Good Shepherd R C School,3009202300199,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,1687.5
LBHF,The Good Shepherd R C School,3009202300200,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,1196.25
LBHF,The Good Shepherd R C School,3009202300201,45110,NPQ Targeted Supp Funding,School Contra-Income,600
LBHF,St Marys Primary School,3009202300202,45110,Schools Formula Funding (Primary),School Contra-Income,84297.93
LBHF,St Marys Primary School,3009202300203,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,5265
LBHF,St Marys Primary School,3009202300204,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,2936.25
LBHF,St.Augustines Primary,3009202300205,45110,SEN contingency (non EHCP),School Contra-Income,2000
LBHF,St.Augustines Primary,3009202300206,45110,Schools Formula Funding (Primary),School Contra-Income,97236.14
LBHF,St.Augustines Primary,3009202300207,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,3037.5
LBHF,St.Augustines Primary,3009202300208,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,1703.75
LBHF,Old Oak Primary School,3009202300209,45110,Schools Formula Funding (Primary),School Contra-Income,102014.48
LBHF,Old Oak Primary School,3009202300210,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,5197.5
LBHF,Old Oak Primary School,3009202300211,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,2827.5
LBHF,Old Oak Primary School,3009202300212,45110,NPQ Targeted Supp Funding,School Contra-Income,400
LBHF,Normand Croft Community School,3009202300213,45110,Schools Formula Funding (Primary),School Contra-Income,131577.29
LBHF,Normand Croft Community School,3009202300214,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,7965
LBHF,Normand Croft Community School,3009202300215,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,4495
LBHF,Normand Croft Community School,3009202300216,45110,NPQ Targeted Supp Funding,School Contra-Income,400
LBHF,St Thomas Of Canterbury Catholic Primary School,3009202300217,45110,Schools Formula Funding (Primary),School Contra-Income,70047.84
LBHF,St Thomas Of Canterbury Catholic Primary School,3009202300218,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,3037.5
LBHF,St Thomas Of Canterbury Catholic Primary School,3009202300219,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,1740
LBHF,Miles Coverdale Primary School,3009202300220,45110,Schools Formula Funding (Primary),School Contra-Income,107440.38
LBHF,Miles Coverdale Primary School,3009202300221,45110,Special Schools Delegated,School Contra-Income,10000
LBHF,Miles Coverdale Primary School,3009202300222,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,6270
LBHF,Miles Coverdale Primary School,3009202300223,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,4454.75
LBHF,Miles Coverdale Primary School,3009202300224,45110,NPQ Targeted Supp Funding,School Contra-Income,400
LBHF,John Betts Primary School,3009202300225,45110,Schools Formula Funding (Primary),School Contra-Income,94566.31
LBHF,John Betts Primary School,3009202300226,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,2565
LBHF,John Betts Primary School,3009202300227,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,1305
LBHF,St.Johns Ce Primary School,3009202300228,45110,Schools Formula Funding (Primary),School Contra-Income,146814.37
LBHF,St.Johns Ce Primary School,3009202300229,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,5535
LBHF,St.Johns Ce Primary School,3009202300230,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,2863.75
LBHF,Melcombe Primary School,3009202300231,45110,Schools Formula Funding (Primary),School Contra-Income,93015.36
LBHF,Melcombe Primary School,3009202300232,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,6142.5
LBHF,Melcombe Primary School,3009202300233,45110,EFA - COVID 19 Schools Fund Grant,School Contra-Income,2936.25
LBHF,Melcombe Primary School,3009202300234,45110,NPQ Targeted Supp Funding,School Contra-Income,200
LBHF,Stoneview Maintenance Ltd,3009202300235,45110,PSL Scheme,Reac R&M-Rep & Maint,132.97
LBHF,Stoneview Maintenance Ltd,3009202300236,45110,PSL Scheme,Reac R&M-Rep & Maint,65
LBHF,Stoneview Maintenance Ltd,3009202300237,45110,PSL Scheme,Reac R&M-Rep & Maint,95.38
LBHF,Stoneview Maintenance Ltd,3009202300238,45110,PSL Scheme,Reac R&M-Rep & Maint,202.49
LBHF,Stoneview Maintenance Ltd,3009202300239,45110,PSL Scheme,Reac R&M-Rep & Maint,73.45
LBHF,Stoneview Maintenance Ltd,3009202300240,45110,PSL Scheme,Reac R&M-Rep & Maint,515.74
LBHF,Stoneview Maintenance Ltd,3009202300241,45110,PSL Scheme,Reac R&M-Rep & Maint,154.58
LBHF,Stoneview Maintenance Ltd,3009202300242,45110,PSL Scheme,Reac R&M-Rep & Maint,165.29
LBHF,Stoneview Maintenance Ltd,3009202300243,45110,PSL Scheme,Reac R&M-Rep & Maint,78.06
LBHF,Stoneview Maintenance Ltd,3009202300244,45110,PSL Scheme,Reac R&M-Rep & Maint,328.76
LBHF,Stoneview Maintenance Ltd,3009202300245,45110,PSL Scheme,Reac R&M-Rep & Maint,500.04
LBHF,Stoneview Maintenance Ltd,3009202300246,45110,PSL Scheme,Reac R&M-Rep & Maint,173.7
LBHF,Stoneview Maintenance Ltd,3009202300247,45110,PSL Scheme,Reac R&M-Rep & Maint,192.6
LBHF,Stoneview Maintenance Ltd,3009202300248,45110,PSL Scheme,Reac R&M-Rep & Maint,331.24
LBHF,Stoneview Maintenance Ltd,3009202300249,45110,PSL Scheme,Reac R&M-Rep & Maint,91.56
LBHF,Stoneview Maintenance Ltd,3009202300250,45110,PSL Scheme,Reac R&M-Rep & Maint,77.75
LBHF,Stoneview Maintenance Ltd,3009202300251,45110,PSL Scheme,Reac R&M-Rep & Maint,177.66
LBHF,Stoneview Maintenance Ltd,3009202300252,45110,PSL Scheme,Reac R&M-Rep & Maint,188.1
LBHF,Stoneview Maintenance Ltd,3009202300253,45110,PSL Scheme,Reac R&M-Rep & Maint,311.99
LBHF,Stoneview Maintenance Ltd,3009202300254,45110,PSL Scheme,Reac R&M-Rep & Maint,344.82
LBHF,Stoneview Maintenance Ltd,3009202300255,45110,PSL Scheme,Reac R&M-Rep & Maint,143.4
LBHF,Stoneview Maintenance Ltd,3009202300256,45110,PSL Scheme,Reac R&M-Rep & Maint,130.6
LBHF,United Learning Trust - Langford Primary School,3009202300257,45110,"Top-up Academies, Free Schs & Colleges",OE - SEN - Pri,1873.1
