Organisation,Supplier Name,Reference,Payment Date,Service Area/Capital Project Description,GL Account Description,Amount £ (Ex VAT)
LBHF,Personal Data - Name Redacted,2324.4.CPMT.26022,45302,Allocations & Lettings (GF),Temporary Accommodation,1012.44
LBHF,Community Health Partnerships Limited,2324.4.CPMT.2694,45302,Learning Disability Services,Premises Rent,41014.56
LBHF,Community Health Partnerships Limited,2324.4.CPMT.2695,45302,Learning Disability Services,Premises Rent,41014.56
LBHF,Community Health Partnerships Limited,2324.4.CPMT.2696,45302,Learning Disability Services,Premises Rent,41014.56
LBHF,Personal Data - Name Redacted,2324.4.CPMT.26979,45302,Allocations & Lettings (GF),Temporary Accommodation,1175
LBHF,Personal Data - Name Redacted,2324.4.CPMT.26988,45302,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Personal Data - Name Redacted,2324.4.CPMT.26991,45302,Allocations & Lettings (GF),Temporary Accommodation,986.02
LBHF,Personal Data - Name Redacted,2324.4.CPMT.26994,45302,Allocations & Lettings (GF),Temporary Accommodation,1399.99
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27000,45302,Allocations & Lettings (GF),Temporary Accommodation,1303.57
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27003,45302,Allocations & Lettings (GF),Temporary Accommodation,1086.31
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27006,45302,Allocations & Lettings (GF),Temporary Accommodation,1086.31
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27012,45302,Allocations & Lettings (GF),Temporary Accommodation,1444.92
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27083,45302,Allocations & Lettings (GF),Temporary Accommodation,1173.21
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27086,45302,Allocations & Lettings (GF),Temporary Accommodation,1622.73
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27089,45302,Allocations & Lettings (GF),Temporary Accommodation,1160.18
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27093,45302,Allocations & Lettings (GF),Temporary Accommodation,1622.47
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27096,45302,Allocations & Lettings (GF),Temporary Accommodation,997.88
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27099,45302,Allocations & Lettings (GF),Temporary Accommodation,1764.17
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27131,45302,Allocations & Lettings (GF),Temporary Accommodation,1590.01
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27134,45302,Allocations & Lettings (GF),Temporary Accommodation,1084.57
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27153,45302,Allocations & Lettings (GF),Temporary Accommodation,1616.43
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27156,45302,Allocations & Lettings (GF),Temporary Accommodation,1347.02
LBHF,Personal Data - Name Redacted,2324.4.CPMT.27159,45302,Allocations & Lettings (GF),Temporary Accommodation,1027.82
LBHF,Exora Medical Limited,2324.4.CPMT.2729,45302,Care and Assessment Services,Payments to Transport Operators,810
LBHF,Personal Data - Name Redacted,2324.4.CPMT.28150,45302,Allocations & Lettings (GF),Temporary Accommodation,1616.43
LBHF,Personal Data - Name Redacted,2324.4.CPMT.28358,45302,Allocations & Lettings (GF),Temporary Accommodation,1486.07
LBHF,Personal Data - Name Redacted,2324.4.CPMT.28797,45302,Allocations & Lettings (GF),Temporary Accommodation,1175
LBHF,Personal Data - Name Redacted,2324.4.CPMT.28866,45302,Allocations & Lettings (GF),Temporary Accommodation,1375.01
LBHF,Taylor Charles Ltd,2324.4.CPMT.28888,45302,Allocations & Lettings (GF),Temporary Accommodation,2546.31
LBHF,Taylor Charles Ltd,2324.4.CPMT.28889,45302,Allocations & Lettings (GF),Temporary Accommodation,1829.35
LBHF,Taylor Charles Ltd,2324.4.CPMT.28890,45302,Allocations & Lettings (GF),Temporary Accommodation,1919.99
LBHF,Project Centre,2324.4.CPMT.2946,45302,Capital - S278 - Quayside Lodge,Capital - Contractors - New and Enhancement,13000
LBHF,Thames Valley Controls Ltd,2324.4.CPMT.3077,45302,Head of Mechanical and Engineering,Reactive Repairs & Maintenance - Buildings - Materials,7218
LBHF,Thames Valley Controls Ltd,2324.4.CPMT.3078,45302,Head of Mechanical and Engineering,Reactive Repairs & Maintenance - Buildings - Materials,7969.34
LBHF,Thames Valley Controls Ltd,2324.4.CPMT.3079,45302,Head of Mechanical and Engineering,Reactive Repairs & Maintenance - Buildings - Materials,7969.34
LBHF,Thames Valley Controls Ltd,2324.4.CPMT.3080,45302,Head of Mechanical and Engineering,Reactive Repairs & Maintenance - Buildings - Materials,19410
LBHF,Thames Valley Controls Ltd,2324.4.CPMT.3081,45302,Head of Mechanical and Engineering,Reactive Repairs & Maintenance - Buildings - Materials,7969.34
LBHF,Thames Valley Controls Ltd,2324.4.CPMT.3082,45302,Head of Mechanical and Engineering,Reactive Repairs & Maintenance - Buildings - Materials,7969.34
LBHF,Cromwood Housing Ltd,2324.4.CPMT.3160,45302,Allocations & Lettings (GF),Temporary Accommodation,2015
LBHF,Cromwood Housing Ltd,2324.4.CPMT.3161,45302,Allocations & Lettings (GF),Temporary Accommodation,2325
LBHF,Cromwood Housing Ltd,2324.4.CPMT.3162,45302,Allocations & Lettings (GF),Temporary Accommodation,2945
LBHF,Penham Ltd,2324.4.CPMT.3185,45302,Allocations & Lettings (GF),Temporary Accommodation,31593.49
LBHF,Personal Data - Name Redacted,2324.4.CPMT.31873,45302,Allocations & Lettings (GF),Temporary Accommodation,1433.93
LBHF,Personal Data - Name Redacted,2324.4.CPMT.31879,45302,Allocations & Lettings (GF),Temporary Accommodation,1175
LBHF,Personal Data - Name Redacted,2324.4.CPMT.31882,45302,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Personal Data - Name Redacted,2324.4.CPMT.31885,45302,Allocations & Lettings (GF),Temporary Accommodation,1733.75
LBHF,Personal Data - Name Redacted,2324.4.CPMT.31889,45302,Allocations & Lettings (GF),Temporary Accommodation,1633.81
LBHF,Castleline Ltd,2324.4.CPMT.3189,45302,Allocations & Lettings (GF),Temporary Accommodation,2635
LBHF,Personal Data - Name Redacted,2324.4.CPMT.31892,45302,Allocations & Lettings (GF),Temporary Accommodation,1622.47
LBHF,Personal Data - Name Redacted,2324.4.CPMT.31895,45302,Allocations & Lettings (GF),Temporary Accommodation,1403.51
LBHF,Personal Data - Name Redacted,2324.4.CPMT.31896,45302,Allocations & Lettings (GF),Temporary Accommodation,1716.37
LBHF,Personal Data - Name Redacted,2324.4.CPMT.31901,45302,Allocations & Lettings (GF),Temporary Accommodation,1412.2
LBHF,Personal Data - Name Redacted,2324.4.CPMT.31904,45302,Allocations & Lettings (GF),Temporary Accommodation,1488.42
LBHF,Personal Data - Name Redacted,2324.4.CPMT.31907,45302,Allocations & Lettings (GF),Temporary Accommodation,1260.12
LBHF,Personal Data - Name Redacted,2324.4.CPMT.31919,45302,Allocations & Lettings (GF),Temporary Accommodation,1486.07
LBHF,Personal Data - Name Redacted,2324.4.CPMT.31925,45302,Allocations & Lettings (GF),Temporary Accommodation,1916.25
LBHF,Personal Data - Name Redacted,2324.4.CPMT.31928,45302,Allocations & Lettings (GF),Temporary Accommodation,1129.76
LBHF,Personal Data - Name Redacted,2324.4.CPMT.31931,45302,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Personal Data - Name Redacted,2324.4.CPMT.33193,45302,Allocations & Lettings (GF),Temporary Accommodation,1347.02
LBHF,RDB Properties Ltd,2324.4.CPMT.33196,45302,Allocations & Lettings (GF),Temporary Accommodation,1247.08
LBHF,RDB Properties Ltd,2324.4.CPMT.33197,45302,Allocations & Lettings (GF),Temporary Accommodation,1247.08
LBHF,Wentworth Estates,2324.4.CPMT.3321,45302,Allocations & Lettings (GF),Temporary Accommodation,25204.2
LBHF,Higher Level Care (HLC) Ltd,2324.4.CPMT.33246,45302,Looked After Children & Leaving Care,Semi Independent Accomodation,3764.33
LBHF,Higher Level Care (HLC) Ltd,2324.4.CPMT.33247,45302,Looked After Children & Leaving Care,Semi Independent Accomodation,4207.01
LBHF,Higher Level Care (HLC) Ltd,2324.4.CPMT.33284,45302,Looked After Children & Leaving Care,Semi Independent Accomodation,3764.33
LBHF,Higher Level Care (HLC) Ltd,2324.4.CPMT.33285,45302,Looked After Children & Leaving Care,Semi Independent Accomodation,2767.13
LBHF,Higher Level Care (HLC) Ltd,2324.4.CPMT.33286,45302,Looked After Children & Leaving Care,Semi Independent Accomodation,3764.33
LBHF,Higher Level Care (HLC) Ltd,2324.4.CPMT.33287,45302,Looked After Children & Leaving Care,Semi Independent Accomodation,4207.01
LBHF,Higher Level Care (HLC) Ltd,2324.4.CPMT.33288,45302,Looked After Children & Leaving Care,Semi Independent Accomodation,3985.67
LBHF,Higher Level Care (HLC) Ltd,2324.4.CPMT.33289,45302,Looked After Children & Leaving Care,Semi Independent Accomodation,3985.67
LBHF,Personal Data - Name Redacted,2324.4.CPMT.33314,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Personal Data - Name Redacted,2324.4.CPMT.33317,45302,Allocations & Lettings (GF),Temporary Accommodation,1386.13
LBHF,Personal Data - Name Redacted,2324.4.CPMT.34016,45302,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Personal Data - Name Redacted,2324.4.CPMT.34078,45302,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Personal Data - Name Redacted,2324.4.CPMT.34199,45302,Allocations & Lettings (GF),Temporary Accommodation,1375.01
LBHF,Personal Data - Name Redacted,2324.4.CPMT.34275,45302,Allocations & Lettings (GF),Temporary Accommodation,1486.07
LBHF,Personal Data - Name Redacted,2324.4.CPMT.34282,45302,Allocations & Lettings (GF),Temporary Accommodation,1486.07
LBHF,Personal Data - Name Redacted,2324.4.CPMT.34285,45302,Allocations & Lettings (GF),Temporary Accommodation,1486.07
LBHF,Personal Data - Name Redacted,2324.4.CPMT.34367,45302,Allocations & Lettings (GF),Temporary Accommodation,1488.42
LBHF,Personal Data - Name Redacted,2324.4.CPMT.34445,45302,Allocations & Lettings (GF),Temporary Accommodation,1175
LBHF,Personal Data - Name Redacted,2324.4.CPMT.34446,45302,Allocations & Lettings (GF),Temporary Accommodation,1507.8
LBHF,Personal Data - Name Redacted,2324.4.CPMT.34447,45302,Allocations & Lettings (GF),Temporary Accommodation,900.06
LBHF,Personal Data - Name Redacted,2324.4.CPMT.34448,45302,Allocations & Lettings (GF),Temporary Accommodation,1599.05
LBHF,Personal Data - Name Redacted,2324.4.CPMT.34543,45302,Allocations & Lettings (GF),Temporary Accommodation,1175
LBHF,Personal Data - Name Redacted,2324.4.CPMT.34667,45302,Allocations & Lettings (GF),Temporary Accommodation,1477.38
LBHF,Personal Data - Name Redacted,2324.4.CPMT.34670,45302,Allocations & Lettings (GF),Temporary Accommodation,1811.96
LBHF,Personal Data - Name Redacted,2324.4.CPMT.34887,45302,Allocations & Lettings (GF),Temporary Accommodation,1622.73
LBHF,Personal Data - Name Redacted,2324.4.CPMT.34990,45302,Allocations & Lettings (GF),Temporary Accommodation,1616.43
LBHF,Personal Data - Name Redacted,2324.4.CPMT.34993,45302,Allocations & Lettings (GF),Temporary Accommodation,1916.25
LBHF,Personal Data - Name Redacted,2324.4.CPMT.34999,45302,Allocations & Lettings (GF),Temporary Accommodation,1622.47
LBHF,Personal Data - Name Redacted,2324.4.CPMT.35072,45302,Allocations & Lettings (GF),Temporary Accommodation,1328.82
LBHF,Personal Data - Name Redacted,2324.4.CPMT.35084,45302,Allocations & Lettings (GF),Temporary Accommodation,2112
LBHF,Personal Data - Name Redacted,2324.4.CPMT.35087,45302,Allocations & Lettings (GF),Temporary Accommodation,1313
LBHF,Personal Data - Name Redacted,2324.4.CPMT.35118,45302,Allocations & Lettings (GF),Temporary Accommodation,1622.47
LBHF,Ridge And Partners LLP,2324.4.CPMT.3521,45302,Asset Management,Fees - Asset Management,17749
LBHF,Sondhi Lettings,2324.4.CPMT.35216,45302,Allocations & Lettings (GF),Temporary Accommodation,1312.26
LBHF,Sondhi Lettings,2324.4.CPMT.35217,45302,Allocations & Lettings (GF),Temporary Accommodation,1303.57
LBHF,Sondhi Lettings,2324.4.CPMT.35218,45302,Allocations & Lettings (GF),Temporary Accommodation,1173.21
LBHF,Sondhi Lettings,2324.4.CPMT.35219,45302,Allocations & Lettings (GF),Temporary Accommodation,925.01
LBHF,Sondhi Lettings,2324.4.CPMT.35220,45302,Allocations & Lettings (GF),Temporary Accommodation,1379.61
LBHF,Sondhi Lettings,2324.4.CPMT.35221,45302,Allocations & Lettings (GF),Temporary Accommodation,1341.2
LBHF,Sondhi Lettings,2324.4.CPMT.35222,45302,Allocations & Lettings (GF),Temporary Accommodation,1164.54
LBHF,Sondhi Lettings,2324.4.CPMT.35223,45302,Allocations & Lettings (GF),Temporary Accommodation,1175
LBHF,Sondhi Lettings,2324.4.CPMT.35224,45302,Allocations & Lettings (GF),Temporary Accommodation,1303.57
LBHF,Personal Data - Name Redacted,2324.4.CPMT.35288,45302,Allocations & Lettings (GF),Temporary Accommodation,1464.25
LBHF,Personal Data - Name Redacted,2324.4.CPMT.35309,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Personal Data - Name Redacted,2324.4.CPMT.35321,45302,Allocations & Lettings (GF),Temporary Accommodation,1549.99
LBHF,Personal Data - Name Redacted,2324.4.CPMT.35346,45302,Allocations & Lettings (GF),Temporary Accommodation,1207.98
LBHF,Personal Data - Name Redacted,2324.4.CPMT.35351,45302,Allocations & Lettings (GF),Temporary Accommodation,1919.99
LBHF,Hats Group Ltd,2324.4.CPMT.3556,45302,Education - Assets and Resources,Payments to Transport Operators,9512.1
LBHF,Personal Data - Name Redacted,2324.4.CPMT.3665,45302,Behaviour Change,Payments to Health Authorities,2525
LBHF,Personal Data - Name Redacted,2324.4.CPMT.3666,45302,Substance Misuse/Offender Health Commiss,Payments to Health Authorities,1175
LBHF,Personal Data - Name Redacted,2324.4.CPMT.36825,45302,Allocations & Lettings (GF),Temporary Accommodation,1586.01
LBHF,Personal Data - Name Redacted,2324.4.CPMT.36848,45302,Allocations & Lettings (GF),Temporary Accommodation,1027.82
LBHF,Personal Data - Name Redacted,2324.4.CPMT.36879,45302,Allocations & Lettings (GF),Temporary Accommodation,1303.57
LBHF,Personal Data - Name Redacted,2324.4.CPMT.36882,45302,Allocations & Lettings (GF),Temporary Accommodation,1219.62
LBHF,Personal Data - Name Redacted,2324.4.CPMT.36894,45302,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Personal Data - Name Redacted,2324.4.CPMT.36903,45302,Allocations & Lettings (GF),Temporary Accommodation,1445.05
LBHF,Harrisons Property Ltd,2324.4.CPMT.36906,45302,Allocations & Lettings (GF),Temporary Accommodation,1507.8
LBHF,Harrisons Property Ltd,2324.4.CPMT.36907,45302,Allocations & Lettings (GF),Temporary Accommodation,1919.99
LBHF,Darwin Solutions Ltd,2324.4.CPMT.36915,45302,Allocations & Lettings (GF),Temporary Accommodation,1488.42
LBHF,Personal Data - Name Redacted,2324.4.CPMT.36930,45302,Allocations & Lettings (GF),Temporary Accommodation,1313.7
LBHF,HE Investments Ltd,2324.4.CPMT.36933,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,HE Investments Ltd,2324.4.CPMT.36934,45302,Allocations & Lettings (GF),Temporary Accommodation,1675.65
LBHF,HE Investments Ltd,2324.4.CPMT.36935,45302,Allocations & Lettings (GF),Temporary Accommodation,1919.99
LBHF,HE Investments Ltd,2324.4.CPMT.36936,45302,Allocations & Lettings (GF),Temporary Accommodation,2579.99
LBHF,HE Investments Ltd,2324.4.CPMT.36937,45302,Allocations & Lettings (GF),Temporary Accommodation,2576.73
LBHF,E4Law Ltd T/A Lextox,2324.4.CPMT.3705,45302,Family Support and Child Protection,Assessment - Other,2073.85
LBHF,E4Law Ltd T/A Lextox,2324.4.CPMT.3706,45302,Family Support and Child Protection,Assessment - Other,4111.92
LBHF,E4Law Ltd T/A Lextox,2324.4.CPMT.3707,45302,Family Support and Child Protection,Assessment - Other,1246
LBHF,Glenries Ltd,2324.4.CPMT.37677,45302,Allocations & Lettings (GF),Temporary Accommodation,1586.01
LBHF,Glenries Ltd,2324.4.CPMT.37678,45302,Allocations & Lettings (GF),Temporary Accommodation,1586.01
LBHF,Glenries Ltd,2324.4.CPMT.37679,45302,Allocations & Lettings (GF),Temporary Accommodation,1586.01
LBHF,Glenries Ltd,2324.4.CPMT.37680,45302,Allocations & Lettings (GF),Temporary Accommodation,1586.01
LBHF,Glenries Ltd,2324.4.CPMT.37681,45302,Allocations & Lettings (GF),Temporary Accommodation,1503.45
LBHF,Glenries Ltd,2324.4.CPMT.37682,45302,Allocations & Lettings (GF),Temporary Accommodation,1503.45
LBHF,Glenries Ltd,2324.4.CPMT.37683,45302,Allocations & Lettings (GF),Temporary Accommodation,1503.45
LBHF,Glenries Ltd,2324.4.CPMT.37684,45302,Allocations & Lettings (GF),Temporary Accommodation,1745
LBHF,Glenries Ltd,2324.4.CPMT.37685,45302,Allocations & Lettings (GF),Temporary Accommodation,1503.45
LBHF,Glenries Ltd,2324.4.CPMT.37686,45302,Allocations & Lettings (GF),Temporary Accommodation,1916.25
LBHF,Glenries Ltd,2324.4.CPMT.37687,45302,Allocations & Lettings (GF),Temporary Accommodation,1529.52
LBHF,Glenries Ltd,2324.4.CPMT.37688,45302,Allocations & Lettings (GF),Temporary Accommodation,1529.52
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37721,45302,Allocations & Lettings (GF),Temporary Accommodation,1433.93
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37744,45302,Allocations & Lettings (GF),Temporary Accommodation,1303.57
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37753,45302,Allocations & Lettings (GF),Temporary Accommodation,1829.35
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37756,45302,Allocations & Lettings (GF),Temporary Accommodation,1742.83
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37800,45302,Allocations & Lettings (GF),Temporary Accommodation,1866.41
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37801,45302,Allocations & Lettings (GF),Temporary Accommodation,1866.41
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37802,45302,Allocations & Lettings (GF),Temporary Accommodation,1829.35
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37803,45302,Allocations & Lettings (GF),Temporary Accommodation,1488.42
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37804,45302,Allocations & Lettings (GF),Temporary Accommodation,2149.98
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37805,45302,Allocations & Lettings (GF),Temporary Accommodation,1486.07
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37806,45302,Allocations & Lettings (GF),Temporary Accommodation,2114.66
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37807,45302,Allocations & Lettings (GF),Temporary Accommodation,1797.38
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37808,45302,Allocations & Lettings (GF),Temporary Accommodation,1487.81
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37809,45302,Allocations & Lettings (GF),Temporary Accommodation,1488.42
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37810,45302,Allocations & Lettings (GF),Temporary Accommodation,1919.99
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37811,45302,Allocations & Lettings (GF),Temporary Accommodation,2181.31
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37812,45302,Allocations & Lettings (GF),Temporary Accommodation,2112
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37813,45302,Allocations & Lettings (GF),Temporary Accommodation,2111.99
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37814,45302,Allocations & Lettings (GF),Temporary Accommodation,2107.44
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37815,45302,Allocations & Lettings (GF),Temporary Accommodation,2112
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37816,45302,Allocations & Lettings (GF),Temporary Accommodation,2359.46
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37817,45302,Allocations & Lettings (GF),Temporary Accommodation,1616.43
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37818,45302,Allocations & Lettings (GF),Temporary Accommodation,2107.44
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37819,45302,Allocations & Lettings (GF),Temporary Accommodation,2181.55
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37820,45302,Allocations & Lettings (GF),Temporary Accommodation,920.17
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37821,45302,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37822,45302,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37823,45302,Allocations & Lettings (GF),Temporary Accommodation,1829.35
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37824,45302,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,MQ Properties Ltd,2324.4.CPMT.37876,45302,Allocations & Lettings (GF),Temporary Accommodation,1829.35
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37881,45302,Allocations & Lettings (GF),Temporary Accommodation,2050.52
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37884,45302,Allocations & Lettings (GF),Temporary Accommodation,1488.42
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37885,45302,Allocations & Lettings (GF),Temporary Accommodation,1488.42
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37886,45302,Allocations & Lettings (GF),Temporary Accommodation,1228.76
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37887,45302,Allocations & Lettings (GF),Temporary Accommodation,1533.87
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37888,45302,Allocations & Lettings (GF),Temporary Accommodation,857.1
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37889,45302,Allocations & Lettings (GF),Temporary Accommodation,1503.45
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37890,45302,Allocations & Lettings (GF),Temporary Accommodation,1590.01
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37911,45302,Allocations & Lettings (GF),Temporary Accommodation,1503.45
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37912,45302,Allocations & Lettings (GF),Temporary Accommodation,1529.52
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37920,45302,Allocations & Lettings (GF),Temporary Accommodation,1749
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37939,45302,Allocations & Lettings (GF),Temporary Accommodation,2050.52
LBHF,Personal Data - Name Redacted,2324.4.CPMT.37940,45302,Allocations & Lettings (GF),Temporary Accommodation,1444.29
LBHF,Personal Data - Name Redacted,2324.4.CPMT.38398,45302,Allocations & Lettings (GF),Temporary Accommodation,1353.11
LBHF,Personal Data - Name Redacted,2324.4.CPMT.38577,45302,Allocations & Lettings (GF),Temporary Accommodation,1444.92
LBHF,Personal Data - Name Redacted,2324.4.CPMT.38603,45302,Allocations & Lettings (GF),Temporary Accommodation,1473.04
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38631,45302,Allocations & Lettings (GF),Temporary Accommodation,1745
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38632,45302,Allocations & Lettings (GF),Temporary Accommodation,1745
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38633,45302,Allocations & Lettings (GF),Temporary Accommodation,1745
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38634,45302,Allocations & Lettings (GF),Temporary Accommodation,1745
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38635,45302,Allocations & Lettings (GF),Temporary Accommodation,1745
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38636,45302,Allocations & Lettings (GF),Temporary Accommodation,1742
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38637,45302,Allocations & Lettings (GF),Temporary Accommodation,1742
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38638,45302,Allocations & Lettings (GF),Temporary Accommodation,1491.68
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38639,45302,Allocations & Lettings (GF),Temporary Accommodation,1916.25
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38640,45302,Allocations & Lettings (GF),Temporary Accommodation,1399.17
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38641,45302,Allocations & Lettings (GF),Temporary Accommodation,1919.99
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38642,45302,Allocations & Lettings (GF),Temporary Accommodation,1919.99
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38643,45302,Allocations & Lettings (GF),Temporary Accommodation,1794.58
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38644,45302,Allocations & Lettings (GF),Temporary Accommodation,1000.01
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38645,45302,Allocations & Lettings (GF),Temporary Accommodation,1919.99
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38646,45302,Allocations & Lettings (GF),Temporary Accommodation,1919.99
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38647,45302,Allocations & Lettings (GF),Temporary Accommodation,1374.96
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38648,45302,Allocations & Lettings (GF),Temporary Accommodation,1919.99
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38649,45302,Allocations & Lettings (GF),Temporary Accommodation,1375.01
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38650,45302,Allocations & Lettings (GF),Temporary Accommodation,1590.01
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38651,45302,Allocations & Lettings (GF),Temporary Accommodation,1368.75
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38652,45302,Allocations & Lettings (GF),Temporary Accommodation,1846.73
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38653,45302,Allocations & Lettings (GF),Temporary Accommodation,1738.1
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38654,45302,Allocations & Lettings (GF),Temporary Accommodation,1303.57
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38655,45302,Allocations & Lettings (GF),Temporary Accommodation,1916.25
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38656,45302,Allocations & Lettings (GF),Temporary Accommodation,1546.9
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38657,45302,Allocations & Lettings (GF),Temporary Accommodation,1249.99
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38658,45302,Allocations & Lettings (GF),Temporary Accommodation,1546.9
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38659,45302,Allocations & Lettings (GF),Temporary Accommodation,1916.25
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38660,45302,Allocations & Lettings (GF),Temporary Accommodation,2085.71
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38661,45302,Allocations & Lettings (GF),Temporary Accommodation,1916.25
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38662,45302,Allocations & Lettings (GF),Temporary Accommodation,1549.99
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38663,45302,Allocations & Lettings (GF),Temporary Accommodation,1249.99
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38664,45302,Allocations & Lettings (GF),Temporary Accommodation,2107.44
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38665,45302,Allocations & Lettings (GF),Temporary Accommodation,2107.44
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38666,45302,Allocations & Lettings (GF),Temporary Accommodation,2107.44
LBHF,Aldbury Properties Ltd,2324.4.CPMT.38667,45302,Allocations & Lettings (GF),Temporary Accommodation,2107.44
