Entity Name,Directorate,Service/Board,Cost Centre,Description,Subjective,Description,Supplier Name,Payment Date,Line Amount,Invoice Amount,Net Amount
51 Council of the Isles of Scilly,People and Communities,Fire and Rescue.,600033,2015 Fire Pension Scheme,11423,Pension Lump Sum Payments - Firefighters,One Off Payments,45317,3104.12,3104.12,3104.12
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,22002,Electricity,Edf Energy Plc,45295,432,518.4,432
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,22002,Electricity,Edf Energy Plc,45316,432,518.4,432
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,41109,R&M of Plant & Equipment,Griffitti Ltd,45300,106.56,1771.62,1476.35
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,41109,R&M of Plant & Equipment,Griffitti Ltd,45300,499.71,1771.62,1476.35
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,41109,R&M of Plant & Equipment,Griffitti Ltd,45300,870.08,1771.62,1476.35
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46119,Haulage Costs,Island Carriers,45302,4299.63,5159.54,4299.63
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46119,Haulage Costs,Isles Of Scilly Steamship Co,45307,7654.99,9185.98,7654.99
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46119,Haulage Costs,Isles Of Scilly Steamship Co,45307,4963.42,5956.12,4963.42
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46119,Haulage Costs,Sibleys Fuel & Marine Services,45302,-6219.83,6898.81,6219.83
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46119,Haulage Costs,Sibleys Fuel & Marine Services,45302,2453.2,6898.81,6219.83
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46119,Haulage Costs,Sibleys Fuel & Marine Services,45302,3766.63,6898.81,6219.83
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46119,Haulage Costs,Sibleys Fuel & Marine Services,45302,6219.83,6898.81,6219.83
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46119,Haulage Costs,Suez Recycling and Recovery UK Ltd (was Sita UK Ltd),45321,17397.68,20877.22,17397.68
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,Bryher Forge,45321,1265.5,1265.5,1265.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,Bryher Forge,45321,1265.5,1265.5,1265.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,,45307,1100,1100,1100
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,Tresco Island Ltd,45302,3033.33,3640,3033.33
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,12301,Training,Global ATS Ltd,45295,485,582,485
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,22002,Electricity,Edf Energy Plc,45295,2293.3,2751.96,2293.3
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,27001,Contract Cleaning,Island Cleaning co,45300,1170,1170,1170
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,41109,R&M of Plant & Equipment,Wright Construction,45302,4800,5760,4800
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,41119,Alarm Systems inc Smoke Alarms,Advanced Fire and Security South West Ltd,45300,445,534,445
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43501,External Testing & Analysis,Keysight Technologies UK Ltd,45300,156,982.8,819
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43501,External Testing & Analysis,Keysight Technologies UK Ltd,45300,663,982.8,819
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-7199.3,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-5999.46,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-5999.43,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-1740,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-920,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-703.22,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-575,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-450,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-408,7199.3,5999.42
