Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
03/11/2023,2689430,224495.53,HUSK NORTHERN,401389,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.BUILDINGS CONSTRUCTION
20/11/2023,2697768,222050.02,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
07/11/2023,2690494,217864.94,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
06/11/2023,2690369,201239.27,A & J KEITH LTD,322019,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
01/11/2023,2689016,195084.65,BALFOUR BEATTY WORKPLACE LIMITED,389026,Resources,Central Services,102,Third Party Payments,505,Private Contractors,5042,Revenue,HUMAN RESOURCES.PROFESSIONAL & ADVISORY SERVICES
14/11/2023,2695298,195084.65,BALFOUR BEATTY WORKPLACE LIMITED,389026,Resources,Central Services,102,Third Party Payments,505,Private Contractors,5042,Revenue,HUMAN RESOURCES.PROFESSIONAL & ADVISORY SERVICES
09/11/2023,2693586,188539.19,COMPASS DEVELOPMENTS (NE) LTD,395834,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.BUILDINGS CONSTRUCTION
20/11/2023,2697773,183615.83,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
08/11/2023,2693400,178265.69,SITA UK LIMITED,359430,Waste Management,Environmental & Regulatory Services,105,Third Party Payments,505,Private Contractors,5042,Revenue,WASTE.RECYCLING
16/11/2023,2696597,171462.51,ROTHWELL PLUMBING SERVICES LIMITED,384672,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
01/11/2023,2689016,169225.09,BALFOUR BEATTY WORKPLACE LIMITED,389026,Corporate Strategy,Central Services,102,Third Party Payments,505,Private Contractors,5042,Revenue,HUMAN RESOURCES.PROFESSIONAL & ADVISORY SERVICES
14/11/2023,2695298,169225.09,BALFOUR BEATTY WORKPLACE LIMITED,389026,Corporate Strategy,Central Services,102,Third Party Payments,505,Private Contractors,5042,Revenue,HUMAN RESOURCES.PROFESSIONAL & ADVISORY SERVICES
15/11/2023,2696292,169169.03,TAY VALLEY LIGHTING (NEWCASTLE & NORTH TYNESIDE) LIMITED,357147,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,HIGHWAYS.STREET LIGHTING
23/11/2023,2700336,162169.20,BILLIGENCE EUROPE LTD,403888,Corporate Strategy,Central Services,102,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,ICT.SOFTWARE
24/11/2023,2700928,161663.00,NHC NHS FOUNDATION TRUST,317869,Public Health,Adult Social Care,101,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,PUBLIC HEALTH.SPECIALIST SERVICES
20/11/2023,2697768,153120.10,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
02/11/2023,2689221,140293.12,TYNE & WEAR PENSION FUND,364141,Central Items,Central Services,102,Employees,501,Indirect Employee Expenses,5002,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
07/11/2023,2690783,139264.78,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
30/11/2023,2703219,137735.75,TYNE & WEAR PENSION FUND,364141,,,,,,,,,NON INFLUENCIBLE.PUBLIC SECTOR
10/11/2023,2693718,131430.26,JOHN FLOWERS LTD,302358,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
30/11/2023,2703202,131191.03,SPRINGS ROOFING LTD,331651,,,,,,,,,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
09/11/2023,2693569,129754.48,SURGO CONSTRUCTION LTD,374842,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.BUILDINGS CONSTRUCTION
20/11/2023,2697958,129195.37,JONES LANG LASALLE,388538,"Sport, Leisure & Community",Environmental & Regulatory Services,105,Premises-Related Expenditure,502,Rents,5007,Revenue,LEGAL.REAL ESTATE
13/11/2023,2694680,127266.00,N TYNESIDE CREDIT UNION,324387,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.NON INFLUENCIBLE
21/11/2023,2699318,126037.24,CAPITA SYMONDS LTD,376582,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
13/11/2023,2694334,123270.00,DAV HOMES LTD,390262,Adults,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.NURSING & RESIDENTIAL CARE
27/11/2023,2701999,119624.19,DEERNESS FENCING LTD,316249,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
21/11/2023,2699318,112476.03,CAPITA SYMONDS LTD,376582,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
20/11/2023,2697922,107026.13,NNT LIFT COMPANY (FUNDCO 1) LIMITED,376424,"Sport, Leisure & Community",Cultural & Related Services,104,Third Party Payments,505,Private Contractors,5042,Revenue,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
20/11/2023,2697773,106703.80,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
08/11/2023,2693412,103426.40,AGE UK NORTH TYNESIDE,334565,Adults,Adult Social Care,101,Capital,Capital,Capital,Capital,Revenue,SOCIAL CARE.DAY CARE
08/11/2023,2693400,93705.04,SITA UK LIMITED,359430,Waste Management,Environmental & Regulatory Services,105,Third Party Payments,505,Private Contractors,5042,Revenue,WASTE.RECYCLING
07/11/2023,2690775,92802.32,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
07/11/2023,2690773,91774.26,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
28/11/2023,2702219,91112.02,ACORN CARE & EDUCATION LTD,399754,Commissioning & Asset Management,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,EDUCATIONAL SUPPLIES.EDUCATIONAL PLACEMENTS
20/11/2023,2697913,89035.78,NNT LIFT COMPANY (FUNDCO 1) LIMITED,376424,"Sport, Leisure & Community",Cultural & Related Services,104,Third Party Payments,505,Private Contractors,5042,Revenue,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
08/11/2023,2693367,86946.35,NEWCASTLE HOME CARE ASSOCIATES LTD,382474,Adults,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.HOMECARE SERVICES
30/11/2023,2703287,83333.33,ACORN CARE & EDUCATION LTD,399754,,,,,,,,,EDUCATIONAL SUPPLIES.EDUCATIONAL PLACEMENTS
07/11/2023,2693122,82096.30,UNISUS CARE,399782,Adults,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.NURSING & RESIDENTIAL CARE
20/11/2023,2697794,77144.48,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
17/11/2023,2696741,76996.81,LANO SPORTS NV,404209,Capital,Capital,Capital,Supplies and Services,504,Miscellaneous Expenses,5034,Capital,SPORTS & PLAYGROUND EQUIPMENT.PLAYGROUND EQUIPMENT
27/11/2023,2701967,72962.10,MGM LTD,222037,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
08/11/2023,2693412,72183.70,AGE UK NORTH TYNESIDE,334565,Adults,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.DAY CARE
21/11/2023,2699328,70860.69,ARTEMIS SUPPORT LTD,401592,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.CARE SERVICES
24/11/2023,2700920,70520.97,CAPITA SYMONDS LTD,376582,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
09/11/2023,2693526,66964.22,ENVIROROD LTD,397735,Housing Property Services,Housing Services,108,Capital,Capital,Capital,Capital,Revenue,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
16/11/2023,2696576,66961.57,NWG BUSINESS LIMITED,394938,Waste Management,Holding A/C,N/A,Premises-Related Expenditure,502,Rates,5008,Revenue,WATER.WATER
22/11/2023,2700095,61600.50,BISHOP BEWICK CATHOLIC EDUCATION TRUST,400895,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,NON INFLUENCIBLE.GRANTS
02/11/2023,2689321,58175.78,HOUSING 21,305162,Adults,Adult Social Care,101,Capital,Capital,Capital,Capital,Revenue,SOCIAL CARE.HOMECARE SERVICES
15/11/2023,2696364,57362.00,Redacted Personal Data,374199,Childrens,Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,SOCIAL CARE.ADOPTION SERVICES
21/11/2023,2699307,57362.00,ACTION FOR CHILDREN,380697,Childrens,Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,SOCIAL CARE.FOSTER CARE
01/11/2023,2689030,57331.44,HOUSING 21,305162,Adults,Adult Social Care,101,Capital,Capital,Capital,Capital,Revenue,SOCIAL CARE.HOMECARE SERVICES
22/11/2023,2700258,56020.07,MITIE PROPERTY SERVICES (UK) LTD,364787,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
20/11/2023,2697788,55940.50,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
23/11/2023,2700402,54571.43,PINNACLE CARES FOR YOU LIMITED,396467,Adults,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.NURSING & RESIDENTIAL CARE
13/11/2023,2694334,53819.28,DAV HOMES LTD,390262,Adults,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.NURSING & RESIDENTIAL CARE
06/11/2023,2690121,53637.84,NEW BEGINNINGS (N.E.) LTD,337005,Adults,Adult Social Care,101,Third Party Payments,505,Other Establishments,5041,Revenue,SOCIAL CARE.NURSING & RESIDENTIAL CARE
20/11/2023,2697790,53067.27,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
20/11/2023,2697792,52172.60,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
20/11/2023,2697794,52130.86,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
03/11/2023,2689418,51814.29,GREENLEAF HOUSE CO LIMITED,404676,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.CARE SERVICES
24/11/2023,2700860,50883.15,J&B Recycling Ltd,398861,Waste Management,Environmental & Regulatory Services,105,Third Party Payments,505,Private Contractors,5042,Revenue,ENVIRONMENTAL SERVICES.ENVIRONMENTAL SERVICES
10/11/2023,2693724,50537.00,TYNE & WEAR PENSION FUND,364141,Central Items,N/A,N/A,Employees,501,Indirect Employee Expenses,5002,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
08/11/2023,2693400,50222.91,SITA UK LIMITED,359430,Waste Management,Environmental & Regulatory Services,105,Third Party Payments,505,Private Contractors,5042,Revenue,WASTE.RECYCLING
30/11/2023,2703237,49312.44,JAMES INGLEFORD SCAFFOLDING LTD,397738,,,,,,,,,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
07/11/2023,2690437,49031.76,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
02/11/2023,2689217,48989.61,BDT CARE SOLUTIONS,399153,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.CHILDCARE SERVICES
20/11/2023,2697420,48420.30,ROSEBERRY CARE CENTRES,387542,Adults,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.NURSING & RESIDENTIAL CARE
22/11/2023,2700250,47513.51,ROBERT KIRKLAND (BLYTH) LTD,011398,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
20/11/2023,2697797,46588.77,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
08/11/2023,2693412,46306.88,AGE UK NORTH TYNESIDE,334565,Adults,Adult Social Care,101,Capital,Capital,Capital,Capital,Revenue,SOCIAL CARE.DAY CARE
20/11/2023,2697775,46063.85,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
20/11/2023,2697784,46012.37,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
24/11/2023,2700853,45765.00,INDEPENDENT ADVOCACY (NORTH TYNESIDE),277774,Adults,Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,SOCIAL CARE.ADULT SUPPORT SERVICES
07/11/2023,2693207,45628.80,DJ INSTALLATION & FABRICATION LTD,004782,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
09/11/2023,2693540,45000.00,TYNEHEALTH LTD,393738,Public Health,Public Health,112,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,PUBLIC HEALTH.PUBLIC HEALTH
21/11/2023,2699168,43208.25,CO-OP LEGAL SERVICES,397522,Adults,Adult Social Care,101,Income,509,Customer and Client Receipts,5064,Revenue,LEGAL.GENERAL SUPPORT
07/11/2023,2690710,42974.28,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
27/11/2023,2702026,41381.38,B2NET LTD,374979,Resources,Central Services,102,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,ICT.HARDWARE
30/11/2023,2703244,41142.86,HEXAGON CARE SERVICES,393755,,,,,,,,,SOCIAL CARE.CHILDCARE SERVICES
07/11/2023,2690772,40364.15,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
20/11/2023,2697782,40208.38,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
17/11/2023,2696656,40000.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,Adults,Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
07/11/2023,2690577,39669.49,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/11/2023,2689030,39372.08,HOUSING 21,305162,Adults,Adult Social Care,101,Capital,Capital,Capital,Capital,Revenue,SOCIAL CARE.HOMECARE SERVICES
20/11/2023,2697786,39372.03,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
22/11/2023,2700250,39089.06,ROBERT KIRKLAND (BLYTH) LTD,011398,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
20/11/2023,2697788,38977.03,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
07/11/2023,2693200,38650.67,AGE UK NORTH TYNESIDE,334565,Adults,Adult Social Care,101,Capital,Capital,Capital,Capital,Revenue,SOCIAL CARE.DAY CARE
06/11/2023,2690357,38578.94,BURNT TREE GROUP LTD,348086,Fleet Management,Unallocated,N/A,Transport,503,Contract Hire and Operating Leases,5018,Revenue,VEHICLE MANAGEMENT.HIRE & LEASE
14/11/2023,2695392,38241.00,Redacted Personal Data,374199,Childrens,Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,SOCIAL CARE.ADOPTION SERVICES
30/11/2023,2703217,37500.00,POST ADOPTION CENTRE,382567,,,,,,,,,HUMAN RESOURCES.TRAINING & CONFERENCES
30/11/2023,2703271,37318.71,E.ON,376300,,,,,,,,,ELECTRICITY.ELECTRICITY
16/11/2023,2696600,37198.01,AGE UK NORTH TYNESIDE,334565,Adults,Adult Social Care,101,Capital,Capital,Capital,Capital,Revenue,SOCIAL CARE.DAY CARE
28/11/2023,2702208,36951.17,CHURCHILL COMMUNITY COLLEGE,338724,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.NT SCHOOLS
03/11/2023,2689486,36844.60,JUSTICE PRINCE CIC,376479,Housing Property Services,Housing Services,108,Capital,Capital,Capital,Capital,Revenue,HUMAN RESOURCES.TRAINING & CONFERENCES
02/11/2023,2689204,36784.00,E.ON,376300,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,ELECTRICITY.ELECTRICITY
20/11/2023,2697790,36615.66,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
20/11/2023,2697909,35984.00,FOREVER CARE,391221,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.CARE SERVICES
24/11/2023,2700967,35984.00,FOREVER CARE,391221,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.CARE SERVICES
20/11/2023,2697964,35424.01,CORA FOUNDATION,393805,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.CHILDCARE SERVICES
09/11/2023,2693547,35378.75,KAJIMA NORTH TYNESIDE LTD,356854,Commissioning & Asset Management,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
20/11/2023,2697792,34943.34,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
30/11/2023,2703202,34834.20,SPRINGS ROOFING LTD,331651,,,,,,,,,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
27/11/2023,2701946,34522.27,MCVICKERS LTD,321871,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
15/11/2023,2696330,34289.10,ACTIVE YOUNG PEOPLE LTD,403935,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.CHILDREN'S CENTRES
28/11/2023,2702266,34157.27,WHITLEY BAY HIGH SCHOOL,276855,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.NT SCHOOLS
09/11/2023,2693584,33492.89,LEYBOURNE URWIN LTD,012320,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,CONSTRUCTION
20/11/2023,2697775,33209.00,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
15/11/2023,2696330,33183.00,ACTIVE YOUNG PEOPLE LTD,403935,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.CHILDREN'S CENTRES
15/11/2023,2696353,32924.57,RADICAL SERVICES LTD,316763,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.NURSING & RESIDENTIAL CARE
07/11/2023,2693218,32874.88,ALLIED HEALTHCARE GROUP LTD,347472,Adults,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.HOMECARE SERVICES
30/11/2023,2703263,32550.00,CAMBIAN WHINFELL SCHOOL LTD,391229,,,,,,,,,SOCIAL CARE.NURSING & RESIDENTIAL CARE
20/11/2023,2697909,31916.00,FOREVER CARE,391221,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.CARE SERVICES
08/11/2023,2693412,30852.56,AGE UK NORTH TYNESIDE,334565,Adults,Adult Social Care,101,Capital,Capital,Capital,Capital,Revenue,SOCIAL CARE.DAY CARE
22/11/2023,2700091,30736.35,BISHOP BEWICK CATHOLIC EDUCATION TRUST,400895,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,NON INFLUENCIBLE.GRANTS
20/11/2023,2697784,30614.96,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
08/11/2023,2693412,30450.48,AGE UK NORTH TYNESIDE,334565,Adults,Adult Social Care,101,Capital,Capital,Capital,Capital,Revenue,SOCIAL CARE.DAY CARE
15/11/2023,2696257,30375.00,VIRGIN MEDIA BUSINESS,405237,Resources,Central Services,102,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,TELECOMMUNICATIONS.MOBILE
20/11/2023,2697892,30202.86,PARTNERS IN CARE LTD,404558,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.ADOPTION SERVICES
