Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
18/01/2024,2724508,640218.44,SITA UK LIMITED,359430,Waste Management,Environmental & Regulatory Services,105,Third Party Payments,505,Private Contractors,5042,Revenue,WASTE.RECYCLING
29/01/2024,2728097,636597.00,TYNE & WEAR FIRE & RESCUE SERVICE,378230,General Fund Financing,Environmental & Regulatory Services,105,Excluded from General Fund,N/A,Collection Fund,N/A,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
12/01/2024,2721055,482123.98,KAJIMA NORTH TYNESIDE LTD,356854,Commissioning & Asset Management,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
18/01/2024,2724429,465150.54,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
02/01/2024,2717315,430166.43,CAPITA SYMONDS LTD,376582,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
18/01/2024,2724430,423044.43,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
29/01/2024,2728096,411620.00,NEWCASTLE CITY COUNCIL,014331,Regeneration & Economic Development,Cultural & Related Services,104,Third Party Payments,505,Other Local Authorities,5037,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
30/01/2024,2728951,335499.72,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
02/01/2024,2715792,328666.06,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
18/01/2024,2724429,325658.29,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
18/01/2024,2724430,280716.86,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
31/01/2024,2731240,268208.05,JONES LANG LASALLE,388538,Commissioning & Asset Management,Unallocated,N/A,Premises-Related Expenditure,502,Rents,5007,Revenue,LEGAL.REAL ESTATE
18/01/2024,2724425,240871.78,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
09/01/2024,2719252,221313.27,SURGO CONSTRUCTION LTD,374842,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.BUILDINGS CONSTRUCTION
30/01/2024,2728664,206051.35,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
02/01/2024,2715694,203302.50,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
11/01/2024,2720326,195084.65,BALFOUR BEATTY WORKPLACE LIMITED,389026,Resources,Central Services,102,Third Party Payments,505,Private Contractors,5042,Revenue,HUMAN RESOURCES.PROFESSIONAL & ADVISORY SERVICES
23/01/2024,2726462,190000.00,NEWCASTLE CITY COUNCIL,014331,Resources,Central Services,102,Third Party Payments,505,Health Authorities,5038,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
18/01/2024,2724508,178265.69,SITA UK LIMITED,359430,Waste Management,Environmental & Regulatory Services,105,Third Party Payments,505,Private Contractors,5042,Revenue,WASTE.RECYCLING
18/01/2024,2724425,169951.56,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
11/01/2024,2720326,169225.09,BALFOUR BEATTY WORKPLACE LIMITED,389026,Corporate Strategy,Central Services,102,Third Party Payments,505,Private Contractors,5042,Revenue,HUMAN RESOURCES.PROFESSIONAL & ADVISORY SERVICES
09/01/2024,2719410,161663.00,NHC NHS FOUNDATION TRUST,317869,Public Health,Adult Social Care,101,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,PUBLIC HEALTH.SPECIALIST SERVICES
23/01/2024,2726470,161663.00,NHC NHS FOUNDATION TRUST,317869,Public Health,Adult Social Care,101,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,PUBLIC HEALTH.SPECIALIST SERVICES
22/01/2024,2725698,150000.00,NORTH TYNESIDE CITIZENS ADVICE BUREAU,320420,Corporate Strategy,Adult Social Care,101,Supplies and Services,504,Grants and Subscriptions,5031,Revenue,FINANCIAL SERVICES.FINANCIAL SERVICES
09/01/2024,2719195,146738.00,WHITLEY BAY HIGH SCHOOL,276855,Capital,Capital,Capital,Supplies and Services,504,Equipment,5023,Capital,NON INFLUENCIBLE.NT SCHOOLS
03/01/2024,2717654,140789.33,LIQUIDLOGIC LIMITED,394403,Resources,Adult Social Care,101,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,ICT.SOFTWARE
12/01/2024,2720966,140238.17,COMPASS DEVELOPMENTS (NE) LTD,395834,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.BUILDINGS CONSTRUCTION
05/01/2024,2718071,139998.38,TYNE & WEAR PENSION FUND,364141,Central Items,Central Services,102,Employees,501,Indirect Employee Expenses,5002,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
02/01/2024,2715787,136521.97,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
30/01/2024,2728987,136040.37,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
08/01/2024,2719050,135086.33,NWG BUSINESS LIMITED,394938,Waste Management,Holding A/C,N/A,Premises-Related Expenditure,502,Rates,5008,Revenue,WATER.WATER
15/01/2024,2722003,130185.00,Redacted Personal Data,404039,Capital,Capital,Capital,Supplies and Services,504,Miscellaneous Expenses,5034,Capital,PUBLIC HEALTH.GP SURGERY SERVICES
12/01/2024,2721026,130033.86,TG ESCAPES LTD,403761,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.BUILDINGS CONSTRUCTION
05/01/2024,2718075,129195.37,JONES LANG LASALLE,388538,"Sport, Leisure & Community",Environmental & Regulatory Services,105,Premises-Related Expenditure,502,Rents,5007,Revenue,LEGAL.REAL ESTATE
12/01/2024,2721080,129055.00,N TYNESIDE CREDIT UNION,324387,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.NON INFLUENCIBLE
16/01/2024,2723577,127533.93,CAPITA SYMONDS LTD,376582,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
31/01/2024,2731262,125400.00,NEXUS,305246,Commissioning & Asset Management,Children's & Education Services,103,Transport,503,Recharges,5017,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
23/01/2024,2726471,124500.00,COMMUNITIES AND LOCAL GOVERNMENT ONLY,374444,Central Items,Central Services,102,Supplies and Services,504,Equipment,5023,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
22/01/2024,2725685,117886.00,NWG BUSINESS LIMITED,394938,Waste Management,Holding A/C,N/A,Premises-Related Expenditure,502,Rates,5008,Revenue,WATER.WATER
10/01/2024,2720173,115357.75,A & J KEITH LTD,322019,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
17/01/2024,2724339,107026.13,NNT LIFT COMPANY (FUNDCO 1) LIMITED,376424,"Sport, Leisure & Community",Cultural & Related Services,104,Third Party Payments,505,Private Contractors,5042,Revenue,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
31/01/2024,2731296,105650.58,CAPITA SYMONDS LTD,376582,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
12/01/2024,2721077,103426.40,AGE UK NORTH TYNESIDE,334565,Adults,Adult Social Care,101,Capital,Capital,Capital,Capital,Revenue,SOCIAL CARE.DAY CARE
18/01/2024,2724432,103367.00,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
04/01/2024,2717757,101981.43,DTZ DEBENHAM TIE LEUNG,333216,Commissioning & Asset Management,Central Services,102,Premises-Related Expenditure,502,Rents,5007,Revenue,CONSULTANCY.CONSULTANCY
12/01/2024,2721044,100000.00,TYNEHEALTH LTD,393738,Public Health,Public Health,112,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,PUBLIC HEALTH.PUBLIC HEALTH
05/01/2024,2717999,98691.70,DTZ DEBENHAM TIE LEUNG,333216,Commissioning & Asset Management,Central Services,102,Premises-Related Expenditure,502,Rents,5007,Revenue,CONSULTANCY.CONSULTANCY
05/01/2024,2718126,97603.65,NTW NHS TRUST,374360,Public Health,Public Health,112,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,NON INFLUENCIBLE.DOCTORS/MEDICAL FEES
02/01/2024,2715780,95968.20,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
30/01/2024,2728980,95926.63,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
02/01/2024,2715795,92094.82,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
30/01/2024,2728954,91063.27,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
08/01/2024,2719104,90543.35,NEWCASTLE HOME CARE ASSOCIATES LTD,382474,Adults,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.HOMECARE SERVICES
15/01/2024,2721986,90312.19,UNISUS CARE,399782,Adults,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.NURSING & RESIDENTIAL CARE
18/01/2024,2724421,89325.46,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
17/01/2024,2724327,89035.78,NNT LIFT COMPANY (FUNDCO 1) LIMITED,376424,"Sport, Leisure & Community",Cultural & Related Services,104,Third Party Payments,505,Private Contractors,5042,Revenue,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
29/01/2024,2728092,86891.00,GATESHEAD COUNCIL,231440,Regeneration & Economic Development,Highways & Transport Services,107,Third Party Payments,505,Private Contractors,5042,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
17/01/2024,2724279,86592.73,NEWCASTLE HOME CARE ASSOCIATES LTD,382474,Adults,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.HOMECARE SERVICES
08/01/2024,2719145,80054.00,B2NET LTD,374979,Resources,Central Services,102,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,ICT.HARDWARE
12/01/2024,2721060,78344.36,CAPITA SYMONDS LTD,376582,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
02/01/2024,2717243,77925.00,ARTEMIS SUPPORT LTD,401592,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.CARE SERVICES
29/01/2024,2728027,77601.36,DEERNESS FENCING LTD,316249,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
12/01/2024,2721029,75535.69,COMFORT CALL LTD,316204,Adults,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.CARE SERVICES
31/01/2024,2731223,74661.60,ASH DEBTOR REFUNDS,299979,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.NON INFLUENCIBLE
26/01/2024,2727612,73366.01,ACORN CARE & EDUCATION LTD,399754,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,EDUCATIONAL SUPPLIES.EDUCATIONAL PLACEMENTS
09/01/2024,2719412,71789.65,ROTHWELL PLUMBING SERVICES LIMITED,384672,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
18/01/2024,2724432,71418.50,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
16/01/2024,2723577,70453.88,CAPITA SYMONDS LTD,376582,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
09/01/2024,2719377,70143.28,LEIGH'S NURSERIES,391513,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
12/01/2024,2721077,68171.48,AGE UK NORTH TYNESIDE,334565,Adults,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.DAY CARE
16/01/2024,2723517,66000.00,ARTEMIS SUPPORT LTD,401592,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.CARE SERVICES
31/01/2024,2731200,65714.29,NORTH OF TYNE COMBINED AUTHORITY,398434,Resources,Holding A/C,N/A,Third Party Payments,505,Other Local Authorities,5037,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
12/01/2024,2721077,64164.06,AGE UK NORTH TYNESIDE,334565,Adults,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.DAY CARE
18/01/2024,2724421,62881.74,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
09/01/2024,2719465,60739.23,BAILEY'S BUTTERFLIES,392846,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,NON INFLUENCIBLE.GRANTS
03/01/2024,2717680,60000.00,THOMAS SHERRIFF & CO LTD,399182,Capital,Capital,Capital,Supplies and Services,504,Equipment,5023,Capital,VEHICLE MANAGEMENT.FLEET MANAGEMENT
22/01/2024,2725672,59899.09,SPRINGS ROOFING LTD,331651,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
02/01/2024,2715739,59796.88,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
24/01/2024,2726948,59620.01,SPRINGS ROOFING LTD,331651,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
05/01/2024,2718009,58427.54,J&B Recycling Ltd,398861,Waste Management,Environmental & Regulatory Services,105,Third Party Payments,505,Private Contractors,5042,Revenue,ENVIRONMENTAL SERVICES.ENVIRONMENTAL SERVICES
12/01/2024,2720979,58349.24,J&B Recycling Ltd,398861,Waste Management,Environmental & Regulatory Services,105,Third Party Payments,505,Private Contractors,5042,Revenue,ENVIRONMENTAL SERVICES.ENVIRONMENTAL SERVICES
09/01/2024,2719374,58224.94,HOUSING 21,305162,Adults,Adult Social Care,101,Capital,Capital,Capital,Capital,Revenue,SOCIAL CARE.HOMECARE SERVICES
18/01/2024,2724419,57361.64,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
18/01/2024,2724417,56543.06,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
30/01/2024,2728648,55786.52,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
16/01/2024,2723521,55416.10,HUSK NORTHERN,401389,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.BUILDINGS CONSTRUCTION
30/01/2024,2730966,53960.59,CAPITA SYMONDS LTD,376582,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
24/01/2024,2726948,53381.92,SPRINGS ROOFING LTD,331651,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
31/01/2024,2731192,52045.00,ORCHARD INFORMATION SYSTEMS LTD,334651,Housing Property Services,Housing Services,108,Supplies and Services,504,Communications & Computing,5028,Revenue,ICT.SOFTWARE
02/01/2024,2717315,51563.04,CAPITA SYMONDS LTD,376582,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
18/01/2024,2724413,50931.79,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
09/01/2024,2719412,50862.80,ROTHWELL PLUMBING SERVICES LIMITED,384672,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
22/01/2024,2725717,48989.61,BDT CARE SOLUTIONS,399153,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.CHILDCARE SERVICES
05/01/2024,2718126,47765.75,NTW NHS TRUST,374360,Public Health,Public Health,112,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,NON INFLUENCIBLE.DOCTORS/MEDICAL FEES
12/01/2024,2721063,47612.58,GRASMERE ACADAMY,388867,Commissioning & Asset Management,Children's & Education Services,103,Third Party Payments,505,Independent Units within the Council,5035,Revenue,NON INFLUENCIBLE.EXT SCHOOLS
05/01/2024,2717998,47409.30,BDT CARE SOLUTIONS,399153,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.CHILDCARE SERVICES
02/01/2024,2714768,46892.59,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
02/01/2024,2717240,46513.67,CAMBIAN WHINFELL SCHOOL LTD,402215,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.NURSING & RESIDENTIAL CARE
12/01/2024,2720944,45894.20,NITELITES LIMITED,014762,Regeneration & Economic Development,Cultural & Related Services,104,Third Party Payments,505,Private Contractors,5042,Revenue,OFFICE & REPROGRAPHICS EQUIPMENT.OFFICE & REPROGRAPHICS EQUIPMENT
18/01/2024,2724415,45424.28,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
18/01/2024,2724405,45354.95,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
12/01/2024,2721051,45350.68,MGM LTD,222037,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
02/01/2024,2715220,45332.45,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
17/01/2024,2724314,45000.00,TYNEHEALTH LTD,393738,Public Health,Public Health,112,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,PUBLIC HEALTH.PUBLIC HEALTH
30/01/2024,2728808,44826.28,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
18/01/2024,2724424,44646.97,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
30/01/2024,2728765,43671.85,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
29/01/2024,2728093,43480.00,SOUTH TYNESIDE COUNCIL,262872,Central Items,Central Services,102,Employees,501,Indirect Employee Expenses,5002,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
23/01/2024,2726469,43035.00,ESRI (UK) LTD,329616,Resources,Adult Social Care,101,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,ICT.SOFTWARE
09/01/2024,2719274,42663.88,BISHOP BEWICK CATHOLIC EDUCATION TRUST,400895,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,NON INFLUENCIBLE.GRANTS
18/01/2024,2724404,42542.28,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
26/01/2024,2727549,42514.28,HEXAGON CARE SERVICES,393755,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.CHILDCARE SERVICES
08/01/2024,2719064,42392.11,HOUSING 21,305162,Adults,Adult Social Care,101,Capital,Capital,Capital,Capital,Revenue,SOCIAL CARE.HOMECARE SERVICES
12/01/2024,2721060,42219.84,CAPITA SYMONDS LTD,376582,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
12/01/2024,2721120,42067.51,PINNACLE CARES FOR YOU LIMITED,396467,Adults,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.NURSING & RESIDENTIAL CARE
17/01/2024,2724256,41785.72,GREENLEAF HOUSE CO LIMITED,404676,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.CARE SERVICES
09/01/2024,2719457,41493.20,EVOLUTION CHILDCARE,394146,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,NON INFLUENCIBLE.GRANTS
09/01/2024,2719474,41403.43,KIDS 1ST DAY NURSERIES,358393,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.CHILDCARE SERVICES
18/01/2024,2724417,41364.22,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
09/01/2024,2719334,41207.68,FOOTPRINTS DAY NURSERY WALLSEND,397376,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,SOCIAL CARE.CHILDCARE SERVICES
05/01/2024,2718110,41195.00,MR TIMOTHY DONNELLY,384386,Resources,Central Services,102,Capital,Capital,Capital,Capital,Revenue,LEGAL.LEGAL OPINION
18/01/2024,2724419,40512.43,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
16/01/2024,2723600,40272.29,HOME GROUP LIMITED,318977,Adults,Adult Social Care,101,Capital,Capital,Capital,Capital,Revenue,LEGAL.REAL ESTATE
12/01/2024,2720930,40000.00,GENERAL BACS PAYMENTS - BSS ONLY,381148,Adults,Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
02/01/2024,2715794,39645.50,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
30/01/2024,2728953,39543.35,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
02/01/2024,2717322,39242.75,NHC NHS FOUNDATION TRUST,317869,Commissioning & Asset Management,Children's & Education Services,103,Third Party Payments,505,Health Authorities,5038,Revenue,PUBLIC HEALTH.SPECIALIST SERVICES
