Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
01/08/2023,2646804,253.30,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646805,349.50,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646819,416.74,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646821,254.00,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646841,394.66,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646842,291.40,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646847,686.02,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646849,4009.59,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646864,387.98,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646873,265.42,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646892,381.76,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646910,280.90,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646914,270.20,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646933,290.78,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646939,269.20,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646940,270.26,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646945,356.26,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646948,252.48,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646957,373.20,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646958,262.70,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646971,366.22,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646985,256.60,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646987,305.66,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2646988,253.16,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647005,251.86,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647016,365.92,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647018,441.54,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647053,276.92,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647054,253.16,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647083,274.35,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647096,253.16,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647108,305.66,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647131,816.94,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647149,353.22,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647151,265.56,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647154,346.00,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647157,253.16,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647169,268.72,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647177,346.16,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647206,409.30,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647209,267.36,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647236,291.40,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647250,394.66,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647269,250.36,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647289,252.06,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647295,270.26,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647298,269.20,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647308,310.90,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647314,816.94,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647318,436.96,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647324,254.46,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647327,302.64,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647329,253.16,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647337,290.96,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647342,252.32,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647343,254.46,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647346,390.52,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647354,433.22,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647364,295.34,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647367,436.96,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647371,347.18,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647379,266.94,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647407,265.56,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647417,616.90,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647428,297.70,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647430,285.06,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647439,459.18,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
01/08/2023,2647595,765.90,AP AND D CONSULTANCEY,404083,Corporate Strategy,Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,CONSULTANCY.CONSULTANCY
01/08/2023,2647596,1545.00,MBL SEMINARS LIMITED,377458,Resources,Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,HUMAN RESOURCES.TRAINING & CONFERENCES
01/08/2023,2647631,103508.75,NTW NHS TRUST,374360,Public Health,Public Health,112,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,NON INFLUENCIBLE.DOCTORS/MEDICAL FEES
01/08/2023,2647631,47765.75,NTW NHS TRUST,374360,Public Health,Public Health,112,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,NON INFLUENCIBLE.DOCTORS/MEDICAL FEES
01/08/2023,2647633,431.46,W MCCLURE LTD,211194,Childrens,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,CATERING.FOOD & BEVERAGES
01/08/2023,2647633,356.48,W MCCLURE LTD,211194,Childrens,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,CATERING.FOOD & BEVERAGES
01/08/2023,2647633,220.86,W MCCLURE LTD,211194,Childrens,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,CATERING.FOOD & BEVERAGES
01/08/2023,2647633,28.28,W MCCLURE LTD,211194,Childrens,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,CATERING.FOOD & BEVERAGES
01/08/2023,2647635,6398.88,DAVID GRAY SOLICITORS,369322,Adults,Adult Social Care,101,Income,509,Customer and Client Receipts,5064,Revenue,LEGAL.GENERAL SUPPORT
01/08/2023,2647636,1500.00,IRON PRESS,009169,Regeneration & Economic Development,Cultural & Related Services,104,Third Party Payments,505,Private Contractors,5042,Revenue,SUBSCRIPTIONS & PUBLICATIONS.BOOKS & PUBLICATIONS
01/08/2023,2647637,3155.86,NORTH TYNESIDE COUNCIL,102767,Central Items,Holding A/C,N/A,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
01/08/2023,2647638,294.10,NORTH TYNESIDE COUNCIL,102767,Childrens,Children's & Education Services,103,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
01/08/2023,2647640,653.11,DVS COMPONENTS,004169,Fleet Management,Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,VEHICLE MANAGEMENT.PARTS
01/08/2023,2647640,321.45,DVS COMPONENTS,004169,Fleet Management,Unallocated,N/A,Transport,503,Direct Transport Costs,5016,Revenue,VEHICLE MANAGEMENT.PARTS
01/08/2023,2647641,1407.41,LINSKILL & NORTH TYNESIDE COMMUNITY DEVELOPMENT TRUST,368853,Childrens,Children's & Education Services,103,Premises-Related Expenditure,502,Rents,5007,Revenue,FACILITIES MANAGEMENT.ROOM HIRE
01/08/2023,2647641,36.37,LINSKILL & NORTH TYNESIDE COMMUNITY DEVELOPMENT TRUST,368853,Childrens,Children's & Education Services,103,Premises-Related Expenditure,502,Rents,5007,Revenue,FACILITIES MANAGEMENT.ROOM HIRE
01/08/2023,2647642,426.00,H MALONE & SONS LTD,013075,Housing Property Services,Housing Services,108,Capital,Capital,Capital,Capital,Revenue,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
01/08/2023,2647643,4800.00,THE TRUSTEES OF THE DIOCESE OF HEXHAM & NEWCASTLE,004510,Commissioning & Asset Management,Children's & Education Services,103,Premises-Related Expenditure,502,Rents,5007,Revenue,LEGAL.REAL ESTATE
01/08/2023,2647645,262.90,MIW OFFICE SOLUTIONS LTD,325610,"Sport, Leisure & Community",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,CATERING.VENDING MACHINES & DISPENSERS
01/08/2023,2647645,131.45,MIW OFFICE SOLUTIONS LTD,325610,"Sport, Leisure & Community",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,CATERING.VENDING MACHINES & DISPENSERS
01/08/2023,2647645,131.45,MIW OFFICE SOLUTIONS LTD,325610,"Sport, Leisure & Community",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,CATERING.VENDING MACHINES & DISPENSERS
01/08/2023,2647645,131.45,MIW OFFICE SOLUTIONS LTD,325610,"Sport, Leisure & Community",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,CATERING.VENDING MACHINES & DISPENSERS
01/08/2023,2647645,131.45,MIW OFFICE SOLUTIONS LTD,325610,"Sport, Leisure & Community",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,CATERING.VENDING MACHINES & DISPENSERS
