Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Service charge - ICT,Primary Care and Prevention,KAINOS SOFTWARE LTD,KSUK05789,228182.48,Extension of Alpha phase NHS Health Checks,BT7 1NT,Large,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Publicity & advertising,Primary Care and Prevention,MULLENLOWE LONDON,9052022092,59859.14,EY - 23Red fees,EC1Y 1AT,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Outsourcing Contract,Primary Care and Prevention,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,4400000924,61833,MHA Approvals Function - Midlands and EoE Panel,DN4 8QN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Outsourcing Contract,Primary Care and Prevention,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,53512794,66214.21,MHA Approvals Function - London Panel,W2 6LA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Fast streamers,Primary Care and Prevention,CABINET OFFICE,3835989,14622,Stats FS prog costs,FY5 9BU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Outsourcing Contract,Primary Care and Prevention,TEES ESK AND WEAR VALLEYS NHS FOUNDATION TRUST,4810023598,56384.82,MHA Approvals Function - North Panel,TS6 0SZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to non-profit institutions,Primary Care and Prevention,THE WOMEN'S ORGANISATION,ASI0043246,50000,Grabts Ref: 2022/026n-HW WRWW The Women’s Organisation- 2022/23,L1 0AB,Small,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Research & development,Primary Care and Prevention,THE GADDUM CENTRE,20353,30402.19,Culturally appropriate advocacy phase 2 pilots,M15 45BJ,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Other programme expenditure,Primary Care and Prevention,HSL PATHOLOGY LLP,IN004141,40064.4,6728789 HEALTH SERVICE LABORATORIES T/A HSL PATHOLOGY LLP: C,WC1H 9AX,Large,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,Other programme expenditure,Office For Health Improvement & Disparities (OHID),University of Washington Institute,FCP0002200,50000,University of Washington Institute  INVOICE GSA00333,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,02/01/2024,Research & development,Office For Health Improvement & Disparities (OHID),Universidad Peruana Cayetano Heredia ,FCP0002129,93242,Universidad Peruana Cayetano Heredia NIHR150261,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,30/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),WAVEMAKER LIMITED,M34973,37682,EVERY MIND MATTERS HOLISTIC EVALUATION,SE1 9ET,Large,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Service charge - ICT,Office For Health Improvement & Disparities (OHID),WELLSET REPO LIMITED T/A FLIPSIDE,9010674627,137280,BPU Better Health apps - Mental Health Phase 2,GU6 8AJ,Large,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),MULLENLOWE LONDON,9052022008,52079.7,BH EY HLE creative production and fees,EC1Y 1AT,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),MULLENLOWE LONDON,9052021988,33828.45,January Quit Smoking Campaign - Production Costs,EC1Y 1AT,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Service charge - ICT,Office For Health Improvement & Disparities (OHID),SOFTWIRE TECHNOLOGY LTD,45908,26602.5,DHSC/OHID MHISS DOSS Final Version 2023/24,NW5 1TL,Medium,,,
