Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PF00018195,1492000,CENT/ACTIF/RX1/2023-06-27/A,NG5 1PB,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,PF00018194,46000,CENT/SCREE/RJL/2023-10-10/A,DN15 7BH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,PF00018193,60000,CENT/CYBER/RJL/2023-11-09/A,DN15 7BH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,NORTH EAST LONDON NHS FOUNDATION TRUST,PF00018192,275000,CENT/MHUEC/RAT/2023-09-04/A,CM8 2TL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,NORTH EAST LONDON NHS FOUNDATION TRUST,PF00018191,514000,CENT/MHUEC/RAT/2023-08-24/A,CM8 2TL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,NORTH BRISTOL NHS TRUST,PF00018190,5569000,CENT/TIFES/RVJ/2023-10-30/A,BS1 2NP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,NORTH BRISTOL NHS TRUST,PF00018189,300000,CENT/ENDOS/RVJ/2024-01-12/A,BS1 2NP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,MEDWAY NHS FOUNDATION TRUST,PF00018188,28000,CENT/DDCPP/RPA/2022-10-26/A,ME7 5NY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,PF00018187,1500000,CENT/ENDOS/RJZ/2023-08-15/A,SE5 9RS,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,PF00018186,1380000,CENT/ACTIF/RJZ/2023-07-24/A,SE5 9RS,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PF00018185,257000,CENT/TIFES/RGP/2023-07-13/A,NR31 6LA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PF00018184,1052000,CENT/STPIF/RGP/2023-09-13/A,NR31 6LA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PF00018183,474000,CENT/RAACP/RGP/2023-03-07/A,NR31 6LA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PF00018182,109000,CENT/NHPFE/RGP/2023-06-09/A,NR31 6LA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PF00018181,77000,CENT/NHPEN/RGP/2023-08-04/A,NR31 6LA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,PF00018180,60000,CENT/MISCS/RQX/2023-12-15/A,E9 6SR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,GEORGE ELIOT HOSPITAL NHS TRUST,PF00018179,1378000,CENT/CDCHU/RLT/2023-02-14/A,CV10 7DJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,GEORGE ELIOT HOSPITAL NHS TRUST,PF00018178,2100000,CENT/ACTIF/RLT/2023-06-27/A,CV10 7DJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,FRIMLEY HEALTH NHS FOUNDATION TRUST,PF00018177,10000000,CENT/TIFES/RDU/2024-01-10/A,GU16 5UJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,EAST SUSSEX HEALTHCARE NHS TRUST,PF00018176,500000,CENT/NHPEN/RXC/2023-08-04/A,TN37 7PT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,EAST SUSSEX HEALTHCARE NHS TRUST,PF00018175,500000,CENT/DDCPP/RXC/2023-06-07/A,TN37 7PT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,PF00018174,340000,CENT/STPIF/RYC/2023-11-08/A,NR6 5NA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,PF00018173,150000,CENT/MHUEC/RYC/2023-06-19/A,NR6 5NA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,PF00018172,315000,CENT/ACTIF/RYC/2023-07-31/A,NR6 5NA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,EAST LANCASHIRE HOSPITALS NHS TRUST,PF00018171,1000000,CENT/ACTIF/RXR/2023-07-12/A,BB2 3HH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,EAST CHESHIRE NHS TRUST,PF00018170,327000,CENT/TIFES/RJN/2023-01-03/A,SK10 3BL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,EAST CHESHIRE NHS TRUST,PF00018169,26000,CENT/SCREE/RJN/2023-10-10/A,SK10 3BL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,EAST CHESHIRE NHS TRUST,PF00018168,275000,CENT/ENDOS/RJN/2023-11-15/A,SK10 3BL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,EAST CHESHIRE NHS TRUST,PF00018167,100000,CENT/CYBER/RJN/2023-11-09/A,SK10 3BL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,EAST CHESHIRE NHS TRUST,PF00018166,1883000,CENT/CDCHU/RJN/2023-09-22/A,SK10 3BL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,EAST & NORTH HERTFORDSHIRE NHS TRUST,PF00018165,3500000,CENT/STPIF/RWH/2023-05-25/A,BS1 2NP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,CROYDON HEALTH SERVICES NHS TRUST,PF00018164,427000,CENT/ENDOS/RJ6/2023-12-15/A,CR7 7YE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,CROYDON HEALTH SERVICES NHS TRUST,PF00018163,3982000,CENT/CDCHU/RJ6/2023-02-14/B,CR7 7YE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,PF00018162,2315000,CENT/TIFES/RQM/2022-12-01/A,SW10 9NH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,PF00018161,1221000,CENT/TIFES/RQM/2022-10-03/A,SW10 9NH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,PF00018160,2576000,CENT/ACTIF/RQM/2023-06-27/A,SW10 9NH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,PF00018159,420000,CENT/STPIF/RC9/2023-06-02/B,LU4 0DZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,PF00018158,5200000,CENT/STPIF/RC9/2022-01-07/A,LU4 0DZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,PF00018157,60000,CENT/CYBER/RC9/2023-11-09/A,LU4 0DZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,PF00018156,723000,CENT/CDCHU/RC9/2023-02-14/A,LU4 0DZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,BARKING HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST,PF00018155,10000000,CENT/TIFES/RF4/2022-10-03/A,WF3 1WE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,BARKING HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST,PF00018154,6911000,CENT/CDCHU/RF4/2022-11-23/A,WF3 1WE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2024,Additions NCB PDC,Default Group,AIREDALE NHS FOUNDATION TRUST,PF00018153,130000,CENT/SCREE/RCF/2023-10-10/A,BD20 6TD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2024,EPC Control Account,Default Group,THE ROYAL BANK OF SCOTLAND PLC,EPC/BANNERDEC23JAN24,21901.52,EPC,SS1 9AJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Additions NCB PDC,Default Group,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,PF00018152,17119000,DHPF/REVSP/RXL/2024-01-11/A,FY3 8NR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,PF00018151,1267000,CENT/TIFES/RCB/2023-02-07/B,YO30 4RY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,PF00018079,11000000,DHPF/REVSP/RWP/2024-01-11/A,WR5 1DD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,PF00018150,734000,CENT/TIFES/RWW/2022-10-24/A,WF3 1WE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,PF00018149,42000,CENT/IMAGI/RWW/2023-07-07/A,WF3 1WE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,PF00018148,162000,CENT/CDCHU/RWW/2023-07-14/A,WF3 1WE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,PF00018147,388000,CENT/CDCHU/RWW/2022-11-16/A,WF3 1WE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,PF00018146,238000,CENT/SCREE/RK9/2023-10-10/A,WF3 1WE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,PF00018145,1740000,CENT/ENDOS/RK9/2022-10-18/A,WF3 1WE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,PF00018144,454000,CENT/DDCPP/RK9/2023-01-23/A,WF3 1WE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,PF00018143,500000,CENT/DDCPP/RK9/2023-01-09/B,WF3 1WE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,PF00018142,75000,CENT/CYBER/RK9/2023-12-08/A,WF3 1WE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,PF00018141,12024000,CENT/ACTIF/RK9/2023-11-10/A,WF3 1WE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,PF00018078,2800000,DHPF/REVSP/RK9/2024-01-11/A,WF3 1WE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,PF00018077,3317000,DHPF/REVSP/RTX/2024-01-11/A,LA1 4GG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,PF00018076,1793000,DHPF/REVSP/RTG/2024-01-11/A,DE1 2QY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,PF00018140,4067000,CENT/TIFES/RRK/2023-02-28/A,B15 2TH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,PF00018139,78000,CENT/IMAGI/RRK/2023-07-07/A,B15 2TH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,PF00018135,235000,CENT/NHPFE/RAS/2023-05-26/A,UB8 3NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,PF00018134,332000,CENT/NHPEN/RAS/2023-09-26/A,UB8 3NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,PF00018133,125000,CENT/NHPEN/RAS/2023-06-14/A,UB8 3NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,PF00018132,55000,CENT/NHPEN/RAS/2023-01-25/A,UB8 3NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,SHREWSBURY AND TELFORD HOSPITALS NHS TRUST,PF00018138,661000,CENT/TIFES/RXW/2022-11-14/A,SY3 8XQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,SHREWSBURY AND TELFORD HOSPITALS NHS TRUST,PF00018137,1262000,CENT/STPIF/RXW/2023-10-12/A,SY3 8XQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,SHREWSBURY AND TELFORD HOSPITALS NHS TRUST,PF00018136,1277000,CENT/FLDSY/RXW/2023-11-09/A,SY3 8XQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,SHREWSBURY AND TELFORD HOSPITALS NHS TRUST,PF00018075,14323000,DHPF/REVSP/RXW/2024-01-11/A,SY3 8XQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,PF00018074,2165000,DHPF/REVSP/RK5/2024-01-11/A,NG17 4JL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,ROYAL SURREY COUNTY NHS FOUNDATION TRUST,PF00018130,116000,CENT/DDCPP/RA2/2024-01-11/A,GU2 7XX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,ROYAL FREE LONDON NHS FOUNDATION TRUST,PF00018073,14735000,DHPF/REVSP/RAL/2024-01-11/A,NW3 2QG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,PF00018129,749000,CENT/TIFES/RH8/2022-11-14/A,EX1 2ED,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,PF00018128,74000,CENT/NHPFE/RH8/2023-06-09/A,EX1 2ED,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,PF00018127,31000,CENT/CDCHU/RH8/2023-02-14/A,EX1 2ED,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,PF00018072,12033000,DHPF/REVSP/RH8/2024-01-11/A,EX1 2ED,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,ROYAL CORNWALL HOSPITAL NHS TRUST,PF00018126,86000,CENT/CYBER/REF/2023-11-09/A,TR1 3LJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,PF00018125,4505000,CENT/STPIF/RHU/2022-10-24/A,PO6 3LY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,PF00018124,590000,CENT/PJILL/RHU/2020-03-18/A,PO6 3LY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,PF00018123,1242000,CENT/IMAGI/RHU/2023-07-07/A,PO6 3LY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,PF00018122,3020000,CENT/ENDOS/RHU/2023-08-15/A,PO6 3LY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,PF00018121,1700000,CENT/CDCHU/RHU/2022-11-23/A,PO6 3LY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,PF00018071,4379000,DHPF/REVSP/RHU/2024-01-11/A,PO6 3LY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PF00018070,12431000,DHPF/REVSP/RX1/2024-01-11/A,NG5 1PB,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,PF00018069,2240000,DHPF/REVSP/RNS/2024-01-11/A,NN1 5BD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,NORTH WEST ANGLIA NHS FOUNDATION TRUST,PF00018120,1832000,CENT/RAACP/RGN/2023-04-18/A,PE3 9GZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,NORTH WEST ANGLIA NHS FOUNDATION TRUST,PF00018119,3161000,CENT/ACTIF/RGN/2023-06-27/A,PE3 9GZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,PF00018118,3000000,CENT/CDCHU/RVW/2023-02-14/A,TS19 8PE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,PF00018117,3065000,CENT/STPIF/RM1/2023-09-13/A,NR4 7UY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,PF00018115,50000,CENT/DDCPP/RM1/2022-12-07/A,NR4 7UY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,MID YORKSHIRE HOSPITALS NHS TRUST,PF00018067,5543000,DHPF/REVSP/RXF/2024-01-11/A,WF1 4TU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,PF00018114,2000000,CENT/RAACP/RBT/2023-10-13/A,CW1 4QJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,PF00018113,125000,CENT/NHPFE/RBT/2023-06-09/A,CW1 4QJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,PF00018112,1000000,CENT/NHPEN/RBT/2023-08-04/A,CW1 4QJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,PF00018111,45000,CENT/DDCPP/RBT/2023-01-09/A,CW1 4QJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,PF00018110,3519000,CENT/CDCHU/R1K/2022-11-16/A,HA1 3UJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,PF00018109,3490000,CENT/ACTIF/R1K/2023-06-27/A,HA1 3UJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,LONDON AMBULANCE SERVICE NHS TRUST,PF00018107,624000,CENT/MHUEC/RRU/2023-06-19/A,BB3 0FG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,LONDON AMBULANCE SERVICE NHS TRUST,PF00018106,368000,CENT/FLDSY/RRU/2023-12-18/A,BB3 0FG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,LONDON AMBULANCE SERVICE NHS TRUST,PF00018105,104000,CENT/ACTIF/RRU/2023-08-16/A,BB3 0FG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,LONDON AMBULANCE SERVICE NHS TRUST,PF00018104,520000,CENT/ACTIF/RRU/2023-08-10/A,BB3 0FG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,LIVERPOOL WOMENS HOSPITAL NHS FOUNDATION TRUST,PF00018066,6000000,DHPF/REVSP/REP/2024-01-11/A,L8 7SS,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,LEEDS TEACHING HOSPITAL NHS TRUST,PF00018103,1623000,CENT/TIFES/RR8/2023-02-14/A,LS9 7TF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,PF00018065,12310000,DHPF/REVSP/RXN/2024-01-11/A,PR7 1GZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,ISLE OF WIGHT NHS TRUST,PF00018064,1324000,DHPF/REVSP/R1F/2024-01-11/A,PO30 5TG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,PF00018102,2348000,CENT/CDCHU/RYJ/2022-11-17/B,W12 0HS,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,PF00018063,4600000,DHPF/REVSP/RN5/2024-01-11/A,RG24 9NA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,PF00018101,110000,CENT/IMAGI/RTE/2023-07-07/A,GL1 3NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,PF00018099,85000,CENT/CDCHU/RTE/2023-01-30/A,GL1 3NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,PF00018098,169000,CENT/MHUEC/R1L/2023-05-11/A,RM16 2PX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,EAST LANCASHIRE HOSPITALS NHS TRUST,PF00018062,10457000,DHPF/REVSP/RXR/2024-01-11/A,BB2 3HH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2024,Additions NCB PDC,Default Group,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,PF00018061,10825000,DHPF/REVSP/RVV/2024-01-11/A,CT1 3NG,Govn,,,
