Transparency Report - December 2024,,,,,
Date,Supplier,Department ,CC Description,Ledger Code,Amount
12/12/2024,Lillibet House,Population Wellbeing,Memory & Cognition Purchased Care 18-64,Independ Sector-Res Care Homes-Long Stay,"£7,840.00"
12/12/2024,Lillibet House,Population Wellbeing,Memory & Cognition Purchased Care 18-64,Independ Sector-Res Care Homes-Long Stay,"£6,000.00"
12/12/2024,Apex Homes Limited,Population Wellbeing,Memory & Cognition Purchased Care 18-64,Independ Sector-Nursing Homes-Long Stay,"£3,868.48"
12/12/2024,Voyage Care Ltd,Population Wellbeing,Memory & Cognition Purchased Care 18-64,Independent Sector - Supported Living,£352.52
12/12/2024,Voyage Care Ltd,Population Wellbeing,Memory & Cognition Purchased Care 18-64,Independent Sector - Supported Living,£973.50
13/12/2024,8APT Care Ltd,Population Wellbeing,Memory & Cognition Purchased Care 18-64,Home Care,£681.72
13/12/2024,Headway Luton,Population Wellbeing,Memory & Cognition Purchased Care 18-64,Day Care,£315.96
05/12/2024,ADA Networks Ltd,Population Wellbeing,Supported Living Team,Reactive Repair & Maintenance  - General,"£1,060.00"
22/12/2024,Active Luton,Population Wellbeing,The Respite Service,Purchase Of Equipment,£262.50
12/12/2024,M K Occupational Health Ltd,Population Wellbeing,Community Choices (was Bramingham),Other Employee Expenses,£395.00
03/12/2024,Apetito Limited,Population Wellbeing,Community Choices (was Bramingham),Catering Provisions,£380.24
06/12/2024,Apetito Limited,Population Wellbeing,Community Choices (was Bramingham),Catering Provisions,£710.16
10/12/2024,Apetito Limited,Population Wellbeing,Community Choices (was Bramingham),Catering Provisions,£589.84
20/12/2024,Thomas Ridley & Sons Ltd,Population Wellbeing,Community Choices (was Bramingham),Catering Provisions,£631.20
03/12/2024,ADA Networks Ltd,Population Wellbeing,Community Choices (was Bramingham),Purchase Of Hardware,"£1,514.00"
26/12/2024,Squared t/a Luton Community Housing Ltd,Population Wellbeing,Housing Related Support,Services - Leaseholders,"£49,269.91"
26/12/2024,OYO Technology Hospitality,Population Wellbeing,ASC Contracts,Direct Payment Support Services,"£1,375.00"
05/12/2024,Community Connex Ltd,Population Wellbeing,ASC Contracts,Pohwer,"£16,637.08"
26/12/2024,Community Connex Ltd,Population Wellbeing,ASC Contracts,Pohwer,"£16,637.08"
09/12/2024,MK Worldwide Limted t/a Lead Care,Population Wellbeing,ASC Contracts,Extra Care Support (Jill Jenkins; Betty Dodd),"£9,972.48"
10/12/2024,MK Worldwide Limted t/a Lead Care,Population Wellbeing,ASC Contracts,Extra Care Support (Jill Jenkins; Betty Dodd),"£9,972.48"
10/12/2024,MK Worldwide Limted t/a Lead Care,Population Wellbeing,ASC Contracts,Extra Care Support (Jill Jenkins; Betty Dodd),"£9,972.48"
10/12/2024,MK Worldwide Limted t/a Lead Care,Population Wellbeing,ASC Contracts,Extra Care Support (Jill Jenkins; Betty Dodd),"£9,972.48"
26/12/2024,NHS BLMK ICB,Population Wellbeing,MH S75 Social Care,Services - Agency,"£463,912.25"
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sect-Res Care Homes-Short Stay,"£3,578.96"
12/12/2024,Edwardian Care Home Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sect-Res Care Homes-Short Stay,"£4,100.64"
12/12/2024,Complete Care Services Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sect-Res Care Homes-Short Stay,"£5,082.00"
12/12/2024,HC One Limited ,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sect-Res Care Homes-Short Stay,"£3,931.20"
12/12/2024,Nouvita Healthcare Ltd - Psycare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sect-Res Care Homes-Short Stay,"£6,603.80"
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£3,693.20"
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£3,813.04"
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£3,578.96"
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£3,734.08"
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£3,910.76"
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£3,910.76"
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£3,734.08"
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£3,598.00"
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£3,433.96"
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£3,829.84"
12/12/2024,Ambassador House,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£3,806.04"
12/12/2024,The Beeches,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£5,090.44"
12/12/2024,The Beeches,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£5,644.08"
12/12/2024,The Beeches,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£5,644.08"
12/12/2024,The Beeches,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£3,628.34"
12/12/2024,The Beeches,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£5,616.04"
12/12/2024,The Beeches,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£5,378.72"
12/12/2024,The Beeches,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£6,571.52"
12/12/2024,The Beeches,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£5,566.80"
12/12/2024,The Beeches,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£5,885.76"
12/12/2024,The Beeches,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£4,935.36"
12/12/2024,The Beeches,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£5,655.00"
12/12/2024,The Beeches,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£5,655.00"
12/12/2024,Edwardian Care Home Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£4,100.64"
12/12/2024,Edwardian Care Home Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£4,100.64"
12/12/2024,Edwardian Care Home Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£3,080.00"
12/12/2024,Edwardian Care Home Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£4,100.64"
12/12/2024,Edwardian Care Home Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£4,100.64"
12/12/2024,Edwardian Care Home Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£4,100.64"
12/12/2024,Edwardian Care Home Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£4,100.64"
12/12/2024,Edwardian Care Home Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£4,100.64"
12/12/2024,Edwardian Care Home Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£4,228.88"
12/12/2024,Edwardian Care Home Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,£604.13
12/12/2024,Edwardian Care Home Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£1,208.25"
12/12/2024,Edwardian Care Home Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£4,100.64"
12/12/2024,Edwardian Care Home Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£4,100.64"
12/12/2024,Edwardian Care Home Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£4,100.64"
12/12/2024,Rowles House Care Home,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£3,080.00"
12/12/2024,Apex Homes Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£1,184.00"
12/12/2024,Apex Homes Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£4,589.64"
12/12/2024,Apex Homes Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£5,457.60"
12/12/2024,Complete Care Services Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£2,193.13"
12/12/2024,Complete Care Services Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£5,785.20"
12/12/2024,Rose Court,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£7,076.80"
12/12/2024,St Brendans,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£2,800.00"
12/12/2024,Lomack House,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£4,428.80"
12/12/2024,Mentaur Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£6,152.32"
12/12/2024,PJ Care Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£7,400.00"
12/12/2024,St Matthews Healthcare,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£4,267.60"
12/12/2024,HC One Limited ,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£3,931.20"
12/12/2024,Evergreen Lodge Plc Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£5,418.00"
12/12/2024,Evergreen Lodge Plc Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£4,704.00"
12/12/2024,Evergreen Lodge Plc Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£8,074.40"
12/12/2024,Evergreen Lodge Plc Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£8,074.40"
12/12/2024,Evergreen Lodge Plc Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£7,224.00"
12/12/2024,Abbey Lodge Care Home Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£4,525.60"
12/12/2024,Parkcare Homes Ltd t/a Roseneath Ave (Priory),Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£10,979.88"
12/12/2024,Hatzfeld House Care home,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£5,000.00"
12/12/2024,Pathways Care Group,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£5,414.76"
12/12/2024,Nouvita Healthcare Ltd - Psycare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Res Care Homes-Long Stay,"£6,400.00"
12/12/2024,St Marys Nursing Centre,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Nursing Homes-Short Stay,"£2,968.00"
12/12/2024,Apex Homes Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Nursing Homes-Long Stay,"£6,000.00"
12/12/2024,Apex Homes Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Nursing Homes-Long Stay,"£6,000.00"
12/12/2024,Apex Homes Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Nursing Homes-Long Stay,"£6,000.00"
12/12/2024,Apex Homes Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Nursing Homes-Long Stay,"£6,000.00"
12/12/2024,Apex Homes Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Nursing Homes-Long Stay,"£6,000.00"
12/12/2024,Apex Homes Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Nursing Homes-Long Stay,"£3,000.00"
12/12/2024,PJ Care Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Independ Sector-Nursing Homes-Long Stay,"£12,400.00"
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,707.20"
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£302.12
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,707.20"
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,901.20"
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,978.80"
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,017.60"
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,707.20"
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,017.60"
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£302.12
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£302.12
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£302.12
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£302.12
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£302.12
12/12/2024,Advance Housing and Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£302.12
12/12/2024,Mary Seacole Housing Association Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,073.22"
12/12/2024,Mary Seacole Housing Association Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£969.36
12/12/2024,Mary Seacole Housing Association Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,073.22"
12/12/2024,Brunswick Supported Living Services Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,401.20"
12/12/2024,Bionicare,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,258.00"
12/12/2024,Bionicare,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£853.64
12/12/2024,Bionicare,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,318.86"
12/12/2024,Bionicare,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,573.51"
12/12/2024,Bionicare,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,069.08"
12/12/2024,Bionicare,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£725.45
12/12/2024,Bionicare,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,974.21"
12/12/2024,Bionicare,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£3,071.00"
12/12/2024,Bionicare,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£438.71
12/12/2024,Bionicare,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,554.00"
12/12/2024,Bionicare,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,157.18"
12/12/2024,Bionicare,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,800.05"
12/12/2024,Bionicare,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£707.16
12/12/2024,Bionicare,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£3,388.02"
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,089.60"
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,791.09"
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,089.61"
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,791.09"
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,089.60"
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,050.00"
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,370.78"
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,225.00"
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,400.00"
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,089.60"
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,089.60"
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,089.60"
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,089.60"
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,400.00"
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,939.15"
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£689.57
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£534.94
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£640.00
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,285.68"
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£936.14
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£735.00
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,638.25"
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,326.14"
12/12/2024,Enixcare Limited,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,065.70"
12/12/2024,Voyage Care Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,090.32"
12/12/2024,Voyage Care Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£389.40
12/12/2024,Voyage Care Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£467.28
12/12/2024,Voyage Care Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,090.32"
12/12/2024,Voyage Care Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,908.06"
12/12/2024,Voyage Care Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,336.40"
12/12/2024,Voyage Care Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£311.52
12/12/2024,Voyage Care Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£467.28
12/12/2024,Filey Care and Support LTD,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,800.00"
12/12/2024,Filey Care and Support LTD,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,800.01"
12/12/2024,Filey Care and Support LTD,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,543.28"
12/12/2024,Filey Care and Support LTD,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,800.00"
12/12/2024,Filey Care and Support LTD,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,947.44"
12/12/2024,Filey Care and Support LTD,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,727.24"
12/12/2024,Filey Care and Support LTD,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,800.01"
12/12/2024,Filey Care and Support LTD,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,755.24"
12/12/2024,Filey Care and Support LTD,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£4,204.00"
12/12/2024,Filey Care and Support LTD,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£936.00
12/12/2024,Filey Care and Support LTD,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,170.00"
12/12/2024,Filey Care and Support LTD,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,800.00"
12/12/2024,Filey Care and Support LTD,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,755.24"
12/12/2024,Filey Care and Support LTD,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,092.00"
12/12/2024,Filey Care and Support LTD,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,730.00"
12/12/2024,Filey Care and Support LTD,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,170.00"
12/12/2024,Filey Care and Support LTD,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,326.00"
12/12/2024,Filey Care and Support LTD,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£390.00
12/12/2024,Glenpat Homes Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,856.00"
12/12/2024,Glenpat Homes Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,120.00"
12/12/2024,Glenpat Homes Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,768.00"
12/12/2024,Care Expertise Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£3,628.44"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,189.08"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,306.82"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,200.24"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,385.81"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,306.82"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,210.40"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£444.36
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£856.98
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,539.56"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,388.75"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,381.40"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,501.94"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,495.60"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,501.94"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,385.81"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,501.94"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£2,501.94"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£666.54
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,189.08"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£618.93
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,079.16"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,412.43"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,142.64"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,£807.40
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,043.97"
12/12/2024,Next Step Support Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,056.96"
12/12/2024,Access24 Health & Medical Services Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,376.00"
12/12/2024,Access24 Health & Medical Services Ltd,Population Wellbeing,Adults Mental Health Purchased Care 18-6,Supported Living,"£1,274.00"
