Transparency Report - December 2024,,,,,
Date,Supplier,Department ,CC Description,Ledger Code,Amount
26/12/2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Planned Contracts - Kitchens,Purchase Of Materials,"£1,086.46"
28/12/2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Planned Contracts - Kitchens,Purchase Of Materials,"£1,208.99"
28/12/2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Planned Contracts - Kitchens,Purchase Of Materials,"£1,105.49"
05/12/2024,Ivorybridge Ltd,Population Wellbeing,Property Services,Sub-Contractors,"£1,328.00"
18/12/2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Services,Sub-Contractors,"£18,920.00"
02/12/2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,£605.00
12/12/2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,£605.00
18/12/2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,£605.00
26/12/2024,Gas & Environmental Services Limited,Population Wellbeing,Planned Contracts - Boiler servicing,Purchase Of Materials,£750.00
24/12/2024,London South Bank University,Population Wellbeing,Overheads,Staff Training,"£4,625.00"
13/12/2024,Lavazza Professional UK Limited,Population Wellbeing,Overheads,Vending Machine Provisions,£263.86
02/12/2024,Glynns Skip,Population Wellbeing,Overheads,Other Expenses,£302.50
02/12/2024,Glynns Skip,Population Wellbeing,Overheads,Other Expenses,£351.40
04/12/2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£774.00
06/12/2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£806.25
09/12/2024,Glynns Skip,Population Wellbeing,Overheads,Other Expenses,£302.50
20/12/2024,M3 Housing Ltd,Population Wellbeing,Overheads,Other Expenses,£810.00
20/12/2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£645.00
24/12/2024,Glynns Skip,Population Wellbeing,Overheads,Other Expenses,£390.50
24/12/2024,Glynns Skip,Population Wellbeing,Overheads,Other Expenses,£302.50
