Transparency Report - October 2024,,,,,
Date,Suppliers,Department ,CC Description,Ledger Code,Value £
 23-Oct-2024,Glynns Skip,Population Wellbeing,Overheads,Other Expenses,£302.50
 24-Oct-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£806.25
 24-Oct-2024,The Oyster Partnership Ltd,Population Wellbeing,Overheads,Other Expenses,£840.00
 31-Oct-2024,The Oyster Partnership Ltd,Population Wellbeing,Overheads,Other Expenses,"£1,050.00"
 14-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,£430.00
 14-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,£430.00
 17-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,£430.00
 17-Oct-2024,Furlong & Higgs Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,"£23,913.21"
 17-Oct-2024,Furlong & Higgs Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,"£21,723.20"
 24-Oct-2024,Furlong & Higgs Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,"£21,579.82"
 30-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,£430.00
 23-Oct-2024,Lonsdale Painting & Decorating,Population Wellbeing,Grant Work,Sub-Contractors,£480.00
 11-Oct-2024,JCL Glass Limited,Population Wellbeing,Voids,Purchase Of Materials,£318.39
 14-Oct-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,"£1,006.68"
 15-Oct-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,"£1,090.09"
 18-Oct-2024,New Century Doors Ltd,Population Wellbeing,Voids,Purchase Of Materials,£885.00
 18-Oct-2024,New Century Doors Ltd,Population Wellbeing,Voids,Purchase Of Materials,£885.00
 18-Oct-2024,New Century Doors Ltd,Population Wellbeing,Voids,Purchase Of Materials,£885.00
 18-Oct-2024,Glazerite Windows Ltd,Population Wellbeing,Voids,Purchase Of Materials,£616.63
 21-Oct-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,"£1,084.13"
 21-Oct-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,£864.97
 22-Oct-2024,Jewson,Population Wellbeing,Voids,Purchase Of Materials,£250.00
 22-Oct-2024,Butterfield Timber & Safety Supplies,Population Wellbeing,Voids,Purchase Of Materials,£717.80
 22-Oct-2024,Butterfield Timber & Safety Supplies,Population Wellbeing,Voids,Purchase Of Materials,£420.00
 23-Oct-2024,H McIntyre & Sons Ltd,Population Wellbeing,Voids,Purchase Of Materials,£253.00
 27-Oct-2024,Jewson,Population Wellbeing,Voids,Purchase Of Materials,"£1,222.00"
 27-Oct-2024,Jewson,Population Wellbeing,Voids,Purchase Of Materials,£307.00
 27-Oct-2024,Jewson,Population Wellbeing,Voids,Purchase Of Materials,£289.00
 27-Oct-2024,Jewson,Population Wellbeing,Voids,Purchase Of Materials,£945.00
 27-Oct-2024,Jewson,Population Wellbeing,Voids,Purchase Of Materials,£945.00
 27-Oct-2024,Jewson,Population Wellbeing,Voids,Purchase Of Materials,"£1,501.00"
 27-Oct-2024,Jewson,Population Wellbeing,Voids,Purchase Of Materials,£932.40
 27-Oct-2024,PPG Architectural Coatings UK Limited,Population Wellbeing,Voids,Purchase Of Materials,£252.00
 29-Oct-2024,PPG Architectural Coatings UK Limited,Population Wellbeing,Voids,Purchase Of Materials,£321.82
 30-Oct-2024,PPG Architectural Coatings UK Limited,Population Wellbeing,Voids,Purchase Of Materials,£301.14
 07-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 14-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£435.00
 14-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£425.00
 14-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£430.00
 14-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 14-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£430.00
 14-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,360.00"
 14-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,285.00"
 14-Oct-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,951.00"
 14-Oct-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£2,271.76"
 14-Oct-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£3,309.75"
 14-Oct-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£2,525.07"
 14-Oct-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,596.85"
 14-Oct-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,630.32"
 14-Oct-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£3,414.94"
 14-Oct-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,328.17"
 14-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£430.00
 14-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,735.00"
 17-Oct-2024,PPM Ltd,Population Wellbeing,Voids,Sub-Contractors,"£2,950.00"
 17-Oct-2024,PPM Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,790.00"
 17-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£435.00
 17-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£375.00
 17-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£435.00
 17-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£430.00
 17-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£430.00
 17-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£435.00
 17-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 17-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£2,585.00"
 21-Oct-2024,Homebase Ltd,Population Wellbeing,Voids,Sub-Contractors,£317.29
 21-Oct-2024,Homebase Ltd,Population Wellbeing,Voids,Sub-Contractors,£250.00
 21-Oct-2024,Homebase Ltd,Population Wellbeing,Voids,Sub-Contractors,£333.34
 21-Oct-2024,Homebase Ltd,Population Wellbeing,Voids,Sub-Contractors,£291.67
 21-Oct-2024,Homebase Ltd,Population Wellbeing,Voids,Sub-Contractors,£391.67
 21-Oct-2024,Homebase Ltd,Population Wellbeing,Voids,Sub-Contractors,£250.00
 21-Oct-2024,Homebase Ltd,Population Wellbeing,Voids,Sub-Contractors,£406.04
 21-Oct-2024,Homebase Ltd,Population Wellbeing,Voids,Sub-Contractors,£500.00
 21-Oct-2024,Homebase Ltd,Population Wellbeing,Voids,Sub-Contractors,£279.50
 21-Oct-2024,Homebase Ltd,Population Wellbeing,Voids,Sub-Contractors,£541.67
 21-Oct-2024,Homebase Ltd,Population Wellbeing,Voids,Sub-Contractors,£416.67
 21-Oct-2024,Homebase Ltd,Population Wellbeing,Voids,Sub-Contractors,£266.66
 23-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£430.00
 23-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 23-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£435.00
 23-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,245.00"
 23-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£785.00
 23-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£450.00
 23-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£865.00
 23-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 23-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£280.00
 23-Oct-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£3,814.01"
 23-Oct-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£2,896.74"
 23-Oct-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,596.85"
 23-Oct-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,509.46"
 23-Oct-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,716.62"
 23-Oct-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,830.14"
 23-Oct-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£2,471.66"
 23-Oct-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,328.17"
 23-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 28-Oct-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£250.00
 28-Oct-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£850.00
 31-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£430.00
 31-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£435.00
 31-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£435.00
 31-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£435.00
 31-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£435.00
 31-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 31-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£765.00
 31-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£965.00
 31-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£425.00
 31-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,185.00"
 31-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,185.00"
 31-Oct-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,"£2,150.00"
 18-Oct-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£885.00
 18-Oct-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£885.00
 18-Oct-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£380.00
 18-Oct-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£380.00
 22-Oct-2024,Window Parts Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£303.34
 22-Oct-2024,Glazerite Windows Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£501.21
 22-Oct-2024,Howden Joinery Limited,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£271.58
 27-Oct-2024,Jewson,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£945.00
 27-Oct-2024,Jewson,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£945.00
 27-Oct-2024,Jewson,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,"£1,501.00"
 27-Oct-2024,Jewson,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£932.40
 27-Oct-2024,Jewson,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,"£1,222.00"
 27-Oct-2024,Jewson,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£307.00
 27-Oct-2024,Jewson,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£289.00
 10-Oct-2024,Walpole Design and Build Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,238.00"
 10-Oct-2024,Walpole Design and Build Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£5,988.00"
 10-Oct-2024,Walpole Design and Build Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£3,178.00"
 10-Oct-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,894.45"
 14-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£320.00
 14-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£390.00
 14-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£650.00
 14-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£725.00
 14-Oct-2024,Garage Doors (Luton),Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£686.50
 14-Oct-2024,Garage Doors (Luton),Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£686.50
 14-Oct-2024,Interglow (Contracts) Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£580.00
 14-Oct-2024,Interglow (Contracts) Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£320.00
 14-Oct-2024,Interglow (Contracts) Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£620.00
 14-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£270.00
 14-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£380.00
 14-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£865.00
 14-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£430.00
 14-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£660.00
 14-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£500.00
 14-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£456.00
 17-Oct-2024,EnviroVent Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,246.52"
 17-Oct-2024,M & S Water Services (Utilities) Limited,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,797.98"
 17-Oct-2024,M & S Water Services (Utilities) Limited,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,038.77"
 17-Oct-2024,PPM Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£710.00
 17-Oct-2024,EnviroVent Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,537.49"
 17-Oct-2024,Colt Property Improvements Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£978.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£600.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£755.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£320.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,100.00"
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,350.00"
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£300.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£410.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£600.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£685.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£280.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£350.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£380.00
