Transparency Report March 2024,,,,,
Date,Supplier,Dept,CC Description,Ledger Code,Value £
 07-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£962.00
 07-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£925.00
 07-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£970.51
 07-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£809.77
 07-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,"£1,635.00"
 07-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£560.00
 07-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£848.41
 07-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,"£1,110.00"
 07-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£970.51
 18-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£819.40
 18-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,"£1,675.00"
 18-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£750.00
 18-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£848.41
 18-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,"£1,110.00"
 18-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£970.51
 18-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£841.28
 19-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,"-£1,110.00"
 19-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,"£1,110.00"
 20-Mar-2024,Glynns Skip,Population Wellbeing,Overheads,Other Expenses,£392.80
 25-Mar-2024,M3 Housing Ltd,Population Wellbeing,Overheads,Other Expenses,"£1,910.00"
 25-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£560.00
 25-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£848.41
 25-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,"£1,110.00"
 25-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£970.51
 25-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,"£2,504.02"
 28-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,"£1,375.00"
 28-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£760.00
 28-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,"£1,110.00"
 28-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£848.41
 28-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£970.51
 28-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£829.63
 06-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,£430.00
 06-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,£430.00
 18-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,£430.00
 18-Mar-2024,Furlong & Higgs Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,"£3,400.00"
