Transparency Report September 2024,,,,,
Date,Suppliers,Department ,CC Description,Ledger Code,Value £
 03-Sep-2024,Gravitas Recruitment Group Ltd,Chief Executive,ICT,Consultancy Fees,"£1,650.00"
 19-Sep-2024,Gravitas Recruitment Group Ltd,Chief Executive,ICT,Consultancy Fees,"£1,650.00"
 20-Sep-2024,Gravitas Recruitment Group Ltd,Chief Executive,ICT,Consultancy Fees,"£1,650.00"
 20-Sep-2024,Gravitas Recruitment Group Ltd,Chief Executive,ICT,Consultancy Fees,"£1,650.00"
 02-Sep-2024,Civica UK Ltd,Chief Executive,ICT,Contract Payments Civica,"£65,711.00"
 06-Sep-2024,Civica UK Ltd,Chief Executive,ICT,Contract Payments Civica,"£37,164.98"
 18-Sep-2024,Civica UK Ltd,Chief Executive,ICT,Contract Payments Civica,"£105,560.04"
 18-Sep-2024,Civica UK Ltd,Chief Executive,ICT,Contract Payments Civica,"£33,936.32"
 18-Sep-2024,Civica UK Ltd,Chief Executive,ICT,Contract Payments Civica,"£82,510.40"
 18-Sep-2024,Civica UK Ltd,Chief Executive,ICT,Contract Payments Civica,"£90,280.05"
 20-Sep-2024,Datum Datacentres Limited,Chief Executive,ICT,Contract Payments Civica,"£4,910.00"
 25-Sep-2024,Civica UK Ltd,Chief Executive,ICT,Contract Payments Civica,"£18,249.38"
 25-Sep-2024,BBits,Chief Executive,ICT,Contract Payments Civica,"£10,071.60"
 25-Sep-2024,Civica UK Ltd,Chief Executive,ICT,Contract Payments Civica,"£528,782.17"
 30-Sep-2024,Egress Software Technologies Ltd,Chief Executive,ICT,Contract Payments Civica,"£8,272.00"
 23-Sep-2024,Gamma Network Solutions Limited,Chief Executive,ICT,Telephones,"£5,260.28"
 05-Sep-2024,Civica UK Ltd,Chief Executive,ICT,Maintenance Of Hardware,"£5,415.91"
 25-Sep-2024,Specialist Computer Centres Plc,Chief Executive,ICT,Purchase Of Software,"£58,174.89"
 25-Sep-2024,JISC,Chief Executive,ICT,Software Maintenance,£750.00
 18-Sep-2024,Xerox UK Ltd,Chief Executive,Xerox Photocopiers,Photocopying Contract Direct Costs,"£8,640.63"
 19-Sep-2024,4net Technologies Ltd,Chief Executive,Future ICT Programme - Civica Insource,Services - Other,£670.00
 30-Sep-2024,Tile Hill Interim and Executive,Chief Executive,Future ICT Programme - Civica Insource,Services - Other,"£5,500.00"
 30-Sep-2024,Tile Hill Interim and Executive,Chief Executive,Future ICT Programme - Civica Insource,Services - Other,"£4,200.00"
 30-Sep-2024,Tile Hill Interim and Executive,Chief Executive,Future ICT Programme - Civica Insource,Services - Other,£975.00
 30-Sep-2024,Tile Hill Interim and Executive,Chief Executive,Future ICT Programme - Civica Insource,Services - Other,"£2,000.00"
 02-Sep-2024,Civica UK Ltd,Chief Executive,ICT Equipment Holding Account,Purchases,£740.60
 13-Sep-2024,Specialist Computer Centres Plc,Chief Executive,ICT Equipment Holding Account,Purchases,£905.90
 20-Sep-2024,Phoenix Software Ltd,Chief Executive,ICT Equipment Holding Account,Purchases,£331.92
 20-Sep-2024,Phoenix Software Ltd,Chief Executive,ICT Equipment Holding Account,Purchases,£830.25
 25-Sep-2024,Specialist Computer Centres Plc,Chief Executive,ICT Equipment Holding Account,Purchases,£273.68
 04-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Sub-Contractors,£430.00
 23-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Sub-Contractors,£430.00
 05-Sep-2024,J & B Electrical Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,"£1,110.00"
 05-Sep-2024,J & B Electrical Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£948.00
 23-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£441.00
 23-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£426.00
 23-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£438.00
 08-Sep-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Property Services,Purchase Of Materials,£261.00
 17-Sep-2024,Travis Perkins Trading Co Ltd,Population Wellbeing,Property Services,Purchase Of Materials,"£1,130.00"
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Property Services,Sub-Contractors,"£1,200.00"
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Property Services,Sub-Contractors,£755.00
 04-Sep-2024,Ivorybridge Ltd,Population Wellbeing,Property Services,Sub-Contractors,"£13,792.00"
 05-Sep-2024,Concorde Blind Co,Population Wellbeing,Property Services,Sub-Contractors,£526.24
 05-Sep-2024,Kingsway Products Limited,Population Wellbeing,Property Architects,Sub-Contractors,"£1,199.60"
 12-Sep-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,£605.00
 19-Sep-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,£605.00
 04-Sep-2024,Gas & Environmental Services Limited,Population Wellbeing,Planned Contracts - Central Heating,Direct Purchases - Supplies,£750.00
 19-Sep-2024,Gas & Environmental Services Limited,Population Wellbeing,Planned Contracts - Central Heating,Direct Purchases - Supplies,£595.00
 23-Sep-2024,Gas & Environmental Services Limited,Population Wellbeing,Planned Contracts - Central Heating,Direct Purchases - Supplies,"£3,120.00"
 23-Sep-2024,Gas & Environmental Services Limited,Population Wellbeing,Planned Contracts - Central Heating,Direct Purchases - Supplies,"£2,520.00"
 04-Sep-2024,Gas & Environmental Services Limited,Population Wellbeing,Planned Contracts - Boiler servicing,Purchase Of Materials,£750.00
 02-Sep-2024,Venue 360 Ltd,Population Wellbeing,Overheads,Staff Training,"£1,671.87"
 19-Sep-2024,3B Training,Population Wellbeing,Overheads,Staff Training,"£1,795.00"
 24-Sep-2024,3B Training,Population Wellbeing,Overheads,Staff Training,"£1,395.00"
 02-Sep-2024,Lyreco Uk Ltd,Population Wellbeing,Overheads,Printing Stationery Etc.,£680.80
 06-Sep-2024,Shades Printing Limited,Population Wellbeing,Overheads,Internal Printing,£575.00
 18-Sep-2024,Shades Printing Limited,Population Wellbeing,Overheads,Internal Printing,"£1,050.00"
 02-Sep-2024,Glynns Skip,Population Wellbeing,Overheads,Other Expenses,£305.40
 05-Sep-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£645.00
 13-Sep-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£806.25
 13-Sep-2024,Certsure LLP (NICEIC),Population Wellbeing,Overheads,Other Expenses,£284.25
 13-Sep-2024,The Oyster Partnership Ltd,Population Wellbeing,Overheads,Other Expenses,£630.00
 13-Sep-2024,Glynns Skip,Population Wellbeing,Overheads,Other Expenses,£302.50
 19-Sep-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£806.25
 19-Sep-2024,The Oyster Partnership Ltd,Population Wellbeing,Overheads,Other Expenses,£630.00
 23-Sep-2024,New Century Doors Ltd,Population Wellbeing,Aids and Adaptations,Purchase Of Materials,£538.96
 23-Sep-2024,New Century Doors Ltd,Population Wellbeing,Aids and Adaptations,Purchase Of Materials,£520.00
 04-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,£430.00
 10-Sep-2024,Furlong & Higgs Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,"£3,150.00"
 19-Sep-2024,AKW Medi-Care Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,"£1,783.49"
 23-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,£430.00
 23-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,£430.00
 23-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,£430.00
 16-Sep-2024,Colt Property Improvements Ltd,Population Wellbeing,Grant Work,Sub-Contractors,"£3,026.00"
 04-Sep-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,"£1,161.57"
 04-Sep-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,£869.79
 05-Sep-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,£468.87
 10-Sep-2024,PPG Architectural Coatings UK Limited,Population Wellbeing,Voids,Purchase Of Materials,£339.11
 20-Sep-2024,Joe Graham & Son Ltd,Population Wellbeing,Voids,Purchase Of Materials,£250.00
 25-Sep-2024,Window Parts Ltd,Population Wellbeing,Voids,Purchase Of Materials,£327.00
 25-Sep-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,£350.44
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,450.00"
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£260.00
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£320.00
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£480.00
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£460.00
 05-Sep-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£800.00
 05-Sep-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£400.00
 05-Sep-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£650.00
 05-Sep-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,769.71"
 05-Sep-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,223.22"
 05-Sep-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£2,314.22"
 05-Sep-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,596.85"
 05-Sep-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,473.67"
 05-Sep-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£3,800.40"
 05-Sep-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£3,082.33"
 05-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 05-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£435.00
 05-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 05-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£865.00
 05-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£430.00
 05-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£310.00
 05-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£435.00
 05-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,385.00"
 05-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,780.00"
 05-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£865.00
 05-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£865.00
 05-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£435.00
 05-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£295.00
 05-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 05-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£435.00
 05-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£435.00
 12-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,690.00"
 12-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,935.00"
 12-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£450.00
 12-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,450.00"
 12-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 12-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 12-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,845.00"
 16-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£865.00
 16-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,169.00"
 16-Sep-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£2,660.00"
 23-Sep-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,"£9,850.00"
 23-Sep-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£320.00
 02-Sep-2024,Glazerite Windows Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£287.85
 02-Sep-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£541.93
 02-Sep-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£532.17
 02-Sep-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£542.05
 10-Sep-2024,Window Parts Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£307.73
 13-Sep-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£546.96
 13-Sep-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£530.00
 13-Sep-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£530.00
 13-Sep-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£530.00
 13-Sep-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£530.00
 17-Sep-2024,Window Parts Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£332.27
 20-Sep-2024,Window Parts Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£273.00
 23-Sep-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£520.00
 23-Sep-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£542.17
 23-Sep-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£935.00
 23-Sep-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£935.00
 23-Sep-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£554.00
 24-Sep-2024,Glazerite Windows Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£309.77
 25-Sep-2024,Skyline Roofing Centres,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£983.26
 25-Sep-2024,Window Parts Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£349.17
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£400.00
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£545.00
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£320.00
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£390.00
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£700.00
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£755.00
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£650.00
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,090.00"
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£300.00
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£250.00
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£256.00
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£300.00
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£352.00
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£250.00
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£250.00
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£400.00
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£400.00
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£4,800.00"
 02-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£450.00
 04-Sep-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,650.41"
 04-Sep-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,775.00"
 04-Sep-2024,Walpole Design and Build Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£4,055.00"
 04-Sep-2024,Garage Doors (Luton),Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£708.50
 04-Sep-2024,Garage Doors (Luton),Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£686.50
 04-Sep-2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£500.00
 04-Sep-2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£500.00
 04-Sep-2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£650.00
 04-Sep-2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£500.00
 04-Sep-2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£560.00
 04-Sep-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£595.00
 04-Sep-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£971.20
 04-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£300.00
 04-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£385.00
 04-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£550.00
 04-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£565.00
 04-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£250.00
 04-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£250.00
 04-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£280.00
 04-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£350.00
 04-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£600.00
 04-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£630.00
 05-Sep-2024,PPM Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£710.00
 05-Sep-2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£900.00
 05-Sep-2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£280.00
 05-Sep-2024,Garage Doors (Luton),Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£696.50
 05-Sep-2024,Garage Doors (Luton),Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£686.50
 09-Sep-2024,Colt Property Improvements Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,898.00"
 09-Sep-2024,Northdown Property Servcies (NPS) Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£45,000.00"
 09-Sep-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£740.00
 09-Sep-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,182.50"
 09-Sep-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£675.00
 09-Sep-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,499.96"
 09-Sep-2024,Walpole Design and Build Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£3,638.00"
 10-Sep-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,044.45"
 10-Sep-2024,Interglow (Contracts) Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£620.00
 10-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£300.00
 10-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£600.00
 10-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£650.00
 10-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£500.00
 10-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£625.00
 10-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£450.00
 10-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£370.00
 10-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£600.00
 10-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£830.00
 10-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£560.00
 10-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£635.00
 10-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,400.00"
 10-Sep-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,320.00"
 10-Sep-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£991.20
 10-Sep-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,537.04"
 10-Sep-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,635.72"
 10-Sep-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,874.52"
 10-Sep-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,490.40"
 10-Sep-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£4,092.40"
 10-Sep-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,424.00"
 10-Sep-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,121.60"
 10-Sep-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,953.60"
 10-Sep-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,000.88"
 10-Sep-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,245.60"
 10-Sep-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,074.00"
 10-Sep-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£441.60
