Transparency Report - June 2024,,,,,
Date,Supplier,Department,CC Description,Ledger Code,Value £
 10-Jun-2024,J & B Electrical Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£738.00
 10-Jun-2024,J & B Electrical Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,"£1,212.00"
 12-Jun-2024,J & B Electrical Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£936.00
 12-Jun-2024,J & B Electrical Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,"£1,014.00"
 26-Jun-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£435.00
 26-Jun-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£432.00
 03-Jun-2024,Concorde Blind Co,Population Wellbeing,Property Services,Sub-Contractors,£654.90
 26-Jun-2024,Ivorybridge Ltd,Population Wellbeing,Property Services,Sub-Contractors,"£3,766.00"
 03-Jun-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,"£1,575.00"
 03-Jun-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,"£1,575.00"
 12-Jun-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,"£1,575.00"
 13-Jun-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,"£1,575.00"
 13-Jun-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,"£1,575.00"
 26-Jun-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,"£1,575.00"
 07-Jun-2024,Gas & Environmental Services Limited,Population Wellbeing,Planned Contracts - Central Heating,Direct Purchases - Supplies,£750.00
 24-Jun-2024,Gas & Environmental Services Limited,Population Wellbeing,Planned Contracts - Central Heating,Direct Purchases - Supplies,"£2,600.00"
 24-Jun-2024,Gas & Environmental Services Limited,Population Wellbeing,Planned Contracts - Central Heating,Direct Purchases - Supplies,£646.40
 24-Jun-2024,Gas & Environmental Services Limited,Population Wellbeing,Planned Contracts - Central Heating,Direct Purchases - Supplies,"£2,520.00"
 13-Jun-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Central Heating,Sub-Contractors,£865.00
 26-Jun-2024,Metro Rod Ltd,Population Wellbeing,Planned Contracts - Boiler servicing,Sub-Contractors,£425.00
 28-Jun-2024,Angle Scaffolding Ltd,Population Wellbeing,Planned Contracts - Boiler servicing,Sub-Contractors,"£2,600.00"
 17-Jun-2024,UK Locksmiths Association,Population Wellbeing,Overheads,Staff Training,£746.00
 21-Jun-2024,Shades Printing Limited,Population Wellbeing,Overheads,Internal Printing,£395.00
 13-Jun-2024,The Oyster Partnership Ltd,Population Wellbeing,Overheads,Other Expenses,£630.00
 14-Jun-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£817.00
 14-Jun-2024,The Oyster Partnership Ltd,Population Wellbeing,Overheads,Other Expenses,£420.00
 14-Jun-2024,Glynns Skip,Population Wellbeing,Overheads,Other Expenses,£427.30
 27-Jun-2024,Glynns Skip,Population Wellbeing,Overheads,Other Expenses,£302.50
 12-Jun-2024,T & L Flooring Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,£430.00
 12-Jun-2024,T & L Flooring Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,£430.00
 13-Jun-2024,Furlong & Higgs Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,"£2,000.00"
 13-Jun-2024,Kingsway Products Limited,Population Wellbeing,Aids and Adaptations,Sub-Contractors,£708.00
 28-Jun-2024,Chiltern Design Consulting Engineers,Population Wellbeing,Aids and Adaptations,Sub-Contractors,£800.00
 28-Jun-2024,Furlong & Higgs Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,"£5,780.00"
 28-Jun-2024,Furlong & Higgs Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,"£1,800.00"
 03-Jun-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,£733.96
 04-Jun-2024,PPG Architectural Coatings UK Limited,Population Wellbeing,Voids,Purchase Of Materials,£328.39
 04-Jun-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,£860.73
 07-Jun-2024,Butterfield Timber & Safety Supplies,Population Wellbeing,Voids,Purchase Of Materials,£930.00
 14-Jun-2024,New Century Doors Ltd,Population Wellbeing,Voids,Purchase Of Materials,£885.00
 18-Jun-2024,PPG Architectural Coatings UK Limited,Population Wellbeing,Voids,Purchase Of Materials,£380.94
 21-Jun-2024,Skyline Roofing Centres,Population Wellbeing,Voids,Purchase Of Materials,£320.39
 24-Jun-2024,J P Hygiene Supplies,Population Wellbeing,Voids,Purchase Of Materials,£465.30
 25-Jun-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,£872.39
 10-Jun-2024,Homebase Ltd,Population Wellbeing,Voids,Sub-Contractors,£291.67
 13-Jun-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£430.00
 13-Jun-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£865.00
 13-Jun-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,060.00"
 13-Jun-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£475.00
 13-Jun-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,135.00"
 13-Jun-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,685.00"
 13-Jun-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£865.00
 13-Jun-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 24-Jun-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,"£2,650.00"
 24-Jun-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 24-Jun-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£380.00
 24-Jun-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£350.00
 24-Jun-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,"£2,250.00"
 24-Jun-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£950.00
 26-Jun-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£2,415.46"
 26-Jun-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£2,765.88"
 28-Jun-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Voids,Sub-Contractors,"£2,000.00"
 03-Jun-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£631.04
 04-Jun-2024,Jewson,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£308.76
 04-Jun-2024,Window Parts Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£275.27
 04-Jun-2024,Window Parts Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,"£2,548.90"
 04-Jun-2024,Glazerite Windows Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£512.28
 10-Jun-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£520.00
 10-Jun-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£530.00
 14-Jun-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£530.00
 14-Jun-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£530.00
 14-Jun-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£565.49
 14-Jun-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£575.49
 14-Jun-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£564.42
 19-Jun-2024,Window Parts Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£299.90
 03-Jun-2024,Interglow (Contracts) Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£820.00
 03-Jun-2024,EnviroVent Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£853.98
 03-Jun-2024,EnviroVent Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£383.36
 03-Jun-2024,Angle Scaffolding Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,916.00"
 03-Jun-2024,Walpole Design and Build Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,241.00"
 03-Jun-2024,Walpole Design and Build Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£750.00
 03-Jun-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£3,995.00"
 03-Jun-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£3,655.80"
 03-Jun-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,950.45"
 05-Jun-2024,Metro Rod Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£313.20
 10-Jun-2024,Advanced Group PM LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£594.00
 10-Jun-2024,Advanced Group PM LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£380.00
 10-Jun-2024,Advanced Group PM LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£522.72
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£350.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£410.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£400.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£250.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£350.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£320.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£250.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£360.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£280.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£500.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£610.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£250.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£250.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£255.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£350.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£370.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£500.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£470.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£250.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£325.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£350.00
 10-Jun-2024,Garage Doors (Luton),Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£745.00
 10-Jun-2024,Garage Doors (Luton),Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£708.50
 10-Jun-2024,Garage Doors (Luton),Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£696.50
 10-Jun-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,025.00"
 10-Jun-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,097.36"
 10-Jun-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,050.84"
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£280.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£290.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£300.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£420.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£280.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£350.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£450.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£600.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£350.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£385.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£600.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£815.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£300.00
 10-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£500.00
 10-Jun-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,312.90"
 10-Jun-2024,Garage Doors (Luton),Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£745.00
 10-Jun-2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£450.00
 10-Jun-2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£560.00
 10-Jun-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,512.24"
 10-Jun-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,800.00"
 10-Jun-2024,Interglow (Contracts) Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£710.00
 10-Jun-2024,Interglow (Contracts) Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£580.00
 10-Jun-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,584.06"
 13-Jun-2024,Garage Doors (Luton),Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£686.50
 13-Jun-2024,Garage Doors (Luton),Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£686.50
 13-Jun-2024,M & S Water Services (Utilities) Limited,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£708.15
 13-Jun-2024,Garage Doors (Luton),Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£696.50
 13-Jun-2024,Garage Doors (Luton),Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£729.50
 13-Jun-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£685.00
 13-Jun-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£825.84
 13-Jun-2024,The Dwelling Doctors LTD,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£690.00
 13-Jun-2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£450.00
 13-Jun-2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£450.00
 13-Jun-2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£550.00
 13-Jun-2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£750.00
 13-Jun-2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£500.00
 13-Jun-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£430.00
 13-Jun-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£325.00
 13-Jun-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£430.00
 13-Jun-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£436.00
 13-Jun-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£430.00
 13-Jun-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£430.00
 13-Jun-2024,Dalrod,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£250.00
 13-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£650.00
 13-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£870.00
 13-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£350.00
 13-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£380.00
 13-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£750.00
 13-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£495.00
 13-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£250.00
 13-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£420.00
 13-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£510.00
 13-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£450.00
 13-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£580.00
 13-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£650.00
 13-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£775.00
 13-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£450.00
 13-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£415.00
 13-Jun-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£250.00
 13-Jun-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,878.00"
 13-Jun-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£819.72
 13-Jun-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,280.00"
 13-Jun-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£932.00
 13-Jun-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£4,150.38"
 13-Jun-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,825.20"
 13-Jun-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,140.00"
 13-Jun-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,006.00"
 13-Jun-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£720.00
 13-Jun-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£6,103.98"
 13-Jun-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,340.00"
