Transparency Report - January 2024 ,,,,,
Date,Supplier,Department ,CC Description,Ledger Code,Value £
 09-Jan-2024,Achates Philanthropy Ltd,Chief Executive,Director Citizen Engagement & Legal Serv,Policy Projects,"£9,276.27"
 19-Jan-2024,Matrix Chambers Ltd,Chief Executive,Director Citizen Engagement & Legal Serv,Policy Projects,"£2,250.00"
 24-Jan-2024,BT Events Ltd,Chief Executive,Luton 2040 - Strategy (was Luton Invest.,Services - Projects for Luton 2040,"£20,000.00"
 24-Jan-2024,Redacted Personal Payment,Chief Executive,Luton 2040 - Strategy (was Luton Invest.,Services re Cultural Enabler,"£2,800.00"
 24-Jan-2024,Redacted Personal Payment,Chief Executive,Luton 2040 - Strategy (was Luton Invest.,Services re Cultural Enabler,"£6,000.00"
 08-Jan-2024,BJM IG Privacy Ltd & Associates,Population Wellbeing,Business Intelligence,Staff Training,£350.00
 29-Jan-2024,M K Occupational Health Ltd,Population Wellbeing,Business Intelligence,Other Employee Expenses,£395.00
 25-Jan-2024,Human Engine Limited,Population Wellbeing,Strategic Change Team (ex LEX),Consultancy Fees,"£90,000.00"
 05-Jan-2024,Civica UK Ltd,Inclusive Economy,ICT,Contract Payments Civica,"£444,877.85"
 25-Jan-2024,Civica UK Ltd,Inclusive Economy,ICT,Contract Payments Civica,"£67,361.00"
 24-Jan-2024,Gamma Network Solutions Limited,Inclusive Economy,ICT,Telephones,"£5,615.29"
 04-Jan-2024,Lynx Networks Plc,Inclusive Economy,ICT,Maintenance Of Hardware,£380.00
 23-Jan-2024,NTA Monitor Ltd,Inclusive Economy,ICT,Software Maintenance & Licence Fees,"£24,750.00"
 09-Jan-2024,Xerox UK Ltd,Inclusive Economy,Xerox Photocopiers,Photocopying Contract Direct Costs,"£14,470.26"
 15-Jan-2024,Civica UK Ltd,Inclusive Economy,Future ICT Programme - Civica Insource,Consultancy Fees,"£1,133.91"
 15-Jan-2024,Civica UK Ltd,Inclusive Economy,Future ICT Programme - Civica Insource,Consultancy Fees,"-£1,133.91"
 15-Jan-2024,Civica UK Ltd,Inclusive Economy,Future ICT Programme - Civica Insource,Consultancy Fees,"£1,133.91"
 15-Jan-2024,Civica UK Ltd,Inclusive Economy,Future ICT Programme - Civica Insource,Consultancy Fees,"-£1,133.91"
 15-Jan-2024,Civica UK Ltd,Inclusive Economy,Future ICT Programme - Civica Insource,Consultancy Fees,"£1,133.91"
 15-Jan-2024,Civica UK Ltd,Inclusive Economy,Future ICT Programme - Civica Insource,Consultancy Fees,"-£1,133.91"
 15-Jan-2024,Civica UK Ltd,Inclusive Economy,Future ICT Programme - Civica Insource,Consultancy Fees,"£1,133.91"
 02-Jan-2024,Dell Computer Corporation Ltd,Inclusive Economy,ICT Equipment Holding Account,Purchases,"£1,222.29"
 03-Jan-2024,Dell Computer Corporation Ltd,Inclusive Economy,ICT Equipment Holding Account,Purchases,"£4,038.60"
 03-Jan-2024,Dell Computer Corporation Ltd,Inclusive Economy,ICT Equipment Holding Account,Purchases,£304.23
 04-Jan-2024,Dell Computer Corporation Ltd,Inclusive Economy,ICT Equipment Holding Account,Purchases,"£28,912.00"
 10-Jan-2024,Dell Computer Corporation Ltd,Inclusive Economy,ICT Equipment Holding Account,Purchases,£448.60
 11-Jan-2024,CCS Media Limited,Inclusive Economy,ICT Equipment Holding Account,Purchases,£378.60
 12-Jan-2024,Dell Computer Corporation Ltd,Inclusive Economy,ICT Equipment Holding Account,Purchases,-£304.23
 24-Jan-2024,Bytes Software Services Ltd,Inclusive Economy,ICT Equipment Holding Account,Purchases,"£1,125.00"
 24-Jan-2024,Bytes Software Services Ltd,Inclusive Economy,ICT Equipment Holding Account,Purchases,£474.80
 26-Jan-2024,Dell Computer Corporation Ltd,Inclusive Economy,ICT Equipment Holding Account,Purchases,"£4,448.00"
 08-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Sub-Contractors,"£2,230.00"
 08-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Sub-Contractors,£430.00
 08-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Sub-Contractors,£430.00
 10-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Sub-Contractors,"£1,750.00"
 10-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Sub-Contractors,£430.00
 29-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Sub-Contractors,"£1,750.00"
 29-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Sub-Contractors,"£1,750.00"
 29-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Sub-Contractors,£430.00
 08-Jan-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Planned Contracts - Kitchens,Purchase Of Materials,£990.44
 09-Jan-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Planned Contracts - Kitchens,Purchase Of Materials,£994.62
 04-Jan-2024,J & B Electrical Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£738.00
 04-Jan-2024,J & B Electrical Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£808.00
 08-Jan-2024,J & B Electrical Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£804.00
 24-Jan-2024,J & B Electrical Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,"£1,146.00"
 29-Jan-2024,J & B Electrical Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£702.00
 29-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£417.00
 29-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£447.00
 29-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£414.00
 04-Jan-2024,Gibbs & Dandy Plc,Population Wellbeing,Property Services,Purchase Of Materials,£749.46
 29-Jan-2024,Gibbs & Dandy Plc,Population Wellbeing,Property Services,Purchase Of Materials,£265.55
 15-Jan-2024,Dycol Ltd,Population Wellbeing,Property Services,Sub-Contractors,£600.00
 15-Jan-2024,Dycol Ltd,Population Wellbeing,Property Services,Sub-Contractors,£295.00
 03-Jan-2024,PPM Ltd,Population Wellbeing,Property Architects,Sub-Contractors,"£4,874.51"
 04-Jan-2024,Logic4Training,Population Wellbeing,Planned Contracts - Central Heating,Other Employee Expenses,£925.00
 04-Jan-2024,Logic4Training,Population Wellbeing,Planned Contracts - Central Heating,Other Employee Expenses,£925.00
 12-Jan-2024,Kaplan Financial,Population Wellbeing,Overheads,Staff Training,"£1,337.50"
 25-Jan-2024,Roche Audio Visual,Population Wellbeing,Overheads,Staff Training,£350.00
 17-Jan-2024,The Gutbuster Snack Bar,Population Wellbeing,Overheads,Direct Purchases - Supplies,£636.00
 23-Jan-2024,Cloud Dialogs Limited,Population Wellbeing,Overheads,Mobile Communication Charges,"£3,500.00"
 23-Jan-2024,Cloud Dialogs Limited,Population Wellbeing,Overheads,Mobile Communication Charges,"£3,500.00"
 04-Jan-2024,Glynns Skip,Population Wellbeing,Overheads,Other Expenses,£404.30
 05-Jan-2024,Denmanair Air-conditioning Services Ltd,Population Wellbeing,Overheads,Other Expenses,"£2,270.00"
 05-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£925.00
 05-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£848.41
 05-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,"£1,110.00"
 05-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£962.00
 05-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£970.51
 05-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£700.00
 05-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,"£1,110.00"
 05-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£925.00
 05-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£562.50
 05-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£420.00
 05-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£504.46
 05-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£585.00
 05-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£577.06
 08-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,"£1,080.00"
 08-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£888.00
 11-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£767.00
 11-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£737.50
 11-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£592.00
 11-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£676.44
 11-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£885.00
 11-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£737.50
 11-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£773.79
 18-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£925.00
 18-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,"£1,110.00"
 18-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£962.00
 18-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£580.00
 18-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£848.41
 18-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£925.00
 18-Jan-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£970.51
 23-Jan-2024,Glynns Skip,Population Wellbeing,Overheads,Other Expenses,£344.50
 08-Jan-2024,Fascia & Glazing Supplies,Population Wellbeing,Aids and Adaptations,Purchase Of Materials,£359.72
 26-Jan-2024,Butterfield Timber & Safety Supplies,Population Wellbeing,Aids and Adaptations,Purchase Of Materials,£532.00
 08-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,£430.00
 10-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,£685.00
 24-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,£430.00
 29-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,£430.00
 29-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,£430.00
 03-Jan-2024,Interglow (Contracts) Ltd,Population Wellbeing,Grant Work,Sub-Contractors,£580.00
 10-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Grant Work,Sub-Contractors,£684.00
 15-Jan-2024,Interglow (Contracts) Ltd,Population Wellbeing,Grant Work,Sub-Contractors,£620.00
 04-Jan-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,£276.88
 04-Jan-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,"£1,251.11"
 04-Jan-2024,Gibbs & Dandy Plc,Population Wellbeing,Voids,Purchase Of Materials,£488.00
 08-Jan-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,£302.84
 08-Jan-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,£276.02
 08-Jan-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,"£1,207.42"
 17-Jan-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,£977.34
 19-Jan-2024,PPG Architectural Coatings UK Limited,Population Wellbeing,Voids,Purchase Of Materials,£258.07
 23-Jan-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,£946.09
 23-Jan-2024,PPG Architectural Coatings UK Limited,Population Wellbeing,Voids,Purchase Of Materials,£296.20
 24-Jan-2024,New Century Doors Ltd,Population Wellbeing,Voids,Purchase Of Materials,£530.00
 24-Jan-2024,New Century Doors Ltd,Population Wellbeing,Voids,Purchase Of Materials,£520.00
 24-Jan-2024,New Century Doors Ltd,Population Wellbeing,Voids,Purchase Of Materials,£530.00
 25-Jan-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,"£1,322.38"
 26-Jan-2024,PPG Architectural Coatings UK Limited,Population Wellbeing,Voids,Purchase Of Materials,£257.93
 29-Jan-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,"£1,402.57"
 29-Jan-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,£972.13
 03-Jan-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£360.00
 03-Jan-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£420.00
 03-Jan-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,"£3,730.00"
 04-Jan-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,575.00"
 04-Jan-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Voids,Sub-Contractors,£650.00
 04-Jan-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Voids,Sub-Contractors,£945.00
 04-Jan-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Voids,Sub-Contractors,£390.00
 04-Jan-2024,Homebase Ltd,Population Wellbeing,Voids,Sub-Contractors,£416.58
 04-Jan-2024,Homebase Ltd,Population Wellbeing,Voids,Sub-Contractors,£250.00
 04-Jan-2024,Homebase Ltd,Population Wellbeing,Voids,Sub-Contractors,£250.00
 04-Jan-2024,Homebase Ltd,Population Wellbeing,Voids,Sub-Contractors,£416.68
 08-Jan-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,"£3,250.00"
 08-Jan-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,916.89"
 08-Jan-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,596.85"
 08-Jan-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£3,700.59"
 10-Jan-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,260.00"
 10-Jan-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Voids,Sub-Contractors,£520.00
 10-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 10-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 10-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£435.00
 10-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,865.00"
 10-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,885.00"
 10-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 10-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 10-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 10-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£865.00
 11-Jan-2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Voids,Sub-Contractors,"£1,650.00"
 15-Jan-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,575.00"
 15-Jan-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Voids,Sub-Contractors,£650.00
 15-Jan-2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Voids,Sub-Contractors,"£1,980.00"
 15-Jan-2024,Robert Hilson Scaffolding,Population Wellbeing,Voids,Sub-Contractors,"£1,200.00"
 22-Jan-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£2,712.80"
 22-Jan-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,920.85"
 22-Jan-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£4,241.31"
 22-Jan-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£2,240.89"
 22-Jan-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,744.03"
 24-Jan-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,200.00"
 24-Jan-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,460.00"
 24-Jan-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,460.00"
 24-Jan-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£400.00
 24-Jan-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£460.00
 29-Jan-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,575.00"
 29-Jan-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Voids,Sub-Contractors,£650.00
 04-Jan-2024,Window Parts Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£262.21
 08-Jan-2024,Window Parts Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£265.44
 08-Jan-2024,Travis Perkins Trading Co Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£344.68
 08-Jan-2024,Window Parts Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£325.91
 09-Jan-2024,Travis Perkins Trading Co Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£283.31
 19-Jan-2024,Window Parts Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£267.98
 23-Jan-2024,Window Parts Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£250.83
 24-Jan-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£623.78
 24-Jan-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£573.78
 24-Jan-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£573.78
 24-Jan-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£885.00
 24-Jan-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£580.00
 24-Jan-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£549.31
 26-Jan-2024,PPG Architectural Coatings UK Limited,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£267.99
 26-Jan-2024,Screwfix Direct,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£449.75
 29-Jan-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£885.00
 29-Jan-2024,Window Parts Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£271.43
 03-Jan-2024,Interglow (Contracts) Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£640.00
 03-Jan-2024,Interglow (Contracts) Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£580.00
 03-Jan-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£250.00
 03-Jan-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£600.00
 03-Jan-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£765.00
 03-Jan-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£350.00
 03-Jan-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£250.00
 03-Jan-2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£675.00
 03-Jan-2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£675.00
 08-Jan-2024,J & B Electrical Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£702.00
 08-Jan-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£3,100.00"
 08-Jan-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£3,130.00"
 08-Jan-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,898.20"
 08-Jan-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£2,840.80"
 08-Jan-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£971.94
 08-Jan-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£977.88
 08-Jan-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£8,796.48"
 08-Jan-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£9,538.71"
 08-Jan-2024,Furlong & Higgs Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,431.52"
 08-Jan-2024,Lonsdale Painting & Decorating,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£720.00
 08-Jan-2024,Lonsdale Painting & Decorating,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£760.00
 08-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£430.00
 08-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£485.00
 08-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£436.00
 08-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£436.00
 08-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£436.00
 08-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£365.00
 08-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£340.00
 08-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£675.00
 08-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£430.00
 08-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£430.00
 08-Jan-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£285.00
 08-Jan-2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£250.00
 08-Jan-2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£475.00
 08-Jan-2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£475.00
 08-Jan-2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£550.00
 08-Jan-2024,Bearings Structural Solutions Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£838.25
 10-Jan-2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£5,600.00"
 10-Jan-2024,Walpole Design and Build Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,691.00"
 10-Jan-2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£400.00
 10-Jan-2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£600.00
 10-Jan-2024,Robert Hilson Scaffolding,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£600.00
 10-Jan-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£330.00
 10-Jan-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£450.00
 10-Jan-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£420.00
 10-Jan-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£530.00
 10-Jan-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£400.00
 10-Jan-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£500.00
