LBBD Payments Greater than £250 for Publishing,,,,,,,,,,
Payment Date,Supplier,Category,Cost Centre,Cost Centre Description,Cost Centre Parent,Cost Centre Parent,Cost Centre Parent,Nominal Description,Gross,Vat
01-Feb-24,Ashbrook Nursing Home,Commercial,F10380,PHYSICAL SUPPORT,PEOPLE & RESILIENCE 10A,ADULT'S CARE & SUPPORT 10AB,ADULTS CARE PACKAGES 10ABB,651540 NURSING HOMES - PRIVATE,37016.42,0.00
01-Feb-24,Redacted,Other Entities and Individuals,F15880,INTERNAL FOSTERING PLACEMENT,PEOPLE & RESILIENCE 10A,CHILDREN'S CARE & SUPPORT 10AE,PLACEMENTS CLIENT COSTS 10AEF,651440 IN HSE FOSTER PLCMNTS P,919.00,0.00
01-Feb-24,Redacted,Other Entities and Individuals,F16080,PERMANENCE TEAM - FOSTERING,CHILDREN'S CARE & SUPPORT 10AE,PLACEMENTS INTERNAL COSTS 10AEH,PLACEMENTS SERVICE 10AEHC,651460 KINSHIP PLACEMENT PRIV,306.44,0.00
01-Feb-24,B & D Energy Ltd,Commercial,F22200,TOWN HALL OFFICES,HOMES AND ASSETS 10GB,PROPERTY MANAGEMENT 10GBE,ASSET MANAGEMENT 10GBEA,621300 GAS,60000.00,10000.00
01-Feb-24,Redacted,Foster Carer,F15920,ADOPTION PLACEMENT COSTS,PEOPLE & RESILIENCE 10A,CHILDREN'S CARE & SUPPORT 10AE,PLACEMENTS CLIENT COSTS 10AEF,651220 ADOPTION ALLOW PRIVATE,307.94,0.00
01-Feb-24,Redacted,Foster Carer,F15920,ADOPTION PLACEMENT COSTS,PEOPLE & RESILIENCE 10A,CHILDREN'S CARE & SUPPORT 10AE,PLACEMENTS CLIENT COSTS 10AEF,651220 ADOPTION ALLOW PRIVATE,850.00,0.00
01-Feb-24,B & D Energy Ltd,Commercial,F22200,TOWN HALL OFFICES,HOMES AND ASSETS 10GB,PROPERTY MANAGEMENT 10GBE,ASSET MANAGEMENT 10GBEA,621300 GAS,45541.20,7590.20
01-Feb-24,Redacted,Foster Carer,F15920,ADOPTION PLACEMENT COSTS,PEOPLE & RESILIENCE 10A,CHILDREN'S CARE & SUPPORT 10AE,PLACEMENTS CLIENT COSTS 10AEF,651220 ADOPTION ALLOW PRIVATE,596.12,0.00
01-Feb-24,Barking Havering And Redbridge Hospitals,NHS/Medical Bodies,F13670,CORONERS AND MORTUARY,PEOPLE & RESILIENCE 10A,PUBLIC HEALTH 10AD,PUBLIC HEALTH SERVICES 10ADA,651100 PAYMENT TO HEALTH AUTHO,6385.92,3.15
01-Feb-24,Barking Havering And Redbridge Hospitals,NHS/Medical Bodies,F13670,CORONERS AND MORTUARY,PEOPLE & RESILIENCE 10A,PUBLIC HEALTH 10AD,PUBLIC HEALTH SERVICES 10ADA,651100 PAYMENT TO HEALTH AUTHO,3448.11,44.10
01-Feb-24,Barking Havering And Redbridge Hospitals,NHS/Medical Bodies,F13670,CORONERS AND MORTUARY,PEOPLE & RESILIENCE 10A,PUBLIC HEALTH 10AD,PUBLIC HEALTH SERVICES 10ADA,651100 PAYMENT TO HEALTH AUTHO,4240.74,31.50
01-Feb-24,BD Corporate Cleaning Ltd,Commercial,F26530,GREYS COURT MODULAR UNIT,COMMUNITY SOLUTIONS 10F,SUPPORT AND COLLECTIONS 10FA,SUPPORT SERVICES 10FAF,621520 CLEANING SERVICES,1547.70,257.95
01-Feb-24,BD Management Services Limited,Commercial,F14300,VALENCE HOUSE MUSEUM,INCLUSIVE GROWTH 10E,INCLUSIVE GROWTH 10EB,CULTURE AND HERITAGE 10EBH,621140 R & M MINOR WORKS,608.33,101.39
01-Feb-24,BD Management Services Limited,Commercial,F14860,BARKING LEARNING CENTRE,COMMUNITY SOLUTIONS 10F,COMMUNITY PARTICIPATION & PREV 10FC,LIBRARIES 10FCB,621270 BUILDING ALTERATNS & MA,2746.87,457.81
01-Feb-24,BD Management Services Limited,Commercial,F14900,HOS UNIVERSAL,COMMUNITY SOLUTIONS 10F,COMMUNITY PARTICIPATION & PREV 10FC,UNIVERSAL SERVICES 10FCF,621270 BUILDING ALTERATNS & MA,1354.50,225.75
01-Feb-24,BD Management Services Limited,Commercial,F14900,HOS UNIVERSAL,COMMUNITY SOLUTIONS 10F,COMMUNITY PARTICIPATION & PREV 10FC,UNIVERSAL SERVICES 10FCF,621270 BUILDING ALTERATNS & MA,2033.33,338.89
01-Feb-24,BD Management Services Limited,Commercial,H05200,CAPITAL HRA BS,COUNCIL COUNCIL,HRA 2,HRA CAPITAL 22,115340 CAPITAL OUTLAY,8135.30,1355.88
01-Feb-24,BD Management Services Limited,Commercial,F14860,BARKING LEARNING CENTRE,COMMUNITY SOLUTIONS 10F,COMMUNITY PARTICIPATION & PREV 10FC,LIBRARIES 10FCB,621270 BUILDING ALTERATNS & MA,3161.63,526.94
01-Feb-24,BD Service Delivery Ltd,Commercial,D60760,SEABROOK CAMPUS (ETS),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,621520 CLEANING SERVICES,1637.56,272.93
01-Feb-24,BD Service Delivery Ltd,Commercial,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,621140 R & M MINOR WORKS,6714.35,1119.06
