Payment Date,Supplier,Category,Cost Centre,Cost Centre Description,Cost Centre Parent,Cost Centre Parent,Cost Centre Parent,Nominal Description,Gross,Vat
01-Sep-23,NHS North East London ICB,Commercial,F13580,BETTER CARE FUND CENTRLLY HELD,PEOPLE & RESILIENCE 10A,ADULT'S CARE & SUPPORT 10AB,ADULTS CARE PACKAGES 10ABB,651100 PAYMENT TO HEALTH AUTHO,918766,0
01-Sep-23,Partners for Independence,Commercial,F11220,LEARNING DISABILITIES SUPPORT,PEOPLE & RESILIENCE 10A,ADULTS DISABILITY 10AA,DISABILITIES CARE PACKAGES 10AAB,651420 HOME CARE - PRIVATE CON,2070,0
01-Sep-23,Post Office Ltd Payout,Commercial,F10380,PHYSICAL SUPPORT,PEOPLE & RESILIENCE 10A,ADULT'S CARE & SUPPORT 10AB,ADULTS CARE PACKAGES 10ABB,651420 HOME CARE - PRIVATE CON,2617.43,0
01-Sep-23,RCKa Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,58110,9685
01-Sep-23,Remedy Recruitment Group Ltd,Commercial,F19570,LAC PUPIL PREMIUM,PEOPLE & RESILIENCE 10A,"EDUCATION, YOUTH & CHILDCARE 10AF",ADDITIONAL EDUCATION SERVICES 10AFC,641640 PROFESSIONAL SERVCES -,510,85
01-Sep-23,Sanza Teaching Agency Ltd,Commercial,D60040,HIGH NEEDS TOP UPS - OB,DSG - OTHER 40,DSG - HIGH NEEDS 40G,DSG - PLACEMNTS & HN TOP UP OB 40GE,641640 PROFESSIONAL SERVCES -,702,117
01-Sep-23,Sanza Teaching Agency Ltd,Commercial,D60040,HIGH NEEDS TOP UPS - OB,DSG - OTHER 40,DSG - HIGH NEEDS 40G,DSG - PLACEMNTS & HN TOP UP OB 40GE,641640 PROFESSIONAL SERVCES -,660,110
01-Sep-23,See Services,Commercial,F14300,VALENCE HOUSE MUSEUM,INCLUSIVE GROWTH 10E,INCLUSIVE GROWTH 10EB,CULTURE AND HERITAGE 10EBH,621140 R & M MINOR WORKS,417.6,69.6
01-Sep-23,Shred It,Commercial,F18120,ADULT COLLEGE,INCLUSIVE GROWTH 10E,INCLUSIVE GROWTH 10EB,EMPLOYMENT TEAM 10EBG,621540 GROUNDS MAINTENANCE,1137.6,189.6
01-Sep-23,Specialist Fleet Services t/a CTS Hire,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631100 OTHER VEHICLE COSTS,7998,1333
01-Sep-23,Specialist Fleet Services t/a CTS Hire,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631100 OTHER VEHICLE COSTS,7812,1302
01-Sep-23,Specialist Fleet Services t/a CTS Hire,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631100 OTHER VEHICLE COSTS,7812,1302
01-Sep-23,Specialist Fleet Services t/a CTS Hire,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,7812,1302
01-Sep-23,Specialist Fleet Services t/a CTS Hire,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631100 OTHER VEHICLE COSTS,7812,1302
01-Sep-23,Upson Mowers Ltd,Commercial,F27560,HIGHWAYS & HRA GROUND MTCE,PUBLIC REALM 10GC,PARKS AND ENVIRONMENT 10GCB,GROUNDS MAINTENANCE 10GCBC,631040 VEHICLE REPAIRS & MAINT,1763.28,293.88
01-Sep-23,Weston Homes Plc,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,1135688.57,0
01-Sep-23,Wilde Carter Clack Limited,Commercial,H05200,CAPITAL HRA BS,COUNCIL COUNCIL,HRA 2,HRA CAPITAL 22,115340 CAPITAL OUTLAY,1800,300
01-Sep-23,Willmott Dixon Construction Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,1246544.35,0
01-Sep-23,Zebedee's Lunch Box Ltd,Commercial,F17120,ABBEY NURSERY,COMMUNITY SOLUTIONS 10F,COMMUNITY PARTICIPATION & PREV 10FC,UNIVERSAL SERVICES 10FCF,641180 CATERING AND VENDING SU,601.86,100.31
04-Sep-23,Aberdeen Asset Managers Ltd,Commercial,P90100,PENSION FUND I&E,TOTAL COUNCIL AND OTHER TOTAL,PENSION FUND 5,PENSION FUND I&E 50,644060 FUND MANAGEMENT FEES,143263.83,23877.31
04-Sep-23,Active Recruitment SEN Limited,Commercial,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,611140 AGENCY STAFF,1805.04,300.84
04-Sep-23,Active Recruitment SEN Limited,Commercial,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,611140 AGENCY STAFF,1624.54,270.76
04-Sep-23,Active Recruitment SEN Limited,Commercial,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,611140 AGENCY STAFF,1444.03,240.67
04-Sep-23,Active Recruitment SEN Limited,Commercial,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,611140 AGENCY STAFF,541.51,90.25
04-Sep-23,Active Recruitment SEN Limited,Commercial,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,611140 AGENCY STAFF,361.01,60.17
04-Sep-23,Arthur J Gallagher (UK),Commercial,F22600,RISK MANAGEMENT & INSURANCE,CORPORATE MANAGEMENT 10B,FINANCE 10BB,AUDIT AND INSURANCE 10BBF,641580 INSURANCE EXCL PREMISES,651709.3,0
04-Sep-23,Arthur J Gallagher (UK),Commercial,F22600,RISK MANAGEMENT & INSURANCE,CORPORATE MANAGEMENT 10B,FINANCE 10BB,AUDIT AND INSURANCE 10BBF,641580 INSURANCE EXCL PREMISES,623528.17,0
