Body Name,Body,Service label,Organisational unit,Expenditure category,Detailed Expenses type,Date,Transaction Number,Amount,Capital/ Revenue,Supplier Name,Supplier ID
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40236111111,Various,1872.16,Revenue,Redacted personal data,127177.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40236111111,Various,1168.02,Revenue,Redacted personal data,127675.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Mainstream 11 - 15 Years,45413.40236111111,Various,727.1800000000001,Revenue,Redacted personal data,127679.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Mainstream Enhanced 5 - 10 Years,45413.40237268519,Various,799.28,Revenue,Redacted personal data,129335.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Special Guardianship Allowance,45413.40237268519,Various,600.0,Revenue,Redacted personal data,131508.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Special Guardianship Allowance,45413.40237268519,Various,670.58,Revenue,Redacted personal data,133335.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Foster Band 1 Mtce 1115,45413.40237268519,Various,727.1800000000001,Revenue,Redacted personal data,134013.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40237268519,Various,1208.19,Revenue,Redacted personal data,134014.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40237268519,Various,1404.07,Revenue,Redacted personal data,138438.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Foster Band 1 Mtce 510,45413.40238425926,Various,812.6700000000001,Revenue,Redacted personal data,139069.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40238425926,Various,649.48,Revenue,Redacted personal data,139790.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40238425926,Various,977.32,Revenue,Redacted personal data,140639.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Foster Band 1 Mtce 1115,45413.40238425926,Various,727.1800000000001,Revenue,Redacted personal data,140690.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Mainstream Enhanced 5 - 10 Years,45413.40238425926,Various,799.28,Revenue,Redacted personal data,143396.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40238425926,Various,792.07,Revenue,Redacted personal data,146531.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Mainstream 0 - 4 Years,45413.402395833335,Various,500.58,Revenue,Redacted personal data,147129.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.402395833335,Various,634.48,Revenue,Redacted personal data,148616.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.402395833335,Various,521.1800000000001,Revenue,Redacted personal data,148951.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.402395833335,Various,670.53,Revenue,Redacted personal data,149929.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Mainstream Enh. Solo  RespBreak 5 - 10,45413.402407407404,9864464382,502.64,Revenue,Redacted personal data,150227.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Special Guardianship Allowance,45413.402407407404,Various,521.1800000000001,Revenue,Redacted personal data,150734.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Special Guardianship Allowance,45413.402407407404,Various,541.78,Revenue,Redacted personal data,150915.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Non  STD Weekly Maintenance,45413.402407407404,9864464109,735.53,Revenue,Redacted personal data,150952.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.402407407404,Various,1134.17,Revenue,Redacted personal data,151117.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.402407407404,Various,897.1800000000001,Revenue,Redacted personal data,151224.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Foster Band 1 Mtce 1115,45413.402407407404,Various,727.1800000000001,Revenue,Redacted personal data,151449.0
