OrganisationalUnit,ServiceCategoryLabel,BeneficiaryName,PaymentDate,TransactionNumber,Amount,IrrecoverableVATAmount,Purpose,CategoryInternalName
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Housing Services,AARAV PROPERTIES LIMITED,27/02/2024,5440826,1560.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Housing Services,AARAV PROPERTIES LIMITED,27/02/2024,5440827,2320.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Housing Services,AARAV PROPERTIES LIMITED,27/02/2024,5440830,5508.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Housing Services,AARAV PROPERTIES LIMITED,27/02/2024,5440833,3410.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Housing Services,AARAV PROPERTIES LIMITED,27/02/2024,5440836,6138.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Housing Services,AARAV PROPERTIES LIMITED,27/02/2024,5440839,2465.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Housing Services,AARAV PROPERTIES LIMITED,27/02/2024,5440844,2508.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Housing Services,AARAV PROPERTIES LIMITED,27/02/2024,5440845,6712.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Housing Services,AARAV PROPERTIES LIMITED,27/02/2024,5440849,3664.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Housing Services,AARAV PROPERTIES LIMITED,27/02/2024,5440852,2294.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Housing Services,AARAV PROPERTIES LIMITED,27/02/2024,5440854,1116.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Housing Services,AARAV PROPERTIES LIMITED,27/02/2024,5440857,640.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Housing Services,AARAV PROPERTIES LIMITED,27/02/2024,5440859,3854.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Housing Services,AARAV PROPERTIES LIMITED,27/02/2024,5440862,1485.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Housing Services,AARAV PROPERTIES LIMITED,27/02/2024,5440864,3100.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Housing Services,AARAV PROPERTIES LIMITED,27/02/2024,5440865,7626.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Housing Services,AARAV PROPERTIES LIMITED,27/02/2024,5440869,874.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Housing Services,AARAV PROPERTIES LIMITED,27/02/2024,5440876,6816.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Housing Services,AARAV PROPERTIES LIMITED,27/02/2024,5440881,2162.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
CAPITAL HRA,Housing,AARDVARK PLANNING LAW,20/02/2024,5434726,8120.00,0.00,FEES - EXTERNAL,Suppliers - Legal (Excl Counsel Fees)
HOUSING REVENUE ACCOUNT,Housing Revenue Account,ABA CONSTRUCTION LIMITED,06/02/2024,5432088,2323.90,0.00,GROUNDS REPAIRS & MAINTENANCE,Construction Industry suppliers (CIS)
HOUSING REVENUE ACCOUNT,Housing Revenue Account,ABA CONSTRUCTION LIMITED,06/02/2024,5432092,510.00,0.00,GROUNDS REPAIRS & MAINTENANCE,Construction Industry suppliers (CIS)
HOUSING REVENUE ACCOUNT,Housing Revenue Account,ABA CONSTRUCTION LIMITED,06/02/2024,5432095,995.00,0.00,GROUNDS REPAIRS & MAINTENANCE,Construction Industry suppliers (CIS)
HOUSING REVENUE ACCOUNT,Housing Revenue Account,ABA CONSTRUCTION LIMITED,20/02/2024,5437632,1070.66,0.00,GROUNDS REPAIRS & MAINTENANCE,Construction Industry suppliers (CIS)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,ABIDING LIMITED,02/02/2024,5430325,498.40,0.00,EXPENSES/ALLOWANCES,Suppliers - General Goods & Services
CHILDRENS AND ADULT SERVICES,Children's and Education Services,ABIDING LIMITED,02/02/2024,5430325,68.00,0.00,PUBLIC TRANSPORT,Suppliers - General Goods & Services
CHILDRENS AND ADULT SERVICES,Children's and Education Services,ABIDING LIMITED,06/02/2024,5430327,464.25,0.00,EXPENSES/ALLOWANCES,Suppliers - General Goods & Services
CHILDRENS AND ADULT SERVICES,Children's and Education Services,ABIDING LIMITED,06/02/2024,5430327,132.80,0.00,PUBLIC TRANSPORT,Suppliers - General Goods & Services
CHILDRENS AND ADULT SERVICES,Children's and Education Services,ABILITY HOTELS (SYON PARK) LIMITED T/A HILTON LONDON SYON PARK,20/02/2024,5437198,475.00,0.00,EXPENSES/ALLOWANCES,Suppliers - General Goods & Services
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Planning Services,ABUNDANCE LONDON,23/02/2024,5439759,1938.00,0.00,SERVICES/FEES,Voluntary organisations
CHILDRENS AND ADULT SERVICES,Children's and Education Services,ACAT T/A ST MICHAEL CPS,27/02/2024,5440907,810.00,0.00,OTHER LBH INDEPENDENT UNITS,Suppliers - Education & Sports
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Highways and Transport Services,ACCESS INDEPENDENT LIMITED,02/02/2024,5431677,5355.00,0.00,SERVICES/FEES,Suppliers - Social community care/Healthcare
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Highways and Transport Services,ACCESS INDEPENDENT LIMITED,02/02/2024,5431691,1080.00,0.00,SERVICES/FEES,Suppliers - Social community care/Healthcare
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Highways and Transport Services,ACCESS INDEPENDENT LIMITED,02/02/2024,5431697,698.00,0.00,SERVICES/FEES,Suppliers - Social community care/Healthcare
"REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Highways and Transport Services,ACCESS INDEPENDENT LIMITED,02/02/2024,5431893,7023.00,0.00,SERVICES/FEES,Suppliers - Social community care/Healthcare
CHILDRENS AND ADULT SERVICES,Adult Social Care,ACCESS UK LTD,23/02/2024,5434282,11180.24,0.00,OTHER THIRD PARTY PAYMENTS,Suppliers - Social community care/Healthcare
"CAPITAL REGENERATION, HOUSING & ENVIRONMENTAL SERVICES",Education,ACCLAIM CONTRACTS LIMITED,13/02/2024,5435086,3739.13,0.00,PAYMENT TO MAIN CONTRACTOR,Construction Industry suppliers (CIS)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,ACHIEVING FOR CHILDREN,09/02/2024,5428157,161477.77,0.00,OTHER LBH INDEPENDENT UNITS,Suppliers - Education & Sports
CHILDRENS AND ADULT SERVICES,Children's and Education Services,ACHIEVING FOR CHILDREN,09/02/2024,5428160,-5708.51,0.00,OTHER LBH INDEPENDENT UNITS,Suppliers - Education & Sports
CHILDRENS AND ADULT SERVICES,Children's and Education Services,ACHIEVING FOR CHILDREN,16/02/2024,5431273,81613.80,0.00,OTHER LBH INDEPENDENT UNITS,Suppliers - Education & Sports
CHILDRENS AND ADULT SERVICES,Children's and Education Services,ACHIEVING FOR CHILDREN,27/02/2024,5435331,179520.90,0.00,OTHER LBH INDEPENDENT UNITS,Suppliers - Education & Sports
CHILDRENS AND ADULT SERVICES,Children's and Education Services,ACHIEVING FOR CHILDREN,27/02/2024,5435850,328247.15,0.00,OTHER LBH INDEPENDENT UNITS,Suppliers - Education & Sports
CHILDRENS AND ADULT SERVICES,Children's and Education Services,ACORN CARE & EDUCATION LTD,09/02/2024,5432566,3392.00,0.00,OTHER LBH INDEPENDENT UNITS,Suppliers - General Goods & Services
CHILDRENS AND ADULT SERVICES,Children's and Education Services,ACORN CARE & EDUCATION LTD,09/02/2024,5432657,-3392.00,0.00,OTHER LBH INDEPENDENT UNITS,Suppliers - General Goods & Services
CHILDRENS AND ADULT SERVICES,Children's and Education Services,ACORN CARE & EDUCATION LTD,09/02/2024,5433314,1608.64,0.00,OTHER LBH INDEPENDENT UNITS,Suppliers - General Goods & Services
CHILDRENS AND ADULT SERVICES,Children's and Education Services,ACORN CARE & EDUCATION LTD,16/02/2024,5434225,1728.00,0.00,OTHER LBH INDEPENDENT UNITS,Suppliers - General Goods & Services
