Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation,Service Division Categorisation,Expense Type
Milton Keynes City Council,12-Jul-24,51501129157,"£5,237.16",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501128048,"£5,250.00",Eastern Fostering Services Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jul-24,51501128924,"£5,292.00",247 Taxiline LTD,Children's Services,Social Work - CWD & FAST,Home to School - Contract
Milton Keynes City Council,12-Jul-24,51501129158,"£5,329.04",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501116882,"£5,333.83",ACH HEALTHCARE LIMITED,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jul-24,51501115994,"£5,388.00",MK Surveys,Env & Prop (HRA),Development and Regeneration,Professional Fees and Hired Services
Milton Keynes City Council,12-Jul-24,51501127909,"£5,418.00",Lonsdale Print Solutions T/A Lonsdale Direct Solutions Ltd,Law & Governance,Democratic Services,Consultancy
Milton Keynes City Council,12-Jul-24,51501129176,"£5,512.80",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501116178,"£5,580.00",Hopscotch Solutions Ltd T/a The Shires School,Children's Services,High Needs Block,Independent School Placements
Milton Keynes City Council,12-Jul-24,51501129163,"£5,719.53",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129126,"£5,790.12",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129454,"£5,790.40",Ashlotrimcare Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129388,"£5,790.40",HAVILAH CARE LTD,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,12-Jul-24,51501129384,"£5,790.40",HAVILAH CARE LTD,Adult Services,Autism,Living support grants
Milton Keynes City Council,12-Jul-24,51501129389,"£5,790.40",HAVILAH CARE LTD,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501128902,"£5,825.25",Courtcare Flexi Ltd,Children's Services,Assistant Director - Children and Families,Professional Fees and Hired Services
Milton Keynes City Council,12-Jul-24,51501129165,"£5,926.26",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129159,"£6,339.72",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129177,"£6,615.36",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129161,"£7,120.70",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129162,"£7,212.58",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129085,"£7,618.12",AHR Homes ltd,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,12-Jul-24,51501129383,"£7,626.04",Bespoke Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501123218,"£7,684.50",Amber Fostering Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jul-24,51501129097,"£7,784.84",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129164,"£7,809.80",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501119484,"£7,809.80",Vital Healthcare Services Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501119483,"£8,145.16",Vital Healthcare Services Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129166,"£8,544.84",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501124488,"£8,667.31",Access UK Limited t/a Adam,Adult Services,Physical Disability,Domiciliary Care
Milton Keynes City Council,12-Jul-24,51501129168,"£8,728.60",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129167,"£8,728.60",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129387,"£8,964.00",HAVILAH CARE LTD,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,12-Jul-24,51501129444,"£9,004.24",Superior Homecare Services Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501128746,"£9,133.34",Npower Ltd,Environment & Property,Assistant Director Property,Electricity
