Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Prosperity & Investment,Regeneration & Investment,Supplies & Services,Fees,A.J.G INSURANCE BROKERS LTD ,07/12/2023,"5,207.56"
Prosperity & Investment,Regeneration & Investment,Premises-Related Expenditure,R&M -Building Other,A.J.G INSURANCE BROKERS LTD ,08/12/2023,"13,298.20"
"Communities, Customer & Commercial Services",Customer Relationships & Welfare Services,Supplies & Services,Blue Badge Assessments,Ascenti,07/12/2023,360.00
Health & Wellbeing,Health Improvement,Supplies & Services,Libraries Book Fund,A & H Library Services Ltd,14/12/2023,137.28
Health & Wellbeing,Health Improvement,Supplies & Services,Libraries Book Fund,A & H Library Services Ltd,14/12/2023,199.76
Adult Social Care,My Options,Supplies & Services,Equipment - Purchase,ASLES LTD,13/12/2023,165.00
"Communities, Customer & Commercial Services",Culture & Events,Supplies & Services,Equipment - Purchase,ASLES LTD,14/12/2023,114.30
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,ASLES LTD,12/12/2023,"4,664.00"
Education & Skills,SEND (0-25),Third Party Payments,DSG - High Needs Block,Aspris Telford School,21/12/2023,"17,098.33"
Education & Skills,SEND (0-25),Third Party Payments,DSG - High Needs Block,Aspris Telford School,22/12/2023,"32,959.29"
Education & Skills,SEND (0-25),Third Party Payments,DSG - High Needs Block,Aspris Telford School,22/12/2023,"27,294.66"
Education & Skills,SEND (0-25),Third Party Payments,DSG - High Needs Block,Aspris Telford School,22/12/2023,"35,561.33"
Education & Skills,SEND (0-25),Third Party Payments,DSG - High Needs Block,Aspris Telford School,22/12/2023,"35,561.33"
Finance & Human Resources,Finance,Employees,Professional Subs,ASSOCIATION OF CHARTERED CERTIFIED ACCOUNTANTS ,21/12/2023,297.00
Finance & Human Resources,"Finance Manager (Business, Education & Care)",Employees,Professional Subs,ASSOCIATION OF CHARTERED CERTIFIED ACCOUNTANTS ,06/12/2023,134.00
Finance & Human Resources,"Finance Manager (Business, Education & Care)",Employees,Professional Subs,ASSOCIATION OF CHARTERED CERTIFIED ACCOUNTANTS ,22/12/2023,297.00
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Third Party Payments,External Foster Care Payments,AtkinsRéalis UK Limited,04/12/2023,"20,315.57"
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Supplies & Services,Consultancy,AtkinsRéalis UK Limited,13/12/2023,"6,400.00"
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Supplies & Services,Consultancy,AtkinsRéalis UK Limited,13/12/2023,"6,400.00"
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Supplies & Services,Consultancy,AtkinsRéalis UK Limited,14/12/2023,"16,590.00"
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Supplies & Services,Consultancy,AtkinsRéalis UK Limited,22/12/2023,"-6,400.00"
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Capital Expenditure,Payments to Contractor,AtkinsRéalis UK Limited,05/12/2023,"10,731.50"
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Capital Expenditure,Payments to Contractor,AtkinsRéalis UK Limited,13/12/2023,"1,900.00"
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Capital Expenditure,Payments to Contractor,AtkinsRéalis UK Limited,14/12/2023,"4,750.13"
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Capital Expenditure,Payments to Contractor,AtkinsRéalis UK Limited,12/12/2023,"1,900.00"
Neighbourhood & Enforcement Services,Safer & Stronger Communities,Supplies & Services,Artistes Fees,AUNIQUEART,11/12/2023,280.00
Neighbourhood & Enforcement Services,Enforcement,Supplies & Services,Equipment - Purchase,Austin Mix Ltd,14/12/2023,450.00
Neighbourhood & Enforcement Services,Safer & Stronger Communities,Supplies & Services,Other Services,Austin Mix Ltd,13/12/2023,160.00
