Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,124.94
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,112.33
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,137.45
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,121.96
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,193.88
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,167.46
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,207.29
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,106.74
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,145.14
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,104.10
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,111.68
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,134.89
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,110.31
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,154.20
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,169.90
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,256.52
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,124.49
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,210.57
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,113.49
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,162.81
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,110.91
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,109.38
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,188.10
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,158.33
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,31/10/2023,130.75
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,31/10/2023,155.66
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,31/10/2023,140.33
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,31/10/2023,110.00
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,31/10/2023,123.18
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,31/10/2023,100.29
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,31/10/2023,135.03
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,31/10/2023,125.73
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,31/10/2023,203.42
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,31/10/2023,151.99
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,31/10/2023,173.75
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,31/10/2023,116.82
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,03/10/2023,254.19
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,03/10/2023,135.62
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,06/10/2023,288.32
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,16/10/2023,229.96
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,16/10/2023,110.21
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,23/10/2023,249.37
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,R & COMPANY,31/10/2023,125.77
Corporate Communications,Communications & Marketing,Supplies & Services,Community Newspaper,ROYAL MAIL GROUP PLC,30/10/2023,"6,550.90"
Finance & Human Resources,Revenues,Supplies & Services,Postages,ROYAL MAIL GROUP PLC,05/10/2023,895.63
Finance & Human Resources,Revenues,Supplies & Services,Postages,ROYAL MAIL GROUP PLC,05/10/2023,855.79
Finance & Human Resources,Revenues,Supplies & Services,Postages,ROYAL MAIL GROUP PLC,05/10/2023,"2,224.57"
Finance & Human Resources,Revenues,Supplies & Services,Postages,ROYAL MAIL GROUP PLC,25/10/2023,"1,052.70"
Finance & Human Resources,Revenues,Supplies & Services,Postages,ROYAL MAIL GROUP PLC,16/10/2023,632.05
Finance & Human Resources,Revenues,Supplies & Services,Postages,ROYAL MAIL GROUP PLC,20/10/2023,"1,113.93"
Policy & Governance,Governance & Legal Services,Supplies & Services,Postages,ROYAL MAIL GROUP PLC,20/10/2023,352.46
Policy & Governance,Governance & Legal Services,Supplies & Services,Postages,ROYAL MAIL GROUP PLC,20/10/2023,107.18
Policy & Governance,Governance & Legal Services,Supplies & Services,Postages,ROYAL MAIL GROUP PLC,20/10/2023,428.47
Education & Skills,SEND (0-25),Transport-Related Expenditure,Taxi Costs,ROYAL MENCAP SOCIETY,26/10/2023,136.25
Education & Skills,SEND (0-25),Transport-Related Expenditure,Taxi Costs,ROYAL MENCAP SOCIETY,26/10/2023,251.46
Education & Skills,SEND (0-25),Transport-Related Expenditure,Taxi Costs,ROYAL MENCAP SOCIETY,26/10/2023,432.81
Education & Skills,SEND (0-25),Transport-Related Expenditure,Taxi Costs,ROYAL MENCAP SOCIETY,26/10/2023,177.12
Education & Skills,SEND (0-25),Transport-Related Expenditure,Taxi Costs,ROYAL MENCAP SOCIETY,26/10/2023,108.00
